production_key,production_id,date_key,product_key,unit_of_measure,location_key,machine_key,employee_key,planned_quantity,produced_quantity,defect_quantity,production_hours
109,PRD-000109,20221223,4281,Each,77,910,223,155,146,3,4.17
110,PRD-000110,20220522,3676,Each,16,344,100,244,233,2,5.09
111,PRD-000111,20200626,3446,Each,63,1485,2516,154,146,19,3.75
112,PRD-000112,20250224,3380,Each,76,222,2628,471,434,10,9.99
113,PRD-000113,20190214,2174,Each,75,483,7,332,320,8,9.46
114,PRD-000114,20240811,3836,Each,95,860,1280,154,145,22,3.22
115,PRD-000115,20191111,4849,Each,51,695,4462,163,152,7,4.22
116,PRD-000116,20210306,2094,Each,22,1886,1992,229,210,3,6.23
117,PRD-000117,20240111,233,Each,42,1681,1374,162,151,14,2.54
118,PRD-000118,20200913,1867,Each,99,114,3761,151,148,5,2.37
119,PRD-000119,20200917,3410,Each,57,1124,1500,282,257,11,7.97
120,PRD-000120,20191103,2888,Each,26,186,4139,220,195,1,5.12
121,PRD-000121,20200303,4312,Each,84,1139,1095,334,313,3,6.23
122,PRD-000122,20200217,3252,Each,64,287,1939,249,244,6,5.71
123,PRD-000123,20240108,3380,Each,21,1985,3775,222,215,25,3.6
124,PRD-000124,20250509,4649,Each,23,26,771,495,495,25,9.36
125,PRD-000125,20200123,598,Each,82,1731,1415,206,206,6,3.42
126,PRD-000126,20220904,1476,Each,35,1957,4045,333,317,10,7.67
127,PRD-000127,20210329,58,Each,9,828,2318,146,142,10,3.52
128,PRD-000128,20220113,3409,Each,73,1289,2715,211,208,9,4.34
129,PRD-000129,20220819,4958,Each,55,522,2448,186,178,10,3.22
130,PRD-000130,20221020,2654,Each,49,794,4426,313,276,11,8.59
131,PRD-000131,20190121,3626,Each,76,79,513,264,236,20,4.66
132,PRD-000132,20200401,1275,Each,3,841,2486,202,202,5,5.44
133,PRD-000133,20220818,568,Each,35,331,2240,258,243,7,4.14
134,PRD-000134,20200417,4202,Each,88,1691,3756,156,147,3,3.34
135,PRD-000135,20230527,3719,Each,53,846,496,177,175,18,4.44
136,PRD-000136,20220907,4918,Each,40,1601,4801,462,439,20,7.43
137,PRD-000137,20191129,2708,Each,52,498,1595,402,374,17,8.87
138,PRD-000138,20190806,1154,Each,59,1027,1301,302,273,3,6.18
139,PRD-000139,20250917,52,Each,88,61,2093,333,292,11,7.12
140,PRD-000140,20250401,1852,Each,30,917,1299,269,241,1,6.81
141,PRD-000141,20220222,992,Each,43,631,1907,187,177,7,5.02
142,PRD-000142,20220501,3463,Each,58,2,4188,245,224,2,4.62
143,PRD-000143,20250131,3217,Each,74,1812,4339,126,111,9,2.11
144,PRD-000144,20200420,2489,Each,63,69,3342,235,231,15,3.77
145,PRD-000145,20240707,427,Each,75,1693,2618,277,256,3,4.54
146,PRD-000146,20231031,495,Each,41,1758,1646,293,275,11,7.06
147,PRD-000147,20231122,722,Each,29,856,4926,240,238,27,5.21
148,PRD-000148,20230822,3151,Each,38,965,3784,248,225,1,6.59
149,PRD-000149,20200622,3761,Each,9,482,553,187,173,9,3.18
150,PRD-000150,20251231,4094,Each,18,1697,4899,302,261,4,6.0
151,PRD-000151,20250912,4999,Each,14,338,3492,426,426,10,8.04
152,PRD-000152,20250327,1424,Each,66,1135,547,445,380,20,7.83
153,PRD-000153,20190501,3508,Each,17,245,4338,289,270,8,6.65
154,PRD-000154,20211214,689,Each,52,374,2589,222,204,2,3.72
155,PRD-000155,20211030,1306,Each,67,1804,3849,338,338,32,7.15
156,PRD-000156,20200421,255,Each,83,1961,4228,213,206,6,3.38
157,PRD-000157,20190702,337,Each,3,1783,624,228,202,4,3.82
158,PRD-000158,20190707,3250,Each,98,1186,2014,181,165,1,2.96
159,PRD-000159,20250624,4563,Each,47,1563,4262,453,401,15,9.31
160,PRD-000160,20250515,4419,Each,38,1130,1629,322,308,9,6.46
161,PRD-000161,20240414,4315,Each,91,429,3320,384,371,14,10.43
162,PRD-000162,20230223,4209,Each,13,1215,4681,335,304,15,9.4
163,PRD-000163,20240311,3901,Each,3,326,1586,219,194,17,4.95
164,PRD-000164,20230105,1531,Each,5,1310,3806,240,210,5,6.64
165,PRD-000165,20200429,1950,Each,9,938,4098,216,216,0,6.06
166,PRD-000166,20230519,2964,Each,42,1525,1647,91,87,6,1.48
167,PRD-000167,20231024,4871,Each,52,600,869,265,237,7,4.55
168,PRD-000168,20241030,2941,Each,31,1092,2158,175,172,4,2.79
169,PRD-000169,20230719,4258,Each,20,362,2309,323,295,12,6.79
170,PRD-000170,20210427,1394,Each,25,1609,2123,242,224,9,6.6
171,PRD-000171,20250425,3364,Each,34,207,3601,471,445,38,9.23
172,PRD-000172,20250505,957,Each,18,1188,1798,304,304,4,5.35
173,PRD-000173,20190609,205,Each,64,1971,3889,340,299,16,5.65
174,PRD-000174,20191102,367,Each,3,1183,3052,243,243,27,5.2
175,PRD-000175,20250613,202,Each,31,621,250,320,298,39,6.49
176,PRD-000176,20201015,149,Each,39,1210,1921,157,154,23,3.6
177,PRD-000177,20240112,3143,Each,48,1320,2791,126,123,6,2.15
178,PRD-000178,20200914,4696,Each,68,894,4034,332,319,25,7.98
179,PRD-000179,20190516,2484,Each,56,893,1895,287,261,18,5.81
180,PRD-000180,20220502,1532,Each,93,1224,2114,265,265,7,6.08
181,PRD-000181,20190208,4125,Each,8,1853,2434,255,239,7,4.43
182,PRD-000182,20221202,444,Each,60,1583,1071,250,228,34,5.11
183,PRD-000183,20220104,4087,Each,75,880,4081,300,298,19,4.73
184,PRD-000184,20190413,1816,Each,41,1944,4999,143,143,1,2.92
185,PRD-000185,20191108,78,Each,52,1337,4920,381,364,24,7.03
186,PRD-000186,20200726,2889,Each,1,296,1068,211,211,9,5.09
187,PRD-000187,20230330,3568,Each,61,156,1840,281,272,37,6.08
188,PRD-000188,20221001,1949,Each,43,662,2931,233,233,3,3.97
189,PRD-000189,20200510,3614,Each,38,1663,2151,218,208,16,3.72
190,PRD-000190,20191112,3410,Each,80,2000,3886,228,208,3,5.64
191,PRD-000191,20201107,923,Each,22,216,2922,308,292,13,4.81
192,PRD-000192,20211006,2822,Each,18,1252,4526,174,156,10,3.42
193,PRD-000193,20200920,29,Each,42,906,4760,229,225,19,5.43
194,PRD-000194,20240829,1987,Each,26,1235,942,412,378,14,11.22
195,PRD-000195,20251110,2975,Each,25,739,2377,516,496,5,12.0
196,PRD-000196,20190729,3757,Each,14,1568,3781,281,280,13,4.57
197,PRD-000197,20251119,3618,Each,86,128,4211,368,323,5,6.25
198,PRD-000198,20230417,948,Each,37,64,4221,205,205,12,3.46
199,PRD-000199,20191115,2697,Each,96,1046,2755,242,220,4,4.07
200,PRD-000200,20230301,1569,Each,39,1638,49,313,268,13,6.78
201,PRD-000201,20240417,2747,Each,75,130,2295,463,420,29,10.42
202,PRD-000202,20250827,1107,Each,23,481,586,168,147,8,2.62
203,PRD-000203,20230903,4323,Each,83,509,4995,320,314,35,8.29
204,PRD-000204,20221003,3391,Each,74,310,2283,459,459,2,9.23
205,PRD-000205,20221029,1990,Each,44,1751,2252,361,332,5,5.69
206,PRD-000206,20241113,1575,Each,55,1445,162,318,294,5,8.63
207,PRD-000207,20191026,4471,Each,11,1729,537,387,373,27,6.89
208,PRD-000208,20210810,2418,Each,78,1867,2604,285,282,14,6.1
209,PRD-000209,20200204,4106,Each,79,1104,2527,270,244,5,7.41
210,PRD-000210,20220419,4381,Each,98,687,1383,237,215,10,6.43
211,PRD-000211,20230204,838,Each,40,758,1551,254,228,19,5.74
212,PRD-000212,20201222,2732,Each,40,1632,1238,121,119,2,2.68
213,PRD-000213,20220122,1296,Each,25,1713,1012,203,179,5,4.09
214,PRD-000214,20240912,2947,Each,88,1551,3424,303,283,28,6.11
215,PRD-000215,20191216,2315,Each,63,1111,1775,169,169,20,2.65
216,PRD-000216,20250817,2414,Each,6,1360,126,314,286,20,5.71
217,PRD-000217,20230128,1075,Each,31,1712,3431,343,332,23,6.96
218,PRD-000218,20220321,3652,Each,69,215,4902,464,442,8,7.21
219,PRD-000219,20220112,4422,Each,86,1717,697,131,127,2,2.72
220,PRD-000220,20240613,3413,Each,15,1233,3365,206,202,14,3.92
221,PRD-000221,20241110,3167,Each,18,1453,616,250,229,10,5.0
222,PRD-000222,20240105,1521,Each,88,356,1611,277,245,1,5.36
223,PRD-000223,20201120,4449,Each,42,1681,2243,336,299,34,7.72
224,PRD-000224,20241118,761,Each,91,1902,4642,349,349,39,6.56
225,PRD-000225,20240402,4682,Each,66,1143,1973,397,331,18,11.1
226,PRD-000226,20190503,4562,Each,15,1307,4211,184,174,3,4.5
227,PRD-000227,20210919,3394,Each,71,1017,3356,247,231,5,5.51
228,PRD-000228,20191009,663,Each,12,1851,4859,226,212,7,4.87
229,PRD-000229,20241229,1039,Each,49,445,2823,328,328,42,7.57
230,PRD-000230,20211011,2628,Each,93,94,3098,221,197,11,5.28
231,PRD-000231,20220430,2913,Each,55,1474,4787,231,224,9,5.12
232,PRD-000232,20250904,1709,Each,94,164,2841,244,212,10,5.12
233,PRD-000233,20210416,4392,Each,95,859,2590,235,220,8,5.02
234,PRD-000234,20191229,81,Each,17,1271,1004,177,174,1,4.96
235,PRD-000235,20221209,4654,Each,65,1882,4872,235,215,11,4.22
236,PRD-000236,20220615,991,Each,31,357,21,319,281,3,5.43
237,PRD-000237,20220421,2596,Each,10,507,1655,218,211,2,4.73
238,PRD-000238,20240915,1517,Each,26,1334,1482,488,488,32,8.0
239,PRD-000239,20210322,631,Each,72,653,242,287,287,6,4.56
240,PRD-000240,20210723,1912,Each,55,438,1474,101,94,5,1.91
241,PRD-000241,20221024,3155,Each,58,293,4983,338,307,36,6.04
242,PRD-000242,20231001,4632,Each,12,532,2527,245,228,19,4.95
243,PRD-000243,20221113,4341,Each,6,1730,4072,320,313,9,8.63
244,PRD-000244,20241026,3446,Each,85,1863,3851,256,222,4,4.4
245,PRD-000245,20200322,2457,Each,37,1344,3504,216,205,5,4.86
246,PRD-000246,20230623,2143,Each,60,102,4371,310,287,33,8.46
247,PRD-000247,20210622,4230,Each,98,1338,1641,249,236,3,4.95
248,PRD-000248,20230204,4276,Each,46,1469,2844,259,249,1,6.68
249,PRD-000249,20210427,4195,Each,8,1853,2315,145,127,4,3.63
250,PRD-000250,20240927,502,Each,17,867,4576,375,362,16,7.14
251,PRD-000251,20231118,4548,Each,63,1375,4951,428,391,16,8.68
252,PRD-000252,20220518,3148,Each,91,1678,441,220,210,7,4.91
253,PRD-000253,20191107,928,Each,78,1151,4744,220,220,3,5.17
254,PRD-000254,20250215,3759,Each,52,437,167,187,179,14,4.19
255,PRD-000255,20230824,2549,Each,86,1873,1101,398,359,22,8.48
256,PRD-000256,20210507,335,Each,28,163,1609,278,272,8,5.39
257,PRD-000257,20221217,4216,Each,63,363,1449,242,192,8,4.04
258,PRD-000258,20231130,2943,Each,41,1758,2978,225,212,10,4.26
259,PRD-000259,20200124,699,Each,21,1656,3299,181,158,18,3.19
260,PRD-000260,20211030,837,Each,95,657,963,267,267,30,4.18
261,PRD-000261,20240810,627,Each,90,1605,2377,385,349,11,10.74
262,PRD-000262,20190605,43,Each,64,287,1412,266,207,3,4.14
263,PRD-000263,20211229,4900,Each,14,1022,3874,219,205,4,4.93
264,PRD-000264,20251106,4243,Each,94,553,2733,194,175,7,3.75
265,PRD-000265,20240506,2763,Each,88,519,3034,118,105,4,2.8
266,PRD-000266,20220221,782,Each,4,1128,1749,371,334,50,5.86
267,PRD-000267,20250430,1398,Each,20,337,3625,286,262,9,5.73
268,PRD-000268,20250327,809,Each,31,862,3313,358,352,27,7.63
269,PRD-000269,20201102,3743,Each,36,675,3243,245,224,26,5.48
270,PRD-000270,20220310,721,Each,78,20,942,293,273,41,5.27
271,PRD-000271,20240123,760,Each,11,343,2489,393,376,23,9.24
272,PRD-000272,20231022,2360,Each,49,694,1193,153,147,3,3.36
273,PRD-000273,20211214,4510,Each,39,262,50,290,266,3,4.69
274,PRD-000274,20231201,1366,Each,42,648,4635,295,255,30,5.56
275,PRD-000275,20250704,1345,Each,95,211,275,376,317,7,7.85
276,PRD-000276,20200920,39,Each,23,1451,2396,123,123,2,1.92
277,PRD-000277,20250915,3838,Each,37,1795,4295,422,406,7,8.8
278,PRD-000278,20231027,1835,Each,81,479,3583,490,423,34,7.96
279,PRD-000279,20210610,3849,Each,75,844,3325,342,317,15,8.03
280,PRD-000280,20250723,3023,Each,2,1856,1710,438,392,21,7.46
281,PRD-000281,20240622,4200,Each,86,1592,1405,424,424,14,8.92
282,PRD-000282,20210923,4775,Each,26,1890,194,196,167,4,5.12
283,PRD-000283,20210925,965,Each,38,406,595,340,339,13,5.92
284,PRD-000284,20200627,4632,Each,59,372,1923,204,197,7,3.64
285,PRD-000285,20191220,2686,Each,68,281,1702,124,118,4,2.09
286,PRD-000286,20200104,2753,Each,12,1727,3127,112,109,8,2.24
287,PRD-000287,20250203,805,Each,46,977,744,300,298,8,6.02
288,PRD-000288,20220831,559,Each,5,288,4625,266,251,7,4.84
289,PRD-000289,20230208,926,Each,42,1657,3890,291,273,24,4.74
290,PRD-000290,20221025,971,Each,2,1856,756,191,187,3,3.37
291,PRD-000291,20220127,3382,Each,60,626,1876,309,282,23,4.98
292,PRD-000292,20231126,3997,Each,29,856,3074,284,284,2,4.47
293,PRD-000293,20220224,4794,Each,9,482,2691,185,172,4,2.88
294,PRD-000294,20201127,2177,Each,83,1077,3456,289,280,7,7.9
295,PRD-000295,20190830,154,Each,72,1736,2148,217,203,11,4.09
296,PRD-000296,20251120,1129,Each,44,1065,4464,235,211,7,4.25
297,PRD-000297,20230309,699,Each,82,455,3913,450,444,51,8.76
298,PRD-000298,20230214,3778,Each,30,707,2002,384,362,4,6.93
299,PRD-000299,20190128,910,Each,41,1944,3646,262,242,23,7.42
300,PRD-000300,20230607,2366,Each,13,727,4672,311,286,5,5.27
301,PRD-000301,20211221,181,Each,90,1700,2970,178,178,4,3.18
302,PRD-000302,20240115,3960,Each,5,312,3251,259,253,11,5.23
303,PRD-000303,20211101,4290,Each,52,180,2295,228,218,1,3.71
304,PRD-000304,20241211,3719,Each,22,253,901,350,307,14,6.87
305,PRD-000305,20240413,4573,Each,96,1921,1540,288,270,10,5.48
306,PRD-000306,20250311,4720,Each,13,1805,640,288,283,8,4.52
307,PRD-000307,20190129,2679,Each,38,1130,1126,262,252,29,4.07
308,PRD-000308,20201210,369,Each,89,1533,2965,122,110,5,2.0
309,PRD-000309,20240510,202,Each,78,313,4054,169,161,16,2.78
310,PRD-000310,20250804,63,Each,92,933,4682,304,297,8,8.67
311,PRD-000311,20211110,1668,Each,31,1221,1782,124,114,6,2.91
312,PRD-000312,20201220,2577,Each,3,1438,1412,282,256,22,4.96
313,PRD-000313,20210814,3918,Each,90,198,4221,280,237,2,7.38
314,PRD-000314,20230326,3284,Each,81,868,321,365,338,3,9.45
315,PRD-000315,20190817,3683,Each,19,593,3939,238,233,15,6.79
316,PRD-000316,20250906,2202,Each,17,608,4765,350,306,18,9.13
317,PRD-000317,20210322,3649,Each,21,1384,3065,262,216,32,4.67
318,PRD-000318,20191118,4916,Each,5,92,836,259,230,20,5.71
319,PRD-000319,20221027,2805,Each,25,1444,3539,276,248,15,6.79
320,PRD-000320,20231126,2266,Each,12,532,4160,338,314,10,6.02
321,PRD-000321,20210503,2403,Each,6,78,4619,408,395,9,7.29
322,PRD-000322,20220826,803,Each,59,646,898,297,293,16,4.97
323,PRD-000323,20240809,4762,Each,99,302,508,164,158,10,2.78
324,PRD-000324,20210730,291,Each,12,740,4211,245,232,19,4.19
325,PRD-000325,20220406,4900,Each,82,355,2936,197,187,16,3.37
326,PRD-000326,20210920,1069,Each,82,1622,1070,286,271,22,5.97
327,PRD-000327,20230409,136,Each,52,498,2413,204,199,2,5.59
328,PRD-000328,20190624,4010,Each,87,1010,1104,256,250,14,5.17
329,PRD-000329,20210930,2170,Each,7,548,1331,160,153,8,2.79
330,PRD-000330,20240221,4163,Each,16,701,3362,427,391,13,10.39
331,PRD-000331,20200407,4727,Each,33,636,3432,353,323,30,6.25
332,PRD-000332,20250614,2258,Each,39,262,1792,577,526,21,9.39
333,PRD-000333,20240401,3887,Each,54,70,1272,307,289,36,7.99
334,PRD-000334,20210720,199,Each,51,1352,285,241,237,11,6.1
335,PRD-000335,20221224,4119,Each,43,1441,2893,167,156,7,4.15
336,PRD-000336,20200515,4853,Each,43,1844,3861,235,223,7,4.94
337,PRD-000337,20211026,3719,Each,42,1681,81,224,210,18,5.15
338,PRD-000338,20230407,828,Each,22,253,403,308,297,17,5.34
339,PRD-000339,20220610,4012,Each,91,774,161,430,381,15,10.61
340,PRD-000340,20200228,4077,Each,61,1393,4208,204,199,4,4.76
341,PRD-000341,20250430,2660,Each,99,1940,2915,256,231,7,5.31
342,PRD-000342,20220726,1884,Each,73,1173,1493,203,197,3,4.71
343,PRD-000343,20240308,2991,Each,18,1252,2402,132,117,4,2.91
344,PRD-000344,20250415,3046,Each,72,747,1968,423,401,26,8.07
345,PRD-000345,20230613,1586,Each,21,1707,3868,371,371,28,6.92
346,PRD-000346,20230401,3430,Each,59,620,3927,112,97,8,2.52
347,PRD-000347,20250123,4760,Each,14,1568,4703,194,188,21,4.05
348,PRD-000348,20231014,4354,Each,12,320,1960,258,235,13,5.04
349,PRD-000349,20191222,3430,Each,60,1056,381,196,186,11,3.93
350,PRD-000350,20210307,2731,Each,7,627,4137,383,312,2,6.97
351,PRD-000351,20210806,3737,Each,54,1204,3229,403,387,3,10.06
352,PRD-000352,20240325,1644,Each,44,181,3364,319,298,11,5.16
353,PRD-000353,20210626,1335,Each,64,1767,2457,233,223,4,5.63
354,PRD-000354,20200501,4027,Each,66,1135,374,211,182,13,3.35
355,PRD-000355,20210128,573,Each,16,571,807,303,286,10,7.21
356,PRD-000356,20250711,2613,Each,54,1573,3597,495,485,5,7.78
357,PRD-000357,20190910,4830,Each,14,414,807,373,364,21,8.52
358,PRD-000358,20240921,84,Each,12,147,4204,430,418,63,7.45
359,PRD-000359,20250726,1276,Each,21,1707,1378,263,220,10,5.16
360,PRD-000360,20201115,1230,Each,30,1999,686,248,241,7,3.85
361,PRD-000361,20220722,4566,Each,35,729,805,331,298,25,7.64
362,PRD-000362,20211214,4674,Each,7,751,3906,189,182,8,5.18
363,PRD-000363,20240925,1049,Each,58,234,4080,375,356,17,10.19
364,PRD-000364,20250813,2672,Each,78,1328,2352,271,271,6,4.83
365,PRD-000365,20211225,4824,Each,24,674,43,244,225,11,4.12
366,PRD-000366,20220925,1374,Each,69,976,2336,256,256,12,5.84
367,PRD-000367,20241212,2376,Each,33,636,609,276,261,3,4.35
368,PRD-000368,20190210,2273,Each,82,1016,4474,228,206,15,4.06
369,PRD-000369,20210311,2769,Each,41,539,3723,403,403,10,7.66
370,PRD-000370,20250712,337,Each,4,1266,2396,438,412,11,9.08
371,PRD-000371,20190118,3205,Each,94,1786,4210,145,141,7,3.61
372,PRD-000372,20220618,2533,Each,60,1250,871,405,342,4,10.2
373,PRD-000373,20230730,725,Each,70,1839,920,226,191,8,6.45
374,PRD-000374,20230907,2252,Each,44,1380,2158,199,172,12,3.55
375,PRD-000375,20250409,893,Each,37,66,737,309,309,14,7.46
376,PRD-000376,20211228,231,Each,35,693,2747,148,132,4,2.29
377,PRD-000377,20190511,4415,Each,44,1380,239,141,133,3,3.73
378,PRD-000378,20250503,2385,Each,2,878,2684,360,1080,22,5.54
379,PRD-000379,20251211,1896,Each,24,140,2359,323,323,28,5.39
380,PRD-000380,20201217,337,Each,63,346,572,141,139,3,2.28
381,PRD-000381,20200923,3179,Each,65,1086,2778,181,160,11,5.05
382,PRD-000382,20200104,4676,Each,66,1612,3790,143,140,5,2.33
383,PRD-000383,20210514,769,Each,9,352,3077,356,331,4,5.62
384,PRD-000384,20250111,4665,Each,21,723,2659,405,375,8,11.26
