financial_transaction_key,transaction_id,date_key,account_key,location_key,transaction_type,transaction_category,transaction_amount
45,FIN-000045,20251203,92,37,Revenue,Sales Revenue,46411.05
46,FIN-000046,20190428,178,76,Revenue,Sales Revenue,9425.91
47,FIN-000047,20220603,680,28,Cost,Maintenance,1594.29
48,FIN-000048,20221013,324,29,Expense,Operating Expense,1595.73
49,FIN-000049,20241130,282,29,Cost,Maintenance,630.72
50,FIN-000050,20251212,586,28,Expense,Utilities,5908.51
51,FIN-000051,20251208,727,77,Revenue,Sales Revenue,1832.28
52,FIN-000052,20210315,120,99,Revenue,Sales Revenue,9323.59
53,FIN-000053,20240805,734,83,Revenue,Sales Revenue,1689.77
54,FIN-000054,20200920,654,85,Cost,Maintenance,2518.5
55,FIN-000055,20201110,580,70,Cost,Materials,1980.52
56,FIN-000056,20230930,295,99,Expense,Operating Expense,5283.04
57,FIN-000057,20250509,179,59,Revenue,Sales Revenue,2583.0
58,FIN-000058,20210503,140,50,Cost,Maintenance,1586.06
59,FIN-000059,20251101,785,25,Revenue,Sales Revenue,8938.33
60,FIN-000060,20250421,255,39,Revenue,Sales Revenue,7323.82
61,FIN-000061,20220509,555,93,Cost,Maintenance,1080.1
62,FIN-000062,20200529,567,67,Expense,Operating Expense,6284.06
63,FIN-000063,20190122,532,26,Revenue,Sales Revenue,1131.19
64,FIN-000064,20240820,728,73,Revenue,Sales Revenue,4640.66
65,FIN-000065,20210408,60,11,Revenue,Sales Revenue,6339.93
66,FIN-000066,20230220,678,48,Cost,Materials,3695.64
67,FIN-000067,20201212,654,28,Expense,Utilities,4927.86
68,FIN-000068,20200527,310,99,Expense,Utilities,1473.83
69,FIN-000069,20241113,535,53,Cost,Materials,3995.42
70,FIN-000070,20230402,775,68,Revenue,Sales Revenue,2496.43
71,FIN-000071,20231006,921,97,Cost,Materials,19117.8
72,FIN-000072,20230208,703,60,Expense,Utilities,1899.02
73,FIN-000073,20240113,937,72,Revenue,Sales Revenue,2365.98
74,FIN-000074,20240415,876,77,Expense,Payroll,1259.25
75,FIN-000075,20230625,405,76,Expense,Operating Expense,13832.0
76,FIN-000076,20210909,117,9,Cost,Maintenance,2236.42
77,FIN-000077,20210718,568,1,Expense,Operating Expense,3996.41
78,FIN-000078,20220101,563,7,Revenue,Sales Revenue,1469.59
79,FIN-000079,20210126,542,36,Expense,Operating Expense,3442.38
80,FIN-000080,20220720,440,91,Cost,Maintenance,5292.09
81,FIN-000081,20240606,292,78,Cost,Materials,2488.38
82,FIN-000082,20190901,219,86,Cost,Maintenance,1006.62
83,FIN-000083,20190416,559,49,Cost,Maintenance,1882.35
84,FIN-000084,20201229,882,78,Expense,Utilities,3017.71
85,FIN-000085,20250402,144,63,Revenue,Sales Revenue,10432.81
86,FIN-000086,20230731,459,94,Cost,Materials,787.8
87,FIN-000087,20240316,829,33,Expense,Utilities,1488.2
88,FIN-000088,20230922,793,47,Expense,Operating Expense,3861.24
89,FIN-000089,20201009,865,32,Cost,Maintenance,1297.6
90,FIN-000090,20211129,518,43,Cost,Materials,2233.41
91,FIN-000091,20201125,236,11,Expense,Utilities,5203.93
92,FIN-000092,20240624,77,52,Expense,Operating Expense,4373.21
93,FIN-000093,20190530,996,54,Expense,Utilities,1171.1
94,FIN-000094,20240909,117,42,Revenue,Sales Revenue,9043.88
95,FIN-000095,20240508,410,24,Revenue,Sales Revenue,3343.85
96,FIN-000096,20250126,51,37,Cost,Materials,4438.22
97,FIN-000097,20191211,142,65,Revenue,Sales Revenue,14299.37
98,FIN-000098,20231221,904,20,Expense,Operating Expense,4334.41
99,FIN-000099,20230624,347,54,Cost,Materials,2361.7
100,FIN-000100,20240807,536,60,Revenue,Sales Revenue,11070.6
101,FIN-000101,20200218,273,86,Revenue,Sales Revenue,3051.33
102,FIN-000102,20240130,785,98,Revenue,Sales Revenue,15574.07
103,FIN-000103,20210309,943,80,Cost,Maintenance,2148.13
104,FIN-000104,20241102,227,32,Cost,Materials,3717.89
105,FIN-000105,20210212,674,98,Revenue,Sales Revenue,7891.1
106,FIN-000106,20190627,167,20,Expense,Payroll,889.3
107,FIN-000107,20250609,862,43,Expense,Utilities,4419.78
108,FIN-000108,20240105,122,88,Cost,Maintenance,2138.04
109,FIN-000109,20200106,958,79,Expense,Utilities,610.89
110,FIN-000110,20250613,540,61,Cost,Materials,3351.51
111,FIN-000111,20250625,830,11,Expense,Operating Expense,1839.09
112,FIN-000112,20230718,793,94,Cost,Materials,1156.47
113,FIN-000113,20250210,946,96,Revenue,Sales Revenue,23521.91
114,FIN-000114,20230621,886,49,Revenue,Sales Revenue,1639.45
115,FIN-000115,20240606,451,73,Cost,Maintenance,6191.92
116,FIN-000116,20251222,759,92,Expense,Operating Expense,3205.63
117,FIN-000117,20190730,572,72,Expense,Utilities,864.12
118,FIN-000118,20210126,431,93,Revenue,Sales Revenue,5570.43
119,FIN-000119,20240618,191,55,Cost,Maintenance,1193.24
120,FIN-000120,20201029,269,78,Cost,Materials,1403.88
121,FIN-000121,20221023,933,52,Revenue,Sales Revenue,3766.95
122,FIN-000122,20220817,642,32,Expense,Utilities,2737.64
123,FIN-000123,20211103,789,45,Revenue,Sales Revenue,2710.02
124,FIN-000124,20250401,59,91,Revenue,Sales Revenue,13582.26
125,FIN-000125,20200831,519,94,Revenue,Sales Revenue,10304.23
126,FIN-000126,20210503,285,7,Expense,Operating Expense,1625.56
127,FIN-000127,20220409,257,39,Revenue,Sales Revenue,4021.41
128,FIN-000128,20210730,138,63,Revenue,Sales Revenue,5837.12
129,FIN-000129,20231023,747,34,Revenue,Sales Revenue,2677.29
130,FIN-000130,20230823,372,72,Revenue,Sales Revenue,10148.72
131,FIN-000131,20200419,634,31,Expense,Operating Expense,1944.38
132,FIN-000132,20240210,271,76,Revenue,Sales Revenue,2173.42
133,FIN-000133,20201208,520,86,Cost,Maintenance,3029.74
134,FIN-000134,20250709,121,68,Cost,Maintenance,4351.64
135,FIN-000135,20251220,811,34,Expense,Utilities,1319.18
136,FIN-000136,20191119,300,1,Expense,Operating Expense,2929.76
137,FIN-000137,20200208,329,16,Expense,Operating Expense,865.49
138,FIN-000138,20220106,512,13,Expense,Operating Expense,1948.85
139,FIN-000139,20251022,164,54,Revenue,Sales Revenue,2969.38
140,FIN-000140,20220226,669,83,Cost,Materials,4593.98
141,FIN-000141,20190901,838,14,Revenue,Sales Revenue,45017.89
142,FIN-000142,20240928,874,63,Revenue,Sales Revenue,2450.91
143,FIN-000143,20190607,459,2,Revenue,Sales Revenue,709.4
144,FIN-000144,20220223,165,3,Cost,Materials,2008.62
145,FIN-000145,20201221,887,75,Cost,Maintenance,4435.07
146,FIN-000146,20210927,419,94,Cost,Maintenance,2713.03
147,FIN-000147,20200521,161,33,Revenue,Sales Revenue,2620.09
148,FIN-000148,20210118,647,47,Cost,Materials,559.08
149,FIN-000149,20250513,876,17,Revenue,Sales Revenue,4439.62
150,FIN-000150,20200329,212,83,Revenue,Sales Revenue,3576.22
151,FIN-000151,20190706,597,5,Expense,Operating Expense,7816.05
152,FIN-000152,20190922,906,19,Cost,Materials,5999.25
153,FIN-000153,20221217,637,97,Revenue,Sales Revenue,3461.49
154,FIN-000154,20231024,942,79,Revenue,Sales Revenue,2150.22
155,FIN-000155,20200316,546,55,Expense,Utilities,902.26
156,FIN-000156,20220719,937,1,Expense,Operating Expense,6943.91
157,FIN-000157,20201025,74,42,Cost,Maintenance,1355.18
158,FIN-000158,20240613,858,11,Cost,Maintenance,1000.76
159,FIN-000159,20230831,224,37,Expense,Payroll,7301.96
160,FIN-000160,20231119,623,30,Expense,Utilities,1024.64
161,FIN-000161,20250902,105,81,Cost,Materials,3978.93
162,FIN-000162,20221103,666,48,Cost,Maintenance,2815.59
163,FIN-000163,20201020,78,49,Cost,Maintenance,2817.24
164,FIN-000164,20221001,790,48,Expense,Utilities,1249.33
165,FIN-000165,20230220,977,38,Revenue,Sales Revenue,2259.53
166,FIN-000166,20191116,938,90,Revenue,Sales Revenue,2160.6
167,FIN-000167,20190804,271,100,Expense,Operating Expense,2570.58
168,FIN-000168,20200719,941,75,Cost,Maintenance,2750.54
169,FIN-000169,20250414,840,63,Revenue,Sales Revenue,5579.86
170,FIN-000170,20191004,332,22,Expense,Payroll,4048.98
171,FIN-000171,20250927,324,88,Revenue,Sales Revenue,2159.59
172,FIN-000172,20190224,611,31,Cost,Maintenance,4804.51
173,FIN-000173,20200615,499,2,Revenue,Sales Revenue,5253.54
174,FIN-000174,20200313,754,10,Expense,Operating Expense,3638.32
175,FIN-000175,20190503,700,38,Cost,Materials,3098.2
176,FIN-000176,20210510,678,29,Revenue,Sales Revenue,20657.06
177,FIN-000177,20201006,614,70,Expense,Payroll,785.16
178,FIN-000178,20200201,720,39,Cost,Materials,569.27
179,FIN-000179,20240523,636,7,Cost,Maintenance,4113.52
180,FIN-000180,20190612,444,90,Revenue,Sales Revenue,1041.38
181,FIN-000181,20221002,386,13,Revenue,Sales Revenue,15062.53
182,FIN-000182,20200413,131,12,Revenue,Sales Revenue,9006.51
183,FIN-000183,20210403,623,85,Expense,Utilities,2820.59
184,FIN-000184,20250124,35,65,Revenue,Sales Revenue,4785.7
185,FIN-000185,20240213,307,14,Cost,Maintenance,4894.05
186,FIN-000186,20250622,928,95,Expense,Operating Expense,7554.93
187,FIN-000187,20210918,116,12,Cost,Maintenance,1862.69
188,FIN-000188,20221114,518,94,Revenue,Sales Revenue,6486.08
189,FIN-000189,20250212,377,9,Cost,Materials,7021.55
190,FIN-000190,20220608,436,80,Revenue,Sales Revenue,2836.77
191,FIN-000191,20230703,17,85,Cost,Maintenance,445.88
192,FIN-000192,20251105,482,55,Expense,Payroll,3248.72
193,FIN-000193,20250714,617,38,Cost,Maintenance,3619.17
194,FIN-000194,20220201,13,67,Cost,Maintenance,9922.03
195,FIN-000195,20230928,541,79,Revenue,Sales Revenue,10112.37
196,FIN-000196,20190504,229,77,Cost,Materials,4143.72
197,FIN-000197,20241015,764,77,Expense,Operating Expense,2074.66
198,FIN-000198,20230520,313,7,Expense,Payroll,4584.84
199,FIN-000199,20210822,348,54,Cost,Materials,3206.28
200,FIN-000200,20251126,686,79,Expense,Operating Expense,1133.98
201,FIN-000201,20220721,779,46,Expense,Utilities,3048.28
202,FIN-000202,20220402,998,69,Revenue,Sales Revenue,4060.41
203,FIN-000203,20210507,81,94,Expense,Payroll,3202.25
204,FIN-000204,20210529,356,12,Revenue,Sales Revenue,5679.48
205,FIN-000205,20200910,177,11,Cost,Materials,2532.82
206,FIN-000206,20190822,521,100,Revenue,Sales Revenue,1873.54
207,FIN-000207,20210724,714,59,Expense,Operating Expense,885.22
208,FIN-000208,20220919,370,67,Expense,Payroll,2832.43
209,FIN-000209,20191211,819,49,Revenue,Sales Revenue,1934.69
210,FIN-000210,20250502,950,24,Cost,Materials,17032.86
211,FIN-000211,20250215,628,39,Expense,Payroll,5979.9
212,FIN-000212,20190118,371,70,Revenue,Sales Revenue,1857.24
213,FIN-000213,20220903,939,99,Revenue,Sales Revenue,10382.68
214,FIN-000214,20200212,630,3,Expense,Operating Expense,11901.88
215,FIN-000215,20200509,454,59,Revenue,Sales Revenue,1995.99
216,FIN-000216,20200618,953,12,Cost,Materials,5825.16
217,FIN-000217,20191117,487,2,Revenue,Sales Revenue,9376.19
218,FIN-000218,20220730,89,34,Revenue,Sales Revenue,6490.71
219,FIN-000219,20200903,64,95,Expense,Operating Expense,2824.01
220,FIN-000220,20220515,738,28,Expense,Operating Expense,963.57
221,FIN-000221,20211209,996,35,Cost,Materials,5795.91
222,FIN-000222,20210824,347,26,Revenue,Sales Revenue,3461.48
223,FIN-000223,20220325,682,27,Revenue,Sales Revenue,1247.9
224,FIN-000224,20210330,822,80,Cost,Materials,1306.9
225,FIN-000225,20241118,903,78,Revenue,Sales Revenue,2018.16
226,FIN-000226,20211102,965,77,Cost,Maintenance,6152.52
227,FIN-000227,20210920,802,87,Expense,Payroll,1421.28
228,FIN-000228,20210121,899,55,Expense,Operating Expense,5069.13
229,FIN-000229,20231121,898,51,Cost,Maintenance,2267.33
230,FIN-000230,20251110,107,81,Cost,Materials,7284.07
231,FIN-000231,20251226,503,98,Cost,Materials,3726.25
232,FIN-000232,20230620,81,22,Revenue,Sales Revenue,16734.67
233,FIN-000233,20250206,324,99,Expense,Utilities,675.88
234,FIN-000234,20220117,776,97,Revenue,Sales Revenue,6606.54
235,FIN-000235,20220327,584,12,Expense,Operating Expense,2621.89
236,FIN-000236,20190320,907,25,Expense,Utilities,1247.36
237,FIN-000237,20211217,273,47,Cost,Materials,1354.49
238,FIN-000238,20240908,704,86,Expense,Payroll,2699.37
239,FIN-000239,20210211,791,8,Expense,Operating Expense,2068.58
240,FIN-000240,20240711,503,31,Revenue,Sales Revenue,2164.18
241,FIN-000241,20220425,273,50,Revenue,Sales Revenue,5905.31
242,FIN-000242,20230902,724,37,Cost,Maintenance,3459.75
243,FIN-000243,20210413,488,82,Cost,Materials,399.32
244,FIN-000244,20210429,464,13,Revenue,Sales Revenue,3966.87
245,FIN-000245,20220323,167,22,Cost,Materials,1921.16
246,FIN-000246,20230123,617,17,Revenue,Sales Revenue,14440.65
247,FIN-000247,20231109,785,74,Revenue,Sales Revenue,8151.23
248,FIN-000248,20201016,302,53,Cost,Maintenance,2516.33
249,FIN-000249,20210728,457,5,Expense,Utilities,7468.77
250,FIN-000250,20230405,519,95,Revenue,Sales Revenue,2606.29
251,FIN-000251,20230807,728,69,Expense,Utilities,1112.14
252,FIN-000252,20250514,240,14,Expense,Operating Expense,2386.46
253,FIN-000253,20241120,141,32,Revenue,Sales Revenue,12742.76
254,FIN-000254,20220319,364,78,Expense,Utilities,18271.33
255,FIN-000255,20200126,604,51,Expense,Utilities,651.05
256,FIN-000256,20230706,235,80,Expense,Operating Expense,6848.97
257,FIN-000257,20221220,173,94,Expense,Payroll,2339.98
258,FIN-000258,20210510,814,5,Expense,Utilities,1793.05
259,FIN-000259,20230212,739,90,Cost,Materials,3184.17
260,FIN-000260,20200723,732,80,Revenue,Sales Revenue,11415.58
261,FIN-000261,20190127,477,57,Cost,Materials,6299.09
262,FIN-000262,20211023,417,100,Expense,Payroll,544.5
263,FIN-000263,20200621,377,2,Cost,Materials,762.27
264,FIN-000264,20231205,427,82,Expense,Utilities,1011.86
265,FIN-000265,20210908,371,63,Revenue,Sales Revenue,25956.05
266,FIN-000266,20200724,742,33,Cost,Materials,2686.8
267,FIN-000267,20250708,586,20,Expense,Operating Expense,1388.28
268,FIN-000268,20210719,531,37,Cost,Maintenance,6596.05
269,FIN-000269,20251104,720,59,Cost,Maintenance,3175.67
270,FIN-000270,20230322,544,20,Revenue,Sales Revenue,7187.07
271,FIN-000271,20220702,745,42,Cost,Materials,4572.53
272,FIN-000272,20191223,19,74,Revenue,Sales Revenue,3314.69
273,FIN-000273,20221012,175,6,Revenue,Sales Revenue,2392.86
274,FIN-000274,20210921,21,43,Revenue,Sales Revenue,2284.98
275,FIN-000275,20250717,351,13,Expense,Payroll,3085.21
276,FIN-000276,20201201,846,82,Cost,Materials,1149.83
277,FIN-000277,20210410,362,53,Expense,Utilities,3313.76
278,FIN-000278,20220313,422,62,Expense,Payroll,5237.3
279,FIN-000279,20230909,67,43,Expense,Payroll,819.21
280,FIN-000280,20221106,266,24,Revenue,Sales Revenue,7094.44
281,FIN-000281,20220625,242,76,Revenue,Sales Revenue,2621.59
282,FIN-000282,20210906,903,56,Expense,Operating Expense,1091.39
283,FIN-000283,20200724,882,97,Revenue,Sales Revenue,7179.53
284,FIN-000284,20250626,961,74,Cost,Materials,1903.57
285,FIN-000285,20190719,991,70,Revenue,Sales Revenue,11700.96
286,FIN-000286,20250114,670,63,Cost,Materials,4093.16
287,FIN-000287,20200108,511,76,Revenue,Sales Revenue,4378.09
288,FIN-000288,20210805,331,67,Expense,Payroll,5648.36
289,FIN-000289,20210211,530,39,Expense,Payroll,3560.4
290,FIN-000290,20251101,461,60,Expense,Utilities,10217.19
291,FIN-000291,20220319,588,15,Revenue,Sales Revenue,5781.07
292,FIN-000292,20210804,116,58,Cost,Maintenance,3553.78
293,FIN-000293,20240421,420,76,Expense,Operating Expense,1742.41
294,FIN-000294,20220801,25,18,Revenue,Sales Revenue,5707.2
295,FIN-000295,20190608,230,96,Expense,Operating Expense,3039.9
296,FIN-000296,20231213,642,26,Expense,Payroll,10141.51
297,FIN-000297,20210416,452,13,Revenue,Sales Revenue,5340.12
298,FIN-000298,20200924,282,33,Expense,Utilities,3796.92
299,FIN-000299,20210428,247,6,Expense,Utilities,3549.38
300,FIN-000300,20200825,640,31,Cost,Maintenance,1970.23
301,FIN-000301,20211022,510,70,Expense,Utilities,1594.57
302,FIN-000302,20250728,482,28,Revenue,Sales Revenue,4036.83
303,FIN-000303,20190615,477,69,Expense,Operating Expense,518.05
304,FIN-000304,20240228,96,26,Expense,Utilities,4556.19
305,FIN-000305,20240207,793,37,Revenue,Sales Revenue,10154.78
306,FIN-000306,20200719,481,7,Cost,Materials,5163.43
307,FIN-000307,20220515,4,12,Expense,Payroll,819.76
308,FIN-000308,20210212,71,43,Cost,Materials,3064.3
309,FIN-000309,20230326,863,5,Cost,Maintenance,8732.77
310,FIN-000310,20201212,357,31,Expense,Operating Expense,1103.64
311,FIN-000311,20210210,132,67,Revenue,Sales Revenue,7113.69
312,FIN-000312,20200604,437,73,Expense,Payroll,9942.54
313,FIN-000313,20190501,226,16,Cost,Maintenance,12825.83
314,FIN-000314,20191225,819,74,Revenue,Sales Revenue,15078.87
315,FIN-000315,20240421,420,41,Revenue,Sales Revenue,4103.29
316,FIN-000316,20220102,692,52,Cost,Maintenance,1842.25
317,FIN-000317,20200610,464,68,Expense,Payroll,2961.13
318,FIN-000318,20210418,189,31,Expense,Operating Expense,1487.37
319,FIN-000319,20210604,135,30,Cost,Maintenance,1283.97
320,FIN-000320,20241126,498,18,Revenue,Sales Revenue,3543.55
321,FIN-000321,20210116,806,7,Expense,Operating Expense,3598.37
322,FIN-000322,20210428,289,90,Revenue,Sales Revenue,4991.26
323,FIN-000323,20240217,452,64,Revenue,Sales Revenue,4384.68
324,FIN-000324,20201220,667,50,Expense,Payroll,3419.94
325,FIN-000325,20240602,700,72,Expense,Utilities,2429.0
326,FIN-000326,20250810,783,17,Expense,Payroll,3222.15
327,FIN-000327,20190717,945,2,Cost,Maintenance,2493.75
328,FIN-000328,20210122,862,13,Revenue,Sales Revenue,1806.71
329,FIN-000329,20210716,307,19,Cost,Materials,3613.66
330,FIN-000330,20241124,543,7,Cost,Materials,6129.79
331,FIN-000331,20200722,746,70,Revenue,Sales Revenue,2666.76
332,FIN-000332,20221111,8,42,Expense,Utilities,2041.61
333,FIN-000333,20240915,430,85,Expense,Utilities,825.18
334,FIN-000334,20211002,271,22,Expense,Payroll,822.2
335,FIN-000335,20231228,115,34,Cost,Materials,2539.8
336,FIN-000336,20200527,137,85,Expense,Utilities,2211.93
337,FIN-000337,20201219,538,87,Revenue,Sales Revenue,1143.05
338,FIN-000338,20220527,213,31,Cost,Materials,904.85
339,FIN-000339,20200408,764,30,Expense,Payroll,1816.25
340,FIN-000340,20230719,161,42,Expense,Operating Expense,3468.7
341,FIN-000341,20241218,999,41,Revenue,Sales Revenue,9887.25
342,FIN-000342,20220721,242,88,Revenue,Sales Revenue,1714.77
343,FIN-000343,20240203,968,96,Cost,Maintenance,1844.27
344,FIN-000344,20230309,960,75,Cost,Materials,2583.57
345,FIN-000345,20220619,855,34,Revenue,Sales Revenue,12489.99
346,FIN-000346,20200628,569,45,Revenue,Sales Revenue,1634.81
347,FIN-000347,20241206,837,34,Cost,Materials,2778.11
348,FIN-000348,20220101,75,9,Revenue,Sales Revenue,3808.58
349,FIN-000349,20250123,178,61,Cost,Maintenance,451.43
350,FIN-000350,20210625,654,87,Expense,Payroll,3992.09
351,FIN-000351,20240322,697,31,Revenue,Sales Revenue,21405.52
352,FIN-000352,20191230,63,42,Expense,Utilities,5448.79
353,FIN-000353,20240608,95,14,Expense,Operating Expense,5290.14
354,FIN-000354,20210510,215,80,Cost,Maintenance,3787.91
355,FIN-000355,20210318,935,52,Cost,Maintenance,3295.6
356,FIN-000356,20200207,515,73,Cost,Materials,982.14
357,FIN-000357,20251201,989,18,Expense,Utilities,9788.97
358,FIN-000358,20231122,542,55,Cost,Maintenance,4329.25
359,FIN-000359,20230806,403,58,Cost,Maintenance,2275.06
360,FIN-000360,20211127,309,95,Cost,Materials,5742.94
361,FIN-000361,20240811,788,59,Cost,Maintenance,2427.98
362,FIN-000362,20190206,262,28,Expense,Payroll,8843.91
363,FIN-000363,20240526,881,83,Expense,Payroll,2006.24
364,FIN-000364,20250227,484,31,Expense,Operating Expense,3323.8
365,FIN-000365,20220405,755,8,Expense,Utilities,539.22
366,FIN-000366,20240504,648,50,Expense,Utilities,1131.38
367,FIN-000367,20251011,172,4,Revenue,Sales Revenue,2455.73
368,FIN-000368,20230709,611,70,Revenue,Sales Revenue,2163.17
369,FIN-000369,20190719,500,52,Revenue,Sales Revenue,10196.72
370,FIN-000370,20220110,109,7,Cost,Maintenance,1199.86
371,FIN-000371,20220906,334,35,Revenue,Sales Revenue,7237.02
372,FIN-000372,20210417,330,9,Expense,Utilities,462.83
373,FIN-000373,20190706,970,97,Expense,Payroll,1647.2
374,FIN-000374,20221207,27,37,Cost,Maintenance,1761.29
375,FIN-000375,20210624,445,46,Revenue,Sales Revenue,6751.91
376,FIN-000376,20191019,802,11,Cost,Materials,5043.59
377,FIN-000377,20200926,431,16,Cost,Maintenance,4851.19
378,FIN-000378,20200221,774,62,Revenue,Sales Revenue,3564.16
379,FIN-000379,20201230,483,57,Revenue,Sales Revenue,3104.43
380,FIN-000380,20221020,94,38,Revenue,Sales Revenue,11041.36
381,FIN-000381,20200124,596,59,Revenue,Sales Revenue,6525.14
382,FIN-000382,20211002,303,28,Cost,Materials,2994.21
383,FIN-000383,20200928,850,60,Cost,Maintenance,723.83
384,FIN-000384,20220905,644,69,Revenue,Sales Revenue,20516.68
385,FIN-000385,20210122,581,39,Cost,Materials,2454.9
386,FIN-000386,20190610,764,41,Revenue,Sales Revenue,6698.31
387,FIN-000387,20220805,161,33,Cost,Maintenance,3761.72
388,FIN-000388,20241009,192,62,Expense,Utilities,8974.49
389,FIN-000389,20230725,426,31,Expense,Payroll,783.12
390,FIN-000390,20240126,311,47,Expense,Payroll,3174.16
391,FIN-000391,20230327,120,49,Expense,Payroll,2116.42
392,FIN-000392,20190419,707,5,Expense,Payroll,3267.02
393,FIN-000393,20231023,856,33,Cost,Maintenance,2433.22
394,FIN-000394,20210603,473,26,Revenue,Sales Revenue,1480.33
395,FIN-000395,20251021,763,28,Cost,Materials,10627.77
396,FIN-000396,20190510,989,69,Revenue,Sales Revenue,2448.0
397,FIN-000397,20200601,272,88,Cost,Materials,2778.4
398,FIN-000398,20220510,983,10,Expense,Payroll,2296.3
399,FIN-000399,20221120,809,35,Cost,Materials,7133.68
400,FIN-000400,20230420,300,4,Cost,Materials,3874.62
401,FIN-000401,20241031,762,75,Expense,Utilities,2918.71
402,FIN-000402,20190824,83,93,Expense,Operating Expense,3705.04
403,FIN-000403,20220731,102,45,Expense,Payroll,1705.66
404,FIN-000404,20241001,287,41,Revenue,Sales Revenue,10884.7
405,FIN-000405,20250628,678,66,Expense,Utilities,4973.67
406,FIN-000406,20220612,690,63,Expense,Operating Expense,3337.25
407,FIN-000407,20230626,979,18,Cost,Materials,2261.62
408,FIN-000408,20220607,791,82,Cost,Maintenance,408.38
409,FIN-000409,20250615,975,11,Expense,Operating Expense,3602.02
410,FIN-000410,20250101,645,65,Cost,Materials,3303.86
411,FIN-000411,20221105,433,16,Revenue,Sales Revenue,7488.48
412,FIN-000412,20240806,477,10,Cost,Maintenance,5991.61
413,FIN-000413,20231214,148,50,Cost,Maintenance,2070.56
414,FIN-000414,20210922,372,4,Revenue,Sales Revenue,6050.8
415,FIN-000415,20190919,217,59,Revenue,Sales Revenue,2612.74
416,FIN-000416,20211207,506,2,Expense,Payroll,2739.43
417,FIN-000417,20211126,403,79,Cost,Maintenance,2847.99
418,FIN-000418,20230921,276,75,Cost,Materials,7065.04
419,FIN-000419,20191001,551,83,Revenue,Sales Revenue,4677.14
420,FIN-000420,20221122,707,79,Expense,Payroll,2893.98
421,FIN-000421,20190405,833,100,Cost,Maintenance,3053.81
422,FIN-000422,20200427,436,85,Cost,Materials,2104.72
423,FIN-000423,20220728,368,47,Expense,Operating Expense,1023.91
424,FIN-000424,20220504,732,51,Cost,Materials,4391.49
425,FIN-000425,20230521,97,48,Expense,Operating Expense,3951.98
426,FIN-000426,20251009,657,96,Revenue,Sales Revenue,34689.21
427,FIN-000427,20240316,962,84,Expense,Payroll,3132.35
