budget_key,budget_id,date_key,account_key,location_key,budget_category,budget_amount
141,BUD-000141,20251228,769,23,Utilities,377213.53
142,BUD-000142,20190217,137,31,Payroll,494488.84
143,BUD-000143,20221118,558,11,Operations,331110.12
144,BUD-000144,20191127,49,35,Revenue,269259.75
145,BUD-000145,20201001,761,33,Operations,278283.77
146,BUD-000146,20240418,652,85,Operations,26475.66
147,BUD-000147,20230913,407,88,Operations,51043.16
148,BUD-000148,20190209,205,97,Payroll,379496.42
149,BUD-000149,20200603,698,25,Payroll,453728.77
150,BUD-000150,20221221,551,96,Utilities,348805.86
151,BUD-000151,20220517,441,28,Maintenance,494548.12
152,BUD-000152,20210721,538,76,Utilities,405415.98
153,BUD-000153,20230116,949,86,Maintenance,150884.42
154,BUD-000154,20251009,39,81,Payroll,268317.98
155,BUD-000155,20250407,863,84,Operations,72015.64
156,BUD-000156,20190921,568,9,Utilities,106450.81
157,BUD-000157,20221117,53,82,Payroll,175404.97
158,BUD-000158,20200319,203,97,Maintenance,473485.61
159,BUD-000159,20210510,672,15,Revenue,222568.81
160,BUD-000160,20230920,494,50,Maintenance,194154.83
161,BUD-000161,20200222,639,74,Operations,322146.27
162,BUD-000162,20220620,146,47,Operations,253721.48
163,BUD-000163,20230711,847,21,Maintenance,284228.54
164,BUD-000164,20210521,843,93,Payroll,226991.9
165,BUD-000165,20240103,1000,13,Operations,389229.55
166,BUD-000166,20231205,328,74,Maintenance,271837.79
167,BUD-000167,20240210,86,2,Maintenance,176626.27
168,BUD-000168,20210808,730,27,Maintenance,208697.54
169,BUD-000169,20240527,501,26,Revenue,214271.81
170,BUD-000170,20230514,258,79,Operations,131000.16
171,BUD-000171,20200823,916,69,Operations,320598.85
172,BUD-000172,20240824,365,32,Maintenance,302459.14
173,BUD-000173,20190727,866,100,Payroll,267276.5
174,BUD-000174,20220909,870,11,Payroll,479560.82
175,BUD-000175,20220612,644,91,Payroll,385601.09
176,BUD-000176,20220421,291,88,Operations,484086.74
177,BUD-000177,20200210,651,59,Operations,213895.91
178,BUD-000178,20240204,535,74,Revenue,421147.84
179,BUD-000179,20221229,2,60,Utilities,412682.65
180,BUD-000180,20190802,580,76,Payroll,452771.42
181,BUD-000181,20221109,53,15,Utilities,280404.84
182,BUD-000182,20210828,462,19,Payroll,293034.97
183,BUD-000183,20220329,223,83,Revenue,173298.36
184,BUD-000184,20240911,629,71,Utilities,167673.51
185,BUD-000185,20200817,870,10,Operations,397106.73
186,BUD-000186,20190425,559,67,Maintenance,336574.4
187,BUD-000187,20210208,514,72,Utilities,28912.93
188,BUD-000188,20230809,949,7,Operations,392352.0
189,BUD-000189,20250424,652,67,Revenue,469925.45
190,BUD-000190,20200210,866,78,Payroll,411040.07
191,BUD-000191,20210519,296,41,Revenue,393517.5
192,BUD-000192,20220809,963,82,Payroll,382762.94
193,BUD-000193,20240504,310,61,Revenue,198919.75
194,BUD-000194,20241130,220,79,Payroll,380442.24
195,BUD-000195,20190327,645,57,Revenue,240750.94
196,BUD-000196,20250413,39,68,Revenue,394267.64
197,BUD-000197,20200312,982,59,Utilities,264294.36
198,BUD-000198,20201022,66,14,Payroll,427688.99
199,BUD-000199,20250729,437,24,Operations,197812.72
200,BUD-000200,20250626,467,90,Revenue,96492.39
201,BUD-000201,20240322,662,46,Revenue,216813.93
202,BUD-000202,20211103,577,97,Revenue,172649.72
203,BUD-000203,20240415,102,58,Utilities,32038.78
204,BUD-000204,20250411,997,97,Operations,487441.78
205,BUD-000205,20221118,193,65,Revenue,222454.8
206,BUD-000206,20220307,981,66,Revenue,344890.23
207,BUD-000207,20190916,990,76,Operations,134078.74
208,BUD-000208,20230601,978,82,Revenue,91254.45
209,BUD-000209,20200624,242,92,Payroll,209360.2
210,BUD-000210,20200905,594,50,Payroll,378724.23
211,BUD-000211,20240504,960,45,Revenue,239329.56
212,BUD-000212,20190109,577,86,Revenue,408022.02
213,BUD-000213,20231024,967,25,Utilities,71565.01
214,BUD-000214,20210819,499,52,Payroll,381295.63
215,BUD-000215,20241021,178,12,Utilities,410363.83
216,BUD-000216,20240211,993,80,Payroll,293242.02
217,BUD-000217,20201001,170,59,Payroll,289588.11
218,BUD-000218,20240523,619,60,Payroll,444918.29
219,BUD-000219,20190121,484,42,Maintenance,55317.41
220,BUD-000220,20200603,940,72,Maintenance,160358.41
221,BUD-000221,20200618,462,100,Operations,480336.53
222,BUD-000222,20250705,259,57,Payroll,234207.23
223,BUD-000223,20220823,566,96,Revenue,224460.45
224,BUD-000224,20200808,169,65,Maintenance,162250.41
225,BUD-000225,20230123,516,36,Revenue,275615.49
226,BUD-000226,20250929,150,44,Payroll,416100.4
227,BUD-000227,20230413,379,20,Payroll,307231.49
228,BUD-000228,20221201,376,73,Maintenance,217121.38
229,BUD-000229,20190331,249,48,Maintenance,54236.14
230,BUD-000230,20230921,789,65,Maintenance,103653.61
231,BUD-000231,20200916,362,74,Maintenance,128168.41
232,BUD-000232,20240526,246,99,Payroll,307568.6
233,BUD-000233,20230129,955,10,Revenue,58811.13
234,BUD-000234,20200512,232,76,Utilities,274134.64
235,BUD-000235,20210322,85,82,Operations,314874.39
236,BUD-000236,20240330,15,58,Payroll,300928.89
237,BUD-000237,20211222,503,13,Maintenance,459488.19
238,BUD-000238,20241125,431,88,Revenue,239026.39
239,BUD-000239,20210226,577,2,Revenue,178689.73
240,BUD-000240,20221012,440,12,Payroll,229839.6
241,BUD-000241,20200526,714,23,Payroll,34545.92
242,BUD-000242,20190416,24,16,Operations,168214.91
243,BUD-000243,20210225,697,73,Revenue,476581.63
244,BUD-000244,20220611,877,5,Maintenance,264904.35
245,BUD-000245,20221029,140,27,Utilities,254365.38
246,BUD-000246,20250419,617,62,Payroll,31606.56
247,BUD-000247,20250320,272,18,Operations,116702.64
248,BUD-000248,20250712,547,41,Revenue,258353.68
249,BUD-000249,20210615,734,63,Maintenance,335767.49
250,BUD-000250,20210523,882,45,Operations,429820.74
251,BUD-000251,20250726,396,10,Revenue,333872.29
252,BUD-000252,20231209,203,49,Utilities,477511.77
253,BUD-000253,20240409,121,38,Revenue,38783.39
254,BUD-000254,20250513,856,72,Payroll,42003.63
255,BUD-000255,20200720,79,99,Operations,443845.45
256,BUD-000256,20250725,159,68,Maintenance,224794.92
257,BUD-000257,20240918,521,16,Operations,23025.9
258,BUD-000258,20240908,421,64,Utilities,348568.36
259,BUD-000259,20210109,83,39,Utilities,111845.58
260,BUD-000260,20210524,546,70,Utilities,454973.13
261,BUD-000261,20210806,305,22,Maintenance,403955.36
262,BUD-000262,20210614,391,54,Utilities,29087.68
263,BUD-000263,20230729,299,37,Maintenance,254670.48
264,BUD-000264,20210610,454,25,Utilities,303358.8
265,BUD-000265,20240718,528,51,Maintenance,93647.98
266,BUD-000266,20230415,383,56,Maintenance,338838.93
267,BUD-000267,20190520,363,58,Maintenance,141968.06
268,BUD-000268,20251122,603,52,Utilities,458663.26
269,BUD-000269,20200131,29,36,Payroll,79259.17
270,BUD-000270,20210408,319,66,Utilities,459209.68
271,BUD-000271,20251010,390,20,Maintenance,301757.06
272,BUD-000272,20201019,137,25,Operations,86349.6
273,BUD-000273,20230426,657,27,Payroll,267619.65
274,BUD-000274,20251113,222,7,Payroll,303797.43
275,BUD-000275,20240724,247,40,Revenue,14035.83
276,BUD-000276,20250830,381,4,Maintenance,254817.27
277,BUD-000277,20230102,146,51,Utilities,284058.36
278,BUD-000278,20241215,130,66,Utilities,27544.47
279,BUD-000279,20251004,145,68,Maintenance,60429.92
280,BUD-000280,20210518,100,47,Utilities,297486.38
281,BUD-000281,20190818,800,37,Payroll,84021.17
282,BUD-000282,20240509,444,63,Operations,262079.99
283,BUD-000283,20210711,617,72,Revenue,379192.78
284,BUD-000284,20251215,515,72,Payroll,164087.95
285,BUD-000285,20231114,282,62,Operations,341155.02
286,BUD-000286,20190909,58,62,Payroll,412190.18
287,BUD-000287,20230510,450,79,Utilities,491472.72
288,BUD-000288,20201017,341,40,Payroll,54661.46
289,BUD-000289,20251230,133,13,Payroll,151843.84
290,BUD-000290,20221009,172,30,Revenue,478701.02
291,BUD-000291,20191107,608,95,Payroll,244653.65
292,BUD-000292,20200801,33,47,Utilities,250923.29
293,BUD-000293,20220625,629,72,Payroll,190053.36
294,BUD-000294,20211220,756,33,Revenue,25960.52
295,BUD-000295,20241121,289,63,Maintenance,70768.65
296,BUD-000296,20210118,862,14,Payroll,174396.88
297,BUD-000297,20221016,982,2,Revenue,201206.75
298,BUD-000298,20220205,810,29,Utilities,60008.74
299,BUD-000299,20250812,484,97,Payroll,149751.58
300,BUD-000300,20251229,434,56,Payroll,59607.62
301,BUD-000301,20220429,216,9,Operations,141382.66
302,BUD-000302,20251012,435,54,Operations,496569.95
303,BUD-000303,20200813,739,83,Revenue,158463.17
304,BUD-000304,20231205,250,6,Utilities,67937.93
305,BUD-000305,20251114,937,52,Operations,463628.59
306,BUD-000306,20221011,496,48,Operations,384159.74
307,BUD-000307,20191113,784,49,Utilities,80196.48
308,BUD-000308,20220601,395,10,Utilities,355127.64
309,BUD-000309,20220904,414,55,Operations,343712.68
310,BUD-000310,20190123,688,8,Payroll,132246.56
311,BUD-000311,20190212,749,12,Maintenance,194904.33
312,BUD-000312,20200707,21,32,Operations,341430.1
313,BUD-000313,20220123,911,89,Revenue,219438.06
314,BUD-000314,20200619,397,82,Payroll,324246.3
315,BUD-000315,20240621,419,14,Operations,327093.88
316,BUD-000316,20191228,721,89,Utilities,124396.23
317,BUD-000317,20250629,782,93,Utilities,24598.93
318,BUD-000318,20220512,871,33,Operations,15047.36
319,BUD-000319,20210109,915,55,Maintenance,326849.1
320,BUD-000320,20200816,694,98,Payroll,311040.37
321,BUD-000321,20190115,312,50,Maintenance,275052.05
322,BUD-000322,20250303,94,69,Revenue,419950.09
323,BUD-000323,20250106,863,89,Payroll,223160.68
324,BUD-000324,20200421,494,12,Revenue,160118.45
325,BUD-000325,20230302,69,74,Revenue,232543.11
326,BUD-000326,20230226,881,15,Revenue,273922.35
327,BUD-000327,20240226,146,15,Operations,482066.53
328,BUD-000328,20190716,687,44,Utilities,111541.96
329,BUD-000329,20200816,336,20,Utilities,499625.34
330,BUD-000330,20230717,482,15,Revenue,37803.84
331,BUD-000331,20240418,887,14,Operations,175572.46
332,BUD-000332,20251123,185,42,Operations,227747.47
333,BUD-000333,20200416,127,55,Operations,253244.6
334,BUD-000334,20241114,110,5,Utilities,326888.71
335,BUD-000335,20230413,1,25,Utilities,201903.31
336,BUD-000336,20200806,350,52,Payroll,401761.34
337,BUD-000337,20191128,414,98,Revenue,336291.27
338,BUD-000338,20200419,893,30,Operations,415970.96
339,BUD-000339,20230220,807,49,Maintenance,309420.23
340,BUD-000340,20201201,595,47,Maintenance,184181.79
341,BUD-000341,20220111,805,46,Payroll,376014.21
342,BUD-000342,20191026,227,16,Operations,135963.38
343,BUD-000343,20210405,558,92,Utilities,221651.1
344,BUD-000344,20190708,757,10,Operations,319674.33
345,BUD-000345,20200309,991,99,Revenue,314209.78
346,BUD-000346,20231217,274,99,Revenue,300414.9
347,BUD-000347,20240618,849,92,Maintenance,393978.26
348,BUD-000348,20201209,347,99,Revenue,380236.34
349,BUD-000349,20200501,872,41,Payroll,255775.75
350,BUD-000350,20230101,258,81,Utilities,210756.02
351,BUD-000351,20200724,735,31,Utilities,122070.56
352,BUD-000352,20220418,37,45,Maintenance,320197.65
353,BUD-000353,20210906,975,67,Revenue,335401.31
354,BUD-000354,20240518,391,39,Operations,216452.52
355,BUD-000355,20210801,108,24,Payroll,395143.88
356,BUD-000356,20190804,616,44,Payroll,355996.35
357,BUD-000357,20220515,133,4,Payroll,447062.58
358,BUD-000358,20230817,447,13,Payroll,47083.76
359,BUD-000359,20210401,430,97,Payroll,426289.03
360,BUD-000360,20190101,181,65,Utilities,288798.34
361,BUD-000361,20230420,375,30,Maintenance,165175.15
362,BUD-000362,20220130,992,34,Utilities,53778.97
363,BUD-000363,20230131,619,28,Payroll,366534.25
364,BUD-000364,20230912,623,16,Revenue,52188.48
365,BUD-000365,20230221,784,65,Maintenance,137038.78
366,BUD-000366,20210703,616,21,Payroll,257658.79
367,BUD-000367,20201019,844,57,Operations,359395.11
368,BUD-000368,20250121,701,90,Revenue,477872.47
369,BUD-000369,20211109,227,64,Maintenance,13286.27
370,BUD-000370,20210826,761,72,Payroll,130845.62
371,BUD-000371,20190716,425,4,Revenue,365755.86
372,BUD-000372,20231001,681,75,Revenue,388239.28
373,BUD-000373,20190212,92,8,Maintenance,329862.77
374,BUD-000374,20250112,831,10,Utilities,460152.12
375,BUD-000375,20220309,566,69,Revenue,285399.31
376,BUD-000376,20220702,832,31,Payroll,119186.56
377,BUD-000377,20220126,602,78,Operations,392758.03
378,BUD-000378,20240407,578,54,Maintenance,20261.36
379,BUD-000379,20231227,753,18,Utilities,71395.17
380,BUD-000380,20210706,239,17,Revenue,329524.16
381,BUD-000381,20231115,740,97,Operations,358176.16
382,BUD-000382,20210925,615,47,Maintenance,32072.59
383,BUD-000383,20230218,421,84,Utilities,292859.35
384,BUD-000384,20250510,407,90,Utilities,190771.06
385,BUD-000385,20190430,420,78,Maintenance,93898.21
386,BUD-000386,20240702,148,44,Operations,126299.25
387,BUD-000387,20220408,217,8,Operations,370867.82
388,BUD-000388,20231023,764,24,Payroll,327414.79
389,BUD-000389,20190819,513,63,Maintenance,361917.57
390,BUD-000390,20190508,721,97,Revenue,422632.04
391,BUD-000391,20190224,773,89,Revenue,10486.37
392,BUD-000392,20251123,15,75,Revenue,238591.14
393,BUD-000393,20251212,218,8,Revenue,48340.33
394,BUD-000394,20210115,180,74,Operations,430295.25
395,BUD-000395,20250611,801,85,Operations,55954.76
396,BUD-000396,20190307,84,23,Revenue,427278.88
397,BUD-000397,20200815,361,24,Revenue,310379.31
398,BUD-000398,20210925,448,88,Payroll,272411.6
399,BUD-000399,20201014,143,98,Payroll,409998.06
400,BUD-000400,20210428,572,61,Utilities,250853.18
401,BUD-000401,20230131,652,16,Payroll,152877.8
402,BUD-000402,20210514,459,48,Payroll,268282.96
403,BUD-000403,20241027,1,41,Maintenance,301541.74
404,BUD-000404,20250305,989,88,Maintenance,315452.67
405,BUD-000405,20211016,742,52,Maintenance,465111.88
406,BUD-000406,20241204,853,74,Payroll,109147.32
407,BUD-000407,20190322,837,61,Payroll,87059.87
408,BUD-000408,20190929,264,17,Revenue,422443.22
409,BUD-000409,20230609,219,8,Revenue,58022.91
410,BUD-000410,20190125,258,81,Maintenance,431767.37
411,BUD-000411,20230301,16,90,Maintenance,160041.97
412,BUD-000412,20231203,812,68,Maintenance,343914.03
413,BUD-000413,20211003,128,55,Payroll,128771.51
414,BUD-000414,20210410,327,76,Operations,418054.16
415,BUD-000415,20250913,374,77,Payroll,215722.2
416,BUD-000416,20200924,861,63,Maintenance,495404.93
417,BUD-000417,20210126,81,44,Utilities,192355.36
418,BUD-000418,20190915,747,87,Utilities,433869.4
419,BUD-000419,20230717,848,64,Utilities,498324.03
420,BUD-000420,20230411,721,86,Maintenance,194489.01
421,BUD-000421,20250118,566,53,Utilities,148541.96
422,BUD-000422,20200122,176,95,Payroll,342088.51
423,BUD-000423,20190723,916,38,Operations,52358.29
424,BUD-000424,20251201,910,89,Maintenance,409389.53
425,BUD-000425,20220522,935,13,Maintenance,262997.52
426,BUD-000426,20210920,148,40,Payroll,243867.22
427,BUD-000427,20240228,987,21,Operations,335635.6
428,BUD-000428,20240912,93,53,Revenue,104497.63
429,BUD-000429,20190709,889,46,Operations,412214.75
430,BUD-000430,20250711,565,23,Utilities,277662.0
431,BUD-000431,20240618,963,25,Operations,88529.94
432,BUD-000432,20231103,475,58,Maintenance,178379.55
433,BUD-000433,20200831,190,94,Utilities,25765.24
434,BUD-000434,20210822,343,82,Payroll,67043.83
435,BUD-000435,20221118,685,11,Operations,119472.2
436,BUD-000436,20240520,761,34,Operations,129975.37
437,BUD-000437,20190417,740,8,Revenue,345466.46
438,BUD-000438,20250211,641,66,Revenue,358473.39
439,BUD-000439,20231112,2,40,Maintenance,368017.07
440,BUD-000440,20230425,491,2,Operations,371419.44
441,BUD-000441,20190713,402,28,Revenue,488183.81
442,BUD-000442,20230817,924,72,Utilities,380723.65
443,BUD-000443,20221021,170,7,Maintenance,46530.19
444,BUD-000444,20241102,177,95,Operations,465482.45
445,BUD-000445,20240229,434,29,Payroll,496408.82
446,BUD-000446,20200928,824,88,Revenue,14208.68
447,BUD-000447,20220623,2,14,Payroll,447110.43
448,BUD-000448,20251104,536,28,Operations,61696.1
449,BUD-000449,20230908,903,32,Revenue,481998.67
450,BUD-000450,20220607,857,2,Payroll,282835.04
451,BUD-000451,20240527,452,45,Payroll,40020.74
452,BUD-000452,20230318,709,43,Payroll,236878.64
453,BUD-000453,20220621,287,86,Utilities,478101.11
454,BUD-000454,20250830,563,15,Operations,124178.02
455,BUD-000455,20221003,421,42,Maintenance,45863.92
456,BUD-000456,20210120,295,5,Payroll,379212.72
457,BUD-000457,20231004,267,27,Operations,243716.16
458,BUD-000458,20251028,614,56,Maintenance,360339.7
459,BUD-000459,20240128,625,6,Maintenance,156977.4
460,BUD-000460,20211017,518,75,Maintenance,338702.39
461,BUD-000461,20241117,878,54,Maintenance,54169.97
462,BUD-000462,20230704,6,20,Payroll,11347.57
463,BUD-000463,20200614,594,19,Revenue,344063.98
464,BUD-000464,20230226,19,71,Operations,153353.82
465,BUD-000465,20230321,300,94,Payroll,295093.98
466,BUD-000466,20231022,967,43,Payroll,64958.5
467,BUD-000467,20190327,788,46,Payroll,434167.15
468,BUD-000468,20220409,324,3,Revenue,342925.84
469,BUD-000469,20240605,578,51,Utilities,84733.42
470,BUD-000470,20251105,545,31,Maintenance,89132.29
471,BUD-000471,20190113,47,66,Payroll,86546.46
472,BUD-000472,20201230,445,93,Revenue,226373.6
473,BUD-000473,20240518,691,2,Operations,314925.83
474,BUD-000474,20191019,839,98,Revenue,420982.98
475,BUD-000475,20190902,141,12,Maintenance,207727.17
476,BUD-000476,20231128,416,51,Operations,456584.17
477,BUD-000477,20240906,786,1,Payroll,330674.69
478,BUD-000478,20200615,529,85,Operations,190888.73
479,BUD-000479,20220419,281,95,Revenue,268401.81
480,BUD-000480,20190617,267,42,Payroll,95144.47
481,BUD-000481,20230131,178,81,Maintenance,18638.98
482,BUD-000482,20220128,617,8,Payroll,16093.02
483,BUD-000483,20231022,827,44,Payroll,360720.55
484,BUD-000484,20230610,846,54,Revenue,488943.3
485,BUD-000485,20220713,491,22,Operations,301900.11
486,BUD-000486,20200526,709,9,Operations,212026.43
487,BUD-000487,20221227,867,65,Operations,284061.63
488,BUD-000488,20221102,782,82,Payroll,187507.01
489,BUD-000489,20210903,427,28,Utilities,206959.29
490,BUD-000490,20210902,310,87,Payroll,57668.1
491,BUD-000491,20221217,455,67,Payroll,312422.04
492,BUD-000492,20200314,317,11,Revenue,241234.7
493,BUD-000493,20231026,463,3,Maintenance,424392.51
494,BUD-000494,20201111,450,59,Operations,469415.49
495,BUD-000495,20240729,898,57,Operations,285354.95
496,BUD-000496,20211227,618,73,Operations,268384.89
497,BUD-000497,20250127,5,75,Payroll,179664.08
498,BUD-000498,20220124,212,33,Revenue,87447.17
499,BUD-000499,20240303,985,82,Revenue,132514.95
500,BUD-000500,20210114,185,51,Maintenance,144106.07
501,BUD-000501,20230607,483,58,Maintenance,373484.01
502,BUD-000502,20190114,849,96,Payroll,377217.39
503,BUD-000503,20191015,622,39,Utilities,438551.37
504,BUD-000504,20240109,868,88,Maintenance,303913.27
505,BUD-000505,20211222,81,7,Utilities,338794.68
506,BUD-000506,20201026,785,19,Revenue,343781.25
507,BUD-000507,20240119,753,17,Operations,377742.74
508,BUD-000508,20230422,827,56,Revenue,59931.8
509,BUD-000509,20240407,547,64,Operations,409235.31
510,BUD-000510,20230824,35,84,Maintenance,26805.95
511,BUD-000511,20220223,532,51,Maintenance,106102.28
512,BUD-000512,20200326,13,5,Maintenance,396083.86
513,BUD-000513,20201015,592,42,Maintenance,170143.8
514,BUD-000514,20241228,63,80,Maintenance,72685.85
515,BUD-000515,20200324,711,45,Payroll,427344.6
516,BUD-000516,20191106,631,8,Maintenance,476190.68
