energy_key,energy_id,date_key,location_key,machine_key,energy_source,unit_of_measure,energy_consumption
43,ENG-000043,20190424,93,606,Natural Gas,kWh,9271.703
44,ENG-000044,20230327,91,1538,Natural Gas,kWh,4245.648
45,ENG-000045,20200627,71,1935,Diesel,kWh,6862.703
46,ENG-000046,20201129,53,1229,Diesel,kWh,8913.509
47,ENG-000047,20251119,76,866,Diesel,kWh,4847.768
48,ENG-000048,20190218,63,1275,Natural Gas,kWh,5039.526
49,ENG-000049,20230712,2,275,Electricity,kWh,6937.183
50,ENG-000050,20221115,60,1496,Electricity,kWh,5476.749
51,ENG-000051,20220123,80,1355,Diesel,kWh,4712.16
52,ENG-000052,20201223,41,1662,Electricity,kWh,3234.024
53,ENG-000053,20250322,71,1695,Natural Gas,kWh,8761.01
54,ENG-000054,20231126,60,1496,Diesel,kWh,1590.141
55,ENG-000055,20201125,47,176,Natural Gas,kWh,514.848
56,ENG-000056,20231024,23,412,Diesel,kWh,9331.684
57,ENG-000057,20200217,16,120,Electricity,kWh,1782.539
58,ENG-000058,20250826,52,856,Diesel,kWh,8899.969
59,ENG-000059,20220125,9,1000,Diesel,kWh,4782.397
60,ENG-000060,20241022,98,488,Electricity,kWh,6100.257
61,ENG-000061,20230514,58,155,Natural Gas,kWh,7904.062
62,ENG-000062,20230224,44,165,Electricity,kWh,9926.19
63,ENG-000063,20240311,78,384,Natural Gas,kWh,9354.237
64,ENG-000064,20230419,52,825,Natural Gas,kWh,7011.53
65,ENG-000065,20250805,34,558,Natural Gas,kWh,4467.587
66,ENG-000066,20231216,22,641,Electricity,kWh,8793.129
67,ENG-000067,20220710,60,1416,Electricity,kWh,4615.673
68,ENG-000068,20210606,69,1044,Diesel,kWh,8495.738
69,ENG-000069,20190917,46,47,Electricity,kWh,7952.068
70,ENG-000070,20190904,17,751,Diesel,kWh,3132.84
71,ENG-000071,20211115,53,1759,Natural Gas,kWh,733.461
72,ENG-000072,20250126,39,255,Natural Gas,kWh,2352.156
73,ENG-000073,20230220,94,530,Diesel,kWh,5809.585
74,ENG-000074,20190111,17,1435,Electricity,kWh,8784.678
75,ENG-000075,20221103,7,1241,Natural Gas,kWh,827.542
76,ENG-000076,20250910,41,572,Natural Gas,kWh,8158.791
77,ENG-000077,20220327,7,70,Diesel,kWh,5932.694
78,ENG-000078,20190629,58,1061,Diesel,kWh,2736.041
79,ENG-000079,20250915,13,1174,Electricity,kWh,8792.435
80,ENG-000080,20210615,39,1960,Electricity,kWh,8487.111
81,ENG-000081,20190918,53,426,Natural Gas,kWh,9529.901
82,ENG-000082,20241110,83,1666,Natural Gas,kWh,1432.563
83,ENG-000083,20210424,1,1669,Natural Gas,kWh,1433.919
84,ENG-000084,20210510,96,1833,Electricity,kWh,7594.86
85,ENG-000085,20230529,5,1145,Electricity,kWh,9081.648
86,ENG-000086,20190930,83,1666,Natural Gas,kWh,4857.48
87,ENG-000087,20250915,27,694,Natural Gas,kWh,8605.036
88,ENG-000088,20200812,80,1309,Electricity,kWh,8082.21
89,ENG-000089,20230403,34,1729,Diesel,kWh,5063.464
90,ENG-000090,20210119,30,950,Electricity,kWh,5567.614
91,ENG-000091,20240426,5,1590,Electricity,kWh,7576.217
92,ENG-000092,20240109,67,232,Electricity,kWh,1911.926
93,ENG-000093,20200623,97,474,Diesel,kWh,8970.046
94,ENG-000094,20221130,94,1003,Diesel,kWh,4940.441
95,ENG-000095,20210318,28,1084,Electricity,kWh,8695.742
96,ENG-000096,20190607,67,684,Natural Gas,kWh,2856.667
97,ENG-000097,20231029,22,782,Electricity,kWh,7658.14
98,ENG-000098,20190219,20,644,Natural Gas,kWh,6387.525
99,ENG-000099,20240113,41,516,Electricity,kWh,7814.933
100,ENG-000100,20240928,71,946,Natural Gas,kWh,4350.689
101,ENG-000101,20220406,35,778,Electricity,kWh,4851.756
102,ENG-000102,20250521,69,33,Diesel,kWh,7034.429
103,ENG-000103,20211102,14,1013,Natural Gas,kWh,2509.188
104,ENG-000104,20250826,77,2000,Diesel,kWh,5508.741
105,ENG-000105,20220203,32,648,Electricity,kWh,8636.871
106,ENG-000106,20240515,99,901,Electricity,kWh,8033.826
107,ENG-000107,20250102,60,143,Electricity,kWh,164.151
108,ENG-000108,20200104,56,969,Natural Gas,kWh,2615.082
109,ENG-000109,20200729,42,380,Diesel,kWh,9626.879
110,ENG-000110,20250914,97,1916,Electricity,kWh,384.439
111,ENG-000111,20210301,73,1523,Electricity,kWh,3552.771
112,ENG-000112,20240728,90,1520,Natural Gas,kWh,3924.948
113,ENG-000113,20250411,93,592,Diesel,kWh,4839.151
114,ENG-000114,20190308,42,973,Electricity,kWh,5458.248
115,ENG-000115,20221027,22,1092,Natural Gas,kWh,1844.213
116,ENG-000116,20250618,3,947,Electricity,kWh,5202.578
117,ENG-000117,20200417,72,1378,Natural Gas,kWh,4880.888
118,ENG-000118,20190301,13,1403,Diesel,kWh,4684.878
119,ENG-000119,20200323,50,1152,Diesel,kWh,2666.28
120,ENG-000120,20190206,39,826,Diesel,kWh,2640.567
121,ENG-000121,20190506,25,1040,Diesel,kWh,7036.765
122,ENG-000122,20240821,51,776,Diesel,kWh,4846.508
123,ENG-000123,20191116,55,1039,Electricity,kWh,1164.446
124,ENG-000124,20200401,96,1176,Electricity,kWh,7570.882
125,ENG-000125,20210519,94,1027,Natural Gas,kWh,7484.179
126,ENG-000126,20201118,9,1238,Natural Gas,kWh,7407.564
127,ENG-000127,20250731,8,1106,Natural Gas,kWh,1402.008
128,ENG-000128,20200114,44,1843,Electricity,kWh,4291.1
129,ENG-000129,20250405,55,1941,Diesel,kWh,5301.422
130,ENG-000130,20251223,15,837,Electricity,kWh,3230.85
131,ENG-000131,20200104,36,1642,Diesel,kWh,5418.851
132,ENG-000132,20210126,15,837,Natural Gas,kWh,2174.639
133,ENG-000133,20221223,9,1644,Electricity,kWh,7603.98
134,ENG-000134,20220303,65,545,Natural Gas,kWh,2713.919
135,ENG-000135,20251209,74,569,Natural Gas,kWh,186.919
136,ENG-000136,20201118,100,1252,Diesel,kWh,5778.29
137,ENG-000137,20231017,23,1404,Diesel,kWh,2593.793
138,ENG-000138,20190322,11,1237,Natural Gas,kWh,4018.7
139,ENG-000139,20200330,63,77,Diesel,kWh,8213.162
140,ENG-000140,20190626,51,382,Natural Gas,kWh,7612.3
141,ENG-000141,20250614,57,378,Electricity,kWh,4348.457
142,ENG-000142,20230506,59,667,Electricity,kWh,6184.357
143,ENG-000143,20201028,72,1920,Natural Gas,kWh,7358.723
144,ENG-000144,20240716,52,1716,Natural Gas,kWh,602.011
145,ENG-000145,20240925,28,700,Diesel,kWh,7165.725
146,ENG-000146,20240313,43,1284,Electricity,kWh,8820.263
147,ENG-000147,20240601,96,1203,Natural Gas,kWh,6205.426
148,ENG-000148,20230326,25,578,Diesel,kWh,6186.52
149,ENG-000149,20211011,23,422,Electricity,kWh,9138.053
150,ENG-000150,20200217,5,267,Diesel,kWh,7329.38
151,ENG-000151,20190117,45,1457,Natural Gas,kWh,1481.858
152,ENG-000152,20250410,34,1729,Diesel,kWh,6958.312
153,ENG-000153,20190403,14,1164,Diesel,kWh,4382.488
154,ENG-000154,20190812,64,899,Electricity,kWh,7639.993
155,ENG-000155,20200206,32,1322,Natural Gas,kWh,5931.274
156,ENG-000156,20230612,13,1302,Natural Gas,kWh,8965.254
157,ENG-000157,20210901,8,1341,Electricity,kWh,1948.734
158,ENG-000158,20240106,75,299,Electricity,kWh,5222.867
159,ENG-000159,20230506,61,1699,Diesel,kWh,3024.177
160,ENG-000160,20231214,27,1868,Diesel,kWh,3903.06
161,ENG-000161,20241125,55,1289,Diesel,kWh,7529.083
162,ENG-000162,20211002,99,1559,Electricity,kWh,7038.543
163,ENG-000163,20250717,40,806,Diesel,kWh,4484.3
164,ENG-000164,20251014,91,1725,Electricity,kWh,5546.214
165,ENG-000165,20240802,63,1798,Electricity,kWh,7413.616
166,ENG-000166,20210925,68,511,Natural Gas,kWh,2601.22
167,ENG-000167,20190117,98,488,Electricity,kWh,9492.295
168,ENG-000168,20190716,68,75,Diesel,kWh,3552.989
169,ENG-000169,20250921,71,345,Electricity,kWh,1692.562
170,ENG-000170,20250814,35,193,Electricity,kWh,4287.048
171,ENG-000171,20220220,54,261,Natural Gas,kWh,8831.362
172,ENG-000172,20200625,31,503,Natural Gas,kWh,9760.188
173,ENG-000173,20220123,9,5,Electricity,kWh,9708.541
174,ENG-000174,20240103,60,393,Diesel,kWh,741.651
175,ENG-000175,20250601,57,499,Electricity,kWh,6819.424
176,ENG-000176,20240908,72,1274,Electricity,kWh,1799.911
177,ENG-000177,20191113,1,1108,Electricity,kWh,8613.086
178,ENG-000178,20210126,1,462,Diesel,kWh,8182.935
179,ENG-000179,20190223,48,352,Diesel,kWh,9695.04
180,ENG-000180,20251029,35,1999,Electricity,kWh,6928.779
181,ENG-000181,20230227,5,267,Diesel,kWh,9358.542
182,ENG-000182,20231014,72,98,Diesel,kWh,3894.686
184,ENG-000184,20211101,95,1976,Natural Gas,kWh,5256.607
185,ENG-000185,20200215,70,1673,Natural Gas,kWh,1413.05
186,ENG-000186,20210414,81,1732,Diesel,kWh,4093.839
187,ENG-000187,20210207,69,1044,Natural Gas,kWh,3924.535
188,ENG-000188,20220224,76,115,Diesel,kWh,2120.769
189,ENG-000189,20220821,62,1978,Diesel,kWh,248.903
190,ENG-000190,20190729,17,1248,Electricity,kWh,9661.695
191,ENG-000191,20191204,11,1691,Electricity,kWh,9452.055
192,ENG-000192,20191007,23,208,Electricity,kWh,4126.098
193,ENG-000193,20201208,67,535,Diesel,kWh,9663.66
194,ENG-000194,20190603,69,1714,Natural Gas,kWh,2208.989
195,ENG-000195,20230728,73,1897,Electricity,kWh,8934.41
196,ENG-000196,20200403,98,1656,Natural Gas,kWh,4376.06
197,ENG-000197,20241205,28,1446,Natural Gas,kWh,5159.516
198,ENG-000198,20221001,54,1139,Diesel,kWh,3241.679
199,ENG-000199,20221023,41,32,Electricity,kWh,7398.956
200,ENG-000200,20230401,74,1240,Natural Gas,kWh,4615.45
201,ENG-000201,20220213,57,602,Electricity,kWh,602.161
202,ENG-000202,20191206,63,1643,Diesel,kWh,7764.684
203,ENG-000203,20210830,84,245,Natural Gas,kWh,5839.012
204,ENG-000204,20241202,51,776,Electricity,kWh,8299.061
205,ENG-000205,20241022,31,503,Diesel,kWh,5521.971
206,ENG-000206,20220802,15,1829,Electricity,kWh,1969.702
207,ENG-000207,20210307,11,132,Natural Gas,kWh,2590.027
208,ENG-000208,20210213,27,679,Natural Gas,kWh,502.503
209,ENG-000209,20240708,25,65,Electricity,kWh,6191.903
210,ENG-000210,20240106,47,1363,Electricity,kWh,8137.313
211,ENG-000211,20230704,24,1799,Diesel,kWh,5790.11
212,ENG-000212,20230828,13,1209,Electricity,kWh,6401.432
213,ENG-000213,20240908,70,840,Electricity,kWh,6227.384
214,ENG-000214,20220117,7,280,Electricity,kWh,7663.316
215,ENG-000215,20220306,52,1471,Diesel,kWh,2472.544
216,ENG-000216,20240202,44,1740,Natural Gas,kWh,3817.836
217,ENG-000217,20220503,31,1965,Diesel,kWh,796.894
218,ENG-000218,20200702,44,1076,Electricity,kWh,7854.153
219,ENG-000219,20200901,4,1583,Natural Gas,kWh,3227.545
220,ENG-000220,20190912,98,266,Natural Gas,kWh,565.021
221,ENG-000221,20191229,89,1306,Electricity,kWh,2469.037
222,ENG-000222,20200916,86,1964,Natural Gas,kWh,4085.401
223,ENG-000223,20210427,62,622,Natural Gas,kWh,3089.24
224,ENG-000224,20230809,82,1207,Electricity,kWh,2364.261
225,ENG-000225,20230712,22,1947,Diesel,kWh,7586.185
226,ENG-000226,20230125,77,2000,Electricity,kWh,5916.279
227,ENG-000227,20241207,55,444,Natural Gas,kWh,4663.523
228,ENG-000228,20211226,36,1233,Natural Gas,kWh,8585.936
229,ENG-000229,20190802,22,157,Natural Gas,kWh,4892.078
230,ENG-000230,20200628,47,1364,Natural Gas,kWh,863.758
231,ENG-000231,20251013,21,1262,Diesel,kWh,502.77
232,ENG-000232,20250804,38,863,Electricity,kWh,2189.46
233,ENG-000233,20201127,60,323,Diesel,kWh,2922.151
234,ENG-000234,20240129,63,485,Electricity,kWh,5676.432
235,ENG-000235,20190116,58,254,Natural Gas,kWh,4668.207
236,ENG-000236,20210520,51,870,Electricity,kWh,7482.816
237,ENG-000237,20210606,13,1697,Natural Gas,kWh,1411.098
238,ENG-000238,20221117,86,1135,Diesel,kWh,8291.489
239,ENG-000239,20220107,16,11,Diesel,kWh,1353.868
240,ENG-000240,20190721,72,1378,Electricity,kWh,940.562
241,ENG-000241,20200210,96,1954,Electricity,kWh,8216.443
242,ENG-000242,20240525,77,34,Diesel,kWh,4839.445
243,ENG-000243,20230903,24,1840,Natural Gas,kWh,5535.338
244,ENG-000244,20230217,98,1327,Electricity,kWh,2756.831
245,ENG-000245,20241213,45,1457,Diesel,kWh,2217.776
246,ENG-000246,20210819,6,304,Diesel,kWh,7577.106
247,ENG-000247,20211231,93,1409,Natural Gas,kWh,6609.876
248,ENG-000248,20191216,88,1305,Natural Gas,kWh,529.762
249,ENG-000249,20200506,87,476,Electricity,kWh,6480.127
250,ENG-000250,20191111,90,1893,Natural Gas,kWh,9104.525
251,ENG-000251,20191020,47,718,Natural Gas,kWh,9013.046
252,ENG-000252,20220114,62,1939,Diesel,kWh,4565.307
253,ENG-000253,20250705,86,1604,Diesel,kWh,6419.929
254,ENG-000254,20240419,42,1041,Electricity,kWh,5194.637
255,ENG-000255,20201222,99,1372,Diesel,kWh,8754.635
256,ENG-000256,20190906,40,1841,Electricity,kWh,447.173
257,ENG-000257,20251206,38,1256,Diesel,kWh,4048.364
258,ENG-000258,20250108,52,1913,Diesel,kWh,3544.75
259,ENG-000259,20230625,63,485,Diesel,kWh,3477.535
260,ENG-000260,20190406,13,1836,Diesel,kWh,3189.02
261,ENG-000261,20201015,99,566,Electricity,kWh,670.351
262,ENG-000262,20250710,73,757,Diesel,kWh,2328.183
263,ENG-000263,20201002,76,1359,Natural Gas,kWh,818.086
264,ENG-000264,20241004,52,1949,Electricity,kWh,9347.671
265,ENG-000265,20240317,26,1672,Diesel,kWh,1523.956
266,ENG-000266,20221001,28,1335,Natural Gas,kWh,7942.555
267,ENG-000267,20200904,100,6,Natural Gas,kWh,2558.976
268,ENG-000268,20200205,43,506,Natural Gas,kWh,2091.396
269,ENG-000269,20250913,52,1293,Electricity,kWh,698.004
270,ENG-000270,20250110,89,1479,Diesel,kWh,2006.904
271,ENG-000271,20210105,40,1461,Electricity,kWh,5107.011
272,ENG-000272,20190916,16,18,Diesel,kWh,2301.499
273,ENG-000273,20211217,38,30,Electricity,kWh,7533.843
274,ENG-000274,20250422,67,1138,Electricity,kWh,9726.999
275,ENG-000275,20240405,92,1179,Electricity,kWh,5188.294
276,ENG-000276,20200812,9,5,Electricity,kWh,7125.117
277,ENG-000277,20191214,32,211,Electricity,kWh,3081.868
278,ENG-000278,20231020,9,1350,Electricity,kWh,5726.591
279,ENG-000279,20200428,68,1113,Electricity,kWh,4091.685
280,ENG-000280,20190101,100,1510,Natural Gas,kWh,104.755
281,ENG-000281,20240809,1,1830,Electricity,kWh,2026.454
282,ENG-000282,20190724,10,1222,Electricity,kWh,6008.559
283,ENG-000283,20220105,91,625,Natural Gas,kWh,9331.129
284,ENG-000284,20220204,22,1901,Diesel,kWh,451.518
285,ENG-000285,20211218,36,196,Electricity,kWh,4925.627
286,ENG-000286,20241209,91,1042,Electricity,kWh,9819.571
287,ENG-000287,20200926,18,1863,Diesel,kWh,9280.647
288,ENG-000288,20210624,41,522,Diesel,kWh,7320.748
289,ENG-000289,20220107,2,1980,Natural Gas,kWh,5700.17
290,ENG-000290,20220817,42,149,Natural Gas,kWh,9513.707
291,ENG-000291,20200910,81,1202,Electricity,kWh,8226.029
292,ENG-000292,20220226,65,119,Natural Gas,kWh,5108.051
293,ENG-000293,20240916,50,1185,Diesel,kWh,4040.907
294,ENG-000294,20211106,46,1227,Natural Gas,kWh,6943.189
295,ENG-000295,20241128,34,66,Diesel,kWh,8214.304
296,ENG-000296,20250331,72,873,Diesel,kWh,633.731
297,ENG-000297,20220429,80,831,Natural Gas,kWh,7133.108
298,ENG-000298,20230713,84,1531,Natural Gas,kWh,7608.047
299,ENG-000299,20241217,92,903,Natural Gas,kWh,2491.169
300,ENG-000300,20220819,8,1397,Natural Gas,kWh,6275.831
301,ENG-000301,20230922,19,374,Natural Gas,kWh,3719.47
302,ENG-000302,20211005,44,1163,Diesel,kWh,8636.679
303,ENG-000303,20210818,86,68,Diesel,kWh,9797.098
304,ENG-000304,20190801,30,368,Electricity,kWh,8110.358
305,ENG-000305,20190813,31,50,Electricity,kWh,4271.641
306,ENG-000306,20210526,1,1746,Natural Gas,kWh,1172.099
307,ENG-000307,20210417,60,518,Electricity,kWh,2854.696
308,ENG-000308,20221230,8,1894,Electricity,kWh,8823.034
309,ENG-000309,20210126,9,144,Diesel,kWh,3665.39
310,ENG-000310,20231113,23,133,Natural Gas,kWh,3787.29
311,ENG-000311,20251112,89,1974,Natural Gas,kWh,1831.811
312,ENG-000312,20230929,28,765,Diesel,kWh,9441.097
313,ENG-000313,20220115,88,402,Natural Gas,kWh,8061.359
314,ENG-000314,20250817,95,366,Natural Gas,kWh,2302.969
315,ENG-000315,20241231,72,747,Natural Gas,kWh,6361.131
316,ENG-000316,20191006,38,1718,Natural Gas,kWh,1103.02
317,ENG-000317,20230123,47,1221,Electricity,kWh,877.861
318,ENG-000318,20210810,14,1611,Diesel,kWh,6273.991
319,ENG-000319,20251202,99,181,Natural Gas,kWh,9568.323
320,ENG-000320,20201223,82,1207,Diesel,kWh,3388.005
321,ENG-000321,20210307,20,1903,Diesel,kWh,885.055
322,ENG-000322,20211004,79,1068,Diesel,kWh,7934.709
323,ENG-000323,20200112,62,1172,Electricity,kWh,9093.046
324,ENG-000324,20230419,80,118,Diesel,kWh,4318.861
325,ENG-000325,20200115,99,1790,Electricity,kWh,6639.723
326,ENG-000326,20240819,52,1596,Electricity,kWh,3497.547
327,ENG-000327,20230831,48,372,Diesel,kWh,7140.084
328,ENG-000328,20211112,81,1344,Natural Gas,kWh,8382.84
329,ENG-000329,20190630,31,131,Diesel,kWh,8239.466
330,ENG-000330,20230226,10,239,Diesel,kWh,8906.987
331,ENG-000331,20250111,83,1647,Natural Gas,kWh,7702.802
332,ENG-000332,20200720,6,532,Natural Gas,kWh,9743.035
333,ENG-000333,20190723,25,1682,Diesel,kWh,1282.998
334,ENG-000334,20240223,88,1458,Diesel,kWh,9841.088
335,ENG-000335,20240922,13,658,Electricity,kWh,9971.047
336,ENG-000336,20190820,44,941,Natural Gas,kWh,4341.209
337,ENG-000337,20220718,18,1640,Natural Gas,kWh,4211.415
338,ENG-000338,20210614,54,1996,Natural Gas,kWh,6016.418
339,ENG-000339,20220421,27,1687,Electricity,kWh,3007.666
340,ENG-000340,20200930,11,1639,Electricity,kWh,7902.121
341,ENG-000341,20230713,82,1804,Diesel,kWh,1861.902
342,ENG-000342,20240212,75,67,Natural Gas,kWh,1137.881
343,ENG-000343,20250130,78,384,Diesel,kWh,620.281
344,ENG-000344,20210227,31,1810,Electricity,kWh,7183.078
345,ENG-000345,20250418,2,1025,Natural Gas,kWh,6232.836
346,ENG-000346,20200330,87,1129,Diesel,kWh,4148.967
347,ENG-000347,20190520,34,1904,Natural Gas,kWh,8517.141
348,ENG-000348,20251125,82,107,Electricity,kWh,4645.069
349,ENG-000349,20200601,25,524,Electricity,kWh,5335.24
350,ENG-000350,20221022,76,285,Electricity,kWh,4027.876
351,ENG-000351,20191218,43,13,Diesel,kWh,6740.118
352,ENG-000352,20211227,49,772,Diesel,kWh,4627.927
353,ENG-000353,20201217,74,1924,Electricity,kWh,2160.346
354,ENG-000354,20240119,12,917,Electricity,kWh,9589.378
355,ENG-000355,20241021,70,458,Diesel,kWh,658.729
356,ENG-000356,20210523,30,950,Electricity,kWh,9507.983
357,ENG-000357,20190616,89,1653,Electricity,kWh,1483.56
358,ENG-000358,20221201,53,1759,Electricity,kWh,4791.101
359,ENG-000359,20250223,63,158,Diesel,kWh,1466.601
360,ENG-000360,20200318,8,1894,Electricity,kWh,5180.58
361,ENG-000361,20240205,77,34,Diesel,kWh,4356.34
362,ENG-000362,20191101,1,849,Diesel,kWh,4088.377
363,ENG-000363,20210524,63,77,Natural Gas,kWh,5615.489
364,ENG-000364,20220204,80,1118,Natural Gas,kWh,4390.822
365,ENG-000365,20191001,54,1159,Electricity,kWh,6936.626
366,ENG-000366,20251225,12,1236,Electricity,kWh,2300.142
367,ENG-000367,20221004,78,163,Diesel,kWh,2825.282
368,ENG-000368,20250228,31,83,Diesel,kWh,9369.136
369,ENG-000369,20220624,35,1694,Electricity,kWh,970.533
370,ENG-000370,20210523,47,1136,Diesel,kWh,8568.139
371,ENG-000371,20230907,51,367,Diesel,kWh,9980.536
372,ENG-000372,20250609,94,1495,Natural Gas,kWh,6425.027
373,ENG-000373,20191202,88,478,Electricity,kWh,648.717
374,ENG-000374,20190418,19,1625,Electricity,kWh,2088.459
375,ENG-000375,20250101,2,1025,Electricity,kWh,4751.249
376,ENG-000376,20200725,51,1771,Electricity,kWh,7245.593
377,ENG-000377,20240213,26,737,Natural Gas,kWh,9287.164
378,ENG-000378,20190610,63,88,Diesel,kWh,5407.631
379,ENG-000379,20190925,52,564,Electricity,kWh,5022.329
380,ENG-000380,20230703,55,1789,Natural Gas,kWh,4594.818
381,ENG-000381,20220103,53,1623,Electricity,kWh,9436.935
382,ENG-000382,20200515,27,557,Natural Gas,kWh,4352.492
383,ENG-000383,20240425,88,695,Natural Gas,kWh,961.787
384,ENG-000384,20200508,73,1665,Diesel,kWh,9877.742
385,ENG-000385,20240408,28,51,Diesel,kWh,1126.656
386,ENG-000386,20240612,96,749,Diesel,kWh,3355.787
387,ENG-000387,20250220,78,853,Natural Gas,kWh,4760.228
388,ENG-000388,20210912,77,610,Diesel,kWh,3197.706
389,ENG-000389,20240930,91,725,Natural Gas,kWh,4239.518
390,ENG-000390,20191112,1,1830,Electricity,kWh,2997.891
391,ENG-000391,20240428,62,1304,Electricity,kWh,2013.526
392,ENG-000392,20200426,71,345,Diesel,kWh,5227.951
393,ENG-000393,20231210,26,1701,Diesel,kWh,3442.998
394,ENG-000394,20230929,10,179,Electricity,kWh,786.345
395,ENG-000395,20231209,36,1258,Electricity,kWh,5978.97
396,ENG-000396,20221229,44,1450,Natural Gas,kWh,3859.342
397,ENG-000397,20220502,30,958,Diesel,kWh,9783.361
398,ENG-000398,20240515,76,285,Electricity,kWh,7829.008
399,ENG-000399,20251202,98,247,Electricity,kWh,9141.425
400,ENG-000400,20251031,11,1401,Diesel,kWh,1913.582
401,ENG-000401,20240422,45,1421,Electricity,kWh,9369.53
402,ENG-000402,20240126,36,46,Natural Gas,kWh,2838.731
403,ENG-000403,20231124,75,67,Natural Gas,kWh,307.549
404,ENG-000404,20240225,10,179,Diesel,kWh,103.847
405,ENG-000405,20250130,29,97,Electricity,kWh,2229.251
406,ENG-000406,20190903,5,137,Diesel,kWh,9651.559
407,ENG-000407,20201015,79,761,Diesel,kWh,5293.545
408,ENG-000408,20220713,6,469,Diesel,kWh,5125.342
409,ENG-000409,20200308,6,500,Electricity,kWh,2787.595
410,ENG-000410,20200221,74,585,Electricity,kWh,2420.793
411,ENG-000411,20200301,15,395,Natural Gas,kWh,6868.6
412,ENG-000412,20231113,91,968,Electricity,kWh,9374.07
413,ENG-000413,20221207,42,1358,Natural Gas,kWh,9563.212
414,ENG-000414,20220626,8,1106,Natural Gas,kWh,6842.245
415,ENG-000415,20210306,99,337,Natural Gas,kWh,1247.347
416,ENG-000416,20250802,53,94,Natural Gas,kWh,4728.432
417,ENG-000417,20200405,89,793,Diesel,kWh,9439.153
418,ENG-000418,20250702,71,1134,Natural Gas,kWh,5655.295
419,ENG-000419,20250902,73,117,Natural Gas,kWh,5362.311
420,ENG-000420,20231110,6,102,Electricity,kWh,9833.4
421,ENG-000421,20210911,78,384,Diesel,kWh,7577.561
422,ENG-000422,20210211,53,752,Natural Gas,kWh,5001.516
423,ENG-000423,20201010,81,1886,Diesel,kWh,7543.531
424,ENG-000424,20191209,96,1310,Electricity,kWh,4585.834
425,ENG-000425,20220212,44,941,Electricity,kWh,5932.484
426,ENG-000426,20220531,52,997,Natural Gas,kWh,4412.524
427,ENG-000427,20210426,58,1130,Diesel,kWh,3262.221
428,ENG-000428,20250516,28,1084,Diesel,kWh,2533.663
429,ENG-000429,20200707,46,1166,Natural Gas,kWh,5413.105
430,ENG-000430,20221130,7,1633,Diesel,kWh,1320.844
431,ENG-000431,20250927,84,1315,Diesel,kWh,6915.751
432,ENG-000432,20251005,16,18,Natural Gas,kWh,578.233
433,ENG-000433,20241201,47,718,Diesel,kWh,4528.279
434,ENG-000434,20250611,67,1272,Natural Gas,kWh,8750.197
435,ENG-000435,20250209,62,1263,Electricity,kWh,3928.536
436,ENG-000436,20230615,76,256,Electricity,kWh,1981.766
437,ENG-000437,20230914,19,278,Natural Gas,kWh,6406.659
438,ENG-000438,20241018,15,453,Natural Gas,kWh,9304.99
