product_key,product_id,supplier_key,product_name,category,subcategory,unit_of_measure,unit_cost,unit_price,status
39,PROD-000039,513,Atlas Product 39,Raw Materials,Specialty,Each,120.08,290.4,Active
40,PROD-000040,87,Atlas Product 40,Raw Materials,Premium,Meter,413.52,704.39,Active
41,PROD-000041,62,Atlas Product 41,Components,Standard,Kg,44.94,57.22,Inactive
42,PROD-000042,965,Atlas Product 42,Components,Premium,Kg,167.22,307.48,Active
43,PROD-000043,250,Atlas Product 43,Components,Standard,Liter,46.15,99.35,Active
44,PROD-000044,11,Atlas Product 44,Industrial Equipment,Premium,Liter,497.66,1238.7,Active
45,PROD-000045,90,Atlas Product 45,Raw Materials,Specialty,Liter,290.64,719.34,Active
46,PROD-000046,669,Atlas Product 46,Electronics,Premium,Liter,411.52,881.35,Active
47,PROD-000047,539,Atlas Product 47,Packaging,Specialty,Each,447.72,659.24,Inactive
48,PROD-000048,591,Atlas Product 48,Components,Premium,Each,406.57,893.05,Inactive
49,PROD-000049,258,Atlas Product 49,Packaging,Standard,Liter,338.7,521.87,Active
50,PROD-000050,916,Atlas Product 50,Industrial Equipment,Specialty,Each,273.56,595.66,Active
51,PROD-000051,302,Atlas Product 51,Raw Materials,Premium,Meter,218.68,283.47,Active
52,PROD-000052,242,Atlas Product 52,Components,Specialty,Liter,474.02,995.17,Active
53,PROD-000053,8,Atlas Product 53,Industrial Equipment,Premium,Meter,453.46,762.55,Active
54,PROD-000054,40,Atlas Product 54,Components,Premium,Liter,161.06,267.17,Inactive
55,PROD-000055,350,Atlas Product 55,Packaging,Standard,Meter,245.9,556.03,Inactive
56,PROD-000056,879,Atlas Product 56,Components,Specialty,Kg,209.16,401.42,Active
57,PROD-000057,615,Atlas Product 57,Raw Materials,Premium,Meter,225.23,542.96,Active
58,PROD-000058,925,Atlas Product 58,Packaging,Standard,Each,480.31,1001.0,Active
59,PROD-000059,790,Atlas Product 59,Electronics,Specialty,Liter,452.86,590.89,Active
60,PROD-000060,807,Atlas Product 60,Packaging,Specialty,Meter,285.53,535.5,Active
61,PROD-000061,358,Atlas Product 61,Packaging,Premium,Each,230.26,430.18,Active
62,PROD-000062,164,Atlas Product 62,Components,Premium,Meter,55.02,129.31,Active
63,PROD-000063,613,Atlas Product 63,Raw Materials,Standard,Liter,172.46,260.95,Active
64,PROD-000064,490,Atlas Product 64,Industrial Equipment,Premium,Kg,483.02,633.4,Active
65,PROD-000065,320,Atlas Product 65,Industrial Equipment,Standard,Each,193.31,400.21,Active
66,PROD-000066,234,Atlas Product 66,Components,Specialty,Kg,134.62,281.11,Active
67,PROD-000067,343,Atlas Product 67,Packaging,Standard,Liter,467.13,975.97,Active
68,PROD-000068,570,Atlas Product 68,Packaging,Standard,Kg,174.01,257.16,Active
69,PROD-000069,520,Atlas Product 69,Packaging,Premium,Each,429.51,978.63,Active
70,PROD-000070,615,Atlas Product 70,Packaging,Standard,Each,208.52,262.35,Active
71,PROD-000071,738,Atlas Product 71,Raw Materials,Premium,Kg,248.94,355.97,Inactive
72,PROD-000072,857,Atlas Product 72,Components,Specialty,Kg,334.8,787.42,Active
73,PROD-000073,372,Atlas Product 73,Industrial Equipment,Premium,Kg,240.16,397.32,Active
74,PROD-000074,349,Atlas Product 74,Electronics,Specialty,Each,193.55,437.09,Active
75,PROD-000075,692,Atlas Product 75,Components,Specialty,Each,302.65,428.51,Active
76,PROD-000076,186,Atlas Product 76,Electronics,Standard,Each,232.31,299.46,Active
77,PROD-000077,125,Atlas Product 77,Electronics,Premium,Liter,92.57,140.39,Active
78,PROD-000078,812,Atlas Product 78,Packaging,Standard,Each,469.83,938.66,Active
79,PROD-000079,806,Atlas Product 79,Components,Specialty,Each,92.24,211.53,Active
80,PROD-000080,46,Atlas Product 80,Raw Materials,Standard,Liter,197.52,278.48,Active
81,PROD-000081,613,Atlas Product 81,Industrial Equipment,Specialty,Kg,124.6,291.03,Active
82,PROD-000082,272,Atlas Product 82,Raw Materials,Specialty,Liter,312.59,588.81,Active
83,PROD-000083,885,Atlas Product 83,Components,Premium,Meter,454.06,608.33,Active
84,PROD-000084,530,Atlas Product 84,Packaging,Standard,Meter,94.57,178.33,Active
85,PROD-000085,311,Atlas Product 85,Components,Standard,Meter,27.71,65.89,Active
86,PROD-000086,601,Atlas Product 86,Electronics,Premium,Kg,45.84,91.76,Active
87,PROD-000087,220,Atlas Product 87,Electronics,Standard,Kg,259.48,377.93,Active
88,PROD-000088,814,Atlas Product 88,Electronics,Standard,Meter,172.25,391.31,Active
89,PROD-000089,431,Atlas Product 89,Industrial Equipment,Premium,Liter,448.65,598.68,Inactive
90,PROD-000090,615,Atlas Product 90,Packaging,Specialty,Liter,365.4,591.23,Active
91,PROD-000091,797,Atlas Product 91,Components,Premium,Each,313.66,393.13,Active
92,PROD-000092,304,Atlas Product 92,Industrial Equipment,Premium,Each,418.94,952.05,Active
93,PROD-000093,360,Atlas Product 93,Raw Materials,Premium,Kg,256.14,518.1,Active
94,PROD-000094,323,Atlas Product 94,Industrial Equipment,Specialty,Each,82.46,130.87,Active
95,PROD-000095,555,Atlas Product 95,Industrial Equipment,Specialty,Liter,165.95,266.03,Active
96,PROD-000096,157,Atlas Product 96,Raw Materials,Specialty,Kg,122.95,259.6,Active
97,PROD-000097,602,Atlas Product 97,Raw Materials,Specialty,Liter,210.28,301.65,Active
98,PROD-000098,164,Atlas Product 98,Raw Materials,Standard,Liter,356.29,600.37,Active
99,PROD-000099,849,Atlas Product 99,Raw Materials,Standard,Each,247.36,313.59,Active
100,PROD-000100,833,Atlas Product 100,Packaging,Premium,Meter,448.26,875.86,Active
101,PROD-000101,647,Atlas Product 101,Industrial Equipment,Standard,Liter,235.06,367.92,Active
102,PROD-000102,513,Atlas Product 102,Raw Materials,Standard,Meter,271.17,643.54,Active
103,PROD-000103,93,Atlas Product 103,Components,Specialty,Kg,412.11,763.81,Active
104,PROD-000104,959,Atlas Product 104,Electronics,Premium,Each,260.46,363.71,Active
105,PROD-000105,377,Atlas Product 105,Packaging,Standard,Liter,349.17,635.3,Active
106,PROD-000106,346,Atlas Product 106,Electronics,Specialty,Each,17.28,42.26,Active
107,PROD-000107,65,Atlas Product 107,Packaging,Premium,Kg,330.64,526.79,Active
108,PROD-000108,468,Atlas Product 108,Components,Premium,Meter,290.85,652.23,Active
109,PROD-000109,191,Atlas Product 109,Components,Standard,Kg,99.5,144.37,Active
110,PROD-000110,992,Atlas Product 110,Industrial Equipment,Premium,Liter,445.61,559.7,Active
111,PROD-000111,804,Atlas Product 111,Packaging,Standard,Each,38.91,57.04,Active
112,PROD-000112,583,Atlas Product 112,Electronics,Premium,Kg,433.86,927.43,Active
113,PROD-000113,380,Atlas Product 113,Raw Materials,Standard,Kg,345.47,501.56,Active
114,PROD-000114,427,Atlas Product 114,Raw Materials,Standard,Meter,171.87,329.76,Active
115,PROD-000115,734,Atlas Product 115,Electronics,Specialty,Meter,35.38,81.46,Inactive
116,PROD-000116,136,Atlas Product 116,Components,Premium,Liter,438.94,640.73,Active
117,PROD-000117,19,Atlas Product 117,Packaging,Standard,Kg,197.75,306.15,Inactive
118,PROD-000118,113,Atlas Product 118,Industrial Equipment,Standard,Meter,51.64,80.59,Active
119,PROD-000119,3,Atlas Product 119,Industrial Equipment,Premium,Kg,195.46,475.11,Active
120,PROD-000120,518,Atlas Product 120,Packaging,Specialty,Liter,303.31,555.19,Active
121,PROD-000121,168,Atlas Product 121,Industrial Equipment,Premium,Kg,218.34,448.41,Active
122,PROD-000122,815,Atlas Product 122,Packaging,Specialty,Each,117.63,259.39,Active
123,PROD-000123,668,Atlas Product 123,Components,Premium,Meter,152.66,251.9,Active
124,PROD-000124,898,Atlas Product 124,Packaging,Standard,Liter,436.83,889.96,Active
125,PROD-000125,425,Atlas Product 125,Industrial Equipment,Specialty,Each,120.03,269.37,Active
126,PROD-000126,118,Atlas Product 126,Industrial Equipment,Premium,Kg,74.14,107.65,Active
127,PROD-000127,78,Atlas Product 127,Components,Standard,Liter,392.23,767.94,Active
128,PROD-000128,576,Atlas Product 128,Electronics,Specialty,Kg,87.6,215.51,Inactive
129,PROD-000129,792,Atlas Product 129,Components,Standard,Liter,484.8,966.53,Active
130,PROD-000130,434,Atlas Product 130,Components,Specialty,Each,426.36,567.3,Active
131,PROD-000131,604,Atlas Product 131,Packaging,Standard,Kg,30.0,38.87,Active
132,PROD-000132,451,Atlas Product 132,Raw Materials,Standard,Kg,419.19,808.98,Active
133,PROD-000133,575,Atlas Product 133,Components,Premium,Each,186.47,283.35,Active
134,PROD-000134,239,Atlas Product 134,Packaging,Premium,Meter,440.71,1056.41,Active
135,PROD-000135,529,Atlas Product 135,Industrial Equipment,Standard,Liter,346.42,586.66,Active
136,PROD-000136,751,Atlas Product 136,Electronics,Standard,Each,393.85,838.77,Active
137,PROD-000137,894,Atlas Product 137,Packaging,Specialty,Liter,263.28,497.83,Active
138,PROD-000138,482,Atlas Product 138,Raw Materials,Specialty,Each,427.23,791.42,Active
139,PROD-000139,94,Atlas Product 139,Industrial Equipment,Premium,Liter,119.3,151.95,Active
140,PROD-000140,31,Atlas Product 140,Electronics,Specialty,Meter,420.12,690.66,Active
141,PROD-000141,729,Atlas Product 141,Raw Materials,Standard,Kg,12.81,29.4,Active
142,PROD-000142,275,Atlas Product 142,Industrial Equipment,Specialty,Each,194.67,389.32,Active
143,PROD-000143,880,Atlas Product 143,Raw Materials,Specialty,Meter,392.49,628.44,Active
144,PROD-000144,871,Atlas Product 144,Components,Specialty,Kg,464.04,789.07,Active
145,PROD-000145,374,Atlas Product 145,Industrial Equipment,Specialty,Liter,44.61,60.28,Active
146,PROD-000146,672,Atlas Product 146,Packaging,Specialty,Meter,188.74,438.8,Active
147,PROD-000147,588,Atlas Product 147,Raw Materials,Premium,Each,167.31,240.89,Active
148,PROD-000148,729,Atlas Product 148,Raw Materials,Specialty,Liter,209.78,429.81,Active
149,PROD-000149,51,Atlas Product 149,Packaging,Specialty,Meter,180.18,343.49,Active
150,PROD-000150,796,Atlas Product 150,Components,Standard,Kg,400.39,761.77,Active
151,PROD-000151,562,Atlas Product 151,Packaging,Standard,Each,332.76,623.65,Active
152,PROD-000152,272,Atlas Product 152,Components,Specialty,Kg,184.97,435.16,Active
153,PROD-000153,51,Atlas Product 153,Industrial Equipment,Specialty,Liter,68.79,121.57,Active
154,PROD-000154,179,Atlas Product 154,Raw Materials,Standard,Each,190.65,304.57,Active
155,PROD-000155,364,Atlas Product 155,Components,Premium,Each,171.49,306.83,Active
156,PROD-000156,262,Atlas Product 156,Electronics,Specialty,Liter,232.32,468.02,Active
157,PROD-000157,890,Atlas Product 157,Electronics,Specialty,Each,106.6,219.06,Inactive
158,PROD-000158,56,Atlas Product 158,Industrial Equipment,Specialty,Kg,441.87,603.0,Active
159,PROD-000159,255,Atlas Product 159,Packaging,Specialty,Liter,48.68,61.26,Active
160,PROD-000160,948,Atlas Product 160,Industrial Equipment,Specialty,Each,343.06,461.71,Inactive
161,PROD-000161,60,Atlas Product 161,Components,Premium,Each,144.86,357.48,Active
162,PROD-000162,610,Atlas Product 162,Industrial Equipment,Premium,Each,24.46,42.18,Active
163,PROD-000163,107,Atlas Product 163,Raw Materials,Specialty,Liter,495.55,654.28,Active
164,PROD-000164,535,Atlas Product 164,Components,Premium,Each,385.9,950.14,Active
165,PROD-000165,81,Atlas Product 165,Raw Materials,Specialty,Each,159.38,381.63,Active
166,PROD-000166,921,Atlas Product 166,Electronics,Specialty,Kg,274.13,670.33,Active
167,PROD-000167,399,Atlas Product 167,Raw Materials,Standard,Each,250.14,566.21,Active
168,PROD-000168,425,Atlas Product 168,Raw Materials,Specialty,Liter,101.6,191.23,Active
169,PROD-000169,466,Atlas Product 169,Industrial Equipment,Specialty,Meter,75.54,135.11,Active
170,PROD-000170,350,Atlas Product 170,Raw Materials,Premium,Meter,266.32,461.73,Active
171,PROD-000171,824,Atlas Product 171,Industrial Equipment,Standard,Each,134.29,226.11,Active
172,PROD-000172,61,Atlas Product 172,Components,Standard,Meter,118.99,199.97,Active
173,PROD-000173,282,Atlas Product 173,Raw Materials,Specialty,Kg,68.58,151.25,Active
174,PROD-000174,891,Atlas Product 174,Raw Materials,Standard,Meter,178.18,237.4,Active
175,PROD-000175,620,Atlas Product 175,Raw Materials,Premium,Kg,272.28,450.92,Active
176,PROD-000176,836,Atlas Product 176,Industrial Equipment,Premium,Liter,25.06,59.39,Active
177,PROD-000177,342,Atlas Product 177,Components,Standard,Kg,386.55,860.76,Active
178,PROD-000178,84,Atlas Product 178,Packaging,Premium,Meter,20.85,26.49,Active
179,PROD-000179,532,Atlas Product 179,Packaging,Standard,Meter,487.84,686.34,Active
180,PROD-000180,66,Atlas Product 180,Industrial Equipment,Standard,Liter,497.19,639.67,Active
181,PROD-000181,706,Atlas Product 181,Electronics,Standard,Liter,296.3,396.83,Active
182,PROD-000182,517,Atlas Product 182,Packaging,Specialty,Each,189.47,340.88,Active
183,PROD-000183,363,Atlas Product 183,Packaging,Premium,Kg,169.62,372.49,Inactive
184,PROD-000184,620,Atlas Product 184,Components,Standard,Kg,24.0,31.22,Inactive
185,PROD-000185,746,Atlas Product 185,Packaging,Specialty,Liter,428.24,921.39,Active
186,PROD-000186,66,Atlas Product 186,Packaging,Premium,Kg,193.22,409.02,Active
187,PROD-000187,365,Atlas Product 187,Raw Materials,Premium,Each,151.84,340.91,Active
188,PROD-000188,667,Atlas Product 188,Raw Materials,Standard,Meter,464.98,871.99,Active
189,PROD-000189,440,Atlas Product 189,Packaging,Standard,Each,79.64,198.07,Active
190,PROD-000190,578,Atlas Product 190,Electronics,Premium,Liter,354.87,716.19,Active
191,PROD-000191,136,Atlas Product 191,Raw Materials,Premium,Kg,149.2,325.66,Active
192,PROD-000192,764,Atlas Product 192,Raw Materials,Premium,Each,28.04,58.86,Active
193,PROD-000193,857,Atlas Product 193,Components,Standard,Meter,308.99,456.71,Active
194,PROD-000194,928,Atlas Product 194,Industrial Equipment,Premium,Liter,497.5,923.35,Active
195,PROD-000195,530,Atlas Product 195,Components,Premium,Kg,451.81,873.27,Active
196,PROD-000196,179,Atlas Product 196,Components,Premium,Liter,491.46,1131.31,Active
197,PROD-000197,673,Atlas Product 197,Raw Materials,Premium,Each,150.66,243.46,Active
198,PROD-000198,781,Atlas Product 198,Raw Materials,Specialty,Meter,473.82,907.82,Active
199,PROD-000199,781,Atlas Product 199,Packaging,Premium,Meter,46.65,101.55,Active
200,PROD-000200,249,Atlas Product 200,Industrial Equipment,Specialty,Each,238.82,347.2,Active
201,PROD-000201,16,Atlas Product 201,Components,Standard,Liter,42.91,99.27,Active
202,PROD-000202,860,Atlas Product 202,Electronics,Premium,Liter,419.47,850.1,Active
203,PROD-000203,170,Atlas Product 203,Raw Materials,Premium,Meter,50.61,76.7,Active
204,PROD-000204,400,Atlas Product 204,Industrial Equipment,Standard,Each,65.74,110.82,Inactive
205,PROD-000205,978,Atlas Product 205,Packaging,Specialty,Each,186.77,456.19,Active
206,PROD-000206,920,Atlas Product 206,Raw Materials,Premium,Kg,55.66,116.61,Active
207,PROD-000207,311,Atlas Product 207,Raw Materials,Specialty,Liter,65.21,133.25,Inactive
208,PROD-000208,610,Atlas Product 208,Industrial Equipment,Standard,Meter,382.83,925.31,Active
209,PROD-000209,539,Atlas Product 209,Packaging,Premium,Kg,37.83,49.32,Active
210,PROD-000210,51,Atlas Product 210,Packaging,Premium,Kg,463.51,817.14,Active
211,PROD-000211,328,Atlas Product 211,Components,Standard,Each,180.71,371.89,Inactive
212,PROD-000212,862,Atlas Product 212,Electronics,Specialty,Meter,155.11,203.26,Active
213,PROD-000213,882,Atlas Product 213,Industrial Equipment,Premium,Meter,263.83,415.07,Active
214,PROD-000214,443,Atlas Product 214,Packaging,Specialty,Meter,302.99,494.78,Active
215,PROD-000215,40,Atlas Product 215,Industrial Equipment,Standard,Meter,92.91,149.48,Active
216,PROD-000216,633,Atlas Product 216,Components,Standard,Each,78.94,166.91,Active
217,PROD-000217,769,Atlas Product 217,Packaging,Specialty,Meter,108.11,257.16,Active
218,PROD-000218,963,Atlas Product 218,Electronics,Premium,Meter,374.37,870.79,Active
219,PROD-000219,60,Atlas Product 219,Raw Materials,Premium,Kg,467.25,984.93,Active
220,PROD-000220,439,Atlas Product 220,Packaging,Standard,Liter,112.41,280.15,Active
221,PROD-000221,772,Atlas Product 221,Raw Materials,Premium,Liter,68.75,141.86,Active
222,PROD-000222,389,Atlas Product 222,Industrial Equipment,Specialty,Kg,475.02,1155.27,Active
223,PROD-000223,699,Atlas Product 223,Industrial Equipment,Specialty,Meter,399.22,774.43,Active
224,PROD-000224,948,Atlas Product 224,Raw Materials,Specialty,Each,395.61,737.6,Active
225,PROD-000225,484,Atlas Product 225,Electronics,Premium,Meter,313.08,470.36,Active
226,PROD-000226,240,Atlas Product 226,Components,Specialty,Liter,352.56,695.92,Active
227,PROD-000227,797,Atlas Product 227,Electronics,Specialty,Meter,167.52,214.97,Active
228,PROD-000228,404,Atlas Product 228,Electronics,Premium,Meter,140.4,350.66,Active
229,PROD-000229,169,Atlas Product 229,Packaging,Standard,Each,270.26,518.38,Active
230,PROD-000230,758,Atlas Product 230,Packaging,Standard,Liter,457.07,603.9,Active
231,PROD-000231,30,Atlas Product 231,Electronics,Premium,Each,71.49,149.84,Inactive
232,PROD-000232,579,Atlas Product 232,Components,Standard,Each,239.88,314.6,Active
233,PROD-000233,969,Atlas Product 233,Raw Materials,Standard,Liter,251.19,526.78,Active
234,PROD-000234,300,Atlas Product 234,Industrial Equipment,Specialty,Liter,183.32,250.63,Active
235,PROD-000235,323,Atlas Product 235,Packaging,Specialty,Kg,315.24,667.37,Active
236,PROD-000236,423,Atlas Product 236,Electronics,Standard,Liter,316.59,732.92,Active
237,PROD-000237,819,Atlas Product 237,Raw Materials,Standard,Kg,99.09,234.79,Active
238,PROD-000238,997,Atlas Product 238,Raw Materials,Specialty,Each,435.47,814.52,Active
239,PROD-000239,303,Atlas Product 239,Industrial Equipment,Standard,Kg,29.94,52.99,Inactive
240,PROD-000240,748,Atlas Product 240,Electronics,Standard,Kg,51.33,127.14,Active
241,PROD-000241,144,Atlas Product 241,Components,Premium,Meter,152.85,231.64,Active
242,PROD-000242,966,Atlas Product 242,Packaging,Standard,Liter,108.38,146.08,Active
243,PROD-000243,831,Atlas Product 243,Raw Materials,Standard,Kg,81.6,117.79,Active
244,PROD-000244,91,Atlas Product 244,Packaging,Standard,Kg,278.68,617.64,Active
245,PROD-000245,880,Atlas Product 245,Raw Materials,Specialty,Meter,256.16,377.24,Active
246,PROD-000246,69,Atlas Product 246,Raw Materials,Premium,Each,418.69,715.45,Active
247,PROD-000247,381,Atlas Product 247,Raw Materials,Premium,Liter,283.27,394.23,Active
248,PROD-000248,38,Atlas Product 248,Raw Materials,Standard,Meter,424.86,1026.91,Active
249,PROD-000249,378,Atlas Product 249,Industrial Equipment,Specialty,Meter,482.59,870.64,Active
250,PROD-000250,905,Atlas Product 250,Electronics,Specialty,Liter,94.08,179.77,Active
251,PROD-000251,201,Atlas Product 251,Raw Materials,Specialty,Meter,201.12,303.68,Active
252,PROD-000252,680,Atlas Product 252,Components,Specialty,Kg,16.99,31.14,Inactive
253,PROD-000253,529,Atlas Product 253,Electronics,Specialty,Each,386.78,773.36,Active
254,PROD-000254,257,Atlas Product 254,Packaging,Specialty,Liter,477.57,617.2,Active
255,PROD-000255,954,Atlas Product 255,Industrial Equipment,Specialty,Kg,141.06,203.71,Active
256,PROD-000256,565,Atlas Product 256,Components,Specialty,Liter,420.73,883.88,Active
257,PROD-000257,413,Atlas Product 257,Industrial Equipment,Specialty,Each,481.64,868.66,Active
258,PROD-000258,203,Atlas Product 258,Electronics,Premium,Each,235.36,481.63,Active
259,PROD-000259,966,Atlas Product 259,Raw Materials,Standard,Each,122.54,201.58,Active
260,PROD-000260,604,Atlas Product 260,Industrial Equipment,Specialty,Kg,353.15,756.71,Active
261,PROD-000261,649,Atlas Product 261,Electronics,Specialty,Each,224.69,423.26,Active
262,PROD-000262,312,Atlas Product 262,Industrial Equipment,Premium,Liter,446.24,1034.03,Active
263,PROD-000263,149,Atlas Product 263,Electronics,Specialty,Liter,184.68,426.76,Active
264,PROD-000264,635,Atlas Product 264,Components,Standard,Each,242.62,495.64,Active
265,PROD-000265,530,Atlas Product 265,Packaging,Standard,Each,211.44,365.77,Inactive
266,PROD-000266,134,Atlas Product 266,Raw Materials,Premium,Meter,405.53,723.12,Active
267,PROD-000267,927,Atlas Product 267,Industrial Equipment,Specialty,Each,415.86,923.16,Active
268,PROD-000268,255,Atlas Product 268,Industrial Equipment,Premium,Liter,255.56,452.03,Active
269,PROD-000269,169,Atlas Product 269,Electronics,Standard,Liter,242.26,500.75,Active
270,PROD-000270,20,Atlas Product 270,Components,Premium,Meter,468.09,987.6,Active
271,PROD-000271,288,Atlas Product 271,Components,Specialty,Meter,14.43,33.1,Active
272,PROD-000272,823,Atlas Product 272,Components,Premium,Each,192.13,409.77,Active
273,PROD-000273,407,Atlas Product 273,Electronics,Standard,Each,326.13,650.19,Active
274,PROD-000274,804,Atlas Product 274,Raw Materials,Specialty,Each,355.08,818.94,Active
275,PROD-000275,650,Atlas Product 275,Raw Materials,Specialty,Each,352.12,472.58,Active
276,PROD-000276,339,Atlas Product 276,Electronics,Specialty,Each,486.12,903.44,Active
277,PROD-000277,752,Atlas Product 277,Electronics,Specialty,Kg,236.18,388.83,Inactive
278,PROD-000278,166,Atlas Product 278,Electronics,Specialty,Liter,251.43,620.0,Active
279,PROD-000279,511,Atlas Product 279,Packaging,Premium,Meter,292.06,546.03,Active
280,PROD-000280,61,Atlas Product 280,Components,Specialty,Meter,48.23,65.7,Active
281,PROD-000281,552,Atlas Product 281,Packaging,Specialty,Kg,159.37,211.69,Active
282,PROD-000282,694,Atlas Product 282,Electronics,Premium,Kg,466.65,911.82,Active
283,PROD-000283,604,Atlas Product 283,Electronics,Standard,Kg,120.47,284.68,Active
284,PROD-000284,143,Atlas Product 284,Components,Standard,Liter,245.58,493.96,Active
285,PROD-000285,65,Atlas Product 285,Packaging,Premium,Meter,203.41,261.68,Active
286,PROD-000286,315,Atlas Product 286,Raw Materials,Premium,Kg,409.35,843.6,Active
287,PROD-000287,459,Atlas Product 287,Raw Materials,Standard,Kg,64.05,107.33,Active
288,PROD-000288,846,Atlas Product 288,Industrial Equipment,Specialty,Each,119.64,260.7,Inactive
289,PROD-000289,977,Atlas Product 289,Components,Standard,Liter,493.96,1164.78,Active
290,PROD-000290,43,Atlas Product 290,Packaging,Specialty,Each,237.87,347.95,Active
291,PROD-000291,764,Atlas Product 291,Electronics,Standard,Liter,299.06,399.54,Active
292,PROD-000292,273,Atlas Product 292,Industrial Equipment,Standard,Meter,74.99,142.2,Active
293,PROD-000293,176,Atlas Product 293,Raw Materials,Specialty,Kg,46.01,111.08,Active
294,PROD-000294,967,Atlas Product 294,Components,Specialty,Each,341.88,787.49,Active
295,PROD-000295,40,Atlas Product 295,Packaging,Premium,Each,154.21,288.82,Active
296,PROD-000296,118,Atlas Product 296,Raw Materials,Specialty,Meter,213.54,297.05,Active
297,PROD-000297,559,Atlas Product 297,Components,Specialty,Kg,140.02,220.91,Active
298,PROD-000298,117,Atlas Product 298,Components,Specialty,Kg,59.68,92.07,Inactive
299,PROD-000299,192,Atlas Product 299,Industrial Equipment,Specialty,Kg,233.0,299.99,Active
300,PROD-000300,904,Atlas Product 300,Electronics,Standard,Meter,409.89,903.24,Active
301,PROD-000301,899,Atlas Product 301,Raw Materials,Standard,Liter,460.27,587.04,Active
302,PROD-000302,902,Atlas Product 302,Components,Standard,Kg,221.14,395.43,Active
303,PROD-000303,143,Atlas Product 303,Components,Standard,Kg,131.64,216.51,Active
304,PROD-000304,713,Atlas Product 304,Industrial Equipment,Standard,Each,475.64,1062.45,Active
305,PROD-000305,705,Atlas Product 305,Components,Standard,Each,283.8,676.5,Active
306,PROD-000306,695,Atlas Product 306,Packaging,Premium,Liter,348.22,840.62,Active
307,PROD-000307,456,Atlas Product 307,Packaging,Specialty,Each,430.24,1002.23,Active
