product_id,supplier_id,product_name,category,unit_cost,unit_price,status
PROD-0000051,SUP-000023,Finished Goods Product 00051,Finished Goods,38.02,57.01,Active
PROD-0000052,SUP-000988,Components Product 00052,Components,61.46,129.7,Active
PROD-0000053,SUP-000442,Industrial Parts Product 00053,Industrial Parts,21.58,27.31,Active
PROD-0000054,SUP-000052,Raw Materials Product 00054,Raw Materials,40.56,80.11,Active
PROD-0000055,SUP-000518,Industrial Parts Product 00055,Industrial Parts,38.27,66.63,Active
PROD-0000056,SUP-000737,Raw Materials Product 00056,Raw Materials,160.97,355.33,Active
PROD-0000057,SUP-000896,Industrial Parts Product 00057,Industrial Parts,29.77,70.42,Active
PROD-0000058,SUP-000030,Finished Goods Product 00058,Finished Goods,39.77,71.07,Active
PROD-0000059,SUP-000200,Industrial Parts Product 00059,Industrial Parts,83.01,102.36,Active
PROD-0000060,SUP-000545,Components Product 00060,Components,18.93,32.55,Active
PROD-0000061,SUP-000415,Packaging Product 00061,Packaging,9.72,60.46,Active
PROD-0000062,SUP-000133,Finished Goods Product 00062,Finished Goods,23.86,37.78,Active
PROD-0000063,SUP-000344,Components Product 00063,Components,55.03,128.76,Active
PROD-0000064,SUP-000731,Components Product 00064,Components,25.21,46.01,Active
PROD-0000065,SUP-000675,Components Product 00065,Components,37.28,59.67,Active
PROD-0000066,SUP-000913,Components Product 00066,Components,21.36,36.51,Active
PROD-0000067,SUP-000326,Components Product 00067,Components,29.18,39.84,Active
PROD-0000068,SUP-000618,Raw Materials Product 00068,Raw Materials,33.14,33.14,Active
PROD-0000069,SUP-000442,Industrial Parts Product 00069,Industrial Parts,57.89,77.09,Active
PROD-0000070,SUP-000863,Raw Materials Product 00070,Raw Materials,56.71,97.38,Active
PROD-0000071,SUP-000152,Industrial Parts Product 00071,Industrial Parts,116.47,242.74,Active
PROD-0000072,SUP-000658,Components Product 00072,Components,14.01,60.46,Active
PROD-0000073,SUP-000189,Industrial Parts Product 00073,Industrial Parts,163.18,288.6,Active
PROD-0000074,SUP-000265,Raw Materials Product 00074,Raw Materials,23.45,51.26,Active
PROD-0000075,SUP-000504,Industrial Parts Product 00075,Industrial Parts,6.51,9.06,Active
PROD-0000076,SUP-000874,Industrial Parts Product 00076,Industrial Parts,81.6,190.87,Active
PROD-0000077,SUP-000917,Industrial Parts Product 00077,Industrial Parts,82.14,189.31,Active
PROD-0000078,SUP-000410,Components Product 00078,Components,22.65,60.46,Active
PROD-0000079,SUP-000504,Industrial Parts Product 00079,Industrial Parts,14.01,33.53,Active
PROD-0000080,SUP-000274,Components Product 00080,Components,3.7,8.45,Active
PROD-0000081,SUP-000721,Packaging Product 00081,Packaging,10.77,20.93,Active
PROD-0000082,SUP-000538,Finished Goods Product 00082,Finished Goods,16.41,23.02,Inactive
PROD-0000083,SUP-000989,Components Product 00083,Components,59.06,142.73,Active
PROD-0000084,SUP-000812,Finished Goods Product 00084,Finished Goods,41.63,53.26,Active
PROD-0000085,SUP-000758,Components Product 00085,Components,37.31,62.23,Active
PROD-0000086,SUP-000987,Components Product 00086,Components,22.73,55.06,Active
PROD-0000087,SUP-000151,Industrial Parts Product 00087,Industrial Parts,31.84,72.4,Active
PROD-0000088,SUP-000308,Raw Materials Product 00088,Raw Materials,57.6,105.21,Active
PROD-0000089,SUP-000142,Finished Goods Product 00089,Finished Goods,51.62,75.58,Inactive
PROD-0000090,SUP-000518,Packaging Product 00090,Packaging,41.62,89.02,Active
PROD-0000091,SUP-000546,Industrial Parts Product 00091,Industrial Parts,73.58,174.25,Inactive
PROD-0000092,SUP-000997,Raw Materials Product 00092,Raw Materials,12.33,20.68,Active
PROD-0000093,SUP-000024,Components Product 00093,Components,13.68,29.62,Active
PROD-0000094,SUP-000512,Finished Goods Product 00094,Finished Goods,63.12,77.15,Active
PROD-0000095,SUP-000319,Packaging Product 00095,Packaging,21.76,38.2,Active
PROD-0000096,SUP-000026,Finished Goods Product 00096,Finished Goods,25.91,51.26,Active
PROD-0000097,SUP-000914,Raw Materials Product 00097,Raw Materials,17.85,28.94,Active
PROD-0000098,SUP-000680,Components Product 00098,Components,20.71,34.74,Active
PROD-0000099,SUP-000501,Components Product 00099,Components,19.26,35.95,Active
PROD-0000100,SUP-000739,Industrial Parts Product 00100,Industrial Parts,114.94,262.53,Active
PROD-0000101,SUP-000333,Finished Goods Product 00101,Finished Goods,33.14,82.21,Active
PROD-0000102,SUP-000841,Industrial Parts Product 00102,Industrial Parts,43.11,68.89,Active
PROD-0000103,SUP-000583,Finished Goods Product 00103,Finished Goods,9.74,18.87,Active
PROD-0000104,SUP-000854,Packaging Product 00104,Packaging,16.94,41.9,Active
PROD-0000105,SUP-000817,Finished Goods Product 00105,Finished Goods,17.1,37.64,Active
PROD-0000106,SUP-000536,Industrial Parts Product 00106,Industrial Parts,45.69,59.65,Active
PROD-0000107,SUP-000200,Finished Goods Product 00107,Finished Goods,17.62,24.28,Active
PROD-0000108,SUP-000763,Industrial Parts Product 00108,Industrial Parts,48.08,99.51,Active
PROD-0000109,SUP-000120,Raw Materials Product 00109,Raw Materials,8.49,10.44,Active
PROD-0000110,SUP-000237,Components Product 00110,Components,14.15,26.62,Active
PROD-0000111,SUP-000462,Finished Goods Product 00111,Finished Goods,9.46,19.07,Active
PROD-0000112,SUP-000008,Components Product 00112,Components,31.17,44.48,Active
PROD-0000113,SUP-000332,Components Product 00113,Components,13.68,34.15,Active
PROD-0000114,SUP-000135,Raw Materials Product 00114,Raw Materials,27.21,65.45,Active
PROD-0000115,SUP-000027,Components Product 00115,Components,9.91,18.37,Active
PROD-0000116,SUP-000916,Finished Goods Product 00116,Finished Goods,9.01,20.55,Active
PROD-0000117,SUP-000082,Finished Goods Product 00117,Finished Goods,17.91,36.95,Inactive
PROD-0000118,SUP-000846,Packaging Product 00118,Packaging,112.67,185.66,Active
PROD-0000119,SUP-000274,Packaging Product 00119,Packaging,9.76,14.43,Active
PROD-0000120,SUP-000091,Industrial Parts Product 00120,Industrial Parts,26.16,33.72,Active
PROD-0000121,SUP-000802,Finished Goods Product 00121,Finished Goods,44.6,91.82,Active
PROD-0000122,SUP-000475,Finished Goods Product 00122,Finished Goods,36.15,72.95,Active
PROD-0000123,SUP-000121,Raw Materials Product 00123,Raw Materials,16.5,37.73,Active
PROD-0000125,SUP-000599,Raw Materials Product 00125,Raw Materials,32.5,60.15,Active
PROD-0000126,SUP-000038,Packaging Product 00126,Packaging,76.7,169.48,Active
PROD-0000127,SUP-000829,Packaging Product 00127,Packaging,22.81,34.08,Active
PROD-0000128,SUP-000841,Raw Materials Product 00128,Raw Materials,41.48,99.13,Active
PROD-0000129,SUP-000412,Components Product 00129,Components,30.93,45.29,Active
PROD-0000130,SUP-000751,Industrial Parts Product 00130,Industrial Parts,111.93,257.94,Active
PROD-0000131,SUP-000616,Raw Materials Product 00131,Raw Materials,13.47,29.41,Active
PROD-0000132,SUP-000440,Components Product 00132,Components,75.23,104.7,Active
PROD-0000133,SUP-000609,Components Product 00133,Components,13.5,28.89,Active
PROD-0000134,SUP-000689,Industrial Parts Product 00134,Industrial Parts,33.14,33.14,Active
PROD-0000135,SUP-000482,Industrial Parts Product 00135,Industrial Parts,75.82,151.32,Active
PROD-0000136,SUP-000765,Raw Materials Product 00136,Raw Materials,65.33,116.55,Active
PROD-0000137,SUP-000714,Raw Materials Product 00137,Raw Materials,33.14,33.14,Active
PROD-0000138,SUP-000649,Industrial Parts Product 00138,Industrial Parts,32.9,78.07,Active
PROD-0000139,SUP-000254,Components Product 00139,Components,76.87,129.18,Active
PROD-0000140,SUP-000186,Components Product 00140,Components,50.71,122.95,Active
PROD-0000141,SUP-000123,Components Product 00141,Components,12.67,29.17,Active
PROD-0000142,SUP-000524,Finished Goods Product 00142,Finished Goods,26.31,58.31,Active
PROD-0000143,SUP-000912,Components Product 00143,Components,46.81,63.39,Active
PROD-0000144,SUP-000069,Finished Goods Product 00144,Finished Goods,26.54,47.58,Active
PROD-0000145,SUP-000602,Raw Materials Product 00145,Raw Materials,12.67,28.45,Active
PROD-0000146,SUP-000647,Components Product 00146,Components,35.88,63.02,Active
PROD-0000147,SUP-000223,Raw Materials Product 00147,Raw Materials,157.43,363.94,Active
PROD-0000148,SUP-000718,Raw Materials Product 00148,Raw Materials,34.39,81.72,Active
PROD-0000149,SUP-000334,Components Product 00149,Components,8.23,60.46,Active
PROD-0000150,SUP-000338,Finished Goods Product 00150,Finished Goods,11.74,5967.0,Active
PROD-0000151,SUP-000232,Raw Materials Product 00151,Raw Materials,70.27,126.83,Active
PROD-0000152,SUP-000268,Industrial Parts Product 00152,Industrial Parts,46.81,71.68,Active
PROD-0000153,SUP-000055,Packaging Product 00153,Packaging,44.09,83.09,Active
PROD-0000154,SUP-000586,Finished Goods Product 00154,Finished Goods,49.22,91.18,Active
PROD-0000155,SUP-000069,Raw Materials Product 00155,Raw Materials,122.89,273.5,Active
PROD-0000156,SUP-000818,Finished Goods Product 00156,Finished Goods,53.93,68.09,Active
PROD-0000157,SUP-000582,Packaging Product 00157,Packaging,26.28,31.93,Active
PROD-0000158,SUP-000581,Components Product 00011,Components,27.72,60.73,Active
PROD-0000159,SUP-000192,Raw Materials Product 00159,Raw Materials,45.66,108.69,Active
PROD-0000160,SUP-000170,Industrial Parts Product 00160,Industrial Parts,6.35,9.49,Inactive
PROD-0000161,SUP-000262,Components Product 00161,Components,170.67,281.15,Active
PROD-0000162,SUP-000378,Finished Goods Product 00162,Finished Goods,25.8,56.67,Active
PROD-0000163,SUP-000323,Finished Goods Product 00163,Finished Goods,14.04,26.13,Active
PROD-0000164,SUP-000140,Components Product 00164,Components,31.99,63.73,Active
PROD-0000165,SUP-000728,Components Product 00165,Components,20.55,25.42,Active
PROD-0000166,SUP-000055,Raw Materials Product 00166,Raw Materials,161.9,378.26,Active
PROD-0000167,SUP-000943,Raw Materials Product 00167,Raw Materials,34.0,47.83,Active
PROD-0000168,SUP-000116,Finished Goods Product 00168,Finished Goods,42.21,91.07,Active
PROD-0000169,SUP-000108,Raw Materials Product 00169,Raw Materials,59.45,76.37,Active
PROD-0000170,SUP-000899,Components Product 00170,Components,20.59,51.35,Active
PROD-0000171,SUP-000352,Industrial Parts Product 00171,Industrial Parts,30.83,73.19,Active
PROD-0000172,SUP-000507,Raw Materials Product 00172,Raw Materials,41.27,97.42,Inactive
PROD-0000173,SUP-000202,Raw Materials Product 00173,Raw Materials,51.34,63.44,Active
PROD-0000174,SUP-000308,Raw Materials Product 00174,Raw Materials,13.11,20.07,Active
PROD-0000175,SUP-000281,Components Product 00175,Components,18.01,44.75,Active
PROD-0000176,SUP-000317,Industrial Parts Product 00176,Industrial Parts,3.38,6.82,Active
PROD-0000178,SUP-000106,Industrial Parts Product 00178,Industrial Parts,38.2,73.49,Active
PROD-0000179,SUP-000166,Finished Goods Product 00179,Finished Goods,74.07,178.33,Active
PROD-0000180,SUP-000493,Finished Goods Product 00180,Finished Goods,55.93,134.51,Active
PROD-0000181,SUP-000945,Finished Goods Product 00181,Finished Goods,17.31,25.55,Active
PROD-0000182,SUP-000917,Components Product 00182,Components,23.61,41.05,Active
PROD-0000183,SUP-000491,Industrial Parts Product 00183,Industrial Parts,65.41,104.11,Active
PROD-0000185,SUP-000584,Packaging Product 00185,Packaging,27.14,65.78,Active
PROD-0000186,SUP-000500,Finished Goods Product 00186,Finished Goods,93.98,196.11,Active
PROD-0000187,SUP-000844,Industrial Parts Product 00187,Industrial Parts,61.75,132.44,Active
PROD-0000188,SUP-000026,Packaging Product 00188,Packaging,15.13,20.55,Active
PROD-0000189,SUP-000461,Components Product 00189,Components,20.86,33.35,Active
PROD-0000190,SUP-000098,Industrial Parts Product 00190,Industrial Parts,128.58,245.55,Active
PROD-0000191,SUP-000819,Packaging Product 00191,Packaging,44.01,75.12,Active
PROD-0000192,SUP-000063,Industrial Parts Product 00192,Industrial Parts,90.23,218.75,Active
PROD-0000193,SUP-000302,Raw Materials Product 00193,Raw Materials,13.26,29.24,Active
PROD-0000195,SUP-000893,Industrial Parts Product 00195,Industrial Parts,55.4,124.44,Active
PROD-0000196,SUP-000449,Finished Goods Product 00196,Finished Goods,88.13,178.43,Active
PROD-0000197,SUP-000608,Finished Goods Product 00197,Finished Goods,91.76,221.83,Active
PROD-0000198,SUP-000003,Raw Materials Product 00198,Raw Materials,23.96,42.3,Active
PROD-0000199,SUP-000268,Components Product 00199,Components,42.62,87.27,Active
PROD-0000200,SUP-000907,Components Product 00200,Components,27.7,66.42,Active
PROD-0000201,SUP-000242,Components Product 00201,Components,56.07,60.46,Active
PROD-0000202,SUP-000623,Raw Materials Product 00202,Raw Materials,10.09,21.05,Active
PROD-0000203,SUP-000548,Industrial Parts Product 00203,Industrial Parts,6.99,16.8,Active
PROD-0000204,SUP-000347,Raw Materials Product 00204,Raw Materials,41.6,84.25,Active
PROD-0000205,SUP-000035,Industrial Parts Product 00205,Industrial Parts,32.85,48.06,Active
PROD-0000206,SUP-000439,Raw Materials Product 00206,Raw Materials,41.18,53.32,Active
PROD-0000207,SUP-000560,Industrial Parts Product 00207,Industrial Parts,25.61,34.4,Active
PROD-0000208,SUP-001000,Components Product 00208,Components,78.83,113.33,Active
PROD-0000209,SUP-000732,Components Product 00209,Components,49.94,104.01,Active
PROD-0000210,SUP-000478,Components Product 00210,Components,22.7,34.25,Active
PROD-0000211,SUP-000367,Components Product 00211,Components,29.48,37.34,Active
PROD-0000212,SUP-000785,Industrial Parts Product 00212,Industrial Parts,7.68,10.17,Active
PROD-0000213,SUP-000948,Finished Goods Product 00213,Finished Goods,206.1,408.04,Active
PROD-0000214,SUP-000416,Industrial Parts Product 00214,Industrial Parts,26.81,51.47,Active
PROD-0000215,SUP-000413,Components Product 00215,Components,53.96,88.87,Active
PROD-0000216,SUP-000518,Industrial Parts Product 00216,Industrial Parts,41.05,96.41,Active
PROD-0000217,SUP-000364,Finished Goods Product 00217,Finished Goods,32.37,55.16,Active
PROD-0000218,SUP-000709,Components Product 00218,Components,38.75,89.0,Active
PROD-0000219,SUP-000591,Components Product 00219,Components,5.69,13.96,Active
PROD-0000220,SUP-000278,Industrial Parts Product 00220,Industrial Parts,56.12,124.97,Active
PROD-0000221,SUP-000275,Industrial Parts Product 00221,Industrial Parts,22.1,54.28,Active
PROD-0000222,SUP-000862,Raw Materials Product 00222,Raw Materials,58.84,114.22,Active
PROD-0000223,SUP-000235,Industrial Parts Product 00223,Industrial Parts,54.47,129.22,Active
PROD-0000224,SUP-000284,Finished Goods Product 00224,Finished Goods,30.7,41.23,Active
PROD-0000225,SUP-000863,Packaging Product 00225,Packaging,86.77,149.97,Active
PROD-0000226,SUP-000759,Industrial Parts Product 00226,Industrial Parts,150.54,323.37,Active
PROD-0000227,SUP-000131,Packaging Product 00227,Packaging,17.11,35.88,Active
PROD-0000228,SUP-000773,Packaging Product 00228,Packaging,21.57,32.31,Active
PROD-0000229,SUP-000125,Packaging Product 00229,Packaging,7.66,18.22,Active
PROD-0000230,SUP-000037,Components Product 00230,Components,31.01,49.63,Active
PROD-0000231,SUP-000652,Finished Goods Product 00231,Finished Goods,42.44,64.45,Active
PROD-0000232,SUP-000449,Industrial Parts Product 00232,Industrial Parts,16.62,39.27,Active
PROD-0000233,SUP-000008,Packaging Product 00233,Packaging,27.51,66.42,Active
PROD-0000234,SUP-000876,Components Product 00234,Components,168.51,257.75,Active
PROD-0000235,SUP-000566,Raw Materials Product 00235,Raw Materials,42.98,90.09,Active
PROD-0000236,SUP-000903,Raw Materials Product 00236,Raw Materials,30.44,64.33,Inactive
PROD-0000238,SUP-000231,Raw Materials Product 00238,Raw Materials,43.75,81.49,Active
PROD-0000239,SUP-000944,Industrial Parts Product 00239,Industrial Parts,6.27,15.36,Inactive
PROD-0000240,SUP-000593,Packaging Product 00240,Packaging,28.9,44.4,Active
PROD-0000241,SUP-000163,Finished Goods Product 00241,Finished Goods,23.29,52.08,Active
PROD-0000242,SUP-000156,Industrial Parts Product 00242,Industrial Parts,91.34,228.34,Active
PROD-0000243,SUP-000474,Raw Materials Product 00243,Raw Materials,25.88,57.84,Active
PROD-0000244,SUP-000786,Components Product 00244,Components,127.9,212.55,Active
PROD-0000245,SUP-000455,Raw Materials Product 00245,Raw Materials,66.54,97.0,Active
PROD-0000246,SUP-000109,Industrial Parts Product 00246,Industrial Parts,100.23,144.94,Active
PROD-0000247,SUP-000275,Industrial Parts Product 00247,Industrial Parts,18.19,44.63,Active
PROD-0000248,SUP-000887,Raw Materials Product 00248,Raw Materials,37.67,87.86,Active
PROD-0000249,SUP-000769,Industrial Parts Product 00249,Industrial Parts,155.47,236.66,Active
PROD-0000250,SUP-000762,Industrial Parts Product 00250,Industrial Parts,9.81,17.67,Active
PROD-0000251,SUP-000361,Components Product 00251,Components,53.23,114.4,Active
PROD-0000252,SUP-000467,Raw Materials Product 00252,Raw Materials,82.14,188.88,Inactive
PROD-0000253,SUP-000295,Raw Materials Product 00253,Raw Materials,29.97,71.52,Active
PROD-0000254,SUP-000561,Finished Goods Product 00254,Finished Goods,41.6,96.94,Active
PROD-0000255,SUP-000242,Industrial Parts Product 00255,Industrial Parts,97.89,225.71,Active
PROD-0000256,SUP-000510,Finished Goods Product 00256,Finished Goods,128.68,206.81,Active
PROD-0000257,SUP-000547,Finished Goods Product 00257,Finished Goods,9.38,23.23,Active
PROD-0000258,SUP-000197,Industrial Parts Product 00258,Industrial Parts,83.49,146.75,Active
PROD-0000259,SUP-000382,Finished Goods Product 00259,Finished Goods,13.2,28.17,Active
PROD-0000260,SUP-000422,Components Product 00260,Components,56.24,76.71,Active
PROD-0000261,SUP-000846,Finished Goods Product 00261,Finished Goods,9.04,11.07,Active
PROD-0000262,SUP-000539,Finished Goods Product 00262,Finished Goods,9.84,13.79,Active
PROD-0000263,SUP-000276,Components Product 00263,Components,209.56,384.87,Active
PROD-0000264,SUP-000103,Packaging Product 00264,Packaging,67.56,86.01,Active
PROD-0000265,SUP-000258,Finished Goods Product 00265,Finished Goods,5.78,12.12,Active
PROD-0000266,SUP-000038,Finished Goods Product 00266,Finished Goods,14.06,28.09,Active
PROD-0000267,SUP-000698,Raw Materials Product 00267,Raw Materials,16.18,28.83,Active
PROD-0000268,SUP-000196,Raw Materials Product 00268,Raw Materials,23.51,40.35,Active
PROD-0000269,SUP-000503,Components Product 00269,Components,16.12,32.82,Active
PROD-0000270,SUP-000894,Industrial Parts Product 00270,Industrial Parts,10.47,12.99,Active
PROD-0000271,SUP-000411,Components Product 00271,Components,20.04,26.65,Active
PROD-0000272,SUP-000259,Raw Materials Product 00272,Raw Materials,28.17,35.38,Active
PROD-0000273,SUP-000278,Industrial Parts Product 00273,Industrial Parts,15.27,37.74,Active
PROD-0000274,SUP-000647,Packaging Product 00274,Packaging,68.15,168.28,Active
PROD-0000275,SUP-000759,Packaging Product 00275,Packaging,13.49,21.82,Active
PROD-0000276,SUP-000867,Industrial Parts Product 00276,Industrial Parts,49.47,68.66,Active
PROD-0000277,SUP-000563,Finished Goods Product 00277,Finished Goods,43.85,86.58,Active
PROD-0000278,SUP-000211,Components Product 00278,Components,21.68,43.36,Active
PROD-0000279,SUP-000427,Finished Goods Product 00279,Finished Goods,19.95,42.79,Active
PROD-0000280,SUP-000734,Industrial Parts Product 00280,Industrial Parts,71.85,124.47,Active
PROD-0000281,SUP-000276,Industrial Parts Product 00281,Industrial Parts,16.96,33.28,Active
PROD-0000282,SUP-000589,Components Product 00282,Components,76.15,123.95,Active
PROD-0000283,SUP-000634,Finished Goods Product 00283,Finished Goods,33.02,41.16,Active
PROD-0000284,SUP-000909,Packaging Product 00284,Packaging,89.52,127.6,Active
PROD-0000285,SUP-000406,Finished Goods Product 00285,Finished Goods,9.48,11.84,Inactive
PROD-0000286,SUP-000392,Finished Goods Product 00286,Finished Goods,29.02,38.16,Active
PROD-0000287,SUP-000810,Industrial Parts Product 00287,Industrial Parts,18.6,26.89,Active
PROD-0000288,SUP-000051,Components Product 00288,Components,120.07,169.51,Active
PROD-0000289,SUP-000876,Components Product 00289,Components,38.17,54.85,Active
PROD-0000290,SUP-000905,Components Product 00290,Components,21.46,46.45,Active
PROD-0000291,SUP-000211,Packaging Product 00291,Packaging,13.35,33.35,Active
PROD-0000292,SUP-000922,Raw Materials Product 00292,Raw Materials,15.74,38.72,Active
PROD-0000293,SUP-000477,Finished Goods Product 00293,Finished Goods,46.3,65.91,Active
PROD-0000294,SUP-000265,Finished Goods Product 00294,Finished Goods,56.01,130.34,Active
PROD-0000295,SUP-000742,Components Product 00011,Components,122.89,273.88,Active
PROD-0000296,SUP-000421,Components Product 00296,Components,33.84,56.5,Active
PROD-0000297,SUP-000110,Finished Goods Product 00297,Finished Goods,6.62,14.18,Active
PROD-0000298,SUP-000451,Finished Goods Product 00298,Finished Goods,45.6,58.07,Active
PROD-0000299,SUP-000597,Components Product 00299,Components,49.26,69.48,Active
PROD-0000300,SUP-000053,Finished Goods Product 00300,Finished Goods,23.31,32.11,Active
PROD-0000301,SUP-000140,Finished Goods Product 00301,Finished Goods,53.78,80.38,Active
PROD-0000302,SUP-000434,Packaging Product 00302,Packaging,37.76,77.58,Active
PROD-0000303,SUP-000334,Finished Goods Product 00303,Finished Goods,3285.0,3285.0,Active
PROD-0000304,SUP-000166,Raw Materials Product 00304,Raw Materials,10.82,19.31,Active
PROD-0000305,SUP-000943,Raw Materials Product 00305,Raw Materials,46.88,85.63,Active
PROD-0000306,SUP-000411,Raw Materials Product 00306,Raw Materials,10.6,24.49,Active
PROD-0000307,SUP-000919,Raw Materials Product 00307,Raw Materials,14.52,20.31,Active
PROD-0000308,SUP-000436,Components Product 00308,Components,35.72,75.06,Active
PROD-0000309,SUP-000093,Raw Materials Product 00309,Raw Materials,20.81,29.57,Active
PROD-0000310,SUP-000420,Finished Goods Product 00310,Finished Goods,20.91,40.05,Active
PROD-0000311,SUP-000418,Components Product 00311,Components,34.93,50.28,Active
PROD-0000312,SUP-000601,Components Product 00312,Components,32.49,60.6,Active
PROD-0000313,SUP-000360,Components Product 00313,Components,10.11,12.69,Active
PROD-0000314,SUP-000732,Industrial Parts Product 00314,Industrial Parts,27.02,55.65,Active
PROD-0000315,SUP-000540,Raw Materials Product 00315,Raw Materials,66.73,124.36,Active
PROD-0000316,SUP-000374,Packaging Product 00316,Packaging,40.48,60.46,Active
PROD-0000317,SUP-000750,Finished Goods Product 00317,Finished Goods,170.63,215.22,Active
PROD-0000318,SUP-000776,Finished Goods Product 00318,Finished Goods,49.35,101.87,Active
PROD-0000319,SUP-000176,Components Product 00319,Components,115.46,162.18,Active
PROD-0000320,SUP-000837,Components Product 00320,Components,11.52,18.13,Active
PROD-0000321,SUP-000935,Industrial Parts Product 00321,Industrial Parts,30.6,71.17,Active
PROD-0000322,SUP-000328,Packaging Product 00322,Packaging,13.44,29.68,Active
PROD-0000323,SUP-000846,Components Product 00011,Components,17.5,34.91,Active
PROD-0000324,SUP-000181,Raw Materials Product 00324,Raw Materials,131.6,314.39,Active
PROD-0000325,SUP-000669,Packaging Product 00325,Packaging,7.96,60.46,Active
PROD-0000326,SUP-000457,Industrial Parts Product 00326,Industrial Parts,70.59,95.67,Active
PROD-0000327,SUP-000236,Raw Materials Product 00327,Raw Materials,48.68,89.97,Active
PROD-0000328,SUP-000354,Raw Materials Product 00328,Raw Materials,56.25,75.7,Active
PROD-0000329,SUP-000221,Raw Materials Product 00329,Raw Materials,25.66,59.53,Active
