financial_transaction_key,transaction_id,date_key,account_key,location_key,transaction_type,transaction_category,transaction_amount
38,FIN-000038,20200308,685,53,Revenue,Maintenance,28961.12
39,FIN-000039,20220531,597,5,Revenue,Sales Revenue,17760.26
40,FIN-000040,20231229,540,86,Revenue,Materials,40263.67
41,FIN-000041,20240609,535,23,Cost,Materials,18596.68
42,FIN-000042,20210216,635,15,Cost,Utilities,48687.45
43,FIN-000043,20190101,35,67,Revenue,Utilities,6675.1
44,FIN-000044,20250707,812,86,Revenue,Sales Revenue,35790.83
45,FIN-000045,20251226,468,28,Cost,Operating Expense,25705.01
46,FIN-000046,20210410,843,3,Revenue,Utilities,29350.93
47,FIN-000047,20230303,515,32,Expense,Utilities,35972.33
48,FIN-000048,20250524,684,90,Expense,Utilities,16751.11
49,FIN-000049,20190601,642,34,Expense,Payroll,13015.16
50,FIN-000050,20240424,889,30,Revenue,Operating Expense,9873.88
51,FIN-000051,20230608,663,21,Revenue,Sales Revenue,40742.15
52,FIN-000052,20210112,807,90,Expense,Operating Expense,49498.61
53,FIN-000053,20231217,656,67,Expense,Materials,42623.24
54,FIN-000054,20231230,898,3,Expense,Payroll,16336.72
55,FIN-000055,20250709,493,87,Revenue,Utilities,5636.67
56,FIN-000056,20240323,996,14,Expense,Maintenance,33748.54
57,FIN-000057,20241230,451,94,Revenue,Maintenance,1759.4
58,FIN-000058,20231007,757,40,Expense,Utilities,35976.21
59,FIN-000059,20201102,564,75,Revenue,Maintenance,20919.41
60,FIN-000060,20200203,976,76,Expense,Utilities,9296.19
61,FIN-000061,20250910,107,93,Expense,Maintenance,19649.7
62,FIN-000062,20240130,691,94,Expense,Utilities,24389.65
63,FIN-000063,20231111,369,78,Revenue,Operating Expense,25431.87
64,FIN-000064,20220903,424,38,Expense,Utilities,40180.49
65,FIN-000065,20250408,21,82,Cost,Payroll,27200.11
66,FIN-000066,20240723,486,1,Revenue,Sales Revenue,23987.05
67,FIN-000067,20210415,501,79,Revenue,Operating Expense,12109.05
68,FIN-000068,20250326,698,51,Expense,Utilities,11327.94
69,FIN-000069,20250415,199,27,Revenue,Maintenance,26421.84
70,FIN-000070,20220802,640,39,Expense,Payroll,4229.87
71,FIN-000071,20250724,417,64,Cost,Payroll,41200.14
72,FIN-000072,20220704,876,42,Cost,Utilities,40947.16
73,FIN-000073,20250616,206,1,Cost,Materials,25870.11
74,FIN-000074,20200405,896,95,Expense,Sales Revenue,16121.34
75,FIN-000075,20191216,283,35,Expense,Payroll,13979.27
76,FIN-000076,20240529,159,75,Cost,Materials,27816.96
77,FIN-000077,20210904,473,12,Cost,Maintenance,21454.04
78,FIN-000078,20210908,216,57,Revenue,Payroll,10038.83
79,FIN-000079,20201003,651,58,Cost,Materials,18026.89
80,FIN-000080,20210615,623,91,Expense,Utilities,12561.83
81,FIN-000081,20210603,340,43,Cost,Maintenance,14922.6
82,FIN-000082,20191109,260,44,Cost,Sales Revenue,42223.98
83,FIN-000083,20190410,657,67,Cost,Utilities,10456.0
84,FIN-000084,20230525,317,79,Cost,Materials,10783.46
85,FIN-000085,20230821,276,80,Revenue,Materials,27118.28
86,FIN-000086,20191006,846,16,Cost,Utilities,47313.25
87,FIN-000087,20210119,117,81,Revenue,Payroll,9883.97
88,FIN-000088,20220626,369,57,Revenue,Materials,39966.49
89,FIN-000089,20210715,230,19,Cost,Utilities,30258.15
90,FIN-000090,20220903,580,22,Cost,Sales Revenue,4088.9
91,FIN-000091,20230202,938,75,Revenue,Materials,32786.6
92,FIN-000092,20230503,97,31,Expense,Operating Expense,43583.33
93,FIN-000093,20210310,850,19,Expense,Operating Expense,44074.54
94,FIN-000094,20191020,525,96,Revenue,Utilities,39414.27
95,FIN-000095,20211228,367,12,Expense,Operating Expense,48136.7
96,FIN-000096,20230503,839,59,Cost,Operating Expense,30657.47
97,FIN-000097,20200919,691,38,Revenue,Maintenance,27817.16
98,FIN-000098,20190313,651,15,Expense,Operating Expense,5384.69
99,FIN-000099,20210719,114,1,Cost,Materials,24296.87
100,FIN-000100,20200615,462,96,Cost,Sales Revenue,12671.78
101,FIN-000101,20201108,823,92,Cost,Maintenance,39567.58
102,FIN-000102,20200816,990,8,Cost,Sales Revenue,271.57
103,FIN-000103,20220628,537,42,Expense,Sales Revenue,15566.3
104,FIN-000104,20230227,488,27,Expense,Operating Expense,5130.83
105,FIN-000105,20220106,668,16,Expense,Sales Revenue,18655.23
106,FIN-000106,20220614,9,24,Expense,Payroll,35802.72
107,FIN-000107,20240221,625,18,Revenue,Operating Expense,45464.71
108,FIN-000108,20221221,13,81,Cost,Operating Expense,19094.86
109,FIN-000109,20250417,970,71,Cost,Payroll,42095.73
110,FIN-000110,20220902,794,26,Expense,Sales Revenue,37148.87
111,FIN-000111,20221208,125,89,Cost,Sales Revenue,26219.68
112,FIN-000112,20241215,198,35,Revenue,Materials,12023.21
113,FIN-000113,20200730,552,29,Expense,Operating Expense,17379.44
114,FIN-000114,20250917,565,36,Cost,Maintenance,27493.84
115,FIN-000115,20240930,463,18,Cost,Utilities,32434.61
116,FIN-000116,20220528,920,39,Revenue,Utilities,25481.87
117,FIN-000117,20210111,323,17,Cost,Payroll,7124.15
118,FIN-000118,20220106,419,26,Revenue,Maintenance,37399.78
119,FIN-000119,20240414,127,100,Cost,Materials,44488.0
120,FIN-000120,20220527,154,62,Cost,Maintenance,12245.17
121,FIN-000121,20221201,74,25,Cost,Operating Expense,17207.41
122,FIN-000122,20240924,344,84,Cost,Maintenance,11928.98
123,FIN-000123,20200927,139,44,Cost,Maintenance,24019.12
124,FIN-000124,20250216,84,88,Cost,Sales Revenue,13343.52
125,FIN-000125,20200219,48,51,Cost,Utilities,3610.26
126,FIN-000126,20230916,616,100,Expense,Payroll,37529.02
127,FIN-000127,20251129,444,90,Expense,Payroll,38213.56
128,FIN-000128,20230807,803,46,Expense,Operating Expense,29890.84
129,FIN-000129,20220812,571,42,Cost,Materials,34869.8
130,FIN-000130,20230316,593,2,Cost,Operating Expense,16399.02
131,FIN-000131,20221029,568,9,Revenue,Maintenance,39333.86
132,FIN-000132,20240312,665,77,Expense,Materials,39478.88
133,FIN-000133,20191204,196,38,Cost,Maintenance,45621.86
134,FIN-000134,20240629,590,91,Expense,Materials,31108.15
135,FIN-000135,20250703,636,76,Cost,Maintenance,31866.87
136,FIN-000136,20240508,252,30,Revenue,Sales Revenue,2416.53
137,FIN-000137,20251222,486,17,Revenue,Utilities,24837.17
138,FIN-000138,20220806,658,31,Revenue,Materials,26003.28
139,FIN-000139,20220812,502,41,Cost,Maintenance,20320.43
140,FIN-000140,20190711,402,73,Cost,Sales Revenue,47910.8
141,FIN-000141,20230409,414,1,Cost,Payroll,2686.92
142,FIN-000142,20190923,66,43,Expense,Sales Revenue,1121.04
143,FIN-000143,20220106,640,56,Expense,Materials,38283.96
144,FIN-000144,20190426,985,44,Revenue,Sales Revenue,15170.04
145,FIN-000145,20221226,114,94,Expense,Utilities,18427.47
146,FIN-000146,20200226,666,1,Cost,Payroll,2768.2
147,FIN-000147,20240627,119,9,Expense,Sales Revenue,46314.25
148,FIN-000148,20250730,838,2,Expense,Sales Revenue,45687.56
149,FIN-000149,20220225,297,34,Expense,Maintenance,21033.39
150,FIN-000150,20191117,196,68,Expense,Payroll,44861.68
151,FIN-000151,20240330,267,41,Expense,Utilities,47602.7
152,FIN-000152,20210710,111,39,Expense,Operating Expense,41860.9
153,FIN-000153,20210920,464,89,Cost,Operating Expense,42417.02
154,FIN-000154,20240404,557,74,Revenue,Materials,2105.25
155,FIN-000155,20251011,201,98,Revenue,Operating Expense,30603.95
156,FIN-000156,20210828,790,29,Cost,Sales Revenue,47188.42
157,FIN-000157,20241109,493,60,Cost,Operating Expense,2208.96
158,FIN-000158,20201118,260,91,Cost,Payroll,27627.75
159,FIN-000159,20251015,568,86,Expense,Sales Revenue,30257.28
160,FIN-000160,20210429,436,8,Expense,Payroll,38522.05
161,FIN-000161,20241217,634,17,Revenue,Maintenance,14618.54
162,FIN-000162,20210727,74,96,Revenue,Maintenance,38935.93
163,FIN-000163,20250426,735,46,Revenue,Operating Expense,40289.41
164,FIN-000164,20241128,250,68,Expense,Utilities,32048.58
165,FIN-000165,20190925,784,72,Revenue,Operating Expense,6628.88
166,FIN-000166,20240310,792,39,Expense,Utilities,3005.82
167,FIN-000167,20191231,926,13,Expense,Operating Expense,39898.36
168,FIN-000168,20200229,292,20,Revenue,Materials,43977.84
169,FIN-000169,20200202,124,20,Cost,Payroll,24880.24
170,FIN-000170,20211229,436,41,Cost,Payroll,9694.36
171,FIN-000171,20250103,342,17,Revenue,Sales Revenue,46237.58
172,FIN-000172,20190929,507,53,Expense,Maintenance,6430.13
173,FIN-000173,20210420,251,65,Cost,Maintenance,43946.68
174,FIN-000174,20240521,852,93,Cost,Sales Revenue,4781.24
175,FIN-000175,20240928,138,25,Expense,Operating Expense,42997.72
176,FIN-000176,20190504,877,86,Expense,Materials,17099.5
177,FIN-000177,20240402,796,63,Expense,Maintenance,36816.6
178,FIN-000178,20190902,287,14,Expense,Utilities,14267.44
179,FIN-000179,20201110,121,85,Revenue,Maintenance,43478.71
180,FIN-000180,20250901,757,27,Revenue,Sales Revenue,26934.17
181,FIN-000181,20231005,18,71,Cost,Materials,33251.01
182,FIN-000182,20201012,803,61,Revenue,Maintenance,1547.05
183,FIN-000183,20210113,551,37,Revenue,Materials,30046.89
184,FIN-000184,20230801,41,6,Cost,Payroll,14180.96
185,FIN-000185,20220710,800,69,Expense,Utilities,25685.89
186,FIN-000186,20240404,360,91,Cost,Materials,13933.0
187,FIN-000187,20240526,768,51,Cost,Operating Expense,38552.76
188,FIN-000188,20251215,141,55,Cost,Sales Revenue,48579.02
189,FIN-000189,20200113,31,67,Revenue,Utilities,27272.17
190,FIN-000190,20220610,16,65,Cost,Utilities,34311.88
191,FIN-000191,20200609,596,20,Cost,Materials,18347.81
192,FIN-000192,20190208,848,19,Expense,Materials,29295.52
193,FIN-000193,20220704,591,37,Revenue,Operating Expense,42903.5
194,FIN-000194,20210327,363,49,Revenue,Materials,933.59
195,FIN-000195,20241204,662,92,Revenue,Payroll,14895.82
196,FIN-000196,20240607,963,89,Revenue,Sales Revenue,32113.57
197,FIN-000197,20230114,318,77,Cost,Sales Revenue,44683.63
198,FIN-000198,20230403,924,34,Expense,Utilities,7135.3
199,FIN-000199,20241214,867,74,Expense,Payroll,9611.22
200,FIN-000200,20240408,18,16,Revenue,Operating Expense,14743.3
201,FIN-000201,20231012,732,32,Cost,Utilities,9569.47
202,FIN-000202,20251206,513,82,Cost,Sales Revenue,33260.33
203,FIN-000203,20210423,645,98,Revenue,Materials,17249.35
204,FIN-000204,20231127,516,23,Cost,Materials,41742.42
205,FIN-000205,20200517,207,52,Expense,Materials,47128.31
206,FIN-000206,20210505,24,23,Expense,Utilities,44453.98
207,FIN-000207,20240831,104,59,Cost,Operating Expense,6818.35
208,FIN-000208,20191206,528,25,Cost,Operating Expense,17180.02
209,FIN-000209,20230502,932,10,Revenue,Utilities,29433.15
210,FIN-000210,20200122,228,22,Expense,Maintenance,43172.75
211,FIN-000211,20230708,646,65,Revenue,Operating Expense,29946.74
212,FIN-000212,20210408,260,94,Expense,Maintenance,26836.48
213,FIN-000213,20210127,67,68,Expense,Sales Revenue,4183.34
214,FIN-000214,20210513,637,4,Revenue,Payroll,47912.78
215,FIN-000215,20200421,806,38,Revenue,Operating Expense,15572.59
216,FIN-000216,20220901,642,16,Expense,Materials,46929.71
217,FIN-000217,20230403,630,31,Revenue,Sales Revenue,49090.13
218,FIN-000218,20211107,794,77,Expense,Maintenance,35996.81
219,FIN-000219,20200519,108,89,Expense,Utilities,31057.91
220,FIN-000220,20241022,983,96,Expense,Maintenance,24852.89
221,FIN-000221,20191025,102,29,Expense,Sales Revenue,40649.95
222,FIN-000222,20191102,886,31,Revenue,Materials,6809.16
223,FIN-000223,20230731,173,50,Expense,Operating Expense,2476.46
224,FIN-000224,20251010,207,43,Revenue,Maintenance,29115.79
225,FIN-000225,20220131,994,19,Cost,Sales Revenue,21497.61
226,FIN-000226,20240729,335,79,Expense,Payroll,3909.13
227,FIN-000227,20190803,124,52,Revenue,Maintenance,34965.94
228,FIN-000228,20230511,687,21,Revenue,Utilities,45032.9
229,FIN-000229,20190203,559,88,Expense,Operating Expense,23352.03
230,FIN-000230,20250731,910,47,Revenue,Materials,27690.06
231,FIN-000231,20191120,346,58,Expense,Maintenance,38112.05
232,FIN-000232,20211104,860,33,Cost,Utilities,29956.06
233,FIN-000233,20230521,815,96,Revenue,Maintenance,7169.94
234,FIN-000234,20240815,438,91,Cost,Materials,37711.42
235,FIN-000235,20210119,454,49,Cost,Operating Expense,37251.09
236,FIN-000236,20250802,571,88,Revenue,Payroll,21337.43
237,FIN-000237,20230716,148,65,Cost,Sales Revenue,3685.85
238,FIN-000238,20230921,396,30,Cost,Payroll,21540.42
239,FIN-000239,20190209,306,39,Expense,Sales Revenue,36720.61
240,FIN-000240,20200325,593,33,Cost,Maintenance,30511.34
241,FIN-000241,20250910,487,80,Cost,Operating Expense,48295.45
242,FIN-000242,20210622,900,99,Cost,Payroll,27161.2
243,FIN-000243,20221122,945,26,Cost,Materials,144.35
244,FIN-000244,20220822,242,70,Revenue,Payroll,32763.28
245,FIN-000245,20251130,917,83,Expense,Operating Expense,14539.05
246,FIN-000246,20220314,215,67,Cost,Utilities,3286.78
247,FIN-000247,20251108,618,58,Revenue,Sales Revenue,1377.47
248,FIN-000248,20240205,279,54,Cost,Materials,40153.73
249,FIN-000249,20190425,281,62,Expense,Maintenance,802.35
250,FIN-000250,20231102,374,88,Expense,Utilities,23681.27
251,FIN-000251,20240623,210,44,Expense,Sales Revenue,33672.39
252,FIN-000252,20210717,963,57,Expense,Payroll,27685.32
253,FIN-000253,20200212,363,35,Revenue,Payroll,17666.79
254,FIN-000254,20231223,180,21,Cost,Maintenance,15896.48
255,FIN-000255,20200807,691,76,Revenue,Operating Expense,9556.2
256,FIN-000256,20200612,810,62,Cost,Maintenance,21620.62
257,FIN-000257,20210306,232,15,Cost,Maintenance,30507.38
258,FIN-000258,20200912,410,46,Cost,Maintenance,46799.7
259,FIN-000259,20221119,797,68,Revenue,Operating Expense,41878.88
260,FIN-000260,20220904,114,97,Expense,Utilities,38916.08
261,FIN-000261,20220815,153,58,Cost,Materials,48744.22
262,FIN-000262,20220824,328,10,Cost,Materials,21892.25
263,FIN-000263,20220403,196,50,Expense,Utilities,34911.64
264,FIN-000264,20230726,158,30,Cost,Sales Revenue,9665.28
265,FIN-000265,20211016,741,48,Cost,Materials,4729.56
266,FIN-000266,20220328,599,96,Revenue,Sales Revenue,32681.74
267,FIN-000267,20250426,182,25,Revenue,Payroll,5594.12
268,FIN-000268,20250528,832,56,Revenue,Payroll,43470.17
269,FIN-000269,20241204,796,92,Revenue,Materials,2841.76
270,FIN-000270,20200216,125,46,Expense,Sales Revenue,29998.99
271,FIN-000271,20241208,216,24,Cost,Materials,15720.68
272,FIN-000272,20200205,5,35,Cost,Payroll,36878.23
273,FIN-000273,20240305,176,39,Expense,Sales Revenue,15551.16
274,FIN-000274,20250312,977,99,Revenue,Utilities,9505.76
275,FIN-000275,20240929,258,76,Revenue,Maintenance,3601.66
276,FIN-000276,20241103,230,92,Expense,Materials,14568.48
277,FIN-000277,20230905,438,16,Expense,Maintenance,20178.26
278,FIN-000278,20220817,996,78,Cost,Materials,871.96
279,FIN-000279,20220326,973,66,Expense,Maintenance,19927.62
280,FIN-000280,20240211,948,59,Expense,Maintenance,10376.67
281,FIN-000281,20211104,406,49,Expense,Materials,1745.16
282,FIN-000282,20230304,123,50,Revenue,Maintenance,43182.05
283,FIN-000283,20191111,60,77,Expense,Materials,7467.48
284,FIN-000284,20210924,698,95,Expense,Sales Revenue,19574.63
285,FIN-000285,20230723,186,36,Revenue,Utilities,450.95
286,FIN-000286,20220214,661,17,Expense,Materials,26449.93
287,FIN-000287,20230628,224,26,Expense,Payroll,34883.26
288,FIN-000288,20221119,604,4,Revenue,Maintenance,34878.31
289,FIN-000289,20200515,450,76,Cost,Utilities,20528.52
290,FIN-000290,20220331,420,13,Revenue,Maintenance,977.32
291,FIN-000291,20240725,86,70,Revenue,Operating Expense,26541.55
292,FIN-000292,20240604,945,87,Cost,Maintenance,10798.98
293,FIN-000293,20240201,56,58,Expense,Operating Expense,1460.34
294,FIN-000294,20201226,559,69,Revenue,Sales Revenue,32385.89
295,FIN-000295,20210130,131,56,Revenue,Utilities,22537.39
296,FIN-000296,20221207,467,8,Expense,Materials,15478.55
297,FIN-000297,20240606,568,18,Cost,Utilities,29318.14
298,FIN-000298,20201202,109,13,Cost,Operating Expense,34006.99
299,FIN-000299,20250308,830,14,Revenue,Sales Revenue,19600.23
300,FIN-000300,20240914,197,34,Revenue,Materials,33424.47
301,FIN-000301,20230126,999,96,Expense,Utilities,30829.59
302,FIN-000302,20221222,757,17,Revenue,Maintenance,3908.88
303,FIN-000303,20230906,691,95,Revenue,Sales Revenue,6960.51
304,FIN-000304,20231118,514,86,Expense,Utilities,41014.74
305,FIN-000305,20221224,862,32,Revenue,Sales Revenue,6841.19
306,FIN-000306,20230701,856,41,Cost,Payroll,39723.17
307,FIN-000307,20220304,236,18,Revenue,Maintenance,29549.4
308,FIN-000308,20220105,272,76,Cost,Operating Expense,8094.07
309,FIN-000309,20230724,734,29,Cost,Operating Expense,28331.78
310,FIN-000310,20220728,253,89,Revenue,Operating Expense,7647.15
311,FIN-000311,20240405,583,31,Cost,Sales Revenue,18603.88
312,FIN-000312,20250812,363,49,Revenue,Utilities,30685.71
313,FIN-000313,20220127,525,33,Expense,Operating Expense,39844.42
314,FIN-000314,20240425,587,8,Expense,Materials,8722.55
315,FIN-000315,20191210,173,29,Revenue,Payroll,40124.03
316,FIN-000316,20210118,689,11,Revenue,Maintenance,619.32
317,FIN-000317,20200317,856,1,Expense,Utilities,108.38
318,FIN-000318,20200826,107,31,Expense,Payroll,49664.64
319,FIN-000319,20240325,72,21,Cost,Sales Revenue,6476.38
320,FIN-000320,20210915,959,40,Cost,Sales Revenue,985.27
321,FIN-000321,20211104,146,76,Cost,Materials,35545.6
322,FIN-000322,20250824,223,4,Revenue,Utilities,45572.62
323,FIN-000323,20251211,488,49,Revenue,Maintenance,48762.78
324,FIN-000324,20250803,292,55,Expense,Utilities,32639.51
325,FIN-000325,20220716,804,21,Cost,Sales Revenue,3633.16
326,FIN-000326,20200715,592,27,Revenue,Payroll,42026.43
327,FIN-000327,20210128,158,84,Expense,Maintenance,45331.19
328,FIN-000328,20190807,695,27,Cost,Maintenance,49602.57
329,FIN-000329,20200922,178,23,Expense,Utilities,7662.1
330,FIN-000330,20200531,837,52,Expense,Utilities,24188.58
331,FIN-000331,20240128,288,58,Cost,Utilities,44959.18
332,FIN-000332,20220515,901,20,Expense,Payroll,43090.39
333,FIN-000333,20250705,787,15,Revenue,Sales Revenue,21319.84
334,FIN-000334,20250619,356,38,Expense,Sales Revenue,46487.34
335,FIN-000335,20210309,9,46,Cost,Sales Revenue,5846.72
336,FIN-000336,20250128,540,76,Revenue,Operating Expense,34977.74
337,FIN-000337,20240818,688,37,Expense,Utilities,13334.65
338,FIN-000338,20210227,696,52,Cost,Utilities,41077.06
339,FIN-000339,20220225,122,70,Cost,Utilities,13825.39
340,FIN-000340,20250206,594,13,Cost,Sales Revenue,47381.75
341,FIN-000341,20191105,651,78,Revenue,Payroll,43314.93
342,FIN-000342,20230127,693,39,Cost,Materials,40569.95
343,FIN-000343,20191013,508,39,Cost,Utilities,49167.19
344,FIN-000344,20210107,284,12,Cost,Sales Revenue,5196.8
345,FIN-000345,20230312,212,80,Cost,Sales Revenue,42802.31
346,FIN-000346,20220107,597,40,Cost,Maintenance,7182.75
347,FIN-000347,20200602,188,27,Revenue,Utilities,47518.69
348,FIN-000348,20241117,677,4,Revenue,Maintenance,35734.16
349,FIN-000349,20220608,331,15,Cost,Maintenance,35384.56
350,FIN-000350,20221230,579,28,Expense,Maintenance,46089.72
351,FIN-000351,20211221,760,98,Revenue,Materials,49862.35
352,FIN-000352,20250519,417,95,Cost,Materials,3066.8
353,FIN-000353,20211023,843,92,Cost,Payroll,48312.81
354,FIN-000354,20211017,624,50,Revenue,Payroll,45029.2
355,FIN-000355,20230726,14,15,Expense,Sales Revenue,20829.41
356,FIN-000356,20230521,277,59,Cost,Operating Expense,49017.5
357,FIN-000357,20250810,951,98,Revenue,Payroll,36954.49
358,FIN-000358,20220512,778,51,Revenue,Payroll,24314.05
359,FIN-000359,20220729,442,71,Cost,Operating Expense,6460.0
360,FIN-000360,20220311,667,44,Revenue,Sales Revenue,44725.99
361,FIN-000361,20220827,57,67,Revenue,Operating Expense,40490.32
362,FIN-000362,20231225,804,49,Cost,Payroll,42554.33
363,FIN-000363,20200621,303,12,Cost,Payroll,44321.18
364,FIN-000364,20241231,37,95,Cost,Operating Expense,32731.55
365,FIN-000365,20231128,954,5,Expense,Maintenance,12943.57
366,FIN-000366,20240927,393,33,Expense,Maintenance,16934.37
367,FIN-000367,20201211,681,51,Revenue,Sales Revenue,30135.66
368,FIN-000368,20241225,896,85,Revenue,Sales Revenue,3518.2
369,FIN-000369,20230105,819,85,Revenue,Materials,18629.12
370,FIN-000370,20210124,802,16,Cost,Utilities,44329.61
371,FIN-000371,20251110,620,71,Expense,Operating Expense,18012.92
372,FIN-000372,20201021,736,76,Revenue,Sales Revenue,26575.25
373,FIN-000373,20200713,402,59,Expense,Sales Revenue,5844.04
374,FIN-000374,20221104,982,29,Expense,Utilities,16088.61
375,FIN-000375,20200414,759,19,Cost,Utilities,20444.0
376,FIN-000376,20220814,939,32,Cost,Operating Expense,12909.34
377,FIN-000377,20200630,938,51,Revenue,Materials,39416.34
378,FIN-000378,20220201,709,56,Expense,Payroll,20111.57
379,FIN-000379,20220917,303,66,Cost,Sales Revenue,47176.62
380,FIN-000380,20201112,998,1,Cost,Maintenance,42467.76
381,FIN-000381,20210324,128,89,Cost,Utilities,49669.5
382,FIN-000382,20220716,452,17,Revenue,Maintenance,36847.77
383,FIN-000383,20230211,146,5,Revenue,Maintenance,32701.04
384,FIN-000384,20220427,806,11,Revenue,Maintenance,7837.75
385,FIN-000385,20210629,350,44,Cost,Operating Expense,7806.89
386,FIN-000386,20230615,885,11,Revenue,Payroll,19247.73
387,FIN-000387,20221123,274,94,Cost,Utilities,49594.65
388,FIN-000388,20190323,454,20,Expense,Payroll,28498.55
389,FIN-000389,20250715,895,100,Expense,Utilities,22137.98
390,FIN-000390,20240831,743,6,Expense,Materials,32152.16
391,FIN-000391,20250619,78,8,Cost,Operating Expense,7850.63
392,FIN-000392,20210618,923,33,Revenue,Maintenance,47629.92
393,FIN-000393,20200706,378,91,Cost,Sales Revenue,43807.46
394,FIN-000394,20220206,416,6,Revenue,Materials,10548.18
395,FIN-000395,20190714,238,54,Cost,Sales Revenue,32624.72
396,FIN-000396,20210703,888,68,Cost,Utilities,33174.42
397,FIN-000397,20221031,421,16,Revenue,Sales Revenue,25930.53
398,FIN-000398,20210124,858,16,Revenue,Sales Revenue,17790.43
399,FIN-000399,20190402,582,69,Expense,Utilities,8699.35
400,FIN-000400,20220605,641,17,Expense,Maintenance,9452.08
401,FIN-000401,20230409,4,4,Revenue,Maintenance,33909.65
402,FIN-000402,20191026,899,34,Expense,Materials,16083.65
403,FIN-000403,20240213,630,59,Revenue,Materials,47788.52
404,FIN-000404,20250211,467,69,Revenue,Utilities,43944.74
405,FIN-000405,20211003,855,44,Cost,Utilities,13626.66
406,FIN-000406,20220627,775,20,Revenue,Payroll,7188.35
407,FIN-000407,20200629,437,74,Expense,Utilities,24278.28
408,FIN-000408,20250415,635,46,Expense,Utilities,13056.19
409,FIN-000409,20201130,323,23,Revenue,Operating Expense,16381.49
410,FIN-000410,20210429,910,83,Cost,Utilities,30631.72
411,FIN-000411,20200629,627,34,Cost,Utilities,25065.57
412,FIN-000412,20210125,629,90,Revenue,Materials,17128.0
413,FIN-000413,20250423,313,8,Revenue,Operating Expense,16796.46
414,FIN-000414,20200627,775,43,Cost,Maintenance,46115.53
415,FIN-000415,20221107,592,65,Expense,Operating Expense,12263.4
416,FIN-000416,20210507,667,30,Revenue,Sales Revenue,5627.86
417,FIN-000417,20231001,497,21,Expense,Sales Revenue,40057.81
418,FIN-000418,20190318,953,25,Expense,Sales Revenue,25409.24
419,FIN-000419,20220221,884,5,Revenue,Sales Revenue,4654.56
420,FIN-000420,20240128,452,27,Cost,Operating Expense,47650.17
421,FIN-000421,20240107,511,9,Cost,Utilities,18049.23
422,FIN-000422,20191109,763,74,Revenue,Payroll,41436.76
423,FIN-000423,20230829,991,90,Cost,Sales Revenue,22670.45
424,FIN-000424,20241229,954,96,Revenue,Maintenance,16427.84
425,FIN-000425,20190216,80,34,Expense,Payroll,31152.41
426,FIN-000426,20210630,539,37,Expense,Operating Expense,43579.15
427,FIN-000427,20240726,293,69,Expense,Materials,41855.57
428,FIN-000428,20230908,257,80,Cost,Sales Revenue,11518.66
429,FIN-000429,20251228,641,77,Revenue,Sales Revenue,46704.07
430,FIN-000430,20250913,704,42,Cost,Maintenance,49426.26
431,FIN-000431,20190225,8,57,Expense,Sales Revenue,6978.2
