maintenance_key,maintenance_id,date_key,location_key,machine_key,employee_key,maintenance_type,maintenance_hours,downtime_hours,maintenance_cost
104,MNT-000104,20200308,80,279,2008,Corrective,1.32,1.36,4774.71
105,MNT-000105,20231113,77,68,4803,Preventive,4.14,21.34,7382.19
106,MNT-000106,20210112,68,1823,20,Inspection,6.66,11.46,1612.94
107,MNT-000107,20250915,73,1593,986,Preventive,4.93,4.93,766.63
108,MNT-000108,20190926,61,504,4212,Inspection,6.72,8.86,9932.49
109,MNT-000109,20190122,48,937,3248,Corrective,1.5,18.03,3935.92
110,MNT-000110,20230123,33,1945,2417,Preventive,7.49,5.58,1936.04
111,MNT-000111,20201028,54,914,657,Corrective,4.3,14.41,859.5
112,MNT-000112,20240715,21,1462,3173,Preventive,1.56,11.01,5062.25
113,MNT-000113,20240229,97,1567,4611,Corrective,2.92,7.55,9832.52
114,MNT-000114,20210713,72,309,3347,Corrective,2.39,13.98,4877.34
115,MNT-000115,20240517,56,1585,325,Corrective,6.5,18.4,9345.29
116,MNT-000116,20241119,92,1385,589,Preventive,5.74,16.27,7823.91
117,MNT-000117,20211211,98,284,2189,Preventive,4.19,8.87,3135.01
118,MNT-000118,20190802,53,567,3532,Preventive,2.25,1.86,5557.77
119,MNT-000119,20210516,69,928,2920,Corrective,5.23,15.95,9508.69
120,MNT-000120,20210703,14,70,3689,Preventive,7.64,19.56,4660.25
121,MNT-000121,20210709,46,1899,3923,Inspection,5.17,22.38,1644.02
122,MNT-000122,20210311,16,1634,1870,Preventive,3.46,1.41,3350.1
123,MNT-000123,20220630,12,1275,3541,Inspection,4.94,3.26,6971.22
124,MNT-000124,20241125,52,1327,4395,Corrective,3.18,1.13,2065.81
125,MNT-000125,20210905,19,1125,1168,Preventive,6.6,7.33,4537.92
126,MNT-000126,20230123,73,1090,2526,Preventive,1.99,12.31,240.69
127,MNT-000127,20201113,83,653,2013,Preventive,7.4,16.85,7283.01
128,MNT-000128,20220107,50,789,4951,Preventive,0.93,4.53,6305.51
129,MNT-000129,20190731,17,1883,1478,Corrective,3.32,15.35,8022.89
130,MNT-000130,20220420,17,1538,653,Preventive,0.85,8.83,7455.84
131,MNT-000131,20230520,33,1265,3229,Preventive,3.19,17.75,7010.41
132,MNT-000132,20211220,87,1495,1282,Corrective,7.62,2.57,2917.13
133,MNT-000133,20221231,45,308,2733,Inspection,2.0,1.1,3284.88
134,MNT-000134,20241102,58,1532,4724,Inspection,5.18,23.73,5709.28
135,MNT-000135,20220728,55,460,4492,Corrective,3.24,2.41,198.82
136,MNT-000136,20200909,73,1548,933,Inspection,6.69,16.2,8066.16
137,MNT-000137,20201214,35,1267,4413,Inspection,7.5,20.21,6209.03
138,MNT-000138,20240414,21,1850,372,Inspection,4.42,19.5,2054.92
139,MNT-000139,20210629,35,207,3844,Inspection,4.0,3.62,4848.17
140,MNT-000140,20250617,7,1177,3540,Inspection,3.05,19.36,911.52
141,MNT-000141,20190106,48,1891,2006,Inspection,1.66,14.07,9999.91
142,MNT-000142,20240128,97,1986,1173,Inspection,0.93,8.91,8724.77
143,MNT-000143,20200823,22,1358,2585,Preventive,1.04,20.68,843.27
144,MNT-000144,20190311,63,171,431,Inspection,2.32,22.32,7210.44
145,MNT-000145,20250510,25,1021,2918,Corrective,6.0,17.6,4297.84
146,MNT-000146,20190113,7,1177,3864,Corrective,3.84,17.02,4919.26
147,MNT-000147,20241108,84,1603,657,Corrective,4.87,16.5,3039.29
148,MNT-000148,20231205,19,1125,663,Preventive,1.11,4.0,1164.53
149,MNT-000149,20200914,80,1298,361,Preventive,7.05,12.51,8521.56
150,MNT-000150,20190909,62,1379,810,Corrective,3.58,20.75,6163.56
151,MNT-000151,20201203,39,487,3606,Preventive,5.82,10.02,7707.1
152,MNT-000152,20240517,15,480,3424,Corrective,1.91,21.38,2433.54
153,MNT-000153,20190323,8,1291,4409,Corrective,3.73,10.97,604.42
154,MNT-000154,20221101,32,1676,1946,Preventive,5.87,3.19,6041.64
155,MNT-000155,20230126,99,561,2348,Corrective,1.64,13.94,2646.33
156,MNT-000156,20241222,40,352,3337,Preventive,7.0,21.05,1230.2
157,MNT-000157,20190111,75,935,2040,Inspection,1.6,4.51,6595.2
158,MNT-000158,20190608,100,1242,3742,Preventive,0.52,19.34,9274.74
159,MNT-000159,20240503,94,1365,258,Preventive,0.6,5.47,218.9
160,MNT-000160,20230807,21,1523,4285,Preventive,3.09,16.93,9764.51
161,MNT-000161,20220822,83,1811,385,Preventive,3.81,9.65,9861.77
162,MNT-000162,20201225,80,1321,4304,Corrective,2.6,13.13,8950.31
163,MNT-000163,20220404,74,1457,2805,Corrective,6.52,7.99,1432.61
164,MNT-000164,20240518,43,1782,3432,Preventive,5.63,5.71,3642.84
165,MNT-000165,20190618,89,549,1396,Preventive,2.42,11.4,4747.55
166,MNT-000166,20220322,72,309,3101,Corrective,3.63,5.11,8329.62
167,MNT-000167,20251020,10,1702,4806,Preventive,6.0,2.23,7254.59
168,MNT-000168,20190912,68,986,3143,Preventive,3.52,7.11,6236.34
169,MNT-000169,20250327,53,567,2240,Preventive,4.94,8.13,2664.29
170,MNT-000170,20221224,20,1485,2449,Preventive,5.89,2.65,9709.21
171,MNT-000171,20210811,12,585,3754,Preventive,2.11,7.96,6691.75
172,MNT-000172,20241204,67,597,4789,Corrective,3.39,16.72,9098.91
173,MNT-000173,20230329,8,1282,3352,Inspection,2.93,17.1,4127.13
174,MNT-000174,20250618,3,777,4978,Inspection,6.91,1.37,4857.66
175,MNT-000175,20250630,98,131,17,Inspection,7.18,13.8,4280.9
176,MNT-000176,20200406,61,1508,2453,Corrective,6.9,13.57,1537.21
177,MNT-000177,20210525,49,340,4774,Inspection,7.32,12.71,9522.55
178,MNT-000178,20250721,15,548,1135,Inspection,3.91,10.23,4931.03
179,MNT-000179,20220927,32,1897,110,Preventive,3.93,0.97,9041.05
180,MNT-000180,20230721,41,1373,4524,Inspection,3.07,20.93,1085.68
181,MNT-000181,20190207,38,1511,4644,Preventive,4.65,11.1,2715.02
182,MNT-000182,20221213,35,282,2155,Inspection,4.32,17.98,8361.43
183,MNT-000183,20231019,22,319,3609,Inspection,3.04,14.71,6491.03
184,MNT-000184,20200322,11,683,1690,Corrective,3.74,22.26,8667.36
185,MNT-000185,20240824,30,498,4340,Corrective,2.26,8.16,4994.81
186,MNT-000186,20190228,37,577,1163,Inspection,2.13,7.43,9133.56
187,MNT-000187,20230128,68,1401,2061,Inspection,2.61,6.53,250.26
188,MNT-000188,20210418,3,854,236,Corrective,4.8,8.73,2410.69
189,MNT-000189,20190809,5,850,3925,Inspection,6.62,4.98,6647.77
190,MNT-000190,20241129,55,1017,731,Preventive,2.54,9.61,3995.51
191,MNT-000191,20221106,59,1210,3440,Corrective,6.69,10.51,6394.66
192,MNT-000192,20210803,61,990,1828,Corrective,2.87,12.25,4967.32
193,MNT-000193,20190817,74,564,501,Inspection,3.84,11.5,2892.64
194,MNT-000194,20210112,47,1576,1554,Corrective,2.77,10.67,6382.69
195,MNT-000195,20210507,67,1827,4390,Inspection,2.72,9.87,7700.64
196,MNT-000196,20200120,87,1774,3965,Corrective,7.47,3.72,7964.38
197,MNT-000197,20210716,74,1714,2611,Inspection,4.77,12.5,6345.58
198,MNT-000198,20190312,64,1499,3794,Corrective,3.33,2.08,8938.97
199,MNT-000199,20230212,21,200,455,Inspection,2.76,21.92,2789.34
200,MNT-000200,20220327,95,168,4947,Inspection,2.09,4.17,5442.46
201,MNT-000201,20210226,12,585,1082,Corrective,1.79,12.7,1972.19
202,MNT-000202,20250120,87,1214,3018,Corrective,7.56,23.88,6887.79
203,MNT-000203,20221123,90,798,2145,Preventive,5.71,17.99,5837.93
204,MNT-000204,20190425,21,1330,1920,Preventive,4.53,23.4,7149.03
205,MNT-000205,20240327,86,1537,2134,Corrective,6.42,7.29,1767.39
206,MNT-000206,20220406,93,491,3718,Corrective,6.08,13.02,3675.63
207,MNT-000207,20221209,92,1385,3850,Corrective,6.67,23.92,185.67
208,MNT-000208,20190206,12,810,1813,Inspection,6.0,22.06,6568.8
209,MNT-000209,20200601,82,819,3428,Inspection,2.1,3.41,8287.94
210,MNT-000210,20230529,58,1964,3555,Corrective,6.55,23.28,8644.62
211,MNT-000211,20220529,47,1819,3152,Inspection,1.85,18.34,3070.18
212,MNT-000212,20191101,91,1510,720,Corrective,2.65,21.7,3325.06
213,MNT-000213,20190930,97,1986,62,Preventive,7.34,17.44,2624.25
214,MNT-000214,20200831,13,1969,2370,Corrective,2.25,0.97,6152.8
215,MNT-000215,20250321,97,1189,3378,Inspection,5.33,17.64,2464.59
216,MNT-000216,20250618,5,751,4031,Corrective,1.34,23.1,7271.55
217,MNT-000217,20240124,98,1646,3430,Corrective,2.3,15.1,437.13
218,MNT-000218,20210320,63,1419,3238,Inspection,3.89,18.66,8715.37
219,MNT-000219,20240518,17,1574,4563,Inspection,4.36,11.8,6520.52
220,MNT-000220,20200515,92,1540,2687,Inspection,1.64,4.93,3674.18
221,MNT-000221,20250106,59,495,396,Preventive,5.49,20.95,7490.68
222,MNT-000222,20251023,3,538,3696,Inspection,3.64,12.73,3319.21
223,MNT-000223,20240924,90,855,3561,Corrective,6.08,6.0,4064.45
224,MNT-000224,20251031,70,614,1678,Preventive,2.57,11.22,1158.33
225,MNT-000225,20220324,22,1733,2698,Corrective,7.54,14.4,5693.69
226,MNT-000226,20220725,95,899,3444,Preventive,3.3,14.91,6547.58
227,MNT-000227,20251130,73,1216,4714,Preventive,1.64,0.81,8837.06
228,MNT-000228,20201004,67,1139,4218,Preventive,2.69,20.27,6050.44
229,MNT-000229,20240825,44,1061,580,Preventive,4.42,4.03,2038.43
230,MNT-000230,20250110,12,354,3723,Preventive,3.75,16.42,4581.25
231,MNT-000231,20251018,26,153,1158,Preventive,7.55,21.99,698.7
232,MNT-000232,20231204,56,1376,268,Preventive,6.71,18.94,7930.18
233,MNT-000233,20190128,9,747,1312,Inspection,4.45,22.2,8297.02
234,MNT-000234,20211108,29,856,3152,Corrective,6.07,10.39,8348.49
235,MNT-000235,20240922,16,1316,243,Preventive,5.11,7.33,2080.78
236,MNT-000236,20230413,9,1913,1731,Inspection,6.82,20.52,9838.99
237,MNT-000237,20240909,39,648,626,Corrective,3.67,5.47,6509.07
238,MNT-000238,20230609,25,1009,3795,Corrective,5.66,7.38,2062.21
239,MNT-000239,20230414,68,1218,4665,Preventive,1.88,4.82,1859.94
240,MNT-000240,20200608,6,147,209,Inspection,7.81,22.02,6031.47
241,MNT-000241,20210709,56,1674,1125,Preventive,6.91,15.44,9809.16
242,MNT-000242,20241206,57,485,3718,Preventive,4.06,18.27,4698.49
243,MNT-000243,20210506,97,1541,3540,Corrective,2.09,4.71,9242.65
244,MNT-000244,20250709,42,1543,1511,Preventive,1.45,16.55,1185.11
245,MNT-000245,20241223,19,1012,2850,Preventive,5.08,2.77,7723.48
246,MNT-000246,20241217,53,567,4423,Corrective,2.94,21.48,2339.84
247,MNT-000247,20240225,92,1385,4104,Corrective,3.68,11.84,7707.95
248,MNT-000248,20230113,34,1046,3937,Inspection,6.35,17.67,6072.69
249,MNT-000249,20250405,82,1261,1801,Preventive,6.36,18.51,883.34
250,MNT-000250,20250820,19,1066,465,Preventive,7.37,14.51,4929.39
251,MNT-000251,20200902,96,590,2612,Corrective,7.39,11.37,1356.29
252,MNT-000252,20250611,93,566,3524,Inspection,1.42,21.51,5629.68
253,MNT-000253,20230514,5,850,2812,Corrective,5.94,8.8,5800.52
254,MNT-000254,20200613,74,1457,52,Preventive,2.62,4.99,8400.16
255,MNT-000255,20230806,7,599,3544,Preventive,1.75,7.3,7704.29
256,MNT-000256,20230420,8,957,2384,Preventive,6.89,12.65,7122.12
257,MNT-000257,20231204,98,1646,441,Corrective,7.74,2.69,3010.55
258,MNT-000258,20210611,77,1594,4943,Preventive,1.01,21.89,7003.39
259,MNT-000259,20251118,22,1358,2311,Preventive,3.11,13.75,6135.5
260,MNT-000260,20230504,74,1086,2739,Corrective,5.27,19.79,3792.46
261,MNT-000261,20250814,89,73,2968,Preventive,3.65,13.54,1120.01
262,MNT-000262,20240909,77,1807,1159,Corrective,6.59,18.28,8142.26
263,MNT-000263,20230625,62,342,1160,Inspection,5.1,12.3,4548.32
264,MNT-000264,20220920,29,1990,4022,Inspection,3.21,4.57,5548.64
265,MNT-000265,20250120,75,812,1604,Inspection,2.18,5.4,1106.95
266,MNT-000266,20230214,1,1274,3753,Corrective,4.36,11.11,4089.2
267,MNT-000267,20220922,38,1412,808,Corrective,7.2,5.51,2173.8
268,MNT-000268,20200209,29,730,3145,Preventive,6.23,22.01,6913.53
269,MNT-000269,20200827,22,438,3175,Corrective,1.26,18.31,988.84
270,MNT-000270,20230114,21,1443,303,Corrective,4.99,13.62,8725.47
271,MNT-000271,20230620,88,1439,4300,Inspection,4.05,2.89,2598.4
272,MNT-000272,20240223,2,1923,4858,Preventive,1.36,18.29,8440.28
273,MNT-000273,20230127,65,1164,4904,Preventive,6.0,5.75,3792.13
274,MNT-000274,20210215,72,786,3042,Inspection,2.82,22.38,8815.6
275,MNT-000275,20250117,94,1758,3306,Inspection,4.04,8.16,6931.86
276,MNT-000276,20250710,20,1024,3872,Corrective,6.81,2.34,9512.77
277,MNT-000277,20210831,95,168,1338,Preventive,2.61,19.92,9663.99
278,MNT-000278,20230603,19,1547,3830,Preventive,1.93,22.12,1884.48
279,MNT-000279,20210430,30,1780,955,Preventive,5.82,16.92,9038.83
280,MNT-000280,20231125,72,1488,1247,Corrective,4.31,21.54,7995.85
281,MNT-000281,20240512,69,1955,4756,Inspection,4.58,6.3,3893.51
282,MNT-000282,20190416,36,1169,3879,Preventive,4.74,6.05,4255.32
283,MNT-000283,20231122,9,1905,4209,Corrective,3.12,23.98,4067.85
284,MNT-000284,20190516,87,326,2288,Corrective,1.94,13.93,366.41
285,MNT-000285,20210623,91,335,97,Preventive,6.74,8.47,4898.03
286,MNT-000286,20211221,56,1936,2662,Preventive,6.69,11.65,1941.49
287,MNT-000287,20231114,5,1140,2189,Corrective,5.71,6.42,4753.25
288,MNT-000288,20240416,7,1180,466,Inspection,5.93,7.34,4216.65
289,MNT-000289,20231218,32,412,2266,Corrective,3.61,3.74,8233.04
290,MNT-000290,20220624,19,1629,1864,Inspection,4.52,16.44,7998.3
291,MNT-000291,20220626,65,872,2948,Preventive,6.54,4.01,8454.4
292,MNT-000292,20230301,8,1686,4413,Inspection,7.68,17.57,4924.19
293,MNT-000293,20220608,67,1933,3791,Corrective,2.51,12.16,5059.95
294,MNT-000294,20190312,77,1473,2035,Preventive,6.61,21.58,6172.94
295,MNT-000295,20221013,14,70,2107,Preventive,7.28,10.77,2400.01
296,MNT-000296,20241014,86,160,4278,Corrective,7.42,5.62,8967.89
297,MNT-000297,20241010,25,1106,3875,Corrective,6.73,20.61,5241.36
298,MNT-000298,20191029,54,896,4384,Corrective,4.1,20.24,9210.56
299,MNT-000299,20230211,40,457,108,Preventive,4.2,13.84,7273.41
300,MNT-000300,20200905,85,741,1024,Corrective,7.34,8.07,5122.56
301,MNT-000301,20190515,10,298,674,Preventive,1.36,7.21,7285.78
302,MNT-000302,20190705,56,1839,3866,Preventive,1.43,16.5,6467.97
303,MNT-000303,20251213,1,1861,1774,Inspection,7.26,6.38,1799.13
304,MNT-000304,20200307,100,1601,3404,Inspection,5.09,2.3,9484.72
305,MNT-000305,20240316,54,1914,1845,Inspection,1.17,4.85,5542.29
306,MNT-000306,20250308,86,1896,2469,Corrective,1.91,7.14,2110.35
307,MNT-000307,20191231,70,1927,1528,Preventive,7.65,10.92,550.65
308,MNT-000308,20251214,86,663,2681,Corrective,0.88,17.67,219.38
309,MNT-000309,20200408,37,904,3586,Inspection,6.0,12.52,2566.7
310,MNT-000310,20230610,24,1246,1967,Corrective,7.88,6.16,2905.58
311,MNT-000311,20210501,16,1259,4724,Inspection,0.93,20.89,7929.75
312,MNT-000312,20200130,50,320,261,Preventive,5.44,23.55,3964.65
313,MNT-000313,20190709,5,1382,4548,Preventive,0.56,7.82,2110.83
314,MNT-000314,20230724,74,1740,249,Corrective,5.87,13.36,6566.56
315,MNT-000315,20230130,17,1574,2206,Inspection,6.37,17.19,6760.41
316,MNT-000316,20250822,40,483,4980,Inspection,4.52,8.71,3288.8
317,MNT-000317,20191222,96,1903,2650,Preventive,7.63,15.66,1438.7
318,MNT-000318,20200412,77,1974,4564,Corrective,7.84,18.27,9410.71
319,MNT-000319,20201126,78,1053,2382,Preventive,5.78,7.84,4797.48
320,MNT-000320,20220823,51,592,1762,Corrective,2.38,6.77,4957.48
321,MNT-000321,20200204,55,1560,4846,Inspection,0.97,19.61,6668.23
322,MNT-000322,20220814,2,86,4062,Inspection,4.62,14.45,4031.03
323,MNT-000323,20211031,23,338,3979,Preventive,6.56,9.71,9169.37
324,MNT-000324,20230330,57,610,3973,Preventive,4.6,13.99,6031.84
325,MNT-000325,20200316,18,1131,138,Inspection,6.93,10.32,3752.12
326,MNT-000326,20251117,37,916,109,Inspection,4.18,21.34,6054.84
327,MNT-000327,20190514,63,1199,3840,Inspection,2.39,8.08,6168.78
328,MNT-000328,20241103,90,782,1723,Inspection,2.74,0.57,1026.81
329,MNT-000329,20230110,41,394,3909,Corrective,1.46,2.21,8153.84
330,MNT-000330,20190610,62,500,245,Inspection,1.53,21.44,1619.03
331,MNT-000331,20231106,22,1358,4293,Preventive,6.61,1.84,763.99
332,MNT-000332,20190921,77,573,3861,Inspection,5.68,9.9,2538.95
333,MNT-000333,20200710,40,228,2762,Preventive,2.16,16.39,4396.37
334,MNT-000334,20250726,93,1309,21,Inspection,7.14,4.71,3153.38
335,MNT-000335,20241219,61,1498,1728,Preventive,7.12,4.62,1853.88
336,MNT-000336,20190719,75,1466,4321,Corrective,2.35,7.19,6638.39
337,MNT-000337,20230810,66,3,1303,Preventive,2.62,4.92,3608.95
338,MNT-000338,20250331,69,219,3744,Inspection,5.1,15.04,9153.2
339,MNT-000339,20210427,18,995,123,Preventive,0.84,13.14,4208.26
340,MNT-000340,20190224,33,1044,3846,Inspection,1.23,7.98,2462.43
341,MNT-000341,20201206,83,241,4227,Inspection,6.57,19.94,6434.02
342,MNT-000342,20230411,95,1080,2795,Inspection,4.25,19.31,2609.34
343,MNT-000343,20230213,87,1355,2219,Inspection,2.72,17.46,3961.03
344,MNT-000344,20230116,13,478,1746,Corrective,1.9,22.09,6891.4
345,MNT-000345,20230526,91,1446,336,Preventive,4.55,17.42,391.61
346,MNT-000346,20200822,19,571,4110,Inspection,4.83,13.54,212.55
347,MNT-000347,20241213,42,91,4214,Preventive,0.98,2.1,5385.87
348,MNT-000348,20230206,40,483,3013,Inspection,7.88,5.65,1734.55
349,MNT-000349,20190215,88,1677,3345,Inspection,7.64,1.25,213.28
350,MNT-000350,20200920,38,1511,4375,Corrective,3.0,5.61,8927.51
351,MNT-000351,20220904,18,12,1473,Preventive,2.66,13.64,8214.07
352,MNT-000352,20210410,80,960,1640,Corrective,3.62,6.74,1139.4
353,MNT-000353,20250302,74,564,1321,Preventive,4.32,8.32,2195.87
354,MNT-000354,20210116,47,673,94,Corrective,0.69,13.0,2421.41
355,MNT-000355,20240511,84,574,4483,Preventive,6.74,23.04,7807.02
356,MNT-000356,20251015,36,1983,68,Inspection,4.08,17.91,8697.17
357,MNT-000357,20250929,43,865,1532,Preventive,3.07,1.82,966.19
358,MNT-000358,20240812,41,1429,857,Corrective,3.63,14.06,4891.71
359,MNT-000359,20251012,30,1889,3950,Inspection,7.5,9.44,3019.14
360,MNT-000360,20190312,2,787,4587,Preventive,0.76,10.34,8929.76
361,MNT-000361,20210105,20,371,3087,Preventive,3.3,21.01,6267.35
362,MNT-000362,20190807,22,319,1502,Preventive,4.09,19.19,8519.23
