budget_id,date,location_id,category,budget_amount
BUD-0000049,2021-11-28,LOC-0017,Administration,53532.29
BUD-0000050,2025-03-28,LOC-0014,Supply Chain,12977.69
BUD-0000051,2022-12-28,LOC-0069,Energy,9679.73
BUD-0000052,2025-08-09,LOC-0074,Operations,11032.89
BUD-0000053,2020-08-18,LOC-0016,Supply Chain,8290.82
BUD-0000054,2019-02-16,LOC-0095,Production,29166.39
BUD-0000055,2023-07-16,LOC-0034,Maintenance,14792.36
BUD-0000056,2020-01-08,LOC-0027,Administration,18043.21
BUD-0000057,2023-10-01,LOC-0072,Supply Chain,23302.82
BUD-0000058,2022-02-01,LOC-0008,Operations,28105.83
BUD-0000059,2020-10-28,LOC-0041,Production,14752.73
BUD-0000060,2023-04-15,LOC-0100,Administration,24359.71
BUD-0000061,2022-03-12,LOC-0049,Administration,25376.15
BUD-0000062,2023-04-05,LOC-0001,Supply Chain,4922.72
BUD-0000063,2025-08-04,LOC-0092,Administration,11481.9
BUD-0000064,2025-03-06,LOC-0003,Administration,43345.79
BUD-0000065,2019-04-07,LOC-0025,Administration,36671.44
BUD-0000066,2024-12-08,LOC-0018,Energy,29425.28
BUD-0000067,2021-08-25,LOC-0097,Administration,28974.73
BUD-0000068,2020-01-01,LOC-0049,Administration,29454.08
BUD-0000069,2021-02-19,LOC-0060,Production,4657.74
BUD-0000070,2021-07-19,LOC-0054,Production,32975.61
BUD-0000071,2019-08-01,LOC-0096,Administration,31526.78
BUD-0000072,2020-05-30,LOC-0014,Energy,28386.42
BUD-0000073,2023-04-30,LOC-0053,Operations,35105.47
BUD-0000074,2019-12-26,LOC-0057,Administration,34745.32
BUD-0000075,2020-09-02,LOC-0066,Supply Chain,17189.4
BUD-0000076,2023-04-25,LOC-0013,Maintenance,66106.06
BUD-0000077,2023-12-10,LOC-0024,Production,8162.51
BUD-0000078,2021-11-21,LOC-0030,Supply Chain,37801.79
BUD-0000079,2023-02-05,LOC-0046,Supply Chain,16834.64
BUD-0000080,2022-01-10,LOC-0033,Maintenance,14158.86
BUD-0000081,2024-05-21,LOC-0034,Production,10247.66
BUD-0000082,2024-04-05,LOC-0063,Production,36315.9
BUD-0000083,2021-06-25,LOC-0090,Operations,58078.52
BUD-0000084,2025-03-01,LOC-0035,Operations,8882.19
BUD-0000085,2020-04-29,LOC-0012,Supply Chain,7851.16
BUD-0000086,2019-10-27,LOC-0094,Administration,32739.12
BUD-0000087,2021-10-18,LOC-0071,Energy,14754.39
BUD-0000088,2022-09-29,LOC-0063,Administration,19459.26
BUD-0000089,2024-12-22,LOC-0092,Operations,7544.33
BUD-0000090,2019-01-21,LOC-0001,Supply Chain,22289.57
BUD-0000091,2024-05-18,LOC-0004,Operations,13905.27
BUD-0000092,2025-10-18,LOC-0041,Supply Chain,38110.85
BUD-0000093,2019-11-20,LOC-0057,Operations,19497.41
BUD-0000094,2021-10-12,LOC-0076,Production,31239.37
BUD-0000095,2023-10-08,LOC-0041,Production,7578.55
BUD-0000096,2024-02-22,LOC-0010,Operations,9623.83
BUD-0000097,2022-03-06,LOC-0020,Energy,8333.12
BUD-0000098,2020-06-07,LOC-0054,Operations,12187.68
BUD-0000099,2024-02-07,LOC-0100,Administration,11311.14
BUD-0000100,2019-02-04,LOC-0020,Maintenance,20010.08
BUD-0000101,2025-11-03,LOC-0064,Administration,8488.61
BUD-0000102,2022-10-11,LOC-0051,Production,14384.2
BUD-0000103,2021-02-06,LOC-0056,Energy,26293.62
BUD-0000104,2021-09-17,LOC-0052,Administration,36532.98
BUD-0000105,2019-03-05,LOC-0050,Energy,16669.19
BUD-0000106,2019-08-22,LOC-0068,Operations,24166.69
BUD-0000107,2019-05-06,LOC-0064,Supply Chain,28793.54
BUD-0000108,2019-12-16,LOC-0073,Operations,30260.14
BUD-0000109,2024-09-04,LOC-0016,Operations,26931.56
BUD-0000110,2024-12-01,LOC-0081,Energy,19213.87
BUD-0000111,2021-05-09,LOC-0064,Operations,20429.18
BUD-0000112,2021-02-13,LOC-0093,Energy,6350.51
BUD-0000113,2025-04-17,LOC-0011,Administration,54785.89
BUD-0000114,2020-08-21,LOC-0016,Administration,34792.86
BUD-0000115,2023-06-28,LOC-0072,Production,19389.89
BUD-0000116,2023-05-08,LOC-0025,Supply Chain,25853.8
BUD-0000117,2021-04-09,LOC-0086,Operations,123636.11
BUD-0000118,2024-11-02,LOC-0047,Maintenance,23975.66
BUD-0000119,2023-12-28,LOC-0055,Supply Chain,23182.87
BUD-0000120,2021-09-12,LOC-0040,Supply Chain,38703.78
BUD-0000121,2025-06-24,LOC-0060,Administration,31381.08
BUD-0000122,2021-03-05,LOC-0075,Production,6962.05
BUD-0000123,2021-08-04,LOC-0056,Energy,89502.19
BUD-0000124,2023-04-16,LOC-0039,Maintenance,26546.12
BUD-0000125,2021-10-04,LOC-0064,Administration,17669.87
BUD-0000126,2025-02-15,LOC-0087,Production,27287.83
BUD-0000127,2023-01-02,LOC-0036,Administration,22157.68
BUD-0000128,2023-03-28,LOC-0057,Energy,12336.66
BUD-0000129,2020-03-18,LOC-0008,Operations,24597.39
BUD-0000130,2021-01-24,LOC-0077,Administration,104602.32
BUD-0000131,2022-09-08,LOC-0041,Maintenance,10761.06
BUD-0000132,2022-05-06,LOC-0051,Production,25331.19
BUD-0000133,2025-03-02,LOC-0001,Energy,6470.11
BUD-0000134,2020-08-14,LOC-0027,Supply Chain,10601.92
BUD-0000135,2019-01-07,LOC-0036,Supply Chain,52920.32
BUD-0000136,2019-07-22,LOC-0045,Energy,29955.51
BUD-0000137,2022-04-27,LOC-0037,Supply Chain,4628.21
BUD-0000138,2021-02-27,LOC-0081,Operations,49129.83
BUD-0000139,2021-05-23,LOC-0066,Maintenance,11993.66
BUD-0000140,2022-04-20,LOC-0017,Energy,20104.73
BUD-0000141,2024-02-02,LOC-0072,Production,9719.94
BUD-0000142,2020-04-28,LOC-0072,Operations,23769.45
BUD-0000143,2020-12-19,LOC-0067,Supply Chain,52399.75
BUD-0000144,2022-01-31,LOC-0074,Energy,15178.8
BUD-0000145,2020-09-01,LOC-0033,Production,11962.37
BUD-0000146,2024-06-29,LOC-0093,Operations,6303.4
BUD-0000147,2022-04-26,LOC-0002,Production,26931.72
BUD-0000148,2025-07-04,LOC-0009,Operations,20063.62
BUD-0000149,2020-12-13,LOC-0054,Operations,29836.62
BUD-0000150,2024-08-23,LOC-0095,Administration,65995.95
BUD-0000151,2020-03-24,LOC-0040,Energy,11510.82
BUD-0000152,2019-11-05,LOC-0079,Administration,11615.97
BUD-0000153,2022-06-20,LOC-0059,Operations,12733.31
BUD-0000154,2021-09-06,LOC-0043,Maintenance,13638.57
BUD-0000155,2019-12-29,LOC-0081,Operations,22431.22
BUD-0000156,2025-09-07,LOC-0050,Supply Chain,24735.6
BUD-0000157,2024-05-29,LOC-0002,Administration,42150.99
BUD-0000158,2019-12-27,LOC-0053,Administration,24066.66
BUD-0000159,2020-06-29,LOC-0018,Maintenance,31308.96
BUD-0000160,2025-07-08,LOC-0070,Energy,22020.96
BUD-0000161,2025-05-03,LOC-0090,Maintenance,30378.39
BUD-0000162,2025-11-25,LOC-0032,Supply Chain,18066.13
BUD-0000163,2025-07-06,LOC-0035,Maintenance,9001.92
BUD-0000164,2024-01-13,LOC-0018,Administration,15128.34
BUD-0000165,2020-02-17,LOC-0025,Production,64511.46
BUD-0000166,2021-06-02,LOC-0034,Supply Chain,7427.23
BUD-0000167,2020-12-04,LOC-0011,Administration,34596.74
BUD-0000168,2020-02-20,LOC-0096,Operations,10719.06
BUD-0000169,2019-02-17,LOC-0047,Maintenance,18057.89
BUD-0000170,2022-01-08,LOC-0066,Operations,19143.7
BUD-0000171,2022-05-23,LOC-0041,Operations,10358.03
BUD-0000172,2025-01-06,LOC-0006,Maintenance,26119.97
BUD-0000173,2019-05-21,LOC-0035,Operations,36546.68
BUD-0000174,2019-08-14,LOC-0068,Maintenance,13668.45
BUD-0000175,2024-03-22,LOC-0084,Energy,59859.8
BUD-0000176,2020-10-14,LOC-0055,Maintenance,21742.3
BUD-0000177,2024-11-10,LOC-0067,Supply Chain,5644.61
BUD-0000178,2023-04-08,LOC-0020,Energy,8127.92
BUD-0000179,2024-02-22,LOC-0018,Maintenance,8156.99
BUD-0000180,2019-12-14,LOC-0040,Administration,49753.85
BUD-0000181,2024-04-15,LOC-0009,Maintenance,21710.39
BUD-0000182,2022-11-17,LOC-0027,Operations,8238.35
BUD-0000183,2019-04-04,LOC-0005,Administration,83111.22
BUD-0000184,2020-01-05,LOC-0083,Energy,22991.04
BUD-0000185,2024-09-26,LOC-0096,Maintenance,36062.47
BUD-0000186,2021-12-10,LOC-0012,Operations,19941.7
BUD-0000187,2024-10-25,LOC-0094,Production,14405.33
BUD-0000188,2019-09-26,LOC-0014,Maintenance,15175.55
BUD-0000189,2019-09-29,LOC-0021,Supply Chain,9621.52
BUD-0000190,2023-04-29,LOC-0052,Supply Chain,16390.0
BUD-0000191,2025-07-16,LOC-0041,Operations,21847.94
BUD-0000192,2025-07-01,LOC-0027,Administration,25092.97
BUD-0000193,2020-05-30,LOC-0048,Supply Chain,26580.06
BUD-0000194,2024-05-03,LOC-0021,Energy,23375.82
BUD-0000195,2021-04-19,LOC-0030,Supply Chain,7914.48
BUD-0000196,2021-04-21,LOC-0005,Operations,39904.8
BUD-0000197,2024-08-29,LOC-0043,Maintenance,17640.48
BUD-0000198,2025-03-03,LOC-0078,Energy,18029.62
BUD-0000199,2019-08-26,LOC-0026,Operations,15319.5
BUD-0000200,2023-09-19,LOC-0015,Energy,32366.98
BUD-0000201,2025-02-09,LOC-0011,Production,37394.5
BUD-0000202,2023-10-19,LOC-0016,Administration,2930.74
BUD-0000203,2023-12-26,LOC-0032,Supply Chain,5089.42
BUD-0000204,2019-07-06,LOC-0070,Production,53798.79
BUD-0000205,2025-01-18,LOC-0014,Administration,7134.22
BUD-0000206,2023-01-20,LOC-0021,Administration,3992.94
BUD-0000207,2023-07-28,LOC-0084,Energy,12518.16
BUD-0000208,2024-11-10,LOC-0034,Maintenance,41440.71
BUD-0000209,2025-07-23,LOC-0055,Administration,28147.03
BUD-0000210,2019-05-08,LOC-0030,Maintenance,54775.27
BUD-0000211,2022-01-20,LOC-0018,Production,18764.77
BUD-0000212,2025-04-02,LOC-0052,Administration,51071.45
BUD-0000213,2020-09-24,LOC-0075,Maintenance,1884.17
BUD-0000214,2022-11-20,LOC-0018,Energy,36551.76
BUD-0000215,2022-01-24,LOC-0011,Supply Chain,94006.84
BUD-0000216,2025-09-25,LOC-0072,Production,19026.91
BUD-0000217,2021-06-18,LOC-0056,Production,12287.28
BUD-0000218,2024-04-28,LOC-0070,Energy,39914.29
BUD-0000219,2020-11-20,LOC-0006,Supply Chain,18991.55
BUD-0000220,2021-01-07,LOC-0032,Production,29010.28
BUD-0000221,2024-03-20,LOC-0018,Production,20603.78
BUD-0000222,2024-01-16,LOC-0098,Production,20756.79
BUD-0000223,2019-11-26,LOC-0081,Energy,40481.97
BUD-0000224,2019-01-26,LOC-0076,Energy,36968.57
BUD-0000225,2020-05-28,LOC-0023,Energy,19789.21
BUD-0000226,2019-12-30,LOC-0097,Energy,11425.43
BUD-0000227,2020-11-20,LOC-0073,Production,45713.65
BUD-0000228,2023-05-10,LOC-0094,Administration,12989.9
BUD-0000229,2019-08-02,LOC-0036,Production,8543.16
BUD-0000230,2025-09-30,LOC-0061,Energy,41724.39
BUD-0000231,2020-09-14,LOC-0062,Production,20379.23
BUD-0000232,2023-08-01,LOC-0096,Administration,28666.52
BUD-0000233,2022-03-14,LOC-0096,Operations,6645.48
BUD-0000234,2025-03-10,LOC-0055,Maintenance,28614.47
BUD-0000235,2022-07-12,LOC-0017,Administration,103095.22
BUD-0000236,2021-10-23,LOC-0058,Energy,16474.85
BUD-0000237,2022-11-02,LOC-0007,Administration,31910.56
BUD-0000238,2020-08-25,LOC-0008,Production,3920.96
BUD-0000239,2023-07-19,LOC-0031,Administration,41377.56
BUD-0000240,2024-03-22,LOC-0043,Supply Chain,30608.46
BUD-0000241,2025-11-24,LOC-0084,Energy,51952.62
BUD-0000242,2019-02-12,LOC-0013,Operations,12138.51
BUD-0000243,2024-10-10,LOC-0032,Energy,5964.88
BUD-0000244,2023-02-08,LOC-0011,Production,16944.93
BUD-0000245,2022-08-25,LOC-0085,Energy,143793.16
BUD-0000246,2020-12-11,LOC-0099,Production,27752.21
BUD-0000247,2020-11-03,LOC-0080,Maintenance,18085.84
BUD-0000248,2022-03-01,LOC-0095,Maintenance,39901.84
BUD-0000249,2022-08-19,LOC-0063,Administration,76862.36
BUD-0000250,2024-10-09,LOC-0088,Supply Chain,20801.66
BUD-0000251,2021-11-12,LOC-0003,Energy,6333.99
BUD-0000252,2024-11-14,LOC-0033,Administration,11054.52
BUD-0000253,2019-04-05,LOC-0026,Maintenance,26280.63
BUD-0000254,2020-04-20,LOC-0050,Production,32649.21
BUD-0000255,2023-01-11,LOC-0014,Administration,32430.35
BUD-0000256,2020-04-26,LOC-0049,Supply Chain,27875.28
BUD-0000257,2021-02-28,LOC-0085,Operations,13784.51
BUD-0000258,2024-11-15,LOC-0032,Maintenance,28905.4
BUD-0000259,2023-06-19,LOC-0066,Production,12225.63
BUD-0000260,2020-01-08,LOC-0048,Administration,25980.39
BUD-0000261,2020-09-03,LOC-0096,Supply Chain,55670.86
BUD-0000262,2023-07-19,LOC-0095,Administration,8547.16
BUD-0000263,2025-09-04,LOC-0059,Operations,32830.37
BUD-0000264,2021-06-24,LOC-0038,Energy,55599.18
BUD-0000265,2022-02-07,LOC-0083,Administration,20744.8
BUD-0000266,2025-01-27,LOC-0032,Energy,4538.39
BUD-0000267,2025-02-02,LOC-0082,Supply Chain,6606.74
BUD-0000268,2020-04-26,LOC-0097,Administration,17876.54
BUD-0000269,2023-07-24,LOC-0039,Administration,35292.12
BUD-0000270,2022-12-11,LOC-0057,Maintenance,4273.65
BUD-0000271,2019-09-23,LOC-0053,Operations,22841.79
BUD-0000272,2019-09-09,LOC-0042,Operations,10546.25
BUD-0000273,2021-02-14,LOC-0008,Supply Chain,16713.27
BUD-0000274,2021-04-21,LOC-0082,Supply Chain,51489.19
BUD-0000275,2025-08-17,LOC-0100,Energy,14177.15
BUD-0000276,2024-12-28,LOC-0030,Supply Chain,58798.39
BUD-0000277,2023-10-13,LOC-0044,Supply Chain,15649.79
BUD-0000278,2019-07-22,LOC-0087,Administration,29405.0
BUD-0000279,2022-11-29,LOC-0073,Maintenance,22605.6
BUD-0000280,2019-01-29,LOC-0054,Administration,57973.43
BUD-0000281,2020-07-05,LOC-0060,Supply Chain,39586.32
BUD-0000282,2025-03-26,LOC-0094,Production,68618.18
BUD-0000283,2021-10-23,LOC-0046,Maintenance,3741.76
BUD-0000284,2025-05-19,LOC-0055,Operations,82280.73
BUD-0000285,2022-12-23,LOC-0033,Energy,55088.3
BUD-0000286,2019-12-29,LOC-0088,Maintenance,23829.76
BUD-0000287,2019-04-09,LOC-0069,Administration,5527.06
BUD-0000288,2019-10-27,LOC-0042,Administration,9075.79
BUD-0000289,2025-02-06,LOC-0006,Administration,15426.45
BUD-0000290,2020-02-06,LOC-0077,Production,10906.52
BUD-0000291,2025-05-28,LOC-0020,Administration,31390.44
BUD-0000292,2025-10-12,LOC-0086,Energy,17125.85
BUD-0000293,2021-11-01,LOC-0093,Maintenance,9178.66
BUD-0000294,2019-03-17,LOC-0062,Administration,7633.59
BUD-0000295,2023-10-17,LOC-0009,Maintenance,14765.02
BUD-0000296,2020-11-25,LOC-0005,Energy,89830.98
BUD-0000297,2025-02-19,LOC-0039,Administration,19912.64
BUD-0000298,2022-10-28,LOC-0028,Maintenance,8237.3
BUD-0000299,2023-12-26,LOC-0010,Production,32218.33
BUD-0000300,2022-05-25,LOC-0070,Supply Chain,13401.01
BUD-0000301,2020-09-12,LOC-0095,Supply Chain,24032.84
BUD-0000302,2025-11-05,LOC-0059,Maintenance,12798.23
BUD-0000303,2022-01-11,LOC-0054,Administration,30917.22
BUD-0000304,2025-12-19,LOC-0022,Production,43760.19
BUD-0000305,2021-04-02,LOC-0040,Energy,26496.28
BUD-0000306,2021-11-21,LOC-0076,Operations,23738.86
BUD-0000307,2019-02-28,LOC-0064,Operations,6802.84
BUD-0000308,2020-05-31,LOC-0007,Operations,27176.91
BUD-0000309,2025-04-23,LOC-0091,Maintenance,46634.71
BUD-0000310,2024-07-08,LOC-0066,Administration,15476.04
BUD-0000311,2022-07-27,LOC-0031,Supply Chain,10085.17
BUD-0000312,2024-05-15,LOC-0061,Administration,33310.69
BUD-0000313,2019-09-20,LOC-0100,Energy,10225.5
BUD-0000314,2019-05-25,LOC-0044,Production,28621.9
BUD-0000315,2022-06-24,LOC-0005,Operations,13989.3
BUD-0000316,2022-06-13,LOC-0064,Production,68660.17
BUD-0000317,2020-10-23,LOC-0045,Energy,15983.67
BUD-0000318,2022-03-27,LOC-0093,Administration,21178.44
BUD-0000319,2021-06-04,LOC-0074,Production,84872.57
BUD-0000320,2021-12-06,LOC-0075,Production,49947.96
BUD-0000321,2019-06-14,LOC-0097,Administration,52689.17
BUD-0000322,2020-10-06,LOC-0092,Production,8697.9
BUD-0000323,2022-02-12,LOC-0006,Operations,9938.85
BUD-0000324,2019-04-22,LOC-0092,Production,9979.33
BUD-0000325,2025-08-21,LOC-0051,Energy,9804.81
BUD-0000326,2025-11-15,LOC-0038,Administration,7329.02
BUD-0000327,2024-05-03,LOC-0085,Maintenance,17223.91
BUD-0000328,2024-06-03,LOC-0008,Supply Chain,119685.66
BUD-0000329,2021-10-21,LOC-0073,Operations,42557.65
BUD-0000330,2020-11-27,LOC-0002,Energy,23472.74
BUD-0000331,2019-07-07,LOC-0076,Production,21929.67
BUD-0000332,2023-02-28,LOC-0089,Production,21754.1
BUD-0000333,2024-07-28,LOC-0056,Administration,11180.8
BUD-0000334,2025-12-29,LOC-0096,Operations,17880.67
BUD-0000335,2025-01-01,LOC-0014,Supply Chain,71026.41
BUD-0000336,2024-01-02,LOC-0045,Production,2809.9
BUD-0000337,2019-02-01,LOC-0030,Energy,43968.87
BUD-0000338,2021-01-21,LOC-0069,Production,25724.15
BUD-0000339,2020-12-09,LOC-0073,Maintenance,11581.04
BUD-0000340,2023-04-05,LOC-0036,Operations,23810.91
BUD-0000341,2021-06-28,LOC-0081,Operations,11703.21
BUD-0000342,2021-12-12,LOC-0020,Supply Chain,8627.47
BUD-0000343,2025-08-23,LOC-0002,Production,9342.59
BUD-0000344,2020-01-07,LOC-0016,Production,13676.72
BUD-0000345,2020-11-28,LOC-0095,Maintenance,35649.21
BUD-0000346,2019-07-25,LOC-0067,Supply Chain,18715.54
BUD-0000347,2020-11-01,LOC-0065,Energy,11940.38
BUD-0000348,2025-06-18,LOC-0023,Energy,17417.81
BUD-0000349,2025-08-17,LOC-0087,Maintenance,10342.78
BUD-0000350,2025-09-27,LOC-0009,Production,12624.91
BUD-0000351,2025-10-14,LOC-0017,Supply Chain,10344.88
BUD-0000352,2022-05-04,LOC-0053,Operations,29177.5
BUD-0000353,2021-08-17,LOC-0020,Administration,18842.76
BUD-0000354,2020-04-02,LOC-0028,Energy,19928.52
BUD-0000355,2022-08-07,LOC-0021,Production,37624.74
BUD-0000356,2025-07-21,LOC-0094,Administration,11521.52
BUD-0000357,2024-10-08,LOC-0098,Maintenance,15666.64
BUD-0000358,2025-08-10,LOC-0078,Maintenance,13253.23
BUD-0000359,2021-05-08,LOC-0034,Production,27097.18
BUD-0000360,2024-10-11,LOC-0028,Energy,8114.24
BUD-0000361,2020-08-07,LOC-0026,Supply Chain,28773.11
BUD-0000362,2022-10-19,LOC-0019,Energy,36228.63
BUD-0000363,2024-01-28,LOC-0024,Production,22116.2
BUD-0000364,2019-05-13,LOC-0091,Supply Chain,20439.3
BUD-0000365,2022-09-05,LOC-0043,Supply Chain,58471.56
BUD-0000366,2022-06-27,LOC-0038,Supply Chain,16057.94
BUD-0000367,2019-10-28,LOC-0033,Supply Chain,14652.2
BUD-0000368,2024-05-26,LOC-0065,Operations,8110.03
BUD-0000369,2021-10-13,LOC-0076,Administration,28849.7
BUD-0000370,2020-05-12,LOC-0077,Operations,144979.91
BUD-0000371,2019-03-08,LOC-0067,Production,40237.59
BUD-0000372,2020-12-04,LOC-0020,Production,9665.51
BUD-0000373,2021-04-21,LOC-0020,Administration,37857.01
BUD-0000374,2019-01-24,LOC-0058,Maintenance,97236.39
BUD-0000375,2021-04-12,LOC-0067,Energy,9671.48
BUD-0000376,2019-05-03,LOC-0068,Supply Chain,23565.31
BUD-0000377,2020-03-13,LOC-0044,Maintenance,10973.93
BUD-0000378,2022-04-24,LOC-0055,Maintenance,52502.91
BUD-0000379,2021-06-25,LOC-0042,Supply Chain,35485.39
BUD-0000380,2021-08-03,LOC-0083,Energy,6625.33
BUD-0000381,2019-12-25,LOC-0095,Production,32168.91
BUD-0000382,2025-05-03,LOC-0069,Maintenance,32097.87
BUD-0000383,2025-01-22,LOC-0097,Operations,17781.52
BUD-0000384,2019-05-03,LOC-0070,Operations,34153.62
BUD-0000385,2020-02-18,LOC-0067,Production,20506.39
BUD-0000386,2024-06-08,LOC-0043,Maintenance,30345.45
BUD-0000387,2023-07-18,LOC-0067,Operations,7693.25
BUD-0000388,2021-08-19,LOC-0008,Energy,25477.92
BUD-0000389,2022-10-20,LOC-0054,Supply Chain,7975.85
BUD-0000390,2024-09-16,LOC-0055,Energy,66371.67
BUD-0000391,2019-09-29,LOC-0088,Maintenance,33190.96
BUD-0000392,2023-09-13,LOC-0011,Energy,25616.32
BUD-0000393,2020-06-30,LOC-0039,Maintenance,40242.65
BUD-0000394,2020-08-05,LOC-0003,Energy,240098.38
BUD-0000395,2020-08-01,LOC-0002,Production,40052.56
BUD-0000396,2021-01-26,LOC-0057,Production,53104.54
BUD-0000397,2024-05-14,LOC-0035,Energy,24839.92
BUD-0000398,2023-01-10,LOC-0058,Energy,25413.47
BUD-0000399,2019-05-03,LOC-0031,Administration,3817.15
BUD-0000400,2020-11-29,LOC-0027,Energy,21081.95
BUD-0000401,2021-12-04,LOC-0087,Administration,33430.09
BUD-0000402,2024-10-08,LOC-0048,Administration,16871.36
BUD-0000403,2024-12-08,LOC-0027,Production,15187.97
BUD-0000404,2025-02-11,LOC-0030,Operations,15293.87
BUD-0000405,2022-11-03,LOC-0076,Supply Chain,38053.31
BUD-0000406,2023-04-06,LOC-0065,Supply Chain,24834.85
BUD-0000407,2019-12-21,LOC-0012,Energy,22308.47
BUD-0000408,2021-02-15,LOC-0014,Production,166625.52
BUD-0000409,2020-04-02,LOC-0054,Energy,17030.06
BUD-0000410,2024-03-23,LOC-0044,Administration,24247.55
BUD-0000411,2021-07-06,LOC-0078,Administration,41623.76
BUD-0000412,2019-10-18,LOC-0079,Supply Chain,25831.61
BUD-0000413,2024-04-29,LOC-0060,Administration,120207.74
BUD-0000414,2020-07-10,LOC-0045,Energy,23064.43
BUD-0000415,2022-12-11,LOC-0094,Supply Chain,37184.89
BUD-0000416,2022-08-19,LOC-0044,Operations,26718.05
BUD-0000417,2023-07-14,LOC-0028,Maintenance,12183.76
BUD-0000418,2022-02-16,LOC-0006,Maintenance,27089.47
BUD-0000419,2023-12-28,LOC-0054,Maintenance,13070.6
BUD-0000420,2023-07-29,LOC-0007,Energy,44292.37
BUD-0000421,2021-02-18,LOC-0015,Administration,77553.71
BUD-0000422,2022-03-13,LOC-0049,Administration,19846.33
BUD-0000423,2021-02-08,LOC-0049,Administration,93422.22
BUD-0000424,2022-03-12,LOC-0010,Operations,20537.42
BUD-0000425,2023-12-05,LOC-0016,Energy,19327.6
BUD-0000426,2020-08-18,LOC-0066,Production,38535.77
BUD-0000427,2019-10-27,LOC-0022,Operations,22985.31
BUD-0000428,2019-08-06,LOC-0097,Operations,9911.29
BUD-0000429,2021-06-12,LOC-0077,Maintenance,17342.64
BUD-0000430,2020-03-12,LOC-0015,Operations,21791.95
BUD-0000431,2019-09-11,LOC-0085,Maintenance,53033.99
BUD-0000432,2019-08-04,LOC-0069,Supply Chain,16709.34
BUD-0000433,2023-05-23,LOC-0023,Production,15700.13
BUD-0000434,2024-08-30,LOC-0040,Supply Chain,11680.34
BUD-0000435,2020-02-25,LOC-0045,Administration,31760.15
BUD-0000436,2019-05-30,LOC-0088,Production,41673.86
BUD-0000437,2023-05-24,LOC-0098,Supply Chain,10873.37
BUD-0000438,2025-11-10,LOC-0032,Energy,15589.14
BUD-0000439,2025-11-21,LOC-0076,Supply Chain,103454.55
BUD-0000440,2019-11-14,LOC-0059,Production,56336.13
BUD-0000441,2021-10-09,LOC-0055,Production,19777.16
