waste_key,waste_id,date_key,location_key,waste_category,disposal_method,waste_quantity
42,WST-000042,20240521,74,Paper,Recycling,789.23
43,WST-000043,20241001,56,Metal,Recycling,126.72
44,WST-000044,20210831,11,Paper,Reuse,112.989
45,WST-000045,20210710,42,Paper,Reuse,179.201
46,WST-000046,20220721,50,General,Reuse,129.504
47,WST-000047,20250614,15,Paper,Treatment,772.242
48,WST-000048,20200629,28,Chemical,Treatment,848.429
49,WST-000049,20210930,38,Plastic,Recycling,766.911
50,WST-000050,20210311,30,Plastic,Treatment,652.764
51,WST-000051,20230518,77,Chemical,Recycling,285.888
52,WST-000052,20200706,87,Chemical,Treatment,620.74
53,WST-000053,20231116,49,Chemical,Landfill,723.103
54,WST-000054,20250226,57,Metal,Treatment,844.397
55,WST-000055,20220327,89,General,Landfill,504.978
56,WST-000056,20190228,11,Chemical,Reuse,179.933
57,WST-000057,20210702,39,Chemical,Landfill,16.09
58,WST-000058,20200426,4,Metal,Recycling,551.75
59,WST-000059,20220908,95,Paper,Reuse,310.96
60,WST-000060,20240210,64,Chemical,Treatment,39.195
61,WST-000061,20220306,85,Plastic,Landfill,200.923
62,WST-000062,20240619,88,General,Treatment,357.217
63,WST-000063,20210629,45,Paper,Recycling,381.659
64,WST-000064,20210614,66,General,Treatment,747.676
65,WST-000065,20230327,28,General,Recycling,51.042
66,WST-000066,20241226,2,Plastic,Recycling,198.39
67,WST-000067,20200808,58,Plastic,Reuse,47.822
68,WST-000068,20210311,25,General,Reuse,59.448
69,WST-000069,20220423,30,General,Recycling,932.715
70,WST-000070,20240113,38,Metal,Treatment,444.374
71,WST-000071,20200604,40,Plastic,Reuse,365.37
72,WST-000072,20240823,11,Plastic,Landfill,826.91
73,WST-000073,20221020,22,General,Reuse,772.516
74,WST-000074,20250722,80,General,Treatment,132.643
75,WST-000075,20221109,97,Metal,Treatment,638.914
76,WST-000076,20231127,62,Paper,Treatment,747.934
77,WST-000077,20230208,44,General,Treatment,708.819
78,WST-000078,20250807,20,Plastic,Reuse,491.608
79,WST-000079,20190929,44,Paper,Treatment,932.144
80,WST-000080,20220223,4,Plastic,Reuse,747.235
81,WST-000081,20220803,3,General,Recycling,917.799
82,WST-000082,20241029,7,General,Recycling,478.57
83,WST-000083,20251227,91,Metal,Recycling,618.607
84,WST-000084,20220123,38,Chemical,Reuse,421.967
85,WST-000085,20250404,100,General,Landfill,620.208
86,WST-000086,20240118,92,Metal,Landfill,65.006
87,WST-000087,20220728,50,Plastic,Recycling,909.14
88,WST-000088,20230822,1,Paper,Treatment,658.327
89,WST-000089,20210721,20,General,Recycling,329.108
90,WST-000090,20230318,3,Metal,Recycling,729.819
91,WST-000091,20190510,28,Plastic,Treatment,240.523
92,WST-000092,20240816,67,Plastic,Landfill,834.304
93,WST-000093,20220818,43,Plastic,Reuse,207.101
94,WST-000094,20250718,68,Paper,Landfill,55.121
95,WST-000095,20250123,64,Plastic,Treatment,522.041
96,WST-000096,20240714,69,Metal,Reuse,569.932
97,WST-000097,20220112,27,General,Landfill,607.522
98,WST-000098,20191112,30,Chemical,Treatment,954.432
99,WST-000099,20251126,16,General,Reuse,343.942
100,WST-000100,20240327,33,Paper,Recycling,148.922
101,WST-000101,20210611,85,Plastic,Landfill,592.791
102,WST-000102,20190610,5,Chemical,Landfill,518.202
103,WST-000103,20221010,97,Plastic,Treatment,454.258
104,WST-000104,20191031,11,Chemical,Treatment,890.973
105,WST-000105,20230326,13,Paper,Reuse,118.12
106,WST-000106,20210530,12,Plastic,Treatment,824.832
107,WST-000107,20220114,41,Chemical,Recycling,143.652
108,WST-000108,20220128,51,General,Landfill,91.246
109,WST-000109,20221224,63,Chemical,Landfill,39.475
110,WST-000110,20240829,71,Metal,Landfill,563.51
111,WST-000111,20230322,93,Chemical,Reuse,785.121
112,WST-000112,20250906,96,Metal,Reuse,533.317
113,WST-000113,20200131,65,Paper,Reuse,929.612
114,WST-000114,20191104,97,Paper,Reuse,905.816
115,WST-000115,20190616,84,Metal,Reuse,910.312
116,WST-000116,20190725,75,General,Recycling,422.822
117,WST-000117,20240420,34,Chemical,Landfill,272.447
118,WST-000118,20230628,58,General,Treatment,286.809
119,WST-000119,20251017,8,Chemical,Landfill,1.848
120,WST-000120,20221204,55,General,Reuse,434.854
121,WST-000121,20240104,57,Plastic,Reuse,908.005
122,WST-000122,20240308,97,Plastic,Treatment,320.407
123,WST-000123,20201014,35,Metal,Reuse,337.866
124,WST-000124,20231104,84,Metal,Treatment,381.492
125,WST-000125,20190311,21,Chemical,Reuse,303.599
126,WST-000126,20241114,13,Metal,Landfill,188.835
127,WST-000127,20190629,2,General,Treatment,976.119
128,WST-000128,20200210,23,Metal,Landfill,48.125
129,WST-000129,20240530,27,Chemical,Landfill,829.193
130,WST-000130,20250103,100,General,Treatment,385.754
131,WST-000131,20230913,52,General,Reuse,660.013
132,WST-000132,20230719,94,General,Treatment,659.054
133,WST-000133,20230529,17,Plastic,Reuse,315.702
134,WST-000134,20240614,79,Plastic,Reuse,842.612
135,WST-000135,20240329,60,Paper,Reuse,3.955
136,WST-000136,20230520,91,Paper,Treatment,454.887
137,WST-000137,20220904,25,General,Reuse,632.021
138,WST-000138,20230208,71,Chemical,Landfill,818.763
139,WST-000139,20190430,70,Paper,Reuse,348.675
140,WST-000140,20241117,71,General,Landfill,646.044
141,WST-000141,20230915,91,Plastic,Treatment,534.474
142,WST-000142,20211121,92,Metal,Reuse,656.265
143,WST-000143,20210613,73,General,Treatment,500.584
144,WST-000144,20220717,4,Chemical,Recycling,361.782
145,WST-000145,20190305,50,Metal,Reuse,711.211
146,WST-000146,20200824,65,Paper,Reuse,788.561
147,WST-000147,20200901,89,Chemical,Treatment,109.945
148,WST-000148,20220603,7,General,Reuse,813.376
149,WST-000149,20200604,22,Metal,Reuse,552.931
150,WST-000150,20211120,21,Plastic,Reuse,39.107
151,WST-000151,20250410,90,Paper,Reuse,302.803
152,WST-000152,20200103,15,Chemical,Reuse,381.173
153,WST-000153,20231206,93,General,Reuse,120.53
154,WST-000154,20230421,55,General,Treatment,570.772
155,WST-000155,20200126,58,Plastic,Treatment,277.707
156,WST-000156,20190608,20,Paper,Recycling,164.701
157,WST-000157,20220720,29,Plastic,Recycling,837.374
158,WST-000158,20240706,60,Chemical,Reuse,533.857
159,WST-000159,20200713,55,Plastic,Reuse,955.359
160,WST-000160,20210213,1,Paper,Landfill,167.532
161,WST-000161,20210606,93,Chemical,Treatment,659.117
162,WST-000162,20250204,18,Metal,Landfill,968.864
163,WST-000163,20190214,12,General,Treatment,999.319
164,WST-000164,20220125,37,Metal,Treatment,958.559
165,WST-000165,20230420,49,Paper,Recycling,578.015
166,WST-000166,20241207,1,General,Landfill,269.234
167,WST-000167,20200327,98,Chemical,Treatment,584.885
168,WST-000168,20220605,61,Metal,Reuse,846.582
169,WST-000169,20210530,78,Metal,Reuse,567.725
170,WST-000170,20201015,92,Plastic,Recycling,983.061
171,WST-000171,20200221,54,Paper,Treatment,882.602
172,WST-000172,20250601,91,Metal,Treatment,842.921
173,WST-000173,20190526,54,Plastic,Recycling,74.268
174,WST-000174,20250707,28,Metal,Recycling,243.55
175,WST-000175,20230622,13,Metal,Landfill,33.966
176,WST-000176,20230627,52,Paper,Landfill,549.52
177,WST-000177,20200823,35,Metal,Treatment,528.531
178,WST-000178,20230905,57,Metal,Landfill,71.939
179,WST-000179,20241030,72,General,Treatment,265.257
180,WST-000180,20230310,8,Paper,Recycling,836.069
181,WST-000181,20250910,95,Paper,Landfill,541.487
182,WST-000182,20210325,4,Chemical,Landfill,811.175
183,WST-000183,20220123,82,Metal,Landfill,852.877
184,WST-000184,20210109,66,Paper,Landfill,464.989
185,WST-000185,20230812,13,Paper,Landfill,832.503
186,WST-000186,20201124,32,Chemical,Reuse,843.553
187,WST-000187,20190630,14,Chemical,Recycling,663.528
188,WST-000188,20250411,5,Plastic,Recycling,934.76
189,WST-000189,20200708,11,Chemical,Reuse,313.749
190,WST-000190,20250123,47,General,Recycling,327.217
191,WST-000191,20230712,78,Plastic,Recycling,881.521
192,WST-000192,20200303,52,General,Reuse,714.295
193,WST-000193,20210123,26,General,Recycling,266.326
194,WST-000194,20250819,99,Paper,Reuse,889.153
195,WST-000195,20210709,31,Plastic,Recycling,959.555
196,WST-000196,20230808,23,Metal,Treatment,443.641
197,WST-000197,20200707,61,Plastic,Reuse,255.096
198,WST-000198,20230327,42,Metal,Landfill,734.204
199,WST-000199,20220315,58,Chemical,Treatment,266.136
200,WST-000200,20220825,81,General,Treatment,393.471
201,WST-000201,20220502,1,Paper,Landfill,432.412
202,WST-000202,20210515,68,Metal,Treatment,615.273
203,WST-000203,20220204,49,Paper,Recycling,942.937
204,WST-000204,20240812,27,Metal,Reuse,908.379
205,WST-000205,20250826,16,Plastic,Reuse,380.539
206,WST-000206,20190317,75,Plastic,Recycling,262.726
207,WST-000207,20241017,22,General,Treatment,532.745
208,WST-000208,20230315,63,Metal,Landfill,434.562
209,WST-000209,20220412,74,Plastic,Treatment,907.052
210,WST-000210,20240923,89,Metal,Recycling,336.668
211,WST-000211,20240416,59,Metal,Reuse,630.87
212,WST-000212,20210226,75,Metal,Reuse,540.921
213,WST-000213,20211218,27,General,Reuse,88.914
214,WST-000214,20200730,58,Paper,Treatment,595.29
215,WST-000215,20230915,93,Chemical,Reuse,690.185
216,WST-000216,20191204,34,General,Landfill,119.921
217,WST-000217,20240129,84,Metal,Recycling,466.148
218,WST-000218,20190326,47,General,Treatment,573.53
219,WST-000219,20220127,14,Metal,Landfill,134.036
220,WST-000220,20191222,34,Paper,Landfill,663.288
221,WST-000221,20251005,98,Chemical,Recycling,13.369
222,WST-000222,20190917,78,General,Reuse,407.408
223,WST-000223,20190618,51,Paper,Landfill,640.636
224,WST-000224,20200108,61,Metal,Landfill,254.489
225,WST-000225,20210711,89,Metal,Treatment,451.058
226,WST-000226,20221005,48,Paper,Recycling,472.73
227,WST-000227,20230228,62,Metal,Landfill,188.921
228,WST-000228,20220322,99,Metal,Recycling,341.076
229,WST-000229,20190317,56,General,Recycling,515.719
230,WST-000230,20240623,40,Metal,Landfill,714.537
231,WST-000231,20200825,47,Chemical,Recycling,599.89
232,WST-000232,20230821,32,Chemical,Recycling,455.42
233,WST-000233,20250624,25,Metal,Reuse,964.014
234,WST-000234,20240113,63,General,Reuse,324.141
235,WST-000235,20250401,18,Plastic,Landfill,65.469
236,WST-000236,20251229,88,Plastic,Reuse,477.434
237,WST-000237,20200513,32,Metal,Treatment,965.854
238,WST-000238,20210220,27,Chemical,Reuse,700.108
239,WST-000239,20251219,82,Plastic,Treatment,13.756
240,WST-000240,20250520,35,General,Recycling,702.57
241,WST-000241,20220416,72,Chemical,Reuse,407.76
242,WST-000242,20241123,17,Paper,Treatment,835.907
243,WST-000243,20230530,11,Metal,Reuse,434.81
244,WST-000244,20210307,84,Metal,Treatment,681.853
245,WST-000245,20200901,33,Chemical,Recycling,445.129
246,WST-000246,20200831,26,Chemical,Treatment,959.631
247,WST-000247,20200320,48,Chemical,Reuse,394.577
248,WST-000248,20230905,23,Paper,Recycling,501.371
249,WST-000249,20250907,55,Metal,Reuse,137.985
250,WST-000250,20190129,91,Chemical,Treatment,588.791
251,WST-000251,20190925,18,General,Treatment,765.888
252,WST-000252,20251127,66,Plastic,Treatment,848.446
253,WST-000253,20190505,62,Paper,Treatment,65.956
254,WST-000254,20231119,97,Plastic,Recycling,26.199
255,WST-000255,20220716,93,Chemical,Treatment,905.235
256,WST-000256,20190124,6,Plastic,Recycling,528.749
257,WST-000257,20220101,49,Paper,Landfill,593.034
258,WST-000258,20190323,51,Plastic,Recycling,854.6
259,WST-000259,20220326,67,General,Landfill,332.483
260,WST-000260,20220530,88,Metal,Recycling,147.289
261,WST-000261,20231211,65,Chemical,Reuse,28.997
262,WST-000262,20190811,18,Plastic,Treatment,90.887
263,WST-000263,20190723,69,General,Recycling,606.33
264,WST-000264,20240109,14,Chemical,Treatment,273.885
265,WST-000265,20230619,85,Chemical,Recycling,729.129
266,WST-000266,20210517,3,Paper,Recycling,613.369
267,WST-000267,20200628,86,General,Recycling,604.422
268,WST-000268,20250424,62,General,Treatment,2.112
269,WST-000269,20210627,42,Metal,Reuse,89.944
270,WST-000270,20220903,55,Chemical,Treatment,810.362
271,WST-000271,20230125,81,Paper,Reuse,98.42
272,WST-000272,20210704,27,Chemical,Recycling,367.113
273,WST-000273,20231122,83,Paper,Landfill,357.424
274,WST-000274,20221031,8,Paper,Reuse,867.309
275,WST-000275,20200924,44,Paper,Recycling,876.825
276,WST-000276,20251226,2,Plastic,Reuse,-50.0
277,WST-000277,20221120,98,Plastic,Treatment,246.562
278,WST-000278,20210626,39,General,Reuse,882.828
279,WST-000279,20250918,60,Paper,Treatment,992.255
280,WST-000280,20200509,7,Paper,Reuse,712.973
281,WST-000281,20200521,66,Paper,Landfill,526.927
282,WST-000282,20210624,51,Chemical,Landfill,400.442
283,WST-000283,20210111,71,Metal,Landfill,99.863
284,WST-000284,20200225,56,General,Landfill,627.024
285,WST-000285,20240812,50,Paper,Reuse,173.454
286,WST-000286,20240628,24,Paper,Landfill,369.755
287,WST-000287,20230519,41,Metal,Reuse,311.887
288,WST-000288,20250427,50,Metal,Landfill,151.172
289,WST-000289,20230824,83,Chemical,Landfill,837.837
290,WST-000290,20250322,79,Paper,Landfill,353.094
291,WST-000291,20230304,84,General,Landfill,253.337
292,WST-000292,20190906,73,General,Recycling,31.854
293,WST-000293,20190202,21,General,Recycling,324.359
294,WST-000294,20191108,4,Metal,Reuse,964.303
295,WST-000295,20250712,4,Paper,Treatment,814.689
296,WST-000296,20210330,50,Paper,Recycling,324.958
297,WST-000297,20210622,65,Metal,Landfill,943.425
298,WST-000298,20210106,70,Plastic,Reuse,689.513
299,WST-000299,20211129,34,Chemical,Treatment,323.74
300,WST-000300,20191011,89,Chemical,Treatment,531.461
301,WST-000301,20210326,29,Plastic,Treatment,677.841
302,WST-000302,20240729,20,Chemical,Recycling,905.731
303,WST-000303,20200427,87,Paper,Reuse,726.422
304,WST-000304,20190312,60,General,Recycling,363.066
305,WST-000305,20210102,57,Plastic,Treatment,64.143
306,WST-000306,20230804,80,Plastic,Landfill,78.726
307,WST-000307,20240105,88,Paper,Treatment,181.611
308,WST-000308,20201011,35,Paper,Landfill,821.75
309,WST-000309,20251125,82,Paper,Landfill,133.946
310,WST-000310,20201003,73,Paper,Recycling,111.401
311,WST-000311,20190727,100,Plastic,Recycling,460.247
312,WST-000312,20251114,10,Paper,Treatment,38.014
313,WST-000313,20250521,32,Paper,Landfill,209.824
314,WST-000314,20241121,69,Paper,Landfill,520.861
315,WST-000315,20230926,33,Plastic,Treatment,592.557
316,WST-000316,20201222,30,Chemical,Reuse,61.822
317,WST-000317,20210905,92,Metal,Reuse,367.367
318,WST-000318,20211209,66,Chemical,Treatment,326.952
319,WST-000319,20250309,94,Metal,Treatment,50.392
320,WST-000320,20200604,45,Chemical,Recycling,219.242
321,WST-000321,20200624,31,Chemical,Recycling,649.793
322,WST-000322,20200810,3,General,Treatment,288.222
323,WST-000323,20250428,58,Chemical,Recycling,344.93
324,WST-000324,20190226,38,Plastic,Reuse,868.371
325,WST-000325,20210927,7,Plastic,Reuse,17.227
326,WST-000326,20191005,80,Paper,Treatment,841.76
327,WST-000327,20220223,2,Plastic,Reuse,973.684
328,WST-000328,20210510,63,General,Treatment,957.475
329,WST-000329,20250201,97,General,Treatment,916.473
330,WST-000330,20220814,44,General,Treatment,741.179
331,WST-000331,20210211,59,Paper,Treatment,368.09
332,WST-000332,20240220,85,Chemical,Treatment,301.046
333,WST-000333,20220802,75,Paper,Treatment,270.081
334,WST-000334,20231106,5,General,Recycling,194.048
335,WST-000335,20191124,55,Metal,Landfill,422.028
336,WST-000336,20220806,67,Metal,Landfill,576.079
337,WST-000337,20230819,42,Chemical,Recycling,388.851
338,WST-000338,20211231,3,Plastic,Reuse,425.452
339,WST-000339,20201020,6,Paper,Recycling,873.178
340,WST-000340,20211105,45,Metal,Reuse,598.316
341,WST-000341,20210524,63,Paper,Reuse,790.248
342,WST-000342,20210211,68,Metal,Reuse,541.495
343,WST-000343,20200717,67,Paper,Landfill,688.443
344,WST-000344,20191101,97,Paper,Landfill,387.977
345,WST-000345,20210614,69,Paper,Reuse,700.113
346,WST-000346,20250420,50,Paper,Landfill,713.368
347,WST-000347,20250428,50,Metal,Landfill,601.037
348,WST-000348,20230221,22,Plastic,Treatment,509.014
349,WST-000349,20211104,63,Plastic,Treatment,243.112
350,WST-000350,20250504,10,Paper,Treatment,400.137
351,WST-000351,20240407,81,Plastic,Treatment,776.86
352,WST-000352,20190103,100,Plastic,Reuse,198.82
353,WST-000353,20251125,88,Plastic,Recycling,954.933
354,WST-000354,20200415,21,Paper,Recycling,560.48
355,WST-000355,20191007,50,Metal,Landfill,514.245
356,WST-000356,20240607,27,Paper,Recycling,83.699
357,WST-000357,20250224,51,General,Recycling,48.313
358,WST-000358,20200623,63,Chemical,Recycling,280.144
359,WST-000359,20190721,94,Plastic,Reuse,379.92
360,WST-000360,20210423,86,General,Landfill,927.989
361,WST-000361,20240705,28,Chemical,Landfill,894.387
362,WST-000362,20210802,2,Chemical,Treatment,446.561
363,WST-000363,20240807,15,Chemical,Landfill,589.636
364,WST-000364,20240225,78,Metal,Reuse,560.783
365,WST-000365,20220729,49,General,Landfill,106.423
366,WST-000366,20230208,74,Plastic,Landfill,507.967
367,WST-000367,20240216,65,Chemical,Recycling,711.745
368,WST-000368,20201112,5,Chemical,Treatment,542.321
369,WST-000369,20230407,44,General,Recycling,917.595
370,WST-000370,20200709,83,Paper,Treatment,413.0
371,WST-000371,20210215,32,Metal,Recycling,99.399
372,WST-000372,20231206,51,Plastic,Treatment,786.455
373,WST-000373,20200920,38,Paper,Reuse,486.62
374,WST-000374,20240828,39,Paper,Treatment,245.063
375,WST-000375,20211101,81,Chemical,Recycling,99.76
376,WST-000376,20220614,85,Paper,Recycling,662.991
377,WST-000377,20190505,29,Paper,Landfill,898.823
378,WST-000378,20240305,62,Chemical,Treatment,999.669
379,WST-000379,20200219,42,General,Landfill,191.4
380,WST-000380,20241216,48,General,Landfill,740.937
381,WST-000381,20251216,43,General,Treatment,324.857
382,WST-000382,20250131,100,Chemical,Treatment,526.511
383,WST-000383,20191014,41,Plastic,Landfill,984.84
384,WST-000384,20251110,60,General,Treatment,462.451
385,WST-000385,20241002,20,Plastic,Landfill,988.461
386,WST-000386,20250602,99,Metal,Recycling,393.331
387,WST-000387,20210617,87,Paper,Treatment,374.097
388,WST-000388,20240620,59,Chemical,Landfill,123.572
389,WST-000389,20200730,7,General,Treatment,692.639
390,WST-000390,20251005,96,Plastic,Recycling,814.337
391,WST-000391,20190820,9,Metal,Treatment,463.313
392,WST-000392,20190707,87,Plastic,Reuse,60.824
393,WST-000393,20250825,32,General,Landfill,775.366
394,WST-000394,20190202,15,General,Landfill,734.221
395,WST-000395,20220507,75,Chemical,Recycling,824.656
396,WST-000396,20190524,12,Chemical,Treatment,37.679
397,WST-000397,20220803,49,Metal,Recycling,38.59
398,WST-000398,20240226,29,Metal,Recycling,498.672
399,WST-000399,20240125,97,Metal,Treatment,-50.0
400,WST-000400,20210426,8,General,Reuse,351.197
401,WST-000401,20200413,1,Chemical,Reuse,398.044
402,WST-000402,20210210,93,Chemical,Landfill,98.815
403,WST-000403,20200323,9,General,Landfill,80.388
404,WST-000404,20200303,6,Plastic,Landfill,794.861
405,WST-000405,20250429,25,Chemical,Reuse,920.695
406,WST-000406,20200714,65,Metal,Reuse,708.044
407,WST-000407,20231225,68,Metal,Treatment,996.664
408,WST-000408,20200719,76,Plastic,Treatment,353.174
409,WST-000409,20200528,70,Paper,Recycling,587.602
410,WST-000410,20210628,35,Plastic,Reuse,433.954
411,WST-000411,20200521,8,General,Recycling,519.757
412,WST-000412,20230315,66,Chemical,Landfill,768.727
413,WST-000413,20220504,3,Plastic,Reuse,533.14
414,WST-000414,20220208,20,Paper,Reuse,722.259
415,WST-000415,20220501,93,Chemical,Recycling,916.43
416,WST-000416,20211005,40,Paper,Landfill,430.598
417,WST-000417,20200615,28,Plastic,Recycling,936.14
418,WST-000418,20200901,67,Plastic,Landfill,44.317
419,WST-000419,20230427,51,Chemical,Reuse,120.263
420,WST-000420,20200626,50,Metal,Landfill,34.68
421,WST-000421,20200211,45,Metal,Recycling,949.494
422,WST-000422,20220913,7,Metal,Treatment,610.057
423,WST-000423,20230714,60,Metal,Treatment,11.157
424,WST-000424,20231125,58,Plastic,Reuse,923.489
425,WST-000425,20250127,78,General,Treatment,366.738
426,WST-000426,20250910,16,General,Recycling,132.535
427,WST-000427,20231029,19,Chemical,Recycling,272.117
428,WST-000428,20220209,33,Chemical,Treatment,966.693
429,WST-000429,20210222,36,General,Recycling,352.217
430,WST-000430,20250610,2,General,Recycling,783.181
431,WST-000431,20211123,57,Metal,Reuse,662.132
432,WST-000432,20240119,26,Paper,Landfill,847.468
433,WST-000433,20191126,98,Paper,Recycling,652.927
434,WST-000434,20190309,16,Paper,Recycling,675.19
435,WST-000435,20190612,55,General,Treatment,970.123
436,WST-000436,20190425,28,Paper,Landfill,775.745
437,WST-000437,20251207,57,General,Reuse,667.291
438,WST-000438,20190523,80,Paper,Recycling,486.154
439,WST-000439,20221103,97,Paper,Reuse,694.261
440,WST-000440,20230306,90,Metal,Reuse,992.606
441,WST-000441,20230926,36,Paper,Treatment,418.048
442,WST-000442,20241028,5,Metal,Treatment,405.293
443,WST-000443,20230814,28,Paper,Reuse,823.417
444,WST-000444,20210625,41,Plastic,Reuse,134.145
445,WST-000445,20220409,71,Metal,Treatment,688.812
446,WST-000446,20191204,86,Metal,Treatment,709.151
447,WST-000447,20251210,70,General,Reuse,708.761
448,WST-000448,20250211,98,Paper,Treatment,523.355
449,WST-000449,20250812,46,Metal,Treatment,298.362
450,WST-000450,20220214,71,Paper,Landfill,49.345
451,WST-000451,20230129,68,General,Landfill,735.32
452,WST-000452,20220618,58,General,Reuse,875.551
453,WST-000453,20230703,8,Metal,Recycling,932.624
454,WST-000454,20250206,19,Paper,Reuse,668.843
455,WST-000455,20250325,60,Plastic,Reuse,434.956
456,WST-000456,20230917,75,Plastic,Reuse,67.369
457,WST-000457,20240410,68,Metal,Reuse,73.406
458,WST-000458,20220611,74,Chemical,Recycling,385.881
459,WST-000459,20201217,44,Paper,Landfill,143.992
460,WST-000460,20220507,27,Paper,Treatment,74.085
461,WST-000461,20211101,37,Plastic,Reuse,123.386
462,WST-000462,20240428,87,General,Treatment,818.906
463,WST-000463,20251026,51,Plastic,Reuse,229.608
464,WST-000464,20230610,90,Chemical,Landfill,510.001
465,WST-000465,20240227,39,Plastic,Treatment,843.077
466,WST-000466,20200311,96,Metal,Recycling,860.998
467,WST-000467,20211005,28,General,Recycling,543.505
468,WST-000468,20200118,27,Plastic,Landfill,103.275
469,WST-000469,20201217,16,Plastic,Recycling,602.092
470,WST-000470,20250318,20,Metal,Reuse,745.972
471,WST-000471,20220102,60,Chemical,Recycling,908.363
472,WST-000472,20240830,4,Chemical,Landfill,596.316
473,WST-000473,20250508,49,Paper,Recycling,392.36
474,WST-000474,20210930,100,Metal,Landfill,946.328
475,WST-000475,20190112,37,Plastic,Reuse,368.009
476,WST-000476,20251229,23,Chemical,Recycling,213.811
477,WST-000477,20210425,99,Metal,Landfill,835.995
478,WST-000478,20240327,2,Metal,Recycling,176.245
479,WST-000479,20201118,95,Metal,Recycling,61.421
480,WST-000480,20211228,58,General,Recycling,441.254
481,WST-000481,20191211,73,Metal,Landfill,7.022
482,WST-000482,20211125,36,Plastic,Reuse,611.486
483,WST-000483,20201223,79,Metal,Recycling,558.504
484,WST-000484,20210730,83,Metal,Treatment,589.893
485,WST-000485,20220317,33,Metal,Landfill,399.28
486,WST-000486,20240723,78,Chemical,Landfill,473.883
487,WST-000487,20250210,85,General,Treatment,414.17
488,WST-000488,20230112,62,Plastic,Treatment,628.408
489,WST-000489,20211204,80,Paper,Recycling,224.115
490,WST-000490,20220730,73,Paper,Reuse,881.675
491,WST-000491,20190821,45,General,Landfill,447.444
492,WST-000492,20190405,53,General,Reuse,716.45
493,WST-000493,20210829,91,Metal,Landfill,216.077
494,WST-000494,20190926,52,Metal,Reuse,214.218
495,WST-000495,20251115,58,General,Treatment,100.427
496,WST-000496,20230428,63,Paper,Recycling,160.408
497,WST-000497,20200727,76,Plastic,Reuse,851.79
498,WST-000498,20250907,75,Paper,Landfill,363.942
499,WST-000499,20231031,96,Plastic,Treatment,753.53
500,WST-000500,20250628,89,Paper,Treatment,400.393
501,WST-000501,20210326,47,Plastic,Treatment,265.963
502,WST-000502,20231029,61,General,Recycling,767.128
503,WST-000503,20240701,47,Paper,Recycling,67.176
504,WST-000504,20230524,62,Chemical,Landfill,127.588
505,WST-000505,20240418,73,General,Recycling,768.858
506,WST-000506,20251208,7,Chemical,Landfill,644.839
507,WST-000507,20230923,50,Metal,Recycling,565.809
508,WST-000508,20220425,23,General,Treatment,568.384
509,WST-000509,20250718,63,Paper,Treatment,212.346
510,WST-000510,20211008,34,Chemical,Recycling,228.616
511,WST-000511,20250402,23,Metal,Recycling,444.138
512,WST-000512,20200308,60,Metal,Reuse,677.468
513,WST-000513,20230118,94,General,Reuse,113.522
514,WST-000514,20210321,53,Metal,Recycling,77.05
515,WST-000515,20201031,19,Chemical,Treatment,815.791
516,WST-000516,20220426,1,Chemical,Reuse,629.185
