machine_key,machine_id,location_key,machine_name,machine_type,installation_date,status
43,MCH-000043,5,Atlas Machine 43,Press Machine,2018-08-25,Operational
44,MCH-000044,99,Atlas Machine 44,Assembly Machine,2017-01-11,Operational
45,MCH-000045,65,Atlas Machine 45,Assembly Machine,2018-11-04,Operational
46,MCH-000046,93,Atlas Machine 46,CNC Machine,2017-11-01,Operational
47,MCH-000047,15,Atlas Machine 47,CNC Machine,2017-11-07,Operational
48,MCH-000048,2,Atlas Machine 48,Cutting Machine,2016-04-11,Operational
49,MCH-000049,81,Atlas Machine 49,CNC Machine,2016-01-21,Operational
50,MCH-000050,73,Atlas Machine 50,Press Machine,2016-01-18,Operational
51,MCH-000051,34,Atlas Machine 51,Assembly Machine,2018-04-15,Operational
52,MCH-000052,54,Atlas Machine 52,Assembly Machine,2017-12-11,Operational
53,MCH-000053,95,Atlas Machine 53,Press Machine,2018-12-26,Operational
54,MCH-000054,37,Atlas Machine 54,Cutting Machine,2018-12-20,Operational
55,MCH-000055,43,Atlas Machine 55,Cutting Machine,2017-02-22,Operational
56,MCH-000056,57,Atlas Machine 56,CNC Machine,2017-10-08,Operational
57,MCH-000057,93,Atlas Machine 57,CNC Machine,2016-03-12,Operational
58,MCH-000058,80,Atlas Machine 58,Cutting Machine,2017-11-03,Operational
59,MCH-000059,22,Atlas Machine 59,Assembly Machine,2016-04-06,Operational
60,MCH-000060,20,Atlas Machine 60,Assembly Machine,2016-03-13,Inactive
61,MCH-000061,3,Atlas Machine 61,Press Machine,2016-02-13,Operational
62,MCH-000062,19,Atlas Machine 62,CNC Machine,2017-08-10,Operational
63,MCH-000063,77,Atlas Machine 63,Cutting Machine,2017-03-26,Maintenance
64,MCH-000064,40,Atlas Machine 64,CNC Machine,2016-02-25,Operational
65,MCH-000065,57,Atlas Machine 65,Press Machine,2017-08-03,Operational
66,MCH-000066,85,Atlas Machine 66,CNC Machine,2016-04-14,Inactive
67,MCH-000067,57,Atlas Machine 67,Cutting Machine,2018-06-29,Operational
68,MCH-000068,40,Atlas Machine 68,Press Machine,2017-01-14,Operational
69,MCH-000069,100,Atlas Machine 69,CNC Machine,2018-04-23,Operational
70,MCH-000070,75,Atlas Machine 70,CNC Machine,2018-10-10,Operational
71,MCH-000071,83,Atlas Machine 71,Packaging Machine,2017-03-06,Operational
72,MCH-000072,72,Atlas Machine 72,CNC Machine,2018-12-22,Operational
73,MCH-000073,85,Atlas Machine 73,Press Machine,2018-10-27,Operational
74,MCH-000074,63,Atlas Machine 74,CNC Machine,2016-10-25,Operational
75,MCH-000075,71,Atlas Machine 75,Cutting Machine,2016-09-13,Maintenance
76,MCH-000076,3,Atlas Machine 76,CNC Machine,2018-02-22,Operational
77,MCH-000077,83,Atlas Machine 77,Cutting Machine,2016-05-14,Operational
78,MCH-000078,51,Atlas Machine 78,Press Machine,2016-10-28,Inactive
79,MCH-000079,40,Atlas Machine 79,CNC Machine,2018-11-07,Maintenance
80,MCH-000080,81,Atlas Machine 80,CNC Machine,2018-07-21,Operational
81,MCH-000081,19,Atlas Machine 81,Cutting Machine,2017-01-30,Operational
82,MCH-000082,99,Atlas Machine 82,Packaging Machine,2016-04-10,Operational
83,MCH-000083,74,Atlas Machine 83,Assembly Machine,2016-08-08,Operational
84,MCH-000084,56,Atlas Machine 84,Cutting Machine,2018-04-07,Operational
85,MCH-000085,67,Atlas Machine 85,Press Machine,2016-07-19,Operational
86,MCH-000086,91,Atlas Machine 86,Packaging Machine,2017-06-24,Operational
87,MCH-000087,94,Atlas Machine 87,CNC Machine,2016-04-10,Operational
88,MCH-000088,56,Atlas Machine 88,Cutting Machine,2018-09-23,Operational
89,MCH-000089,32,Atlas Machine 89,Cutting Machine,2016-08-11,Operational
90,MCH-000090,49,Atlas Machine 90,CNC Machine,2016-12-10,Operational
91,MCH-000091,57,Atlas Machine 91,Assembly Machine,2018-01-28,Operational
92,MCH-000092,18,Atlas Machine 92,Packaging Machine,2018-08-08,Operational
93,MCH-000093,20,Atlas Machine 93,Assembly Machine,2018-12-24,Maintenance
94,MCH-000094,89,Atlas Machine 94,CNC Machine,2016-01-19,Operational
95,MCH-000095,83,Atlas Machine 95,CNC Machine,2017-08-21,Maintenance
96,MCH-000096,4,Atlas Machine 96,Cutting Machine,2016-09-25,Operational
97,MCH-000097,57,Atlas Machine 97,Packaging Machine,2017-03-05,Operational
98,MCH-000098,93,Atlas Machine 98,Cutting Machine,2018-04-23,Operational
99,MCH-000099,81,Atlas Machine 99,Assembly Machine,2016-01-10,Operational
100,MCH-000100,40,Atlas Machine 100,CNC Machine,2018-04-03,Operational
101,MCH-000101,95,Atlas Machine 101,Packaging Machine,2016-06-22,Maintenance
102,MCH-000102,68,Atlas Machine 102,Press Machine,2018-05-31,Operational
103,MCH-000103,4,Atlas Machine 103,Press Machine,2017-02-15,Operational
104,MCH-000104,90,Atlas Machine 104,CNC Machine,2016-03-05,Operational
105,MCH-000105,9,Atlas Machine 105,Assembly Machine,2016-03-27,Operational
106,MCH-000106,4,Atlas Machine 106,Press Machine,2016-11-29,Operational
107,MCH-000107,97,Atlas Machine 107,Cutting Machine,2016-02-18,Operational
108,MCH-000108,11,Atlas Machine 108,CNC Machine,2018-07-02,Operational
109,MCH-000109,48,Atlas Machine 109,Assembly Machine,2016-02-14,Operational
110,MCH-000110,19,Atlas Machine 110,Packaging Machine,2016-02-13,Operational
111,MCH-000111,53,Atlas Machine 111,Press Machine,2018-11-11,Operational
112,MCH-000112,65,Atlas Machine 112,Packaging Machine,2016-06-13,Operational
113,MCH-000113,77,Atlas Machine 113,Press Machine,2018-05-09,Operational
114,MCH-000114,29,Atlas Machine 114,Assembly Machine,2018-08-03,Operational
115,MCH-000115,74,Atlas Machine 115,Assembly Machine,2017-01-19,Maintenance
116,MCH-000116,65,Atlas Machine 116,Packaging Machine,2018-10-26,Operational
117,MCH-000117,43,Atlas Machine 117,Cutting Machine,2018-04-28,Operational
118,MCH-000118,84,Atlas Machine 118,Press Machine,2017-05-14,Operational
119,MCH-000119,63,Atlas Machine 119,Assembly Machine,2016-12-08,Operational
120,MCH-000120,29,Atlas Machine 120,Assembly Machine,2018-08-25,Operational
121,MCH-000121,26,Atlas Machine 121,Packaging Machine,2016-04-25,Inactive
122,MCH-000122,20,Atlas Machine 122,CNC Machine,2018-06-24,Inactive
123,MCH-000123,98,Atlas Machine 123,Press Machine,2018-12-09,Operational
124,MCH-000124,1,Atlas Machine 124,Cutting Machine,2018-07-07,Operational
125,MCH-000125,65,Atlas Machine 125,Assembly Machine,2016-11-19,Operational
126,MCH-000126,76,Atlas Machine 126,CNC Machine,2017-03-07,Operational
127,MCH-000127,51,Atlas Machine 127,Packaging Machine,2018-05-30,Operational
128,MCH-000128,58,Atlas Machine 128,CNC Machine,2016-01-26,Operational
129,MCH-000129,89,Atlas Machine 129,Press Machine,2018-07-11,Operational
130,MCH-000130,18,Atlas Machine 130,Packaging Machine,2018-11-04,Inactive
131,MCH-000131,73,Atlas Machine 131,Packaging Machine,2017-11-20,Operational
132,MCH-000132,4,Atlas Machine 132,Cutting Machine,2017-07-03,Operational
133,MCH-000133,72,Atlas Machine 133,Assembly Machine,2016-10-08,Operational
134,MCH-000134,60,Atlas Machine 134,Assembly Machine,2017-11-09,Operational
135,MCH-000135,54,Atlas Machine 135,Assembly Machine,2018-05-17,Operational
136,MCH-000136,93,Atlas Machine 136,Press Machine,2018-07-20,Operational
137,MCH-000137,81,Atlas Machine 137,Cutting Machine,2016-03-04,Operational
138,MCH-000138,62,Atlas Machine 138,Cutting Machine,2017-02-25,Operational
139,MCH-000139,11,Atlas Machine 139,CNC Machine,2016-06-02,Operational
140,MCH-000140,74,Atlas Machine 140,CNC Machine,2018-09-14,Operational
141,MCH-000141,62,Atlas Machine 141,Assembly Machine,2017-04-28,Operational
142,MCH-000142,92,Atlas Machine 142,Packaging Machine,2018-11-11,Operational
143,MCH-000143,74,Atlas Machine 143,Assembly Machine,2017-04-29,Operational
144,MCH-000144,7,Atlas Machine 144,Press Machine,2017-12-08,Operational
145,MCH-000145,2, Atlas Machine 145 ,Press Machine,2016-02-21,Operational
146,MCH-000146,63,Atlas Machine 146,Press Machine,2017-08-18,Operational
147,MCH-000147,40,Atlas Machine 147,Cutting Machine,2017-08-25,Operational
148,MCH-000148,31,Atlas Machine 148,Press Machine,2016-08-31,Operational
149,MCH-000149,6,Atlas Machine 149,Press Machine,2016-10-22,Operational
150,MCH-000150,65,Atlas Machine 150,CNC Machine,2018-07-09,Operational
151,MCH-000151,44,Atlas Machine 151,Press Machine,2017-12-07,Operational
152,MCH-000152,67,Atlas Machine 152,Assembly Machine,2017-09-10,Operational
153,MCH-000153,92,Atlas Machine 153,Cutting Machine,2018-11-01,Maintenance
154,MCH-000154,72,Atlas Machine 154,Press Machine,2016-04-13,Operational
155,MCH-000155,2,Atlas Machine 155,Press Machine,2018-11-28,Operational
156,MCH-000156,37,Atlas Machine 156,Cutting Machine,2018-09-04,Operational
157,MCH-000157,95,Atlas Machine 157,Press Machine,2017-03-03,Maintenance
158,MCH-000158,32,Atlas Machine 158,CNC Machine,2017-06-11,Operational
159,MCH-000159,91,Atlas Machine 159,Cutting Machine,2016-09-08,Operational
160,MCH-000160,48,Atlas Machine 160,CNC Machine,2018-10-04,Operational
161,MCH-000161,53,Atlas Machine 161,Assembly Machine,2018-06-29,Inactive
162,MCH-000162,4,Atlas Machine 162,Cutting Machine,2017-07-13,Operational
163,MCH-000163,15,Atlas Machine 163,Packaging Machine,2017-08-25,Maintenance
164,MCH-000164,3,Atlas Machine 164,Cutting Machine,2017-11-26,Operational
165,MCH-000165,68,Atlas Machine 165,Packaging Machine,2018-05-22,Operational
166,MCH-000166,48,Atlas Machine 166,Assembly Machine,2017-07-03,Operational
167,MCH-000167,41,Atlas Machine 167,Press Machine,2018-08-30,Operational
168,MCH-000168,90,Atlas Machine 168,Press Machine,2018-10-30,Operational
169,MCH-000169,99,Atlas Machine 169,Cutting Machine,2016-09-04,Operational
170,MCH-000170,4,Atlas Machine 170,Assembly Machine,2018-06-11,Operational
171,MCH-000171,55,Atlas Machine 171,CNC Machine,2017-02-25,Operational
172,MCH-000172,22,Atlas Machine 172,Packaging Machine,2018-08-01,Operational
173,MCH-000173,86,Atlas Machine 173,CNC Machine,2016-09-29,Operational
174,MCH-000174,54,Atlas Machine 174,Cutting Machine,2018-09-17,Operational
175,MCH-000175,49,Atlas Machine 175,Assembly Machine,2017-09-11,Maintenance
176,MCH-000176,32,Atlas Machine 176,Cutting Machine,2016-03-04,Operational
177,MCH-000177,97,Atlas Machine 177,Packaging Machine,2017-12-01,Maintenance
178,MCH-000178,54,Atlas Machine 178,Press Machine,2018-09-02,Operational
179,MCH-000179,100,Atlas Machine 179,Cutting Machine,2018-03-29,Operational
180,MCH-000180,83,Atlas Machine 180,CNC Machine,2018-06-14,Operational
181,MCH-000181,54,Atlas Machine 181,Press Machine,2017-10-26,Operational
182,MCH-000182,26,Atlas Machine 182,Packaging Machine,2017-07-15,Maintenance
183,MCH-000183,11,Atlas Machine 183,Assembly Machine,2017-12-18,Operational
184,MCH-000184,51,Atlas Machine 184,Press Machine,2016-01-19,Operational
185,MCH-000185,49,Atlas Machine 185,Press Machine,2016-04-13,Operational
186,MCH-000186,75,Atlas Machine 186,Press Machine,2017-01-31,Unknown
187,MCH-000187,81,Atlas Machine 187,Press Machine,2017-10-19,Operational
188,MCH-000188,5,Atlas Machine 188,Press Machine,2016-07-04,Operational
189,MCH-000189,86,Atlas Machine 189,CNC Machine,2016-12-12,Operational
190,MCH-000190,4,Atlas Machine 190,CNC Machine,2018-07-13,Operational
191,MCH-000191,98,Atlas Machine 191,Assembly Machine,2016-09-16,Operational
192,MCH-000192,22,Atlas Machine 192,Cutting Machine,2018-07-16,Operational
193,MCH-000193,83,Atlas Machine 193,Packaging Machine,2017-05-29,Operational
194,MCH-000194,88,Atlas Machine 194,CNC Machine,2018-11-02,Operational
195,MCH-000195,76,Atlas Machine 195,CNC Machine,2018-08-31,Operational
196,MCH-000196,26,Atlas Machine 196,Packaging Machine,2018-02-23,Maintenance
197,MCH-000197,38,Atlas Machine 197,Assembly Machine,2018-05-13,Operational
198,MCH-000198,62,Atlas Machine 198,Press Machine,2018-10-11,Operational
199,MCH-000199,65,Atlas Machine 199,Cutting Machine,2018-01-10,Operational
200,MCH-000200,99,Atlas Machine 200,Assembly Machine,2016-06-24,Operational
201,MCH-000201,32,Atlas Machine 201,CNC Machine,2018-09-03,Operational
202,MCH-000202,55,Atlas Machine 202,Assembly Machine,2017-10-30,Operational
203,MCH-000203,95,Atlas Machine 203,Press Machine,2018-06-27,Operational
204,MCH-000204,19,Atlas Machine 204,CNC Machine,2017-04-29,Inactive
205,MCH-000205,22,Atlas Machine 205,Press Machine,2018-01-28,Maintenance
206,MCH-000206,4,Atlas Machine 206,CNC Machine,2016-03-29,Inactive
207,MCH-000207,68,Atlas Machine 207,CNC Machine,2018-06-20,Operational
208,MCH-000208,73,Atlas Machine 208,CNC Machine,2018-06-14,Operational
209,MCH-000209,57,Atlas Machine 209,Packaging Machine,2017-07-21,Operational
210,MCH-000210,37,Atlas Machine 210,Press Machine,2018-05-16,Operational
211,MCH-000211,81,Atlas Machine 211,Assembly Machine,2017-01-21,Operational
212,MCH-000212,53,Atlas Machine 212,Packaging Machine,2016-03-27,Operational
213,MCH-000213,41,Atlas Machine 213,CNC Machine,2017-11-12,Operational
214,MCH-000214,69,Atlas Machine 214,CNC Machine,2018-09-04,Operational
215,MCH-000215,35,Atlas Machine 215,Press Machine,2018-03-05,Operational
216,MCH-000216,5,Atlas Machine 216,Cutting Machine,2016-09-22,Operational
217,MCH-000217,20,Atlas Machine 217,CNC Machine,2018-07-30,Operational
218,MCH-000218,63,Atlas Machine 218,Packaging Machine,2016-11-21,Operational
219,MCH-000219,51,Atlas Machine 219,Assembly Machine,2018-11-21,Operational
220,MCH-000220,93,Atlas Machine 220,Packaging Machine,2017-01-10,Operational
221,MCH-000221,99,Atlas Machine 221,Assembly Machine,2017-05-27,Operational
222,MCH-000222,29,Atlas Machine 222,CNC Machine,2018-02-14,Operational
223,MCH-000223,38,Atlas Machine 223,Press Machine,2016-03-14,Operational
224,MCH-000224,79,Atlas Machine 224,Packaging Machine,2016-09-12,Operational
225,MCH-000225,85,Atlas Machine 225,Cutting Machine,2018-12-26,Operational
226,MCH-000226,67,Atlas Machine 226,Assembly Machine,2017-02-06,Operational
227,MCH-000227,9,Atlas Machine 227,Press Machine,2018-08-01,Operational
228,MCH-000228,63,Atlas Machine 228,CNC Machine,2016-08-27,Operational
229,MCH-000229,89,Atlas Machine 229,CNC Machine,2017-12-05,Operational
230,MCH-000230,18,Atlas Machine 230,Packaging Machine,2017-04-30,Maintenance
231,MCH-000231,57,Atlas Machine 231,Packaging Machine,2017-04-24,Operational
232,MCH-000232,26,Atlas Machine 232,Press Machine,2017-08-21,Operational
233,MCH-000233,72,Atlas Machine 233,Press Machine,2018-05-31,Operational
234,MCH-000234,19,Atlas Machine 234,Packaging Machine,2018-09-02,Operational
235,MCH-000235,26,Atlas Machine 235,CNC Machine,2017-08-29,Operational
236,MCH-000236,85,Atlas Machine 236,Packaging Machine,2017-04-29,Operational
237,MCH-000237,97,Atlas Machine 237,Cutting Machine,2016-08-03,Operational
238,MCH-000238,95,Atlas Machine 238,Packaging Machine,2016-12-13,Operational
239,MCH-000239,31,Atlas Machine 239,Press Machine,2016-08-11,Operational
240,MCH-000240,69,Atlas Machine 240,Press Machine,2016-02-15,Operational
241,MCH-000241,63,Atlas Machine 241,Packaging Machine,2017-12-30,Inactive
242,MCH-000242,26,Atlas Machine 242,Cutting Machine,2017-04-27,Operational
243,MCH-000243,48,Atlas Machine 243,CNC Machine,2018-01-25,Inactive
244,MCH-000244,99,Atlas Machine 244,Press Machine,2018-01-31,Operational
245,MCH-000245,29,Atlas Machine 245,Packaging Machine,2017-08-27,Operational
246,MCH-000246,90,Atlas Machine 246,Press Machine,2018-11-21,Operational
247,MCH-000247,8,Atlas Machine 247,CNC Machine,2017-12-07,Operational
248,MCH-000248,88,Atlas Machine 248,CNC Machine,2018-08-25,Operational
249,MCH-000249,20,Atlas Machine 249,Assembly Machine,2018-06-28,Operational
250,MCH-000250,79,Atlas Machine 250,Cutting Machine,2016-06-17,Operational
251,MCH-000251,88,Atlas Machine 251,Cutting Machine,2018-06-25,Operational
252,MCH-000252,2,Atlas Machine 252,Cutting Machine,2016-10-19,Operational
253,MCH-000253,92,Atlas Machine 253,Press Machine,2018-05-13,Maintenance
254,MCH-000254,77,Atlas Machine 254,Assembly Machine,2017-05-30,Maintenance
255,MCH-000255,58,Atlas Machine 255,Packaging Machine,2017-12-26,Operational
256,MCH-000256,69,Atlas Machine 256,Packaging Machine,2018-04-07,Operational
257,MCH-000257,6,Atlas Machine 257,Cutting Machine,2016-06-14,Operational
258,MCH-000258,6,Atlas Machine 258,Assembly Machine,2016-10-16,Operational
259,MCH-000259,56,Atlas Machine 259,CNC Machine,2016-02-22,Operational
260,MCH-000260,48,Atlas Machine 260,Packaging Machine,2016-12-01,Operational
261,MCH-000261,100,Atlas Machine 261,CNC Machine,2017-09-22,Operational
262,MCH-000262,77,Atlas Machine 262,Assembly Machine,2017-08-17,Inactive
263,MCH-000263,63,Atlas Machine 263,CNC Machine,2017-08-08,Operational
264,MCH-000264,54,Atlas Machine 264,CNC Machine,2017-06-16,Operational
265,MCH-000265,1,Atlas Machine 265,Assembly Machine,2018-07-03,Operational
266,MCH-000266,15,Atlas Machine 266,Packaging Machine,2018-04-02,Operational
267,MCH-000267,18,Atlas Machine 267,Assembly Machine,2016-05-16,Operational
268,MCH-000268,94,Atlas Machine 268,Packaging Machine,2017-01-23,Operational
269,MCH-000269,22,Atlas Machine 269,Packaging Machine,2016-07-22,Operational
270,MCH-000270,43,Atlas Machine 270,CNC Machine,2017-04-01,Operational
271,MCH-000271,57,Atlas Machine 271,CNC Machine,2016-06-15,Operational
272,MCH-000272,99,Atlas Machine 272,Assembly Machine,2018-12-08,Operational
273,MCH-000273,41,Atlas Machine 273,Assembly Machine,2018-11-20,Operational
274,MCH-000274,55,Atlas Machine 274,Packaging Machine,2016-10-10,Operational
275,MCH-000275,62,Atlas Machine 275,Press Machine,2017-03-02,Operational
276,MCH-000276,38,Atlas Machine 276,Press Machine,2017-05-02,Maintenance
277,MCH-000277,89,Atlas Machine 277,Assembly Machine,2017-01-19,Operational
278,MCH-000278,44,Atlas Machine 278,Assembly Machine,2018-08-28,Operational
279,MCH-000279,83,Atlas Machine 279,Packaging Machine,2016-08-20,Operational
280,MCH-000280,90,Atlas Machine 280,Assembly Machine,2017-11-09,Operational
281,MCH-000281,57,Atlas Machine 281,Assembly Machine,2018-07-13,Operational
282,MCH-000282,68,Atlas Machine 282,CNC Machine,2016-12-03,Operational
283,MCH-000283,35,Atlas Machine 283,Cutting Machine,2018-08-01,Operational
284,MCH-000284,8,Atlas Machine 284,Packaging Machine,2018-05-09,Maintenance
285,MCH-000285,4,Atlas Machine 285,Cutting Machine,2016-07-13,Operational
286,MCH-000286,62,Atlas Machine 286,Press Machine,2016-11-02,Operational
287,MCH-000287,100,Atlas Machine 287,CNC Machine,2017-02-18,Operational
288,MCH-000288,74,Atlas Machine 288,CNC Machine,2018-10-04,Operational
289,MCH-000289,53,Atlas Machine 289,CNC Machine,2017-11-10,Operational
290,MCH-000290,98,Atlas Machine 290,Cutting Machine,2017-03-03,Operational
291,MCH-000291,90,Atlas Machine 291,Press Machine,2017-01-31,Operational
292,MCH-000292,81,Atlas Machine 292,Cutting Machine,2018-07-17,Operational
293,MCH-000293,44,Atlas Machine 293,CNC Machine,2017-03-03,Operational
294,MCH-000294,38,Atlas Machine 294,Assembly Machine,2016-01-27,Operational
295,MCH-000295,43,Atlas Machine 295,Press Machine,2018-04-25,Operational
296,MCH-000296,84,Atlas Machine 296,Cutting Machine,2016-01-31,Operational
297,MCH-000297,44,Atlas Machine 297,CNC Machine,2018-04-08,Maintenance
298,MCH-000298,77,Atlas Machine 298,Press Machine,2016-09-21,Inactive
299,MCH-000299,56,Atlas Machine 299,Packaging Machine,2018-10-04,Maintenance
300,MCH-000300,43,Atlas Machine 300,Assembly Machine,2018-02-04,Operational
301,MCH-000301,71,Atlas Machine 301,Press Machine,2017-03-16,Maintenance
302,MCH-000302,77,Atlas Machine 302,Press Machine,2018-02-11,Operational
303,MCH-000303,58,Atlas Machine 303,Press Machine,2018-12-12,Operational
304,MCH-000304,56,Atlas Machine 304,CNC Machine,2016-04-04,Operational
305,MCH-000305,7,Atlas Machine 305,Press Machine,2016-11-10,Maintenance
306,MCH-000306,97,Atlas Machine 306,Cutting Machine,2017-06-23,Operational
307,MCH-000307,98,Atlas Machine 307,Press Machine,2017-08-14,Operational
308,MCH-000308,48,Atlas Machine 308,CNC Machine,2018-07-15,Operational
309,MCH-000309,65,Atlas Machine 309,Press Machine,2018-10-24,Inactive
310,MCH-000310,86,Atlas Machine 310,Packaging Machine,2018-08-13,Operational
311,MCH-000311,68,Atlas Machine 311,Assembly Machine,2018-07-13,Operational
312,MCH-000312,84,Atlas Machine 312,Press Machine,2018-02-07,Operational
313,MCH-000313,65,Atlas Machine 313,CNC Machine,2017-11-27,Operational
314,MCH-000314,7,Atlas Machine 314,Cutting Machine,2016-04-01,Operational
315,MCH-000315,8,Atlas Machine 315,Cutting Machine,2017-01-07,Maintenance
316,MCH-000316,56,Atlas Machine 316,Cutting Machine,2018-02-14,Operational
317,MCH-000317,53,Atlas Machine 317,Assembly Machine,2017-07-20,Operational
318,MCH-000318,67,Atlas Machine 318,Press Machine,2018-09-19,Maintenance
319,MCH-000319,44,Atlas Machine 319,CNC Machine,2017-10-22,Operational
320,MCH-000320,2,Atlas Machine 320,CNC Machine,2018-09-02,Operational
321,MCH-000321,26,Atlas Machine 321,Press Machine,2018-05-17,Operational
322,MCH-000322,74,Atlas Machine 322,Cutting Machine,2016-06-11,Operational
323,MCH-000323,71,Atlas Machine 323,Packaging Machine,2017-09-25,Operational
324,MCH-000324,1,Atlas Machine 324,Assembly Machine,2016-05-03,Operational
325,MCH-000325,80,Atlas Machine 325,Press Machine,2018-10-22,Maintenance
326,MCH-000326,32,Atlas Machine 326,CNC Machine,2018-08-02,Operational
327,MCH-000327,9,Atlas Machine 327,Assembly Machine,2017-02-22,Maintenance
328,MCH-000328,6,Atlas Machine 328,CNC Machine,2017-05-10,Operational
329,MCH-000329,89,Atlas Machine 329,Cutting Machine,2017-07-31,Operational
330,MCH-000330,26,Atlas Machine 330,Packaging Machine,2016-12-30,Operational
331,MCH-000331,79,Atlas Machine 331,CNC Machine,2016-01-14,Operational
332,MCH-000332,15,Atlas Machine 332,Packaging Machine,2018-05-19,Operational
333,MCH-000333,99,Atlas Machine 333,Assembly Machine,2016-08-31,Operational
334,MCH-000334,38,Atlas Machine 334,Packaging Machine,2016-12-18,Operational
335,MCH-000335,38,Atlas Machine 335,Cutting Machine,2017-05-12,Operational
336,MCH-000336,77,Atlas Machine 336,CNC Machine,2016-03-10,Maintenance
337,MCH-000337,69,Atlas Machine 337,CNC Machine,2018-01-22,Operational
338,MCH-000338,90,Atlas Machine 338,Press Machine,2016-01-09,Operational
339,MCH-000339,20,Atlas Machine 339,Press Machine,2016-07-05,Operational
340,MCH-000340,90,Atlas Machine 340,CNC Machine,2017-04-17,Operational
341,MCH-000341,80,Atlas Machine 341,CNC Machine,2016-04-21,Operational
342,MCH-000342,34,Atlas Machine 342,Cutting Machine,2018-11-07,Unknown
343,MCH-000343,15,Atlas Machine 343,CNC Machine,2017-01-23,Operational
344,MCH-000344,100,Atlas Machine 344,CNC Machine,2017-08-09,Operational
345,MCH-000345,79,Atlas Machine 345,Cutting Machine,2018-02-05,Operational
346,MCH-000346,62,Atlas Machine 346,Press Machine,2016-12-20,Operational
347,MCH-000347,86,Atlas Machine 347,CNC Machine,2017-12-31,Operational
348,MCH-000348,84,Atlas Machine 348,Press Machine,2016-07-04,Operational
349,MCH-000349,55,Atlas Machine 349,CNC Machine,2017-03-09,Operational
350,MCH-000350,34,Atlas Machine 350,Assembly Machine,2017-09-20,Operational
351,MCH-000351,38,Atlas Machine 351,Press Machine,2017-08-29,Operational
352,MCH-000352,91,Atlas Machine 352,Cutting Machine,2017-07-17,Operational
