location_id,location_name,location_type,city,state_region,country,status
LOC-0084,Distribution Center Houston 084,Distribution Center,Houston,Texas,United States,Active
LOC-0085,Store Jönköping 085,Store,Jönköping,Jönköping County,Sweden,Active
LOC-0086,Plant Chicago 086,Plant,Chicago,Illinois,United States,Active
LOC-0087,Office New York 087,Office,New York,New York,United States,Active
LOC-0088,Warehouse Örebro 088,Warehouse,Örebro,Örebro County,Sweden,Active
LOC-0089,Store Stockholm 089,Store,Stockholm,Stockholm County,Sweden,Active
LOC-0090,Warehouse Charlotte 090,Warehouse,Charlotte,North Carolina,United States,Active
LOC-0091,Warehouse Gothenburg 091,Warehouse,Gothenburg,Västra Götaland County,Sweden,Active
LOC-0092,Distribution Center Västerås 092,Distribution Center,Västerås,Västmanland County,Sweden,Active
LOC-0093,Office Stockholm 093,Office,Stockholm,Stockholm County,Sweden,Active
LOC-0094,Distribution Center Indianapolis 094,Distribution Center,Indianapolis,Indiana,United States,Active
LOC-0095,Store Helsingborg 095,Store,Helsingborg,Skåne County,Sweden,Active
LOC-0096,Plant Newark 096,Plant,Newark,New Jersey,United States,Active
LOC-0097,Distribution Center Västerås 097,Distribution Center,Västerås,Västmanland County,Sweden,Active
LOC-0098,Distribution Center Indianapolis 098,Distribution Center,Indianapolis,Indiana,United States,Active
LOC-0099,Plant Gothenburg 099,Plant,Gothenburg,Västra Götaland County,Sweden,Active
LOC-0100,Office Dallas 100,Office,Dallas,Texas,United States,Active
