customer_id,account_id,customer_name,customer_segment,industry,country,status
CUST-0000093,ACC-000422,Figueroa-Malone,SMB,Electronics,United States,Active
CUST-0000094,ACC-000481,Nicholson-Robertson,SMB,Technology,United Kingdom,Active
CUST-0000095,ACC-000975,Jones Ltd,Commercial,Retail,United States,Active
CUST-0000096,ACC-000998,"Powell, Deleon and Warren",SMB,Technology,United States,Active
CUST-0000097,ACC-000162,"Johnson, Lee and Whitaker",Commercial,Consumer Goods,Mexico,Active
CUST-0000098,ACC-000115,Wright Group,Commercial,Electronics,United Kingdom,Active
CUST-0000099,ACC-000245,Hull Ltd,Commercial,Industrial Equipment,Germany,Active
CUST-0000100,ACC-000852,Hill Group,Commercial,Industrial Equipment,United Kingdom,Active
CUST-0000101,ACC-000460,"Sanders, Leblanc and Maldonado",Enterprise,Construction,Canada,Active
CUST-0000102,ACC-000864,Watson PLC,SMB,Manufacturing,United Kingdom,Active
CUST-0000103,ACC-000647,Thompson-Harrell,Commercial,Electronics,United States,Active
CUST-0000104,ACC-000554,"Arnold, Cooper and Monroe",Enterprise,Retail,United Kingdom,Active
CUST-0000105,ACC-000282,Curry-Barker,Commercial,Food & Beverage,Germany,Active
CUST-0000106,ACC-000345,Johnson-Williams,SMB,Automotive,United States,Active
CUST-0000107,ACC-000148,"Chan, Lewis and Walker",Commercial,Healthcare,Germany,Active
CUST-0000108,ACC-000520,Byrd LLC,SMB,Construction,United States,Inactive
CUST-0000109,ACC-000281,"Ortiz, Smith and Deleon",Commercial,Manufacturing,United States,Active
CUST-0000110,ACC-000293,"Smith, Buck and Holland",SMB,Consumer Goods,United States,Active
CUST-0000111,ACC-000040,"Owen, Walker and Franklin",Enterprise,Healthcare,United States,Active
CUST-0000112,ACC-000800,Marquez-Fletcher,SMB,Consumer Goods,Germany,Active
CUST-0000113,ACC-000940,Coleman-Bennett,Commercial,Construction,Germany,Active
CUST-0000114,ACC-000499,Stevens-Robinson,Commercial,Manufacturing,United Kingdom,Active
CUST-0000115,ACC-000537,Byrd-Holloway,Strategic,Consumer Goods,Sweden,Active
CUST-0000116,ACC-000926,Silva-Smith,SMB,Retail,Germany,Active
CUST-0000117,ACC-000512,"Levy, Franco and Hoffman",Commercial,Industrial Equipment,United States,Active
CUST-0000118,ACC-000623,"Lynch, Evans and Rodriguez",Enterprise,Food & Beverage,United States,Active
CUST-0000119,ACC-000429,Rogers LLC,SMB,Food & Beverage,United States,Active
CUST-0000120,ACC-000515,"Nguyen, Hill and Douglas",Commercial,Food & Beverage,United States,Active
CUST-0000121,ACC-000522,"Evans, Hernandez and Cannon",Strategic,Food & Beverage,United States,Active
CUST-0000122,ACC-000712,Trujillo PLC,Commercial,Healthcare,United States,Active
CUST-0000123,ACC-000605,Guerrero-Becker,Commercial,Automotive,Canada,Active
CUST-0000124,ACC-000504,"Johnson, Jimenez and Phillips",Enterprise,Automotive,Mexico,Active
CUST-0000125,ACC-000076,Sullivan-Doyle,Commercial,Industrial Equipment,United States,Active
CUST-0000126,ACC-000905,"Erickson, Armstrong and Lee",Commercial,Electronics,Germany,Active
CUST-0000127,ACC-000889,"Reeves, Parks and Little",Commercial,Retail,Germany,Active
CUST-0000128,ACC-000185,Knox-Powers,Strategic,Automotive,United States,Active
CUST-0000129,ACC-000294,"Evans, Jackson and Sandoval",Commercial,Construction,Mexico,Active
CUST-0000130,ACC-000974,"White, Davis and Anderson",SMB,Construction,United States,Active
CUST-0000131,ACC-000322,Hardy-Hansen,Commercial,Retail,United States,Active
CUST-0000132,ACC-000813,Arroyo LLC,SMB,Industrial Equipment,United States,Active
CUST-0000133,ACC-000786,"Davis, Kelly and Garner",Commercial,Food & Beverage,United States,Active
CUST-0000134,ACC-000861,Fisher-Eaton,SMB,Healthcare,United Kingdom,Active
CUST-0000135,ACC-000017,Green-Carter,SMB,Consumer Goods,United States,Active
CUST-0000136,ACC-000483,Ruiz Ltd,SMB,Food & Beverage,United Kingdom,Active
CUST-0000137,ACC-000566,"Carpenter, Oliver and Kennedy",Strategic,Electronics,Sweden,Active
CUST-0000138,ACC-000838,Mason Ltd,Commercial,Manufacturing,United States,Active
CUST-0000139,ACC-000225,Moreno-Gutierrez,Enterprise,Manufacturing,United States,Active
CUST-0000140,ACC-000307,Taylor and Sons,Enterprise,Healthcare,United States,Active
CUST-0000141,ACC-000180,Ortiz-Hudson,SMB,Consumer Goods,United States,Active
CUST-0000142,ACC-000762,Thomas-Huffman,Commercial,Consumer Goods,Sweden,Active
CUST-0000143,ACC-000999,Maxwell Group,SMB,Electronics,United Kingdom,Active
CUST-0000144,ACC-000141,Welch-Thompson,Strategic,Industrial Equipment,Germany,Active
CUST-0000145,ACC-000234,"Brown, Hayes and Clark",Enterprise,Retail,United States,Active
CUST-0000146,ACC-000308,Johnston and Sons,Commercial,Consumer Goods,United States,Active
CUST-0000147,ACC-000890,Glover-Chan,Commercial,Manufacturing,United States,Active
CUST-0000148,ACC-000446,Mendez Ltd,Commercial,Construction,Sweden,Active
CUST-0000149,ACC-000282,Powell-Sanford,Commercial,Construction,Germany,Active
CUST-0000150,ACC-000323,Smith-Ferguson,Commercial,Technology,United States,Active
CUST-0000151,ACC-000599,"Watson, Smith and Morris",SMB,Electronics,United States,Inactive
CUST-0000152,ACC-000388,"Lee, Rhodes and Sims",SMB,Retail,United States,Active
CUST-0000153,ACC-000141,Perez LLC,Commercial,Electronics,Germany,Active
CUST-0000154,ACC-000821,Anderson-Reyes,Enterprise,Healthcare,United States,Inactive
CUST-0000155,ACC-000423,"Torres, Brown and Williams",SMB,Automotive,United States,Inactive
CUST-0000156,ACC-000257,Bryant-Meyer,Enterprise,Automotive,United States,Active
CUST-0000157,ACC-000729,"Morgan, Barron and Cowan",SMB,Technology,United States,Active
CUST-0000158,ACC-000746,Ferrell-Henry,Commercial,Food & Beverage,United States,Active
CUST-0000159,ACC-000156,Martin Group,Strategic,Manufacturing,United States,Active
CUST-0000160,ACC-000074,Perez Ltd,SMB,Healthcare,United Kingdom,Active
CUST-0000161,ACC-000046,Clark Inc,SMB,Industrial Equipment,United States,Active
CUST-0000162,ACC-000766,"Wagner, Martinez and Dawson",SMB,Electronics,United States,Active
CUST-0000163,ACC-000626,Brooks Ltd,Commercial,Technology,United States,Active
CUST-0000164,ACC-000793,Wise-Dean,Commercial,Construction,Canada,Active
CUST-0000165,ACC-000627,"Vang, Stanley and Valdez",SMB,Manufacturing,United States,Active
CUST-0000166,ACC-000402,Williams Inc,Commercial,Healthcare,United States,Active
CUST-0000167,ACC-000590,Wallace-Martinez,Commercial,Healthcare,United States,Inactive
CUST-0000168,ACC-000723,Wells-Hernandez,Commercial,Retail,United States,Active
CUST-0000169,ACC-000399,"Jennings, Smith and Fisher",Commercial,Automotive,United States,Active
CUST-0000170,ACC-000916,Bates LLC,Commercial,Electronics,United States,Active
CUST-0000171,ACC-000900,"Obrien, Taylor and Rivas",Enterprise,Manufacturing,Canada,Active
CUST-0000172,ACC-000801,Hunt PLC,Commercial,Retail,Sweden,Active
CUST-0000173,ACC-000993,Campbell Inc,Commercial,Technology,United States,Active
CUST-0000174,ACC-000391,Gonzalez-Gonzalez,SMB,Electronics,United States,Active
CUST-0000175,ACC-000115,Decker-Dudley,Commercial,Food & Beverage,United Kingdom,Active
CUST-0000176,ACC-000485,Warner-Phillips,Strategic,Consumer Goods,Canada,Active
CUST-0000177,ACC-000746,Kelley and Sons,Strategic,Electronics,United States,Active
CUST-0000178,ACC-000780,"Fitzpatrick, Rivera and Smith",Enterprise,Retail,Mexico,Active
CUST-0000179,ACC-000389,"Davis, Rodriguez and Andrews",Commercial,Electronics,United Kingdom,Active
CUST-0000180,ACC-000293,Hernandez-Davis,Commercial,Automotive,United States,Active
CUST-0000181,ACC-000446,"Jones, Cummings and Conway",SMB,Technology,Sweden,Active
CUST-0000182,ACC-000804,"Hall, Hinton and Phillips",Commercial,Manufacturing,United States,Active
CUST-0000183,ACC-000061,Williams-Li,Enterprise,Construction,Sweden,Active
CUST-0000184,ACC-000329,Phelps LLC,Commercial,Food & Beverage,Sweden,Active
CUST-0000185,ACC-000230,"Edwards, Rodgers and Davis",SMB,Manufacturing,United States,Active
CUST-0000186,ACC-000806,Smith and Sons,Enterprise,Automotive,United States,Active
CUST-0000187,ACC-000470,"Holland, Murphy and Kline",Commercial,Consumer Goods,United States,Active
CUST-0000188,ACC-000087,"Adams, Quinn and Watson",SMB,Industrial Equipment,United States,Active
CUST-0000189,ACC-000262,White-Morales,Enterprise,Manufacturing,United States,Active
CUST-0000190,ACC-000045,Nelson-Cruz,SMB,Electronics,United States,Inactive
CUST-0000191,ACC-000476,Marsh-Banks,SMB,Automotive,United States,Active
CUST-0000192,ACC-000998,Wilson Ltd,Commercial,Manufacturing,United States,Active
CUST-0000193,ACC-000568,"Brown, Dunlap and Moore",Enterprise,Manufacturing,Sweden,Inactive
CUST-0000194,ACC-000870,Pruitt-Webb,Enterprise,Healthcare,United States,Inactive
CUST-0000195,ACC-000743,"Gregory, White and James",Strategic,Consumer Goods,United States,Active
CUST-0000196,ACC-000883,Carr-Huffman,SMB,Retail,United States,Active
CUST-0000197,ACC-000312,"Mcpherson, Anderson and Knapp",Commercial,Industrial Equipment,United States,Active
CUST-0000198,ACC-000952,Clay Group,SMB,Automotive,Germany,Active
CUST-0000199,ACC-000239,Brown Ltd,Enterprise,Retail,United States,Active
CUST-0000200,ACC-000439,Smith-Oneill,Enterprise,Food & Beverage,United States,Active
CUST-0000201,ACC-000682,"Saunders, Ray and Cunningham",Commercial,Industrial Equipment,Sweden,Active
CUST-0000202,ACC-000287,"Marks, Stone and Watts",SMB,Healthcare,United States,Active
CUST-0000203,ACC-000265,"Davis, Stanley and Wright",Commercial,Automotive,United States,Active
CUST-0000204,ACC-000131,Alvarado-Davidson,SMB,Retail,United States,Active
CUST-0000205,ACC-000005,Combs PLC,Commercial,Retail,United Kingdom,Active
CUST-0000206,ACC-000502,"Brown, Schneider and Moore",SMB,Retail,United States,Active
CUST-0000207,ACC-000987,Christian-Booth,SMB,Healthcare,Germany,Active
CUST-0000208,ACC-000221,Walton LLC,Commercial,Food & Beverage,United States,Active
CUST-0000209,ACC-000441,Rivera LLC,Commercial,Consumer Goods,United States,Active
CUST-0000210,ACC-000936,Hunter PLC,SMB,Consumer Goods,Sweden,Inactive
CUST-0000211,ACC-000773,"Gray, Montoya and Miller",Commercial,Construction,Germany,Active
CUST-0000212,ACC-000005,Solis-West,Enterprise,Food & Beverage,United Kingdom,Active
CUST-0000213,ACC-000501,West-Wilson,SMB,Industrial Equipment,United Kingdom,Active
CUST-0000214,ACC-000144,Mcgee-Smith,Commercial,Manufacturing,United States,Active
CUST-0000215,ACC-000248,Gutierrez-Hawkins,SMB,Electronics,United States,Active
CUST-0000216,ACC-000247,Petersen PLC,Commercial,Automotive,Germany,Active
CUST-0000217,ACC-000613,"Walsh, Wu and Hart",Commercial,Technology,United States,Active
CUST-0000218,ACC-000199,"Powers, Clements and Cox",SMB,Technology,Sweden,Active
CUST-0000219,ACC-000252,Velasquez Group,SMB,Industrial Equipment,United States,Active
CUST-0000220,ACC-000226,Castro-Harvey,Commercial,Industrial Equipment,United States,Active
CUST-0000221,ACC-000357,Moran-Cox,Commercial,Retail,United States,Active
CUST-0000222,ACC-000657,Wilson-Malone,Enterprise,Food & Beverage,United States,Active
CUST-0000223,ACC-000400,Smith LLC,Commercial,Healthcare,United States,Active
CUST-0000224,ACC-000328,"Brandt, Carter and Boyd",Strategic,Healthcare,United States,Active
CUST-0000225,ACC-000518,"Rodriguez, Prince and Vasquez",Enterprise,Healthcare,United States,Active
CUST-0000226,ACC-000616,"Newton, Ortiz and King",Commercial,Retail,Sweden,Active
CUST-0000227,ACC-000016,Lopez Group,Enterprise,Consumer Goods,United States,Active
CUST-0000228,ACC-000891,Bryant and Sons,Commercial,Food & Beverage,Canada,Active
CUST-0000229,ACC-000917,"Morgan, Sherman and Williams",SMB,Technology,United States,Active
CUST-0000230,ACC-000603,"Monroe, Chapman and Barton",Commercial,Consumer Goods,Germany,Active
CUST-0000231,ACC-000575,Ellis-Lawrence,Enterprise,Industrial Equipment,United States,Active
CUST-0000232,ACC-000695,"Taylor, Porter and Moreno",Commercial,Industrial Equipment,Canada,Active
CUST-0000233,ACC-000441,Tran Group,Enterprise,Retail,United States,Active
CUST-0000234,ACC-000366,"Webb, Romero and Morse",Commercial,Automotive,United Kingdom,Active
CUST-0000235,ACC-000353,Holt and Sons,SMB,Healthcare,United States,Active
CUST-0000236,ACC-000160,"Ochoa, Garcia and Sandoval",Commercial,Electronics,United States,Active
CUST-0000237,ACC-000842,"Andrade, Gordon and Cruz",Commercial,Food & Beverage,United States,Active
CUST-0000238,ACC-000321,"Moon, Farmer and Hill",Commercial,Consumer Goods,Sweden,Active
CUST-0000239,ACC-000285,Waller-Chavez,SMB,Electronics,United States,Active
CUST-0000240,ACC-000965,Taylor PLC,Enterprise,Manufacturing,United States,Active
CUST-0000241,ACC-000507,"Tanner, Hunt and Cameron",Commercial,Technology,United States,Active
CUST-0000242,ACC-000622,"Valencia, Joseph and Walls",Enterprise,Retail,United States,Active
CUST-0000243,ACC-000246,"Robinson, Clark and Klein",Enterprise,Manufacturing,Mexico,Inactive
CUST-0000244,ACC-000278,"Reed, Chambers and Zavala",Commercial,Retail,United States,Active
CUST-0000245,ACC-000729,"Hester, Thompson and Daniels",SMB,Manufacturing,United States,Active
CUST-0000246,ACC-000451,"Morris, Wilson and Bell",Enterprise,Construction,Sweden,Active
CUST-0000247,ACC-000148,Aguilar-Bender,Strategic,Industrial Equipment,Germany,Active
CUST-0000248,ACC-000836,"Butler, Adkins and Skinner",Commercial,Construction,Mexico,Active
CUST-0000249,ACC-000403,Rich-Henderson,SMB,Electronics,United Kingdom,Active
CUST-0000250,ACC-000669,Mills Inc,Commercial,Technology,United States,Active
CUST-0000251,ACC-000342,Thomas-Santiago,Commercial,Technology,Canada,Active
CUST-0000252,ACC-000561,Adams and Sons,SMB,Industrial Equipment,Sweden,Active
CUST-0000253,ACC-000776,Vega-Thomas,Commercial,Manufacturing,United States,Active
CUST-0000254,ACC-000886,Vaughn LLC,Commercial,Consumer Goods,Germany,Active
CUST-0000255,ACC-000208,Molina Inc,SMB,Manufacturing,United States,Active
CUST-0000256,ACC-000673,Cervantes-Garcia,SMB,Healthcare,United States,Active
CUST-0000257,ACC-000915,"Stevenson, Hancock and Newton",SMB,Healthcare,United States,Active
CUST-0000258,ACC-000643,"Price, Dixon and Robles",Enterprise,Manufacturing,Germany,Inactive
CUST-0000259,ACC-000144,"Roberts, Beck and House",SMB,Technology,United States,Inactive
CUST-0000260,ACC-000190,Butler-French,SMB,Industrial Equipment,United States,Active
CUST-0000261,ACC-000203,"Edwards, Arnold and Smith",SMB,Food & Beverage,United States,Active
CUST-0000262,ACC-000107,Harris-Melton,Commercial,Electronics,Sweden,Active
CUST-0000263,ACC-000754,Greer-Pruitt,SMB,Consumer Goods,Canada,Inactive
CUST-0000264,ACC-000966,"Mckinney, Richardson and Chapman",SMB,Industrial Equipment,Germany,Active
CUST-0000265,ACC-000517,"Morrison, Parsons and Brandt",Commercial,Electronics,United States,Active
CUST-0000266,ACC-000599,Cole-Lucero,Enterprise,Automotive,United States,Active
CUST-0000267,ACC-000774,Lopez and Sons,Enterprise,Healthcare,United Kingdom,Active
CUST-0000268,ACC-000416,"Palmer, Bennett and Patterson",Commercial,Technology,United States,Active
CUST-0000269,ACC-000473,"Baker, Martin and Singleton",SMB,Automotive,Germany,Active
CUST-0000270,ACC-000590,Rivera Ltd,Commercial,Retail,United States,Active
CUST-0000271,ACC-000305,Williams LLC,Commercial,Retail,Mexico,Active
CUST-0000272,ACC-000062,"Williams, Randolph and Gilbert",Strategic,Retail,Canada,Active
CUST-0000273,ACC-000568,"Turner, Tyler and Pierce",Strategic,Automotive,Sweden,Active
CUST-0000274,ACC-000823,Bowers LLC,Commercial,Consumer Goods,United States,Active
CUST-0000275,ACC-000074,"Robinson, White and Jones",Commercial,Manufacturing,United Kingdom,Active
CUST-0000276,ACC-000217,"Moore, Daniels and Powell",Commercial,Consumer Goods,United States,Active
CUST-0000277,ACC-000263,Walker-Lewis,Commercial,Technology,United States,Active
CUST-0000278,ACC-000805,Rivera-Carter,Commercial,Healthcare,United States,Active
CUST-0000279,ACC-000505,"Moreno, Barajas and Colon",Enterprise,Electronics,United States,Active
CUST-0000280,ACC-000535,"Smith, Caldwell and Griffin",SMB,Electronics,United States,Active
CUST-0000281,ACC-000646,"Austin, Oliver and Haley",Commercial,Food & Beverage,Sweden,Active
CUST-0000282,ACC-000277,"Blackwell, James and Hogan",Commercial,Construction,Germany,Active
CUST-0000283,ACC-000714,Cruz PLC,SMB,Electronics,United States,Active
CUST-0000284,ACC-000031,"Campbell, Pruitt and Short",Commercial,Manufacturing,United States,Active
CUST-0000285,ACC-000114,Robertson-Hicks,Commercial,Automotive,United States,Active
CUST-0000286,ACC-000816,Williams-Villanueva,Commercial,Automotive,United States,Active
CUST-0000287,ACC-000659,Flores Inc,Enterprise,Electronics,United States,Active
CUST-0000288,ACC-000177,Jackson PLC,Commercial,Automotive,Germany,Active
CUST-0000289,ACC-000439,"Smith, Jones and Santiago",Commercial,Food & Beverage,United States,Active
CUST-0000290,ACC-000052,Hancock Group,Enterprise,Retail,United States,Active
CUST-0000291,ACC-000672,Harris Ltd,SMB,Healthcare,United States,Active
CUST-0000292,ACC-000756,"Rowe, Lucas and Case",SMB,Consumer Goods,United States,Active
CUST-0000293,ACC-000279,"Parks, Johnson and Love",Commercial,Automotive,United States,Active
CUST-0000294,ACC-000351,Miller Inc,SMB,Retail,United States,Active
CUST-0000295,ACC-000237,Bauer PLC,Commercial,Manufacturing,United Kingdom,Active
CUST-0000296,ACC-000390,Andrews and Sons,Commercial,Healthcare,United States,Inactive
CUST-0000297,ACC-000273,Russell-Hayes,Commercial,Consumer Goods,Mexico,Active
CUST-0000298,ACC-000248,Hamilton-Smith,Commercial,Industrial Equipment,United States,Active
CUST-0000299,ACC-000431,"Wilson, Smith and Cortez",Commercial,Manufacturing,Mexico,Inactive
CUST-0000300,ACC-000860,Avila PLC,Strategic,Automotive,United States,Active
CUST-0000301,ACC-000763,Haynes Inc,Commercial,Manufacturing,United States,Active
CUST-0000302,ACC-000298,Reilly-Rodriguez,Commercial,Food & Beverage,United States,Active
CUST-0000303,ACC-000943,"Turner, Miller and Hubbard",Enterprise,Electronics,United States,Active
CUST-0000304,ACC-000211,James-Short,SMB,Technology,Germany,Active
CUST-0000305,ACC-000911,Wells PLC,Enterprise,Retail,Mexico,Active
CUST-0000306,ACC-000310,Taylor Group,Strategic,Manufacturing,United States,Active
CUST-0000307,ACC-000541,"Phillips, Walters and Evans",Enterprise,Manufacturing,United States,Inactive
CUST-0000308,ACC-000204,"Wong, Bernard and Smith",SMB,Consumer Goods,Mexico,Active
CUST-0000309,ACC-000763,"Thomas, Williams and Armstrong",Commercial,Technology,United States,Active
CUST-0000310,ACC-000318,Medina-Arroyo,Commercial,Automotive,United States,Active
CUST-0000311,ACC-000873,Clark-Figueroa,Commercial,Electronics,United States,Active
CUST-0000312,ACC-000083,"Cooper, Gutierrez and Brewer",Enterprise,Construction,United States,Active
CUST-0000313,ACC-000503,"Thomas, White and Jensen",Enterprise,Construction,Sweden,Active
CUST-0000314,ACC-000159,Lee-White,Commercial,Manufacturing,United States,Active
CUST-0000315,ACC-000889,"Phelps, York and Randolph",Commercial,Consumer Goods,Germany,Active
CUST-0000316,ACC-000418,"Murray, Dunn and Roberts",Commercial,Food & Beverage,Germany,Active
