account_key,account_id,account_name,account_type,industry,country,status
55,ACC-000055,Jones Inc,Mid-Market,Manufacturing,Sweden,Active
56,ACC-000056,Jones-Young,Enterprise,Technology,Canada,Active
57,ACC-000057,"Washington, Ryan and Cummings",Mid-Market,Retail,Sweden,Inactive
58,ACC-000058,"Johnston, Sanchez and Kennedy",Enterprise,Healthcare,Sweden,Active
59,ACC-000059,Lee-Davis,Small Business,Retail,Canada,Active
60,ACC-000060,Gomez-Jenkins,Small Business,Automotive,Germany,Active
61,ACC-000061,"Brown, Valdez and Lucas",Small Business,Healthcare,Mexico,Inactive
62,ACC-000062,Powell LLC,Small Business,Healthcare,Germany,Active
63,ACC-000063,Wright and Sons,Mid-Market,Manufacturing,United States,Active
64,ACC-000064,"West, Henderson and Ramirez",Small Business,Healthcare,Sweden,Inactive
65,ACC-000065,Baxter Inc,Mid-Market,Healthcare,Germany,Active
66,ACC-000066,Morton-Chase,Enterprise,Automotive,Germany,Active
67,ACC-000067,Williams PLC,Small Business,Technology,Sweden,Active
68,ACC-000068,Novak and Sons,Mid-Market,Healthcare,Mexico,Active
69,ACC-000069,Russell Group,Enterprise,Automotive,Canada,Active
70,ACC-000070,Hancock Inc,Mid-Market,Manufacturing,Germany,Active
71,ACC-000071,Gray Group,Small Business,Healthcare,United States,Active
72,ACC-000072,House-Glover,Enterprise,Automotive,Sweden,Active
73,ACC-000073,Henderson-Bernard,Mid-Market,Healthcare,Germany,Active
74,ACC-000074,"Stanley, Tucker and Lee",Enterprise,Retail,Canada,Active
75,ACC-000075,Novak PLC,Small Business,Retail,Sweden,Active
76,ACC-000076,"Daniels, Adkins and Brown",Mid-Market,Manufacturing,Germany,Active
77,ACC-000077,"Woods, Calhoun and Schmidt",Enterprise,Healthcare,Germany,Active
78,ACC-000078,Yu Inc,Enterprise,Manufacturing,Germany,Active
79,ACC-000079,Jones Inc,Mid-Market,Retail,Canada,Inactive
80,ACC-000080,"Hensley, Powell and David",Small Business,Technology,United States,Active
81,ACC-000081,"Sanchez, Wheeler and Harvey",Small Business,Technology,Mexico,Active
82,ACC-000082,Sandoval-Cunningham,Mid-Market,Technology,United States,Active
83,ACC-000083,Donovan-Harris,Enterprise,Technology,Canada,Active
84,ACC-000084,"Edwards, Baker and Anderson",Small Business,Retail,Sweden,Active
85,ACC-000085,"Evans, Stewart and Walton",Mid-Market,Automotive,United States,Active
86,ACC-000086,Smith PLC,Small Business,Technology,Sweden,Inactive
87,ACC-000087,"Ferrell, Jones and Lewis",Enterprise,Technology,Sweden,Active
88,ACC-000088,Anderson-Bailey,Enterprise,Technology,Sweden,Active
89,ACC-000089,Suarez LLC,Small Business,Healthcare,Canada,Active
90,ACC-000090,Moore-Bass,Small Business,Manufacturing,United States,Active
91,ACC-000091,"Turner, Riggs and Roman",Mid-Market,Retail,Mexico,Active
92,ACC-000092,"Smith, Montoya and Evans",Small Business,Retail,Canada,Active
93,ACC-000093,"Garcia, Humphrey and Baker",Small Business,Technology,Mexico,Inactive
94,ACC-000094,Newton and Sons,Mid-Market,Automotive,United States,Active
95,ACC-000095,Campbell-Clark,Small Business,Automotive,United States,Active
96,ACC-000096,Harris-Walters,Enterprise,Manufacturing,Sweden,Active
97,ACC-000097,Wagner-King,Enterprise,Technology,Mexico,Active
98,ACC-000098,Davis Group,Small Business,Healthcare,Mexico,Active
99,ACC-000099,Williams-Cook,Mid-Market,Manufacturing,Sweden,Active
100,ACC-000100,Walsh LLC,Enterprise,Retail,Canada,Active
101,ACC-000101,Figueroa PLC,Small Business,Retail,Mexico,Inactive
102,ACC-000102,"Patterson, Smith and Jones",Enterprise,Retail,Sweden,Active
103,ACC-000103,"Mckee, Gardner and Davenport",Small Business,Technology,United States,Active
104,ACC-000104,"Tran, Jordan and Williams",Enterprise,Manufacturing,United States,Active
105,ACC-000105,Nolan-Flynn,Small Business,Automotive,Mexico,Active
106,ACC-000106,Nolan and Sons,Small Business,Manufacturing,Canada,Active
107,ACC-000107,"Wright, Garcia and Deleon",Small Business,Automotive,Sweden,Inactive
108,ACC-000108,Dickson-Brady,Mid-Market,Technology,United States,Active
109,ACC-000109,Hancock and Sons,Mid-Market,Technology,Canada,Active
110,ACC-000110,Johnson-Doyle,Small Business,Manufacturing,Canada,Active
111,ACC-000111,Patton-Jenkins,Enterprise,Healthcare,Canada,Active
112,ACC-000112,"Shields, Cochran and Adams",Small Business,Automotive,Sweden,Active
113,ACC-000113," Rodriguez, Brennan and Garrison ",Mid-Market,Manufacturing,Mexico,Active
114,ACC-000114,Gonzalez Group,Mid-Market,Automotive,Mexico,Active
115,ACC-000115,Torres-Pope,Mid-Market,Manufacturing,Sweden,Active
116,ACC-000116,Walker Ltd,Mid-Market,Retail,Canada,Active
117,ACC-000117,Ross LLC,Enterprise,Technology,Mexico,Active
118,ACC-000118,Rasmussen LLC,Enterprise,Retail,Germany,Active
119,ACC-000119,May-Ross,Enterprise,Healthcare,Germany,Inactive
120,ACC-000120,"Rivera, Johnson and Wiley",Enterprise,Retail,Sweden,Active
121,ACC-000121,White-Estes,Mid-Market,Manufacturing,Sweden,Active
122,ACC-000122,Johnson-Carlson,Small Business,Manufacturing,Mexico,Active
123,ACC-000123,Chandler-Edwards,Mid-Market,Automotive,Germany,Active
124,ACC-000124,"Joyce, Wilson and Lam",Mid-Market,Automotive,Sweden,Active
125,ACC-000125,Scott Ltd,Small Business,Technology,Sweden,Active
126,ACC-000126,Smith-Frost,Mid-Market,Technology,Canada,Active
127,ACC-000127,"Mcdaniel, Bentley and Mclaughlin",Enterprise,Technology,Canada,Active
128,ACC-000128,Diaz Inc,Small Business,Healthcare,Sweden,Active
129,ACC-000129,"Mccall, Hanson and Alvarado",Mid-Market,Retail,United States,Active
130,ACC-000130,Cortez LLC,Mid-Market,Healthcare,Canada,Active
131,ACC-000131,"Parker, Ortiz and Powell",Mid-Market,Retail,Sweden,Active
132,ACC-000132,Spencer-Lee,Mid-Market,Healthcare,Mexico,Active
133,ACC-000133,"Bentley, Byrd and Orr",Enterprise,Healthcare,Germany,Active
134,ACC-000134,"Carroll, Sullivan and Bass",Mid-Market,Healthcare,Canada,Active
135,ACC-000135,Mitchell-Jordan,Small Business,Healthcare,Germany,Inactive
136,ACC-000136,"Lawson, Morris and Ramos",Enterprise,Manufacturing,Sweden,Active
137,ACC-000137,"Lewis, Kennedy and Santana",Mid-Market,Healthcare,Germany,Active
138,ACC-000138,"Jackson, Miller and Robertson",Enterprise,Automotive,United States,Inactive
139,ACC-000139,"Harvey, Davis and Crane",Mid-Market,,Germany,Active
140,ACC-000140,Chambers and Sons,Mid-Market,Retail,Germany,Active
141,ACC-000141,Hernandez Inc,Small Business,Technology,Sweden,Active
142,ACC-000142,Riggs PLC,Enterprise,Automotive,Mexico,Active
143,ACC-000143,Gibson Ltd,Enterprise,Technology,Mexico,Active
144,ACC-000144,"Lee, Horton and Snyder",Mid-Market,Technology,Sweden,Active
145,ACC-000145,Hernandez Ltd,Small Business,Automotive,Canada,Active
146,ACC-000146,Stafford Inc,Small Business,Retail,Germany,Active
147,ACC-000147,Robinson-Brock,Enterprise,Retail,United States,Active
148,ACC-000148,"Holmes, Williams and Wright",Enterprise,Healthcare,Mexico,Active
149,ACC-000149,Bryant Group,Small Business,Healthcare,Mexico,Inactive
150,ACC-000150,"Schmidt, Hansen and Stewart",Enterprise,Technology,Mexico,Active
151,ACC-000151,Salazar-Ball,Small Business,Automotive,Canada,Active
152,ACC-000152,"Simmons, Meadows and Griffin",Enterprise,Retail,Canada,Active
153,ACC-000153,Manning Group,Small Business,Retail,Mexico,Active
154,ACC-000154,Green-Wright,Enterprise,Technology,Germany,Active
155,ACC-000155,"Ramirez, Strickland and Washington",Mid-Market,Automotive,Sweden,Inactive
156,ACC-000156,Hill Inc,Mid-Market,Retail,Germany,Active
157,ACC-000157,"Mitchell, Nelson and Flores",Enterprise,Manufacturing,Germany,Active
158,ACC-000158,"Miller, Hernandez and Reyes",Mid-Market,Technology,Sweden,Active
159,ACC-000159,Mccarthy Inc,Mid-Market,Automotive,Mexico,Active
160,ACC-000160,Russell-Daniels,Small Business,Automotive,Canada,Active
161,ACC-000161,Brown-Wall,Small Business,Retail,Mexico,Active
162,ACC-000162,Stein-Silva,Mid-Market,Retail,Canada,Active
163,ACC-000163,"Smith, Gilmore and Johnston",Mid-Market,Technology,Germany,Active
164,ACC-000164,Smith-Bell,Mid-Market,Retail,Mexico,Active
165,ACC-000165,Castaneda-Ashley,Mid-Market,Retail,Mexico,Inactive
166,ACC-000166,Medina-Navarro,Small Business,Manufacturing,Mexico,Active
167,ACC-000167,"Hurst, Freeman and Nelson",Enterprise,Manufacturing,Canada,Active
168,ACC-000168,Johnson-Rogers,Enterprise,,Mexico,Active
169,ACC-000169,"Yates, Ramsey and Pittman",Mid-Market,Technology,Mexico,Active
170,ACC-000170,Hooper PLC,Enterprise,Technology,Mexico,Active
171,ACC-000171,Meadows PLC,Enterprise,Healthcare,United States,Active
172,ACC-000172,"Alvarado, Miller and Patterson",Enterprise,Healthcare,Sweden,Active
173,ACC-000173,White-Green,Small Business,Automotive,Mexico,Active
174,ACC-000174,Lewis-Murphy,Small Business,Manufacturing,Sweden,Active
175,ACC-000175,Ramirez-Bean,Small Business,Manufacturing,Canada,Active
176,ACC-000176,King-Miller,Mid-Market,Automotive,Sweden,Inactive
177,ACC-000177,Curry Inc,Small Business,Automotive,United States,Active
178,ACC-000178,Walker-Jones,Enterprise,Manufacturing,Germany,Active
179,ACC-000179,"Williams, Johnson and Wright",Small Business,Automotive,Sweden,Active
180,ACC-000180,Howell and Sons,Mid-Market,Manufacturing,Germany,Active
181,ACC-000181,Wells Inc,Small Business,Healthcare,Sweden,Active
182,ACC-000182,"Gould, Marshall and Scott",Enterprise,Technology,Canada,Active
183,ACC-000183,Jackson-Lawson,Mid-Market,Healthcare,Sweden,Active
184,ACC-000184,"Higgins, Strickland and Martin",Small Business,Retail,Sweden,Active
185,ACC-000185,Rodriguez-Johnson,Mid-Market,Retail,Sweden,Active
186,ACC-000186,Johnston-Odonnell,Mid-Market,Automotive,Canada,Active
187,ACC-000187,Sanders-Espinoza,Enterprise,Manufacturing,Canada,Active
188,ACC-000188,Vargas Ltd,Mid-Market,Retail,Canada,Active
189,ACC-000189,Garcia LLC,Enterprise,Retail,Germany,Active
190,ACC-000190,"Burke, Martinez and Riggs",Enterprise,Manufacturing,Germany,Active
191,ACC-000191,Reed Group,Small Business,Retail,Canada,Active
192,ACC-000192,"Wood, Hunter and Peterson",Mid-Market,Automotive,Germany,Inactive
193,ACC-000193,Short-Garcia,Mid-Market,Manufacturing,Canada,Active
194,ACC-000194,Reid-Poole,Mid-Market,Healthcare,Canada,Active
195,ACC-000195,"Hernandez, Thompson and Boyd",Small Business,Retail,Sweden,Active
196,ACC-000196,"Nelson, Morton and Medina",Enterprise,Healthcare,Mexico,Active
197,ACC-000197,Marshall-Petersen,Mid-Market,Healthcare,Canada,Active
198,ACC-000198," Adams, Christian and Rivas ",Enterprise,Technology,Mexico,Active
199,ACC-000199,Ramirez Group,Mid-Market,Technology,Germany,Inactive
200,ACC-000200,Christensen PLC,Small Business,Healthcare,United States,Active
201,ACC-000201,"Barnett, Rogers and Snyder",Mid-Market,Technology,Canada,Inactive
202,ACC-000202,White-Lewis,Small Business,Retail,United States,Inactive
203,ACC-000203,Peterson-Beard,Mid-Market,Technology,United States,Active
204,ACC-000204," Beard, Peters and Black ",Small Business,Healthcare,Canada,Active
205,ACC-000205,Miller Ltd,Mid-Market,Healthcare,Germany,Active
206,ACC-000206,Freeman-Chang,Enterprise,Technology,Sweden,Inactive
207,ACC-000207,"Alvarez, Joseph and West",Small Business,Retail,United States,Active
208,ACC-000208,Davis and Sons,Small Business,Healthcare,Mexico,Active
209,ACC-000209,Holt-Torres,Enterprise,Automotive,Canada,Active
210,ACC-000210,"Wood, Tran and Cooper",Small Business,Technology,United States,Active
211,ACC-000211,"Pierce, Bell and Chavez",Enterprise,Healthcare,Sweden,Active
212,ACC-000212,King-Martinez,Small Business,Healthcare,Sweden,Active
213,ACC-000213,Stewart Ltd,Small Business,Retail,Sweden,Inactive
214,ACC-000214,"Tapia, Vaughn and Lee",Mid-Market,Technology,United States,Active
215,ACC-000215,"Washington, Hardy and Bray",Small Business,,United States,Active
216,ACC-000216,"Carlson, Hooper and Wall",Enterprise,Manufacturing,Canada,Active
217,ACC-000217,Perez-White,Enterprise,Retail,Germany,Active
218,ACC-000218,Erickson and Sons,Enterprise,Healthcare,Mexico,Active
219,ACC-000219,Williams-Brown,Mid-Market,Technology,Canada,Active
220,ACC-000220,Terry-Martinez,Small Business,Retail,United States,Active
221,ACC-000221,Garcia-Smith,Enterprise,Healthcare,Mexico,Active
222,ACC-000222,Harrison-Alexander,Mid-Market,Retail,United States,Active
223,ACC-000223,Sheppard LLC,Small Business,Technology,United States,Active
224,ACC-000224,Wilson-Jones,Enterprise,Healthcare,Germany,Active
225,ACC-000225,Jones-Soto,Small Business,Retail,Germany,Active
226,ACC-000226,Hernandez PLC,Enterprise,Technology,Sweden,Active
227,ACC-000227,Miller-Wright,Small Business,Manufacturing,Mexico,Active
228,ACC-000228,"Duran, Obrien and Gibbs",Mid-Market,Technology,Mexico,Active
229,ACC-000229,Rowe Group,Mid-Market,Manufacturing,Canada,Active
230,ACC-000230,Kerr-Evans,Enterprise,Automotive,Mexico,Active
231,ACC-000231,"Branch, Torres and Oliver",Mid-Market,Technology,Sweden,Inactive
232,ACC-000232,"Choi, Garcia and Farmer",Small Business,Healthcare,United States,Active
233,ACC-000233,"Clark, Guerrero and Moore",Enterprise,Technology,Mexico,Active
234,ACC-000234,Arnold and Sons,Small Business,Healthcare,United States,Active
235,ACC-000235,Ortiz Ltd,Mid-Market,Healthcare,Germany,Active
236,ACC-000236,"Harrison, Johnson and Roberts",Small Business,Automotive,Sweden,Active
237,ACC-000237,Warner-Gibson,Mid-Market,Manufacturing,Canada,Active
238,ACC-000238,"Hall, Baker and Moody",Mid-Market,Manufacturing,Canada,Active
239,ACC-000239,"Guerrero, Peck and Coleman",Enterprise,Automotive,Germany,Active
240,ACC-000240,"Walker, Hernandez and Baker",Mid-Market,Manufacturing,Mexico,Active
241,ACC-000241,Jones and Sons,Enterprise,Retail,Canada,Active
242,ACC-000242,Larson-Holloway,Mid-Market,Healthcare,Sweden,Active
243,ACC-000243,Gonzales-Harrison,Enterprise,Technology,Germany,Active
244,ACC-000244,Lyons-Bender,Mid-Market,Retail,United States,Inactive
245,ACC-000245,"Fernandez, Kim and George",Mid-Market,Technology,Sweden,Active
246,ACC-000246,Navarro-Munoz,Enterprise,Technology,Mexico,Active
247,ACC-000247,Davis Ltd,Small Business,Technology,Germany,Active
248,ACC-000248,"Matthews, Smith and Hubbard",Mid-Market,Retail,United States,Active
249,ACC-000249,Johnston-Hines,Small Business,Automotive,United States,Active
250,ACC-000250,Ruiz Ltd,Enterprise,Technology,Germany,Active
251,ACC-000251,Moon-White,Enterprise,Automotive,Germany,Active
252,ACC-000252,"Graham, Olsen and Costa",Mid-Market,Retail,Germany,Active
253,ACC-000253,Bailey-Cook,Enterprise,Manufacturing,Canada,Active
254,ACC-000254,"Garcia, Martin and Jenkins",Enterprise,Healthcare,Germany,Active
255,ACC-000255,Roberts-Landry,Mid-Market,Healthcare,Canada,Active
256,ACC-000256,"Johnson, Miller and King",Enterprise,Manufacturing,Sweden,Active
257,ACC-000257,Cordova Group,Small Business,Automotive,Sweden,Active
258,ACC-000258,"Bryan, Smith and Booth",Enterprise,Retail,Sweden,Inactive
259,ACC-000259,Gutierrez-Lopez,Enterprise,Retail,United States,Inactive
260,ACC-000260,Dean-Jimenez,Mid-Market,Technology,Mexico,Inactive
261,ACC-000261,Wolf-Harris,Small Business,Automotive,United States,Active
262,ACC-000262,"Anderson, Roberts and Gilmore",Enterprise,Technology,Mexico,Active
263,ACC-000263,Martinez-Dudley,Enterprise,Retail,United States,Active
264,ACC-000264,"Lloyd, Mckinney and Collins",Small Business,Technology,Germany,Active
265,ACC-000265,Tran Inc,Small Business,Automotive,United States,Active
266,ACC-000266,Gay Inc,Mid-Market,Manufacturing,United States,Active
267,ACC-000267,Valentine-Holland,Mid-Market,Manufacturing,Sweden,Inactive
268,ACC-000268,Jimenez Ltd,Mid-Market,Automotive,Sweden,Active
269,ACC-000269,Hicks-Hill,Mid-Market,Technology,United States,Active
270,ACC-000270,Baird-Sanchez,Mid-Market,Manufacturing,Mexico,Active
271,ACC-000271,"Thomas, Lee and Greene",Enterprise,Automotive,Canada,Active
272,ACC-000272," Suarez, Shields and Hill ",Enterprise,Manufacturing,Canada,Active
273,ACC-000273,Morgan-French,Enterprise,Technology,Canada,Active
274,ACC-000274,Hoover-Campbell,Small Business,Healthcare,Germany,Active
275,ACC-000275,Monroe-Carpenter,Mid-Market,Healthcare,United States,Active
276,ACC-000276,"Burns, Hernandez and Ryan",Mid-Market,Healthcare,Germany,Active
277,ACC-000277,Cook-Hines,Mid-Market,Healthcare,Canada,Active
278,ACC-000278,Gibson-Morris,Small Business,Healthcare,United States,Active
279,ACC-000279,Pollard and Sons,Enterprise,Manufacturing,Canada,Active
280,ACC-000280,"Reyes, Chase and Jenkins",Enterprise,Technology,Sweden,Active
281,ACC-000281,Garner-Thornton,Enterprise,Healthcare,Sweden,Active
282,ACC-000282,Hughes-Alvarado,Mid-Market,Healthcare,Canada,Active
283,ACC-000283,"Pollard, Simpson and Johnson",Small Business,Automotive,Canada,Active
284,ACC-000284,"Sanford, Rivera and Garcia",Mid-Market,Technology,Sweden,Active
285,ACC-000285,Garcia-Lozano,Mid-Market,Automotive,Sweden,Active
286,ACC-000286,Bowen Group,Small Business,Manufacturing,Mexico,Active
287,ACC-000287,"Booker, Jones and Harrington",Enterprise,Technology,Mexico,Active
288,ACC-000288,Morgan-Schwartz,Mid-Market,Automotive,Mexico,Active
289,ACC-000289,"Miller, Murphy and Craig",Mid-Market,Manufacturing,Mexico,Active
290,ACC-000290,"James, Stewart and Higgins",Mid-Market,Healthcare,Germany,Active
291,ACC-000291,Brennan-Johnson,Small Business,Automotive,Canada,Active
292,ACC-000292,Young Ltd,Enterprise,Technology,Canada,Active
293,ACC-000293,Bright-Francis,Small Business,Retail,Canada,Active
294,ACC-000294,Good-Hodges,Enterprise,Manufacturing,Sweden,Active
295,ACC-000295,"Brennan, Wallace and Benson",Mid-Market,Technology,Sweden,Inactive
296,ACC-000296,Williams Inc,Mid-Market,Retail,Mexico,Active
297,ACC-000297,Howard-Jordan,Small Business,Automotive,United States,Active
298,ACC-000298,Schmidt PLC,Mid-Market,Healthcare,Germany,Active
299,ACC-000299,"Sparks, Jackson and Miller",Enterprise,Retail,Canada,Active
300,ACC-000300,Harvey-Allen,Enterprise,Manufacturing,Mexico,Active
301,ACC-000301,"Thomas, Murray and King",Mid-Market,Healthcare,Canada,Active
302,ACC-000302, Estrada-Nolan ,Small Business,Retail,United States,Active
303,ACC-000303,Santana-Byrd,Enterprise,Healthcare,Germany,Active
304,ACC-000304,Jones LLC,Small Business,Technology,Mexico,Active
305,ACC-000305,"Evans, Hayden and Vaughn",Mid-Market,Healthcare,Mexico,Active
306,ACC-000306,Bruce-Gonzalez,Enterprise,Healthcare,United States,Active
307,ACC-000307,Castaneda-Rodriguez,Enterprise,Automotive,Canada,Active
308,ACC-000308,Armstrong-Andrews,Mid-Market,Automotive,United States,Active
309,ACC-000309,"Phillips, Spence and Barrett",Enterprise,Retail,Canada,Active
310,ACC-000310,Smith-Grimes,Enterprise,Technology,Germany,Active
311,ACC-000311,"Beltran, Lozano and Mcgee",Mid-Market,Retail,Canada,Active
312,ACC-000312,Parsons-Hall,Small Business,Automotive,United States,Active
313,ACC-000313,Robinson-Lee,Enterprise,Healthcare,Germany,Active
314,ACC-000314,Byrd-Le,Enterprise,Technology,United States,Active
315,ACC-000315,"Becker, Taylor and Davis",Enterprise,Technology,Canada,Active
316,ACC-000316,"Lucas, Parker and Alexander",Mid-Market,Automotive,United States,Active
317,ACC-000317,"Diaz, Anderson and Browning",Small Business,Healthcare,United States,Active
318,ACC-000318,Burgess-Thompson,Small Business,Retail,Germany,Active
319,ACC-000319,Buchanan LLC,Small Business,Retail,Mexico,Active
320,ACC-000320,"Shaw, Nelson and Martin",Small Business,Automotive,Sweden,Active
321,ACC-000321,Coffey-Phillips,Enterprise,Manufacturing,United States,Inactive
322,ACC-000322,Brock-Mcdonald,Enterprise,Automotive,United States,Active
323,ACC-000323,Taylor and Sons,Mid-Market,Retail,Canada,Active
324,ACC-000324,"Ramsey, Whitney and Coffey",Small Business,Technology,Sweden,Active
325,ACC-000325,"Diaz, Gibbs and Smith",Small Business,Technology,Sweden,Active
326,ACC-000326,"Martinez, Richardson and Curry",Enterprise,Manufacturing,Mexico,Active
327,ACC-000327,Richards-Carson,Enterprise,Healthcare,Canada,Active
328,ACC-000328,Rodriguez-Hall,Enterprise,Manufacturing,United States,Active
329,ACC-000329,Harvey PLC,Enterprise,Healthcare,United States,Inactive
330,ACC-000330,Herman-Walker,Mid-Market,Automotive,United States,Active
331,ACC-000331,Reid Group,Mid-Market,Retail,United States,Active
332,ACC-000332,"Turner, Ortiz and Taylor",Mid-Market,Healthcare,Mexico,Inactive
333,ACC-000333,Torres Group,Enterprise,Retail,Canada,Active
334,ACC-000334,Davis PLC,Small Business,Technology,Mexico,Active
335,ACC-000335,Price LLC,Mid-Market,Retail,Germany,Active
336,ACC-000336,"Avery, Horton and Fernandez",Small Business,Technology,Germany,Active
337,ACC-000337,"Newton, Moore and Perry",Small Business,Healthcare,Germany,Active
338,ACC-000338,Bass PLC,Enterprise,Automotive,Mexico,Active
339,ACC-000339,Crosby-Ramirez,Enterprise,Healthcare,United States,Active
340,ACC-000340,"Wood, Ramos and Sampson",Small Business,Retail,United States,Active
341,ACC-000341,Garcia-Jennings,Mid-Market,Retail,Germany,Active
342,ACC-000342,"Winters, Newman and Brown",Enterprise,Manufacturing,Canada,Active
343,ACC-000343,Lopez-Martinez,Mid-Market,,Germany,Active
344,ACC-000344,Davis-Lewis,Mid-Market,Retail,Sweden,Inactive
345,ACC-000345,"Harper, Smith and Buchanan",Small Business,Manufacturing,Germany,Active
346,ACC-000346,Zhang PLC,Enterprise,Technology,Canada,Active
347,ACC-000347, Jones PLC ,Small Business,Technology,Canada,Active
348,ACC-000348,Willis and Sons,Small Business,Healthcare,Sweden,Active
349,ACC-000349,Schroeder-Kramer,Enterprise,Healthcare,Canada,Active
350,ACC-000350,"Smith, Garrison and Thomas",Enterprise,Retail,Germany,Active
351,ACC-000351,Fernandez and Sons,Mid-Market,Manufacturing,Germany,Active
352,ACC-000352,Guerrero Inc,Enterprise,Automotive,Sweden,Inactive
353,ACC-000353,Smith and Sons,Enterprise,Retail,Sweden,Active
354,ACC-000354,"Morris, Thompson and Williams",Mid-Market,Technology,Germany,Active
355,ACC-000355,"Fisher, Wilson and Brown",Small Business,Automotive,Canada,Active
356,ACC-000356,Strickland-Palmer,Small Business,Retail,Canada,Inactive
357,ACC-000357,Hayes and Sons,Enterprise,Automotive,Germany,Active
358,ACC-000358,"Williams, Logan and Camacho",Small Business,Manufacturing,Canada,Active
359,ACC-000359,"Turner, Schneider and Johnson",Enterprise,Manufacturing,Sweden,Active
360,ACC-000360, Boone-Simmons ,Small Business,Automotive,Canada,Active
361,ACC-000361,Henry Group,Small Business,Manufacturing,Sweden,Active
362,ACC-000362,Lam LLC,Small Business,Manufacturing,Sweden,Inactive
