machine_id,location_id,machine_name,machine_type,installation_date,status
MCH-000109,LOC-0049,Cutting Machine 00109,Cutting Machine,2019-09-13,Active
MCH-000110,LOC-0049,Assembly Line 00110,,2021-09-06,Inactive
MCH-000111,LOC-0021,Packaging Machine 00111,Packaging Machine,2023-06-22,Maintenance
MCH-000112,LOC-0014,Packaging Machine 00112,Packaging Machine,2019-06-18,Active
MCH-000113,LOC-0056,Assembly Line 00113,Assembly Line,2020-08-15,Active
MCH-000114,LOC-0070,Robotic Cell 00114,Robotic Cell,2024-10-30,Active
MCH-000115,LOC-0034,Packaging Machine 00115,Packaging Machine,2025-08-22,Active
MCH-000116,LOC-0067,Packaging Machine 00116,Packaging Machine,2024-10-25,Active
MCH-000117,LOC-0016,CNC Machine 00117,CNC Machine,2023-05-04,Active
MCH-000118,LOC-0016,Press 00118,Press,2024-11-22,Active
MCH-000119,LOC-0019,Cutting Machine 00119,Cutting Machine,2023-09-04,Maintenance
MCH-000120,LOC-0021,Robotic Cell 00120,Robotic Cell,2019-05-28,Active
MCH-000121,LOC-0093,Cutting Machine 00121,Cutting Machine,2021-08-02,Active
MCH-000122,LOC-0043,Cutting Machine 00122,Cutting Machine,2020-11-15,Active
MCH-000123,LOC-0085,Press 00123,Press,2021-12-25,Active
MCH-000124,LOC-0038,Assembly Line 00124,Assembly Line,2021-08-31,Active
MCH-000125,LOC-0020,Press 00125,,2025-12-25,Maintenance
MCH-000126,LOC-0064,Cutting Machine 00126,Cutting Machine,2021-10-05,Active
MCH-000127,LOC-0076,Conveyor 00127,Conveyor,2024-12-03,Active
MCH-000128,LOC-0044,CNC Machine 00128,CNC Machine,2024-08-23,Active
MCH-000129,LOC-0020,Assembly Line 00129,Assembly Line,2025-09-08,Active
MCH-000130,LOC-0011,Cutting Machine 00130,Cutting Machine,2020-05-20,Active
MCH-000131,LOC-0044,Robotic Cell 00131,,2021-12-26,Active
MCH-000132,LOC-0023, Assembly Line 00132 ,Assembly Line,2022-08-14,Active
MCH-000133,LOC-0060,CNC Machine 00133,CNC Machine,2019-01-25,Active
MCH-000134,LOC-0064,Furnace 00134,Furnace,2023-09-03,Active
MCH-000135,LOC-0040,Packaging Machine 00135,Packaging Machine,2019-08-29,Active
MCH-000136,LOC-0075,Furnace 00136,Furnace,2019-02-13,Active
MCH-000137,LOC-0023,Conveyor 00137,Conveyor,2023-12-03,Active
MCH-000138,LOC-0004,Cutting Machine 00138,Cutting Machine,2021-02-17,Active
MCH-000139,LOC-0041,Cutting Machine 00139,Cutting Machine,2019-05-08,Active
MCH-000140,LOC-0088,Conveyor 00140,Conveyor,2022-04-07,Active
MCH-000141,LOC-0003,Press 00141,Press,2021-08-24,Maintenance
MCH-000142,LOC-0058,Robotic Cell 00142,Robotic Cell,2022-09-18,Active
MCH-000143,LOC-0075,Conveyor 00143,Conveyor,2021-01-01,Active
MCH-000144,LOC-0055,Conveyor 00144,,2024-02-17,Active
MCH-000145,LOC-0078,Robotic Cell 00145,Robotic Cell,2023-07-03,Active
MCH-000146,LOC-0053,Conveyor 00146,Conveyor,2021-09-20,Active
MCH-000147,LOC-0038,Cutting Machine 00147,Cutting Machine,2025-12-26,Active
MCH-000148,LOC-0092,Robotic Cell 00148,Robotic Cell,2020-04-22,Active
MCH-000149,LOC-0083,Assembly Line 00149,Assembly Line,2023-01-15,Active
MCH-000150,LOC-0018,Robotic Cell 00150,Robotic Cell,2021-01-10,unknown
MCH-000151,LOC-0067,Robotic Cell 00151,Robotic Cell,2023-03-12,Maintenance
MCH-000152,LOC-0024,Packaging Machine 00152,Packaging Machine,2021-09-26,Active
MCH-000153,LOC-0028,Press 00153,Press,2025-02-12,unknown
MCH-000154,LOC-0018,Assembly Line 00154,Assembly Line,2025-03-23,Active
MCH-000155,LOC-0014,Furnace 00155,Furnace,2022-04-06,Active
MCH-000156,LOC-0062,CNC Machine 00156,CNC Machine,2022-06-16,Inactive
MCH-000157,LOC-0060,Robotic Cell 00157,Robotic Cell,2024-01-17,Active
MCH-000158,LOC-0013,CNC Machine 00158,CNC Machine,2023-10-20,Active
MCH-000159,LOC-0032,Packaging Machine 00159,Packaging Machine,2021-01-10,Active
MCH-000160,LOC-0024,CNC Machine 00160,CNC Machine,01/19/2022,Active
MCH-000161,LOC-0058,Conveyor 00161,Conveyor,2020-03-04,Active
MCH-000162,LOC-0019,CNC Machine 00162,CNC Machine,2019-01-20,Active
MCH-000163,LOC-0090,Furnace 00163,Furnace,2021-07-08,Active
MCH-000164,LOC-0095,Furnace 00164,Furnace,2021-03-24,Active
MCH-000165,LOC-0010,CNC Machine 00165,,2021-12-23,Active
MCH-000166,LOC-0065,Cutting Machine 00166,Cutting Machine,2025-06-19,Active
MCH-000167,LOC-0041,Conveyor 00167,Conveyor,2021-12-24,Active
MCH-000168,LOC-0096,Packaging Machine 00168,Packaging Machine,2025-08-14,Maintenance
MCH-000169,LOC-0041,Press 00169,Press,2024-01-16,Active
MCH-000170,LOC-0087,Furnace 00170,Furnace,2020-04-20,unknown
MCH-000171,LOC-0055,Furnace 00171,Furnace,2021-07-22,Inactive
MCH-000172,LOC-0013,Cutting Machine 00172,Cutting Machine,2025-03-01,Maintenance
MCH-000173,LOC-0022,Assembly Line 00173,Assembly Line,2025-03-17,Active
MCH-000174,LOC-0094,Assembly Line 00174,Assembly Line,2024-06-21,Active
MCH-000175,LOC-0056,CNC Machine 00175,CNC Machine,2022-01-02,Active
MCH-000176,LOC-0053,Robotic Cell 00176,Robotic Cell,2019-04-18,Active
MCH-000177,LOC-0098,Cutting Machine 00177,Cutting Machine,2023-05-01,Active
MCH-000178,LOC-0043,Robotic Cell 00178,Robotic Cell,2024-07-27,Active
MCH-000179,LOC-0006,Cutting Machine 00179,Cutting Machine,2024-07-21,Active
MCH-000180,LOC-0031,Conveyor 00180,Conveyor,2022-11-28,Active
MCH-000181,LOC-0051,Cutting Machine 00181,Cutting Machine,2022-11-02,Active
MCH-000182,LOC-0079,Robotic Cell 00182,Robotic Cell,2022-11-11,Active
MCH-000183,LOC-0045,Cutting Machine 00183,Cutting Machine,2021-07-01,Inactive
MCH-000184,LOC-0005,Cutting Machine 00184,Cutting Machine,2019-03-23,Active
MCH-000185,LOC-0060,Robotic Cell 00185,Robotic Cell,2021-07-11,Active
MCH-000186,LOC-0052,Furnace 00186,Furnace,2024-03-15,Active
MCH-000187,LOC-0058,Packaging Machine 00187,Packaging Machine,2022-02-24,Active
MCH-000188,LOC-0047,CNC Machine 00188,CNC Machine,2025-02-07,Active
MCH-000189,LOC-0069,Robotic Cell 00189,Robotic Cell,2021-09-12,Active
MCH-000190,LOC-0022,CNC Machine 00190,CNC Machine,2023-10-18,Inactive
MCH-000191,LOC-0005,Press 00191,Press,2024-11-19,Active
MCH-000192,LOC-0038,Assembly Line 00192,Assembly Line,2023-09-28,unknown
MCH-000193,LOC-0050,Robotic Cell 00193,Robotic Cell,2023-02-28,Active
MCH-000194,LOC-0086,Packaging Machine 00194,Packaging Machine,2021-09-05,Inactive
MCH-000195,LOC-0064,Press 00195,Press,2022-03-20,Active
MCH-000196,LOC-0082,Furnace 00196,Furnace,2025-04-26,Active
MCH-000197,LOC-0093,Robotic Cell 00197,Robotic Cell,2020-09-03,Active
MCH-000198,LOC-0099,Conveyor 00198,Conveyor,2023-05-19,Active
MCH-000199,LOC-0070,Packaging Machine 00199,Packaging Machine,2024-01-16,Active
MCH-000200,LOC-0071,Press 00200,Press,2020-12-23,Active
MCH-000201,LOC-0070,Conveyor 00201,Conveyor,2020-08-25,Active
MCH-000202,LOC-0075,Furnace 00202,Furnace,2023-06-07,Active
MCH-000203,LOC-0030,CNC Machine 00203,CNC Machine,2020-10-15,Active
MCH-000204,LOC-0085,Conveyor 00204,,2019-04-11,unknown
MCH-000205,LOC-0073,Press 00205,Press,2019-03-22,Active
MCH-000206,LOC-0029,Furnace 00206,furnace,2020-07-28,Active
MCH-000207,LOC-0078,Press 00207,Press,2023-03-20,Active
MCH-000208,LOC-0004,Assembly Line 00208,Assembly Line,2025-04-13,Active
MCH-000209,LOC-0031,Cutting Machine 00209,Cutting Machine,2025-12-16,Active
MCH-000210,LOC-0086,Press 00210,Press,2022-02-23,Active
MCH-000211,LOC-0076,CNC Machine 00211,CNC Machine,2020-09-19,Active
MCH-000212,LOC-0003,Packaging Machine 00212,Packaging Machine,2025-04-17,Active
MCH-000213,LOC-0028,Packaging Machine 00213,Packaging Machine,2019-09-02,Active
MCH-000214,LOC-0039,Packaging Machine 00214,Packaging Machine,2024-10-19,Active
MCH-000215,LOC-0010,Packaging Machine 00215,Packaging Machine,2020-05-25,Active
MCH-000216,LOC-0003,CNC Machine 00216,CNC Machine,2019-08-16,Active
MCH-000217,LOC-0028,Furnace 00217,Furnace,2019-12-19,Active
MCH-000218,LOC-0083,Assembly Line 00218,Assembly Line,2019-09-12,Active
MCH-000219,LOC-0059,Conveyor 00219,Conveyor,2024-06-20,Active
MCH-000220,LOC-0016,Cutting Machine 00220,Cutting Machine,2024-12-11,Active
MCH-000221,LOC-0073,Assembly Line 00221,Assembly Line,2024-08-12,Active
MCH-000222,LOC-0092,Robotic Cell 00222,,2024-02-14,Active
MCH-000223,LOC-0047,Assembly Line 00223,Assembly Line,2021-11-05,Active
MCH-000224,LOC-0033,Press 00224,Press,2021-02-23,unknown
MCH-000225,LOC-0081,Packaging Machine 00225,Packaging Machine,2019-05-01,Active
MCH-000226,LOC-INVALID-00014,Robotic Cell 00226,Robotic Cell,2024-05-18,Active
MCH-000227,LOC-0010,Conveyor 00227,Conveyor,2024-10-12,Active
MCH-000228,LOC-0012,Furnace 00228,Furnace,2024-11-02,Active
MCH-000229,LOC-0003,Cutting Machine 00229,Cutting Machine,2025-01-15,Active
MCH-000230,LOC-0078,Furnace 00230,Furnace,2023-11-07,Active
MCH-000231,LOC-0016,Conveyor 00231,,2024-07-27,Active
MCH-000232,LOC-0035,Cutting Machine 00232,Cutting Machine,2021-08-27,Active
MCH-000233,LOC-0027,Conveyor 00233,Conveyor,2020-09-14,Active
MCH-000234,LOC-0008,Press 00234,Press,2025-04-04,Active
MCH-000235,LOC-0042,CNC Machine 00235,CNC Machine,2021-07-18,Active
MCH-000236,LOC-0005,CNC Machine 00236,CNC Machine,2023-11-19,Active
MCH-000237,LOC-0050,Robotic Cell 00237,Robotic Cell,2025-01-29,Active
MCH-000238,LOC-0064,Robotic Cell 00238,Robotic Cell,2024-03-07,Active
MCH-000239,LOC-0070,Robotic Cell 00239,Robotic Cell,2022-01-01,Active
MCH-000240,LOC-0028,CNC Machine 00240,CNC Machine,2023-10-08,Active
MCH-000241,LOC-0064,Press 00241,Press,2020-09-17,Active
MCH-000242,LOC-0014,Press 00242,Press,2020-05-14,Maintenance
MCH-000243,LOC-0090,Press 00243,Press,2023-12-27,Maintenance
MCH-000244,LOC-0046,CNC Machine 00244,CNC Machine,2025-09-11,Active
MCH-000245,LOC-0088,Press 00245,Press,2022-10-22,Active
MCH-000246,LOC-0066,Cutting Machine 00246,Cutting Machine,2022-01-25,Active
MCH-000247,LOC-0030,Robotic Cell 00247,Robotic Cell,2025-01-20,Active
MCH-000248,LOC-0060,Conveyor 00248,Conveyor,2022-01-26,Active
MCH-000249,LOC-0011,Press 00249,Press,2023-09-26,Maintenance
MCH-000250,LOC-0069,Assembly Line 00250,,2022-01-19,Maintenance
MCH-000251,LOC-0002,Assembly Line 00251,Assembly Line,2020-12-23,Active
MCH-000252,LOC-0093,Assembly Line 00252,Assembly Line,2020-02-20,Active
MCH-000253,LOC-0053,Press 00253,,2023-07-09,Active
MCH-000254,LOC-0058,Packaging Machine 00254,Packaging Machine,2019-02-02,Active
MCH-000255,LOC-0049,Packaging Machine 00255,Packaging Machine,2021-03-30,Maintenance
MCH-000256,LOC-0026,CNC Machine 00256,CNC Machine,2019-05-02,Maintenance
MCH-000257,LOC-0026,Cutting Machine 00257,Cutting Machine,2020-11-08,Maintenance
MCH-000258,LOC-0090,Press 00258,,2019-06-06,Active
MCH-000259,LOC-0086,Furnace 00259,Furnace,2024-10-07,unknown
MCH-000260,LOC-0062,Assembly Line 00260,,2022-04-14,Active
MCH-000261,LOC-0020,Press 00261,Press,2022-09-28,Active
MCH-000262,LOC-INVALID-00017,Furnace 00262,Furnace,2025-08-25,Active
MCH-000263,LOC-0086,Assembly Line 00263,Assembly Line,2023-05-09,Active
MCH-000264,LOC-0022,Conveyor 00264,Conveyor,2019-11-17,Active
MCH-000265,LOC-0074,Furnace 00265,Furnace,2020-08-30,Active
MCH-000266,LOC-0005,Furnace 00266,Furnace,2024-03-25,Active
MCH-000267,LOC-0071,Cutting Machine 00267,Cutting Machine,2025-01-05,Active
MCH-000268,LOC-0037,Cutting Machine 00268,,2022-07-21,Active
MCH-000269,LOC-0013,Assembly Line 00269,Assembly Line,2025-04-19,Active
MCH-000270,LOC-0010,Furnace 00270,Furnace,2025-01-02,Active
MCH-000271,LOC-0045,Furnace 00271,Furnace,2021-02-11,Active
MCH-000272,LOC-0090,CNC Machine 00272,CNC Machine,2020-09-23,Active
MCH-000273,LOC-0018,Furnace 00273,Furnace,2024-09-27,Active
MCH-000274,LOC-0015,Assembly Line 00274,Assembly Line,2021-02-07,Active
MCH-000275,LOC-0036,CNC Machine 00275,CNC Machine,2019-07-11,Maintenance
MCH-000276,LOC-0052,Robotic Cell 00276,Robotic Cell,2025-05-23,Active
MCH-000277,LOC-0053, Cutting Machine 00277 ,Cutting Machine,2020-06-24,Active
MCH-000278,LOC-0030,Packaging Machine 00278,Packaging Machine,2019-01-21,Active
MCH-000279,LOC-0076,Cutting Machine 00279,Cutting Machine,2020-11-23,Maintenance
MCH-000280,LOC-0094,Conveyor 00280,Conveyor,2020-10-18,Inactive
MCH-000281,LOC-0074,Assembly Line 00281,Assembly Line,2021-08-05,Active
MCH-000282,LOC-0053,Furnace 00282,Furnace,2022-10-05,Maintenance
MCH-000283,LOC-0082,Conveyor 00283,Conveyor,2020-04-18,Active
MCH-000284,LOC-0096,Cutting Machine 00284,Cutting Machine,2021-08-25,unknown
MCH-000285,LOC-0055,Press 00285,Press,2021-03-31,unknown
MCH-000286,LOC-0071,Packaging Machine 00286,Packaging Machine,2024-07-21,Active
MCH-000287,LOC-0012,Assembly Line 00287,Assembly Line,2020-03-31,unknown
MCH-000288,LOC-0072,Packaging Machine 00288,Packaging Machine,2021-09-29,Maintenance
MCH-000289,LOC-0094,Conveyor 00289,Conveyor,2024-09-25,Active
MCH-000290,LOC-0100,Assembly Line 00290,Assembly Line,2023-10-02,Active
MCH-000291,LOC-0086,Press 00291,Press,2020-11-23,Active
MCH-000292,LOC-0087,Robotic Cell 00292,Robotic Cell,2020-04-05,Active
MCH-000293,LOC-0091,Cutting Machine 00293,Cutting Machine,2021-02-26,Active
MCH-000294,LOC-0048,Furnace 00294,Furnace,2019-11-11,Active
MCH-000295,LOC-0085,Cutting Machine 00295,Cutting Machine,2022-03-19,Active
MCH-000296,LOC-0073,CNC Machine 00296,CNC Machine,2021-05-07,Active
MCH-000297,LOC-0072,CNC Machine 00297,CNC Machine,2021-06-21,Active
MCH-000298,LOC-0033,Furnace 00298,Furnace,2021-03-28,Inactive
MCH-000299,LOC-0005,Robotic Cell 00299,Robotic Cell,2020-04-10,Active
MCH-000300,LOC-0064,Press 00300,Press,2019-07-10,Maintenance
MCH-000301,LOC-0021,CNC Machine 00301,CNC Machine,2024-08-18,Active
MCH-000302,LOC-0051,Assembly Line 00302,Assembly Line,09-06-2019,Inactive
MCH-000303,LOC-0076,Furnace 00303,Furnace,2024-10-21,Active
MCH-000304,LOC-0043, Robotic Cell 00304 ,Robotic Cell,2024-08-01,unknown
MCH-000305,LOC-0012,Cutting Machine 00305,Cutting Machine,2019-12-06,Active
MCH-000306,LOC-0072,Cutting Machine 00306,Cutting Machine,2024-12-19,unknown
MCH-000307,LOC-0085,Robotic Cell 00307,Robotic Cell,2025-10-12,Maintenance
MCH-000308,LOC-0069,Conveyor 00308,Conveyor,2022-02-05,Active
MCH-000309,LOC-0066,Cutting Machine 00309,Cutting Machine,2025-04-06,Active
MCH-000310,LOC-0069,Assembly Line 00310,Assembly Line,2020-06-25,Active
MCH-000311,LOC-0040, Conveyor 00311 ,Conveyor,2022-03-17,Active
MCH-000312,LOC-0047,Conveyor 00312,Conveyor,2023-02-17,Active
MCH-000313,LOC-0045,Packaging Machine 00313,Packaging Machine,2021-09-23,Inactive
MCH-000314,LOC-0069,Assembly Line 00314,Assembly Line,2023-05-29,Active
MCH-000315,LOC-0068,Furnace 00315,Furnace,2024-12-09,Active
MCH-000316,LOC-0068,Packaging Machine 00316,Packaging Machine,2025-08-21,Active
MCH-000317,LOC-0035,Conveyor 00317,Conveyor,2022-04-12,Inactive
MCH-000318,LOC-0005,Furnace 00318,Furnace,2021-08-31,Active
MCH-000319,LOC-0069,Cutting Machine 00319,Cutting Machine,2021-01-06,Maintenance
MCH-000320,LOC-0016,Cutting Machine 00320,Cutting Machine,2025-10-01,Active
MCH-000321,LOC-0021,Assembly Line 00321,Assembly Line,2022-06-30,Active
MCH-000322,LOC-0005,Furnace 00322,Furnace,2022-01-27,Active
MCH-000323,LOC-0083,Assembly Line 00323,Assembly Line,2024-12-31,Active
MCH-000324,LOC-0023,Assembly Line 00324,,2021-04-02,Active
MCH-000325,LOC-0083,Robotic Cell 00325,Robotic Cell,2022-09-16,Active
MCH-000326,LOC-0090,Conveyor 00326,Conveyor,2025-12-28,Active
MCH-000327,LOC-0013,Press 00327,Press,2022-07-04,Active
MCH-000328,LOC-0002,Furnace 00328,Furnace,2020-06-14,Active
MCH-000329,LOC-0034,Assembly Line 00329,Assembly Line,2019-09-13,Active
MCH-000330,LOC-0061,CNC Machine 00330,CNC Machine,2020-09-11,Active
MCH-000331,LOC-0056,Cutting Machine 00331,Cutting Machine,2023-10-30,Inactive
MCH-000332,LOC-0021,Furnace 00332,Furnace,2023-02-09,Active
MCH-000333,LOC-0014,Robotic Cell 00333,Robotic Cell,2020-03-23,Active
MCH-000334,LOC-0040,Conveyor 00334,Conveyor,2020-09-12,Active
MCH-000335,LOC-0056,Press 00335,Press,2020-10-07,Active
MCH-000336,LOC-0059,Press 00336,,2019-02-21,Active
MCH-000337,LOC-0047,Robotic Cell 00337,Robotic Cell,2025-02-11,Active
MCH-000338,LOC-0023,Cutting Machine 00338,Cutting Machine,2021-07-26,Active
MCH-000339,LOC-0037,Packaging Machine 00339,Packaging Machine,2019-07-23,Active
MCH-000340,LOC-0073,Robotic Cell 00340,Robotic Cell,2024-05-07,Active
MCH-000341,LOC-0034,Robotic Cell 00341,Robotic Cell,2023-09-01,Active
MCH-000342,LOC-0047,Conveyor 00342,Conveyor,2023-11-30,Active
MCH-000343,LOC-0052,Press 00343,Press,2022-03-05,Active
MCH-000344,LOC-0054,Conveyor 00344,Conveyor,2024-02-13,Active
MCH-000345,LOC-0097,Assembly Line 00345,Assembly Line,2021-03-09,Active
MCH-000346,LOC-0042,Assembly Line 00346,Assembly Line,2025-02-23,Active
