emissions_key,emissions_id,date_key,location_key,emissions_category,unit_of_measure,co2_emissions
131,EMS-000131,20200918,96,Purchased Energy,kg,326.316
132,EMS-000132,20230801,9,Direct Emissions,kg,811.191
133,EMS-000133,20230214,32,Transportation,kg,2973.568
134,EMS-000134,20220915,92,Purchased Energy,kg,350.834
135,EMS-000135,20191128,32,Purchased Energy,kg,512.97
136,EMS-000136,20240521,20,Purchased Energy,kg,625.009
137,EMS-000137,20240219,27,Direct Emissions,kg,1598.636
138,EMS-000138,20220214,72,Direct Emissions,kg,747.41
139,EMS-000139,20210226,9,Transportation,kg,1551.673
140,EMS-000140,20200616,25,Purchased Energy,kg,260.724
141,EMS-000141,20220829,2,Direct Emissions,kg,281.591
142,EMS-000142,20200111,46,Transportation,kg,1068.894
143,EMS-000143,20190428,45,Direct Emissions,kg,1672.826
144,EMS-000144,20210128,26,Purchased Energy,kg,353.262
145,EMS-000145,20191207,19,Purchased Energy,kg,776.7
146,EMS-000146,20230829,22,Purchased Energy,kg,227.662
147,EMS-000147,20200816,15,Direct Emissions,kg,1758.091
148,EMS-000148,20241004,87,Direct Emissions,kg,348.858
149,EMS-000149,20221126,10,Purchased Energy,kg,549.34
150,EMS-000150,20240416,26,Direct Emissions,kg,2017.895
151,EMS-000151,20190922,79,Purchased Energy,kg,1590.291
152,EMS-000152,20201210,31,Purchased Energy,kg,560.068
153,EMS-000153,20240801,92,Direct Emissions,kg,516.267
154,EMS-000154,20250424,53,Direct Emissions,kg,345.224
155,EMS-000155,20230313,77,Purchased Energy,kg,222.304
156,EMS-000156,20250914,76,Purchased Energy,kg,641.455
157,EMS-000157,20220304,25,Purchased Energy,kg,703.598
158,EMS-000158,20250302,9,Purchased Energy,kg,3214.512
159,EMS-000159,20200517,64,Purchased Energy,kg,591.3
160,EMS-000160,20200912,29,Direct Emissions,kg,1169.796
161,EMS-000161,20240609,23,Direct Emissions,kg,352.912
162,EMS-000162,20221030,63,Direct Emissions,kg,1309.677
163,EMS-000163,20191021,37,Transportation,kg,2622.697
164,EMS-000164,20250210,91,Direct Emissions,kg,1684.871
165,EMS-000165,20240816,98,Purchased Energy,kg,2038.267
166,EMS-000166,20251231,76,Direct Emissions,kg,1165.436
167,EMS-000167,20210102,95,Purchased Energy,kg,1270.919
168,EMS-000168,20201120,23,Purchased Energy,kg,431.437
169,EMS-000169,20240602,14,Direct Emissions,kg,994.994
170,EMS-000170,20250409,23,Purchased Energy,kg,457.415
171,EMS-000171,20210206,49,Purchased Energy,kg,1065.586
172,EMS-000172,20231124,39,Direct Emissions,kg,1267.753
173,EMS-000173,20250322,3,Purchased Energy,kg,381.407
174,EMS-000174,20211101,61,Purchased Energy,kg,275.725
175,EMS-000175,20231014,10,Transportation,kg,3032.003
176,EMS-000176,20231024,51,Transportation,kg,855.483
177,EMS-000177,20250615,72,Purchased Energy,kg,2357.336
178,EMS-000178,20210519,19,Purchased Energy,kg,477.835
179,EMS-000179,20230626,72,Direct Emissions,kg,3726.444
180,EMS-000180,20220910,52,Purchased Energy,kg,498.246
181,EMS-000181,20200318,31,Purchased Energy,kg,189.027
182,EMS-000182,20190808,91,Purchased Energy,kg,313.116
183,EMS-000183,20200310,13,Transportation,kg,1119.66
184,EMS-000184,20190413,93,Direct Emissions,kg,334.969
185,EMS-000185,20240420,28,Purchased Energy,kg,715.048
186,EMS-000186,20220516,55,Purchased Energy,kg,1048.901
187,EMS-000187,20230706,33,Direct Emissions,kg,1276.595
188,EMS-000188,20231120,33,Direct Emissions,kg,827.766
189,EMS-000189,20210125,37,Direct Emissions,kg,1323.794
190,EMS-000190,20250718,4,Direct Emissions,kg,1015.822
191,EMS-000191,20190429,99,Purchased Energy,kg,1739.116
192,EMS-000192,20250103,48,Direct Emissions,kg,1039.119
193,EMS-000193,20240910,5,Purchased Energy,kg,745.051
194,EMS-000194,20211116,17,Direct Emissions,kg,859.237
195,EMS-000195,20251117,49,Direct Emissions,kg,1643.265
196,EMS-000196,20210411,78,Direct Emissions,kg,2800.25
197,EMS-000197,20250329,47,Direct Emissions,kg,3691.042
198,EMS-000198,20230105,28,Transportation,kg,918.785
199,EMS-000199,20220227,81,Purchased Energy,kg,301.773
200,EMS-000200,20210305,48,Purchased Energy,kg,178.358
201,EMS-000201,20251010,26,Purchased Energy,kg,491.569
202,EMS-000202,20211011,25,Purchased Energy,kg,173.141
203,EMS-000203,20230817,64,Direct Emissions,kg,524.087
204,EMS-000204,20220413,42,Purchased Energy,kg,1367.579
205,EMS-000205,20190112,26,Direct Emissions,kg,576.203
206,EMS-000206,20240502,42,Direct Emissions,kg,569.515
207,EMS-000207,20190606,63,Direct Emissions,kg,562.485
208,EMS-000208,20191110,43,Purchased Energy,kg,125.944
209,EMS-000209,20231229,48,Transportation,kg,1110.965
210,EMS-000210,20250311,9,Purchased Energy,kg,959.813
211,EMS-000211,20241021,33,Transportation,kg,1856.053
212,EMS-000212,20251005,27,Purchased Energy,kg,359.083
213,EMS-000213,20250412,22,Direct Emissions,kg,957.355
214,EMS-000214,20201230,86,Purchased Energy,kg,585.272
215,EMS-000215,20240502,51,Direct Emissions,kg,1154.483
216,EMS-000216,20190106,15,Purchased Energy,kg,906.093
217,EMS-000217,20200512,55,Direct Emissions,kg,1748.026
218,EMS-000218,20250729,47,Direct Emissions,kg,557.749
219,EMS-000219,20230418,38,Transportation,kg,589.94
220,EMS-000220,20250214,32,Transportation,kg,1039.788
221,EMS-000221,20240504,34,Direct Emissions,kg,503.667
222,EMS-000222,20230907,63,Purchased Energy,kg,89.938
223,EMS-000223,20211014,26,Direct Emissions,kg,530.566
224,EMS-000224,20220730,43,Direct Emissions,kg,4645.427
225,EMS-000225,20210424,63,Transportation,kg,1756.224
226,EMS-000226,20231020,6,Purchased Energy,kg,208.733
227,EMS-000227,20241027,48,Purchased Energy,kg,453.27
228,EMS-000228,20210104,36,Direct Emissions,kg,768.097
229,EMS-000229,20190816,92,Transportation,kg,2033.873
230,EMS-000230,20230322,74,Purchased Energy,kg,1207.715
231,EMS-000231,20200123,59,Purchased Energy,kg,714.93
232,EMS-000232,20200212,88,Purchased Energy,kg,706.647
233,EMS-000233,20211114,48,Purchased Energy,kg,861.73
234,EMS-000234,20210803,71,Direct Emissions,kg,543.618
235,EMS-000235,20230327,69,Purchased Energy,kg,478.951
236,EMS-000236,20200628,14,Purchased Energy,kg,865.566
237,EMS-000237,20190118,4,Purchased Energy,kg,600.158
238,EMS-000238,20210130,76,Direct Emissions,kg,1269.681
239,EMS-000239,20240811,68,Purchased Energy,kg,449.648
240,EMS-000240,20240904,91,Transportation,kg,479.612
241,EMS-000241,20191118,42,Purchased Energy,kg,828.542
242,EMS-000242,20220326,45,Transportation,kg,889.014
243,EMS-000243,20220824,29,Purchased Energy,kg,337.541
244,EMS-000244,20191219,26,Direct Emissions,kg,357.067
245,EMS-000245,20210722,19,Purchased Energy,kg,454.483
246,EMS-000246,20230304,37,Purchased Energy,kg,602.073
247,EMS-000247,20250423,15,Direct Emissions,kg,202.24
248,EMS-000248,20230627,30,Purchased Energy,kg,372.476
249,EMS-000249,20230107,49,Purchased Energy,kg,455.644
250,EMS-000250,20190312,26,Direct Emissions,kg,1554.137
251,EMS-000251,20220617,87,Purchased Energy,kg,651.549
252,EMS-000252,20231117,97,Purchased Energy,kg,326.826
253,EMS-000253,20190105,71,Purchased Energy,kg,228.435
254,EMS-000254,20190420,76,Purchased Energy,kg,479.332
255,EMS-000255,20250918,89,Direct Emissions,kg,1736.351
256,EMS-000256,20250824,54,Purchased Energy,kg,163.604
257,EMS-000257,20210216,2,Direct Emissions,kg,524.726
258,EMS-000258,20211208,76,Direct Emissions,kg,411.321
259,EMS-000259,20201123,22,Direct Emissions,kg,544.983
260,EMS-000260,20201113,4,Purchased Energy,kg,68.453
261,EMS-000261,20200608,54,Direct Emissions,kg,1064.628
262,EMS-000262,20250212,48,Transportation,kg,1643.46
263,EMS-000263,20231215,25,Transportation,kg,543.987
264,EMS-000264,20220519,90,Purchased Energy,kg,329.505
265,EMS-000265,20230228,95,Transportation,kg,2378.653
266,EMS-000266,20200304,1,Direct Emissions,kg,2065.518
267,EMS-000267,20190810,53,Direct Emissions,kg,1987.427
268,EMS-000268,20230204,80,Direct Emissions,kg,627.178
269,EMS-000269,20200322,48,Direct Emissions,kg,963.475
270,EMS-000270,20220704,58,Direct Emissions,kg,5149.836
271,EMS-000271,20210208,22,Transportation,kg,1181.175
272,EMS-000272,20241009,55,Purchased Energy,kg,1029.933
273,EMS-000273,20251128,81,Purchased Energy,kg,183.219
274,EMS-000274,20230922,15,Direct Emissions,kg,1528.645
275,EMS-000275,20200219,33,Purchased Energy,kg,600.993
276,EMS-000276,20211219,74,Transportation,kg,3079.18
277,EMS-000277,20250626,7,Transportation,kg,2400.476
278,EMS-000278,20190618,51,Direct Emissions,kg,785.557
279,EMS-000279,20231231,78,Transportation,kg,1503.874
280,EMS-000280,20240730,84,Direct Emissions,kg,1068.427
281,EMS-000281,20240911,21,Purchased Energy,kg,774.315
282,EMS-000282,20220425,60,Direct Emissions,kg,3010.271
283,EMS-000283,20210330,95,Direct Emissions,kg,811.71
284,EMS-000284,20240120,26,Direct Emissions,kg,828.469
285,EMS-000285,20250305,60,Purchased Energy,kg,303.643
286,EMS-000286,20231122,61,Direct Emissions,kg,1299.903
287,EMS-000287,20240707,24,Direct Emissions,kg,926.149
288,EMS-000288,20210502,28,Transportation,kg,660.823
289,EMS-000289,20240223,4,Purchased Energy,kg,664.743
290,EMS-000290,20241205,87,Direct Emissions,kg,2234.449
291,EMS-000291,20210908,48,Purchased Energy,kg,293.416
292,EMS-000292,20240811,62,Transportation,kg,1000.917
293,EMS-000293,20250727,44,Direct Emissions,kg,397.803
294,EMS-000294,20220214,70,Purchased Energy,kg,1053.168
295,EMS-000295,20211118,71,Purchased Energy,kg,1338.46
296,EMS-000296,20190811,12,Direct Emissions,kg,203.027
297,EMS-000297,20210916,100,Direct Emissions,kg,338.132
298,EMS-000298,20190324,98,Purchased Energy,kg,563.702
299,EMS-000299,20250803,2,Direct Emissions,kg,1247.956
300,EMS-000300,20200801,74,Direct Emissions,kg,1544.24
301,EMS-000301,20240726,96,Direct Emissions,kg,3157.85
302,EMS-000302,20230630,77,Direct Emissions,kg,324.726
303,EMS-000303,20221208,50,Transportation,kg,1156.526
304,EMS-000304,20230305,89,Purchased Energy,kg,338.892
305,EMS-000305,20190808,62,Direct Emissions,kg,850.645
306,EMS-000306,20200228,3,Purchased Energy,kg,1324.234
307,EMS-000307,20230630,34,Purchased Energy,kg,365.348
308,EMS-000308,20190529,38,Purchased Energy,kg,289.818
309,EMS-000309,20220708,46,Transportation,kg,957.607
310,EMS-000310,20240429,80,Purchased Energy,kg,2442.763
311,EMS-000311,20210115,19,Transportation,kg,947.189
312,EMS-000312,20210927,57,Purchased Energy,kg,476.746
313,EMS-000313,20210615,29,Direct Emissions,kg,769.983
314,EMS-000314,20190630,78,Transportation,kg,1846.867
315,EMS-000315,20230716,90,Purchased Energy,kg,896.534
316,EMS-000316,20231217,55,Direct Emissions,kg,1086.184
317,EMS-000317,20241004,1,Transportation,kg,2314.89
318,EMS-000318,20250528,84,Direct Emissions,kg,1008.37
319,EMS-000319,20191210,79,Direct Emissions,kg,1218.372
320,EMS-000320,20240801,9,Purchased Energy,kg,166.091
321,EMS-000321,20210825,15,Purchased Energy,kg,278.827
322,EMS-000322,20190929,32,Direct Emissions,kg,548.472
323,EMS-000323,20210705,45,Purchased Energy,kg,1361.547
324,EMS-000324,20240704,46,Transportation,kg,1451.594
325,EMS-000325,20210623,57,Direct Emissions,kg,781.776
326,EMS-000326,20210903,35,Purchased Energy,kg,1039.428
327,EMS-000327,20250728,53,Direct Emissions,kg,808.712
328,EMS-000328,20200916,32,Purchased Energy,kg,157.731
329,EMS-000329,20230831,99,Transportation,kg,402.046
330,EMS-000330,20191010,72,Direct Emissions,kg,1067.074
331,EMS-000331,20240913,34,Direct Emissions,kg,1577.978
332,EMS-000332,20210423,46,Purchased Energy,kg,384.572
333,EMS-000333,20201108,49,Purchased Energy,kg,313.893
334,EMS-000334,20241010,59,Purchased Energy,kg,174.069
335,EMS-000335,20200908,53,Transportation,kg,727.054
336,EMS-000336,20241012,13,Transportation,kg,702.818
337,EMS-000337,20200915,18,Purchased Energy,kg,370.46
338,EMS-000338,20220812,68,Purchased Energy,kg,509.784
339,EMS-000339,20210225,89,Purchased Energy,kg,579.548
340,EMS-000340,20230718,26,Purchased Energy,kg,2374.36
341,EMS-000341,20221109,63,Transportation,kg,1986.823
342,EMS-000342,20190419,21,Direct Emissions,kg,1161.524
343,EMS-000343,20240913,98,Direct Emissions,kg,669.553
344,EMS-000344,20240620,24,Direct Emissions,kg,464.822
345,EMS-000345,20211120,69,Purchased Energy,kg,390.145
346,EMS-000346,20240130,66,Direct Emissions,kg,920.415
347,EMS-000347,20210718,38,Transportation,kg,936.613
348,EMS-000348,20251130,24,Purchased Energy,kg,148.382
349,EMS-000349,20240924,12,Direct Emissions,kg,1473.769
350,EMS-000350,20240629,32,Direct Emissions,kg,507.011
351,EMS-000351,20220114,14,Direct Emissions,kg,1359.038
352,EMS-000352,20220423,59,Transportation,kg,2458.457
353,EMS-000353,20230505,94,Direct Emissions,kg,800.856
354,EMS-000354,20211108,15,Direct Emissions,kg,245.101
355,EMS-000355,20220528,84,Purchased Energy,kg,226.662
356,EMS-000356,20190913,62,Purchased Energy,kg,441.953
357,EMS-000357,20191010,91,Purchased Energy,kg,844.387
358,EMS-000358,20210321,16,Direct Emissions,kg,157.024
359,EMS-000359,20220129,13,Transportation,kg,1732.198
360,EMS-000360,20230528,40,Purchased Energy,kg,285.604
361,EMS-000361,20220730,20,Purchased Energy,kg,359.284
362,EMS-000362,20210902,61,Transportation,kg,527.337
363,EMS-000363,20190320,93,Direct Emissions,kg,512.005
364,EMS-000364,20221106,74,Purchased Energy,kg,498.225
365,EMS-000365,20190831,64,Purchased Energy,kg,1263.692
366,EMS-000366,20191025,36,Transportation,kg,1072.048
367,EMS-000367,20230108,33,Purchased Energy,kg,202.856
368,EMS-000368,20230901,79,Purchased Energy,kg,187.455
369,EMS-000369,20220820,75,Purchased Energy,kg,306.176
370,EMS-000370,20231011,61,Purchased Energy,kg,714.238
371,EMS-000371,20200211,76,Direct Emissions,kg,625.036
372,EMS-000372,20190111,23,Purchased Energy,kg,1329.531
373,EMS-000373,20210811,11,Purchased Energy,kg,561.91
374,EMS-000374,20210107,56,Purchased Energy,kg,4537.375
375,EMS-000375,20191217,7,Purchased Energy,kg,381.193
376,EMS-000376,20220622,7,Direct Emissions,kg,1207.284
377,EMS-000377,20241017,64,Purchased Energy,kg,625.673
378,EMS-000378,20211021,25,Direct Emissions,kg,168.386
379,EMS-000379,20230228,100,Direct Emissions,kg,773.054
380,EMS-000380,20220923,84,Direct Emissions,kg,985.334
381,EMS-000381,20201006,40,Transportation,kg,710.365
382,EMS-000382,20250623,70,Purchased Energy,kg,1160.74
383,EMS-000383,20230216,49,Purchased Energy,kg,439.917
384,EMS-000384,20241130,11,Purchased Energy,kg,1515.218
385,EMS-000385,20191017,51,Purchased Energy,kg,769.751
386,EMS-000386,20240614,63,Direct Emissions,kg,1918.03
387,EMS-000387,20250121,47,Purchased Energy,kg,409.526
388,EMS-000388,20240601,44,Purchased Energy,kg,613.358
389,EMS-000389,20200724,90,Purchased Energy,kg,640.186
390,EMS-000390,20210729,23,Direct Emissions,kg,1430.849
391,EMS-000391,20240127,62,Direct Emissions,kg,688.453
392,EMS-000392,20241107,50,Purchased Energy,kg,475.029
393,EMS-000393,20210711,44,Purchased Energy,kg,454.956
394,EMS-000394,20241017,73,Purchased Energy,kg,276.16
395,EMS-000395,20211116,42,Transportation,kg,428.124
396,EMS-000396,20200128,31,Direct Emissions,kg,1024.79
397,EMS-000397,20211028,24,Purchased Energy,kg,657.833
398,EMS-000398,20240305,93,Direct Emissions,kg,1078.418
399,EMS-000399,20231213,72,Direct Emissions,kg,1553.469
400,EMS-000400,20210326,18,Purchased Energy,kg,148.479
401,EMS-000401,20200824,62,Purchased Energy,kg,575.98
402,EMS-000402,20210106,12,Direct Emissions,kg,1966.343
403,EMS-000403,20211024,99,Direct Emissions,kg,1547.007
404,EMS-000404,20190904,32,Direct Emissions,kg,1291.999
405,EMS-000405,20250810,37,Transportation,kg,2802.341
406,EMS-000406,20191213,38,Transportation,kg,567.784
407,EMS-000407,20210725,8,Direct Emissions,kg,941.504
408,EMS-000408,20251212,53,Transportation,kg,2419.784
409,EMS-000409,20220707,67,Purchased Energy,kg,3804.372
410,EMS-000410,20191116,62,Purchased Energy,kg,727.906
411,EMS-000411,20210424,77,Direct Emissions,kg,731.95
412,EMS-000412,20220227,24,Direct Emissions,kg,1006.538
413,EMS-000413,20211212,39,Direct Emissions,kg,1009.475
414,EMS-000414,20190914,43,Purchased Energy,kg,531.476
415,EMS-000415,20201024,61,Direct Emissions,kg,1107.06
416,EMS-000416,20250831,67,Direct Emissions,kg,1059.555
417,EMS-000417,20240428,78,Purchased Energy,kg,701.933
418,EMS-000418,20250205,56,Purchased Energy,kg,438.187
419,EMS-000419,20251204,21,Purchased Energy,kg,861.959
420,EMS-000420,20230202,74,Purchased Energy,kg,990.258
421,EMS-000421,20220709,69,Direct Emissions,kg,608.361
422,EMS-000422,20250430,27,Direct Emissions,kg,885.067
423,EMS-000423,20211126,26,Purchased Energy,kg,373.779
424,EMS-000424,20190427,32,Direct Emissions,kg,279.154
425,EMS-000425,20250715,23,Direct Emissions,kg,1912.049
426,EMS-000426,20200113,22,Direct Emissions,kg,785.504
427,EMS-000427,20190131,30,Purchased Energy,kg,247.835
428,EMS-000428,20190103,68,Direct Emissions,kg,453.437
429,EMS-000429,20190811,63,Direct Emissions,kg,1808.574
430,EMS-000430,20240407,45,Purchased Energy,kg,1455.491
431,EMS-000431,20230825,38,Direct Emissions,kg,1347.39
432,EMS-000432,20240314,17,Transportation,kg,2613.195
433,EMS-000433,20251016,99,Purchased Energy,kg,447.213
434,EMS-000434,20230504,98,Direct Emissions,kg,1667.193
435,EMS-000435,20201008,11,Direct Emissions,kg,2029.446
436,EMS-000436,20250818,10,Direct Emissions,kg,585.971
437,EMS-000437,20220328,40,Direct Emissions,kg,409.046
438,EMS-000438,20210219,4,Purchased Energy,kg,1785.629
439,EMS-000439,20190716,54,Purchased Energy,kg,213.025
440,EMS-000440,20220413,80,Direct Emissions,kg,492.641
441,EMS-000441,20240627,34,Direct Emissions,kg,649.524
442,EMS-000442,20251211,54,Purchased Energy,kg,429.787
443,EMS-000443,20250625,1,Direct Emissions,kg,698.808
444,EMS-000444,20221126,70,Direct Emissions,kg,2026.549
445,EMS-000445,20210915,98,Direct Emissions,kg,4183.078
446,EMS-000446,20230714,83,Direct Emissions,kg,274.889
447,EMS-000447,20210722,23,Purchased Energy,kg,834.692
448,EMS-000448,20190219,73,Direct Emissions,kg,954.888
449,EMS-000449,20220827,57,Transportation,kg,932.511
450,EMS-000450,20210925,10,Purchased Energy,kg,576.513
451,EMS-000451,20230719,11,Transportation,kg,317.875
452,EMS-000452,20251114,48,Direct Emissions,kg,757.015
453,EMS-000453,20230606,7,Purchased Energy,kg,842.099
454,EMS-000454,20220611,100,Direct Emissions,kg,1050.141
455,EMS-000455,20220528,86,Direct Emissions,kg,227.692
456,EMS-000456,20230925,89,Direct Emissions,kg,3004.504
457,EMS-000457,20221215,26,Transportation,kg,2659.232
458,EMS-000458,20200312,3,Purchased Energy,kg,422.667
459,EMS-000459,20221125,43,Direct Emissions,kg,1262.02
460,EMS-000460,20200901,38,Direct Emissions,kg,428.973
461,EMS-000461,20250817,63,Purchased Energy,kg,762.926
462,EMS-000462,20190831,100,Direct Emissions,kg,572.575
463,EMS-000463,20190109,39,Transportation,kg,568.954
464,EMS-000464,20220317,2,Direct Emissions,kg,311.256
465,EMS-000465,20190520,83,Direct Emissions,kg,1093.627
