customer_key,customer_id,account_key,customer_name,customer_segment,industry,country,status
73,CUS-000073,175,Bartlett-Sloan,SMB,Technology,Canada,Active
74,CUS-000074,782,Miller PLC,Enterprise,Technology,Mexico,Active
75,CUS-000075,144,Arnold-Gates,Enterprise,Manufacturing,Canada,Active
76,CUS-000076,378,"Ellis, Marks and Buchanan",Mid-Market,Healthcare,Sweden,Inactive
77,CUS-000077,330,"Matthews, Harrington and Rodriguez",Enterprise,Healthcare,United States,Active
78,CUS-000078,13,Hernandez PLC,Mid-Market,Healthcare,Sweden,Active
79,CUS-000079,808,"Chang, Ayers and Buckley",Mid-Market,Healthcare,Mexico,Active
80,CUS-000080,510,"Chan, Floyd and Dillon",Enterprise,Healthcare,Germany,Active
81,CUS-000081,317,Humphrey-Baker,Mid-Market,Technology,Sweden,Active
82,CUS-000082,508,"Washington, Lynch and Johnson",SMB,Automotive,Sweden,Active
83,CUS-000083,1,Powell-Montgomery,SMB,Manufacturing,Germany,Active
84,CUS-000084,437,"Steele, Williams and Preston",Enterprise,Automotive,Mexico,Active
85,CUS-000085,520,Vaughn-Williams,Enterprise,Manufacturing,Sweden,Active
86,CUS-000086,340,Mccall-Prince,Mid-Market,Manufacturing,Mexico,Active
87,CUS-000087,831,Morgan LLC,Mid-Market,Manufacturing,Canada,Active
88,CUS-000088,250,Ramirez-Vasquez,Mid-Market,Retail,Canada,Active
89,CUS-000089,138,"Cohen, Compton and Perez",Enterprise,Technology,United States,Active
90,CUS-000090,528,Mccann-Ramos,Enterprise,Manufacturing,Sweden,Active
91,CUS-000091,888,Adams-Butler,Enterprise,Healthcare,Canada,Active
92,CUS-000092,376,"Davis, Alexander and Mcintyre",SMB,Technology,United States,Inactive
93,CUS-000093,47,Figueroa-Malone,Mid-Market,Retail,Mexico,Inactive
94,CUS-000094,970,Nicholson-Robertson,Mid-Market,Manufacturing,United States,Inactive
95,CUS-000095,445,Jones Ltd,Mid-Market,Healthcare,Mexico,Inactive
96,CUS-000096,173,"Powell, Deleon and Warren",Enterprise,Automotive,Canada,Active
97,CUS-000097,616,"Johnson, Lee and Whitaker",Mid-Market,Manufacturing,Sweden,Active
98,CUS-000098,320,Wright Group,Mid-Market,Retail,Germany,Active
99,CUS-000099,938,Hull Ltd,Enterprise,Manufacturing,Germany,Active
100,CUS-000100,294,Hill Group,Mid-Market,Automotive,Canada,Active
101,CUS-000101,551,"Sanders, Leblanc and Maldonado",Enterprise,Healthcare,Germany,Active
102,CUS-000102,544,Watson PLC,Enterprise,Manufacturing,Mexico,Active
103,CUS-000103,243,Thompson-Harrell,Mid-Market,Retail,Canada,Active
104,CUS-000104,500,"Arnold, Cooper and Monroe",Enterprise,Technology,Germany,Active
105,CUS-000105,110,Curry-Barker,SMB,Automotive,Mexico,Active
106,CUS-000106,644,Johnson-Williams,Mid-Market,Automotive,Germany,Active
107,CUS-000107,759,"Chan, Lewis and Walker",Enterprise,Healthcare,Mexico,Active
108,CUS-000108,951,Byrd LLC,SMB,Healthcare,Sweden,Active
109,CUS-000109,326,"Ortiz, Smith and Deleon",Enterprise,Retail,Sweden,Active
110,CUS-000110,286,"Smith, Buck and Holland",Enterprise,Healthcare,Sweden,Active
111,CUS-000111,549,"Owen, Walker and Franklin",SMB,Healthcare,Sweden,Active
112,CUS-000112,693,Marquez-Fletcher,Mid-Market,Automotive,Sweden,Active
113,CUS-000113,993,Coleman-Bennett,Mid-Market,Technology,Canada,Inactive
114,CUS-000114,26,Stevens-Robinson,Enterprise,Automotive,Canada,Inactive
115,CUS-000115,239,Byrd-Holloway,Mid-Market,Healthcare,Mexico,Active
116,CUS-000116,263,Silva-Smith,Enterprise,Retail,Canada,Active
117,CUS-000117,256,"Levy, Franco and Hoffman",SMB,Retail,Sweden,Active
118,CUS-000118,464,"Lynch, Evans and Rodriguez",SMB,Technology,Canada,Active
119,CUS-000119,873,Rogers LLC,SMB,Technology,Canada,Active
120,CUS-000120,31,"Nguyen, Hill and Douglas",Mid-Market,Healthcare,Sweden,Active
121,CUS-000121,816,"Evans, Hernandez and Cannon",SMB,Retail,Sweden,Active
122,CUS-000122,618,Trujillo PLC,Enterprise,Automotive,Canada,Active
123,CUS-000123,616,Guerrero-Becker,Enterprise,Healthcare,Sweden,Active
124,CUS-000124,679,"Johnson, Jimenez and Phillips",Enterprise,Manufacturing,United States,Active
125,CUS-000125,116,Sullivan-Doyle,Mid-Market,Manufacturing,Canada,Active
126,CUS-000126,747,"Erickson, Armstrong and Lee",Mid-Market,Healthcare,Germany,Active
127,CUS-000127,249,"Reeves, Parks and Little",Enterprise,Automotive,Mexico,Active
128,CUS-000128,517,Knox-Powers,Mid-Market,Retail,Canada,Active
129,CUS-000129,677,"Evans, Jackson and Sandoval",SMB,Technology,Germany,Active
130,CUS-000130,604,"White, Davis and Anderson",Mid-Market,Automotive,Germany,Active
131,CUS-000131,324,Hardy-Hansen,SMB,Retail,Canada,Inactive
132,CUS-000132,397,Arroyo LLC,Mid-Market,Healthcare,Germany,Active
133,CUS-000133,477,"Davis, Kelly and Garner",SMB,Healthcare,Sweden,Active
134,CUS-000134,42,Fisher-Eaton,Mid-Market,Technology,Canada,Active
135,CUS-000135,727,Green-Carter,Mid-Market,Automotive,Canada,Active
136,CUS-000136,100,Ruiz Ltd,Enterprise,Technology,Mexico,Active
137,CUS-000137,459,"Carpenter, Oliver and Kennedy",SMB,Automotive,Sweden,Inactive
138,CUS-000138,655,Mason Ltd,Mid-Market,Healthcare,Germany,Active
139,CUS-000139,81,Moreno-Gutierrez,SMB,Manufacturing,Canada,Active
140,CUS-000140,996,Taylor and Sons,Enterprise,Technology,Germany,Active
141,CUS-000141,378,Ortiz-Hudson,Mid-Market,Healthcare,Mexico,Active
142,CUS-000142,16,Thomas-Huffman,SMB,Automotive,Sweden,Inactive
143,CUS-000143,659,Maxwell Group,Enterprise,Technology,Germany,Active
144,CUS-000144,558,Welch-Thompson,Enterprise,Manufacturing,Sweden,Active
145,CUS-000145,641,"Brown, Hayes and Clark",SMB,Automotive,United States,Active
146,CUS-000146,752,Johnston and Sons,Enterprise,Retail,United States,Inactive
147,CUS-000147,476,Glover-Chan,SMB,Healthcare,Sweden,Active
148,CUS-000148,827,Mendez Ltd,Mid-Market,Healthcare,Germany,Active
149,CUS-000149,371,Powell-Sanford,SMB,Manufacturing,Mexico,Inactive
150,CUS-000150,546,Smith-Ferguson,Mid-Market,Technology,Mexico,Active
151,CUS-000151,159,"Watson, Smith and Morris",Enterprise,Manufacturing,Mexico,Active
152,CUS-000152,620,"Lee, Rhodes and Sims",SMB,Technology,Mexico,Active
153,CUS-000153,262,Perez LLC,Mid-Market,Retail,Sweden,Active
154,CUS-000154,697,Anderson-Reyes,Mid-Market,Retail,United States,Active
155,CUS-000155,802,"Torres, Brown and Williams",SMB,Automotive,Sweden,Active
156,CUS-000156,859,Bryant-Meyer,Enterprise,Automotive,Canada,Active
157,CUS-000157,930,"Morgan, Barron and Cowan",Mid-Market,Retail,Mexico,Active
158,CUS-000158,123,Ferrell-Henry,Mid-Market,Automotive,Canada,Active
159,CUS-000159,138,Martin Group,Mid-Market,Technology,Mexico,Active
160,CUS-000160,927,Perez Ltd,SMB,Healthcare,Mexico,Active
161,CUS-000161,381,Clark Inc,Enterprise,Retail,Germany,Active
162,CUS-000162,27,"Wagner, Martinez and Dawson",SMB,Healthcare,Mexico,Active
163,CUS-000163,287,Brooks Ltd,Mid-Market,Manufacturing,Canada,Active
164,CUS-000164,837,Wise-Dean,Mid-Market,Healthcare,Germany,Active
165,CUS-000165,355,"Vang, Stanley and Valdez",SMB,Manufacturing,Mexico,Active
166,CUS-000166,77,Williams Inc,Mid-Market,Manufacturing,Sweden,Active
167,CUS-000167,723,Wallace-Martinez,Enterprise,Healthcare,United States,Active
168,CUS-000168,195,Wells-Hernandez,Enterprise,Retail,United States,Active
169,CUS-000169,353,"Jennings, Smith and Fisher",SMB,Manufacturing,Germany,Active
170,CUS-000170,4,Bates LLC,SMB,Manufacturing,Sweden,Active
171,CUS-000171,602,"Obrien, Taylor and Rivas",Enterprise,Healthcare,Germany,Active
172,CUS-000172,446,Hunt PLC,SMB,Retail,United States,Active
173,CUS-000173,868,Campbell Inc,Mid-Market,Automotive,United States,Active
174,CUS-000174,335,Gonzalez-Gonzalez,Enterprise,Automotive,United States,Active
175,CUS-000175,205,Decker-Dudley,SMB,Healthcare,Sweden,Inactive
176,CUS-000176,166,Warner-Phillips,Mid-Market,Technology,Canada,Active
177,CUS-000177,201,Kelley and Sons,Enterprise,Technology,Canada,Active
178,CUS-000178,452,"Fitzpatrick, Rivera and Smith",Mid-Market,Technology,Mexico,Active
179,CUS-000179,88,"Davis, Rodriguez and Andrews",SMB,Automotive,Mexico,Active
180,CUS-000180,403,Hernandez-Davis,Enterprise,Healthcare,United States,Active
181,CUS-000181,855,"Jones, Cummings and Conway",Mid-Market,Automotive,Mexico,Active
182,CUS-000182,768,"Hall, Hinton and Phillips",SMB,Manufacturing,Canada,Active
183,CUS-000183,638,Williams-Li,Mid-Market,Manufacturing,Sweden,Active
184,CUS-000184,894,Phelps LLC,Mid-Market,Retail,Sweden,Active
185,CUS-000185,781,"Edwards, Rodgers and Davis",SMB,Automotive,United States,Active
186,CUS-000186,653,Smith and Sons,Enterprise,Manufacturing,Canada,Active
187,CUS-000187,864,"Holland, Murphy and Kline",Enterprise,Healthcare,Canada,Active
188,CUS-000188,125,"Adams, Quinn and Watson",SMB,Manufacturing,United States,Active
189,CUS-000189,819,White-Morales,Enterprise,Technology,Canada,Active
190,CUS-000190,296,Nelson-Cruz,SMB,Retail,Germany,Active
191,CUS-000191,734,Marsh-Banks,Enterprise,Automotive,Sweden,Active
192,CUS-000192,914,Wilson Ltd,Enterprise,Automotive,United States,Active
193,CUS-000193,497,"Brown, Dunlap and Moore",Enterprise,Healthcare,Sweden,Active
194,CUS-000194,89,Pruitt-Webb,Mid-Market,Technology,Canada,Active
195,CUS-000195,371,"Gregory, White and James",SMB,Automotive,Germany,Active
196,CUS-000196,407,Carr-Huffman,SMB,Technology,Mexico,Active
197,CUS-000197,937,"Mcpherson, Anderson and Knapp",Enterprise,Technology,Germany,Active
198,CUS-000198,943,Clay Group,Mid-Market,Technology,Germany,Inactive
199,CUS-000199,569,Brown Ltd,SMB,Healthcare,Mexico,Active
200,CUS-000200,951,Smith-Oneill,SMB,Manufacturing,Sweden,Active
201,CUS-000201,437,"Saunders, Ray and Cunningham",Mid-Market,Automotive,Canada,Active
202,CUS-000202,412,"Marks, Stone and Watts",Enterprise,Retail,United States,Active
203,CUS-000203,837,"Davis, Stanley and Wright",Mid-Market,Healthcare,Germany,Active
204,CUS-000204,668,Alvarado-Davidson,SMB,Manufacturing,Sweden,Active
205,CUS-000205,523,Combs PLC,Enterprise,Retail,Germany,Active
206,CUS-000206,457,"Brown, Schneider and Moore",Mid-Market,Healthcare,United States,Active
207,CUS-000207,706,Christian-Booth,SMB,Manufacturing,United States,Active
208,CUS-000208,754,Walton LLC,Mid-Market,Retail,Mexico,Active
209,CUS-000209,491,Rivera LLC,Mid-Market,Retail,Canada,Active
210,CUS-000210,32,Hunter PLC,SMB,Retail,Sweden,Active
211,CUS-000211,102,"Gray, Montoya and Miller",Mid-Market,Healthcare,Mexico,Active
212,CUS-000212,145,Solis-West,Enterprise,Manufacturing,Sweden,Active
213,CUS-000213,463,West-Wilson,Mid-Market,Healthcare,United States,Active
214,CUS-000214,615,Mcgee-Smith,Enterprise,Manufacturing,Canada,Inactive
215,CUS-000215,804,Gutierrez-Hawkins,SMB,Healthcare,United States,Active
216,CUS-000216,233,Petersen PLC,Enterprise,Automotive,Germany,Active
217,CUS-000217,787,"Walsh, Wu and Hart",SMB,Retail,Mexico,Inactive
218,CUS-000218,667,"Powers, Clements and Cox",Enterprise,Automotive,United States,Active
219,CUS-000219,52,Velasquez Group,SMB,Technology,Germany,Active
220,CUS-000220,352,Castro-Harvey,Enterprise,Manufacturing,Canada,Active
221,CUS-000221,303,Moran-Cox,SMB,Retail,Germany,Active
222,CUS-000222,887,Wilson-Malone,Mid-Market,Technology,United States,Active
223,CUS-000223,922,Smith LLC,Enterprise,Automotive,Sweden,Active
224,CUS-000224,820,"Brandt, Carter and Boyd",Enterprise,Manufacturing,United States,Active
225,CUS-000225,529,"Rodriguez, Prince and Vasquez",Enterprise,Automotive,Germany,Active
226,CUS-000226,493,"Newton, Ortiz and King",Enterprise,Automotive,United States,Active
227,CUS-000227,312,Lopez Group,Mid-Market,Manufacturing,Canada,Active
228,CUS-000228,773,Bryant and Sons,Enterprise,Technology,Sweden,Inactive
229,CUS-000229,87,"Morgan, Sherman and Williams",SMB,Technology,Mexico,Inactive
230,CUS-000230,272,"Monroe, Chapman and Barton",SMB,Technology,Canada,Active
231,CUS-000231,136,Ellis-Lawrence,Mid-Market,Retail,Canada,Active
232,CUS-000232,495,"Taylor, Porter and Moreno",Enterprise,Automotive,Mexico,Active
233,CUS-000233,300,Tran Group,SMB,Technology,Mexico,Active
234,CUS-000234,198,"Webb, Romero and Morse",SMB,Technology,Germany,Active
235,CUS-000235,377,Holt and Sons,Enterprise,Healthcare,Germany,Active
236,CUS-000236,861,"Ochoa, Garcia and Sandoval",Enterprise,Manufacturing,Germany,Active
237,CUS-000237,559,"Andrade, Gordon and Cruz",Mid-Market,Technology,Mexico,Active
238,CUS-000238,824,"Moon, Farmer and Hill",Enterprise,Healthcare,Germany,Active
239,CUS-000239,914,Waller-Chavez,Mid-Market,Healthcare,Canada,Active
240,CUS-000240,903,Taylor PLC,Mid-Market,Technology,Germany,Active
241,CUS-000241,352,"Tanner, Hunt and Cameron",SMB,Automotive,Mexico,Active
242,CUS-000242,878,"Valencia, Joseph and Walls",Mid-Market,Retail,Canada,Active
243,CUS-000243,910,"Robinson, Clark and Klein",Mid-Market,Automotive,United States,Active
244,CUS-000244,960,"Reed, Chambers and Zavala",Mid-Market,Manufacturing,Germany,Active
245,CUS-000245,352,"Hester, Thompson and Daniels",SMB,Retail,Germany,Active
246,CUS-000246,229,"Morris, Wilson and Bell",SMB,Retail,United States,Active
247,CUS-000247,585,Aguilar-Bender,SMB,Automotive,Germany,Inactive
248,CUS-000248,932,"Butler, Adkins and Skinner",Enterprise,Healthcare,Germany,Active
249,CUS-000249,901,Rich-Henderson,Mid-Market,Automotive,Sweden,Active
250,CUS-000250,572,Mills Inc,Enterprise,Technology,Canada,Active
251,CUS-000251,150,Thomas-Santiago,Mid-Market,Healthcare,United States,Active
252,CUS-000252,423,Adams and Sons,SMB,Automotive,United States,Active
253,CUS-000253,715,Vega-Thomas,Enterprise,Healthcare,Germany,Active
254,CUS-000254,561,Vaughn LLC,Enterprise,Automotive,Sweden,Active
255,CUS-000255,346,Molina Inc,Mid-Market,Retail,Canada,Active
256,CUS-000256,343,Cervantes-Garcia,SMB,Healthcare,Sweden,Inactive
257,CUS-000257,60,"Stevenson, Hancock and Newton",SMB,Automotive,Germany,Inactive
258,CUS-000258,289,"Price, Dixon and Robles",Mid-Market,Automotive,United States,Active
259,CUS-000259,670,"Roberts, Beck and House",Mid-Market,Manufacturing,Germany,Active
260,CUS-000260,242,Butler-French,Enterprise,Automotive,Germany,Active
261,CUS-000261,994,"Edwards, Arnold and Smith",Mid-Market,Healthcare,United States,Active
262,CUS-000262,83,Harris-Melton,Enterprise,Manufacturing,Mexico,Active
263,CUS-000263,589,Greer-Pruitt,Enterprise,Technology,Canada,Active
264,CUS-000264,497,"Mckinney, Richardson and Chapman",Mid-Market,Automotive,Mexico,Active
265,CUS-000265,834,"Morrison, Parsons and Brandt",Enterprise,Automotive,Canada,Active
266,CUS-000266,888,Cole-Lucero,Mid-Market,Retail,,Active
267,CUS-000267,544,Lopez and Sons,SMB,Healthcare,United States,Active
268,CUS-000268,631,"Palmer, Bennett and Patterson",SMB,Healthcare,Canada,Active
269,CUS-000269,699,"Baker, Martin and Singleton",SMB,Healthcare,Sweden,Inactive
270,CUS-000270,521,Rivera Ltd,Enterprise,Manufacturing,Canada,Active
271,CUS-000271,185,Williams LLC,SMB,Technology,United States,Inactive
272,CUS-000272,429,"Williams, Randolph and Gilbert",SMB,Retail,Germany,Active
273,CUS-000273,242,"Turner, Tyler and Pierce",Mid-Market,Technology,Sweden,Active
274,CUS-000274,465,Bowers LLC,Enterprise,Healthcare,Mexico,Active
275,CUS-000275,616,"Robinson, White and Jones",SMB,Manufacturing,Germany,Active
276,CUS-000276,210,"Moore, Daniels and Powell",Enterprise,Retail,Canada,Active
277,CUS-000277,250,Walker-Lewis,Mid-Market,Technology,Mexico,Active
278,CUS-000278,823,Rivera-Carter,Mid-Market,Healthcare,Sweden,Active
279,CUS-000279,378,"Moreno, Barajas and Colon",SMB,Healthcare,Mexico,Active
280,CUS-000280,199,"Smith, Caldwell and Griffin",SMB,Technology,Sweden,Active
281,CUS-000281,714,"Austin, Oliver and Haley",SMB,Retail,Canada,Active
282,CUS-000282,717,"Blackwell, James and Hogan",Mid-Market,Automotive,United States,Active
283,CUS-000283,827,Cruz PLC,Enterprise,Manufacturing,Sweden,Active
284,CUS-000284,760,"Campbell, Pruitt and Short",SMB,Technology,United States,Active
285,CUS-000285,992,Robertson-Hicks,SMB,Healthcare,Mexico,Active
286,CUS-000286,575,Williams-Villanueva,Mid-Market,Technology,United States,Active
287,CUS-000287,287,Flores Inc,Mid-Market,Healthcare,Canada,Active
288,CUS-000288,863,Jackson PLC,SMB,Automotive,Germany,Inactive
289,CUS-000289,265,"Smith, Jones and Santiago",Enterprise,Manufacturing,Mexico,Active
290,CUS-000290,292,Hancock Group,SMB,Technology,Canada,Active
291,CUS-000291,829,Harris Ltd,Mid-Market,Technology,Canada,Inactive
292,CUS-000292,882,"Rowe, Lucas and Case",SMB,Retail,Canada,Active
293,CUS-000293,340,"Parks, Johnson and Love",Enterprise,Automotive,United States,Inactive
294,CUS-000294,730,Miller Inc,Mid-Market,Technology,Mexico,Active
295,CUS-000295,923,Bauer PLC,Enterprise,Technology,Germany,Active
296,CUS-000296,799,Andrews and Sons,Mid-Market,Healthcare,Canada,Active
297,CUS-000297,5,Russell-Hayes,Mid-Market,Retail,Sweden,Active
298,CUS-000298,665,Hamilton-Smith,SMB,Technology,Canada,Active
299,CUS-000299,170,"Wilson, Smith and Cortez",SMB,Technology,Mexico,Active
300,CUS-000300,847,Avila PLC,Mid-Market,Automotive,Sweden,Active
301,CUS-000301,68,Haynes Inc,Mid-Market,Automotive,United States,Active
302,CUS-000302,994,Reilly-Rodriguez,Mid-Market,Healthcare,Mexico,Active
303,CUS-000303,178,"Turner, Miller and Hubbard",Mid-Market,Manufacturing,Canada,Active
304,CUS-000304,421,James-Short,SMB,Manufacturing,Sweden,Active
305,CUS-000305,235,Wells PLC,Mid-Market,Retail,United States,Active
306,CUS-000306,814,Taylor Group,Mid-Market,Technology,Sweden,Active
307,CUS-000307,394,"Phillips, Walters and Evans",Enterprise,Technology,Mexico,Active
308,CUS-000308,745,"Wong, Bernard and Smith",Mid-Market,Manufacturing,Canada,Active
309,CUS-000309,68,"Thomas, Williams and Armstrong",Mid-Market,Automotive,Canada,Active
310,CUS-000310,453,Medina-Arroyo,SMB,Automotive,United States,Active
311,CUS-000311,912,Clark-Figueroa,Enterprise,Technology,United States,Active
312,CUS-000312,927,"Cooper, Gutierrez and Brewer",Mid-Market,Technology,Mexico,Active
313,CUS-000313,209,"Thomas, White and Jensen",Mid-Market,Technology,Germany,Active
314,CUS-000314,395,Lee-White,Mid-Market,Retail,Mexico,Active
315,CUS-000315,410,"Phelps, York and Randolph",Enterprise,Manufacturing,United States,Inactive
316,CUS-000316,566,"Murray, Dunn and Roberts",Enterprise,Healthcare,Canada,Active
317,CUS-000317,538,King and Sons,Mid-Market,Technology,Sweden,Active
318,CUS-000318,106,"Carpenter, Lynn and Howard",SMB,Automotive,Mexico,Inactive
319,CUS-000319,763,"Rios, Garcia and Harvey",Enterprise,Automotive,Sweden,Inactive
320,CUS-000320,226,Stewart Group,Mid-Market,Retail,Canada,Active
321,CUS-000321,315,Jensen-Torres,SMB,Automotive,United States,Active
322,CUS-000322,841,"Hernandez, Knight and Aguirre",SMB,Technology,United States,Active
323,CUS-000323,690,Jackson-Edwards,SMB,Retail,Mexico,Active
324,CUS-000324,397,Joseph Ltd,Enterprise,Technology,Sweden,Inactive
325,CUS-000325,913,Hill-Ward,Enterprise,Healthcare,Sweden,Active
326,CUS-000326,395,"Quinn, Humphrey and Ford",SMB,Retail,Germany,Active
327,CUS-000327,566,Hampton-Tucker,SMB,Retail,Germany,Active
328,CUS-000328,246,Thompson PLC,Mid-Market,Healthcare,United States,Active
329,CUS-000329,184,Wilkinson and Sons,SMB,Automotive,Canada,Active
330,CUS-000330,492,"Gonzalez, Gross and Sims",Mid-Market,Retail,Germany,Active
331,CUS-000331,564,"Jones, Smith and Hunter",SMB,Technology,Germany,Active
332,CUS-000332,806,Hess PLC,SMB,Technology,Germany,Active
333,CUS-000333,391,Hammond-Lewis,SMB,Manufacturing,Canada,Active
334,CUS-000334,896,Arnold PLC,Mid-Market,Healthcare,Canada,Active
335,CUS-000335,608,"Kennedy, Rowe and Diaz",Enterprise,Technology,United States,Active
336,CUS-000336,71,Vance PLC,SMB,Retail,United States,Active
337,CUS-000337,740,"Vincent, Anderson and Mason",Mid-Market,Automotive,Mexico,Active
338,CUS-000338,575,Sanders PLC,Mid-Market,Retail,Mexico,Active
339,CUS-000339,390,Bates PLC,Mid-Market,Technology,Sweden,Active
340,CUS-000340,468,"Martin, Palmer and Griffin",Enterprise,Manufacturing,Mexico,Active
341,CUS-000341,302,Knight PLC,Mid-Market,Automotive,Sweden,Active
342,CUS-000342,615,"Brennan, Thomas and Dennis",Mid-Market,Technology,Mexico,Inactive
343,CUS-000343,567,Williams-Juarez,Mid-Market,Healthcare,Germany,Active
