waste_key,waste_id,date_key,location_key,waste_category,disposal_method,unit_of_measure,waste_quantity
72,WST-000072,20221020,22,General,Reuse,kg,772.516
73,WST-000073,20250722,80,General,Treatment,kg,132.643
74,WST-000074,20221109,97,Metal,Treatment,kg,638.914
75,WST-000075,20231127,62,Paper,Treatment,kg,747.934
76,WST-000076,20230208,44,General,Treatment,kg,708.819
77,WST-000077,20250807,20,Plastic,Reuse,kg,491.608
78,WST-000078,20190929,44,Paper,Treatment,kg,932.144
79,WST-000079,20220223,4,Plastic,Reuse,kg,747.235
80,WST-000080,20220803,3,General,Recycling,kg,917.799
81,WST-000081,20241029,7,General,Recycling,kg,478.57
82,WST-000082,20251227,91,Metal,Recycling,kg,618.607
83,WST-000083,20220123,38,Chemical,Reuse,kg,421.967
84,WST-000084,20250404,100,General,Landfill,kg,620.208
85,WST-000085,20240118,92,Metal,Landfill,kg,65.006
86,WST-000086,20220728,50,Plastic,Recycling,kg,909.14
87,WST-000087,20230822,1,Paper,Treatment,kg,658.327
88,WST-000088,20210721,20,General,Recycling,kg,329.108
89,WST-000089,20230318,3,Metal,Recycling,kg,729.819
90,WST-000090,20190510,28,Plastic,Treatment,kg,240.523
91,WST-000091,20240816,67,Plastic,Landfill,kg,834.304
92,WST-000092,20220818,43,Plastic,Reuse,kg,207.101
93,WST-000093,20250718,68,Paper,Landfill,kg,55.121
94,WST-000094,20250123,64,Plastic,Treatment,kg,522.041
95,WST-000095,20240714,69,Metal,Reuse,kg,569.932
96,WST-000096,20220112,27,General,Landfill,kg,607.522
97,WST-000097,20191112,30,Chemical,Treatment,kg,954.432
98,WST-000098,20251126,16,General,Reuse,kg,343.942
99,WST-000099,20240327,33,Paper,Recycling,kg,148.922
100,WST-000100,20210611,85,Plastic,Landfill,kg,592.791
101,WST-000101,20190610,5,Chemical,Landfill,kg,518.202
102,WST-000102,20221010,97,Plastic,Treatment,kg,454.258
103,WST-000103,20191031,11,Chemical,Treatment,kg,890.973
104,WST-000104,20230326,13,Paper,Reuse,kg,118.12
105,WST-000105,20210530,12,Plastic,Treatment,kg,824.832
106,WST-000106,20220114,41,Chemical,Recycling,kg,143.652
107,WST-000107,20220128,51,General,Landfill,kg,91.246
108,WST-000108,20221224,63,Chemical,Landfill,kg,39.475
109,WST-000109,20240829,71,Metal,Landfill,kg,563.51
110,WST-000110,20230322,93,Chemical,Reuse,kg,785.121
111,WST-000111,20250906,96,Metal,Reuse,kg,533.317
112,WST-000112,20200131,65,Paper,Reuse,kg,929.612
113,WST-000113,20191104,97,Paper,Reuse,kg,905.816
114,WST-000114,20190616,84,Metal,Reuse,kg,910.312
115,WST-000115,20190725,75,General,Recycling,kg,422.822
116,WST-000116,20240420,34,Chemical,Landfill,kg,272.447
117,WST-000117,20230628,58,General,Treatment,kg,286.809
118,WST-000118,20251017,8,Chemical,Landfill,kg,1.848
119,WST-000119,20221204,55,General,Reuse,kg,434.854
120,WST-000120,20240104,57,Plastic,Reuse,kg,908.005
121,WST-000121,20240308,97,Plastic,Treatment,kg,320.407
122,WST-000122,20201014,35,Metal,Reuse,kg,337.866
123,WST-000123,20231104,84,Metal,Treatment,kg,381.492
124,WST-000124,20190311,21,Chemical,Reuse,kg,303.599
125,WST-000125,20241114,13,Metal,Landfill,kg,188.835
126,WST-000126,20190629,2,General,Treatment,kg,976.119
127,WST-000127,20200210,23,Metal,Landfill,kg,48.125
128,WST-000128,20240530,27,Chemical,Landfill,kg,829.193
129,WST-000129,20250103,100,General,Treatment,kg,385.754
130,WST-000130,20230913,52,General,Reuse,kg,660.013
131,WST-000131,20230719,94,General,Treatment,kg,659.054
132,WST-000132,20230529,17,Plastic,Reuse,kg,315.702
133,WST-000133,20240614,79,Plastic,Reuse,kg,842.612
134,WST-000134,20240329,60,Paper,Reuse,kg,3.955
135,WST-000135,20230520,91,Paper,Treatment,kg,454.887
136,WST-000136,20220904,25,General,Reuse,kg,632.021
137,WST-000137,20230208,71,Chemical,Landfill,kg,818.763
138,WST-000138,20190430,70,Paper,Reuse,kg,348.675
139,WST-000139,20241117,71,General,Landfill,kg,646.044
140,WST-000140,20230915,91,Plastic,Treatment,kg,534.474
141,WST-000141,20211121,92,Metal,Reuse,kg,656.265
142,WST-000142,20210613,73,General,Treatment,kg,500.584
143,WST-000143,20220717,4,Chemical,Recycling,kg,361.782
144,WST-000144,20190305,50,Metal,Reuse,kg,711.211
145,WST-000145,20200824,65,Paper,Reuse,kg,788.561
146,WST-000146,20200901,89,Chemical,Treatment,kg,109.945
147,WST-000147,20220603,7,General,Reuse,kg,813.376
148,WST-000148,20200604,22,Metal,Reuse,kg,552.931
149,WST-000149,20211120,21,Plastic,Reuse,kg,39.107
150,WST-000150,20250410,90,Paper,Reuse,kg,302.803
151,WST-000151,20200103,15,Chemical,Reuse,kg,381.173
152,WST-000152,20231206,93,General,Reuse,kg,120.53
153,WST-000153,20230421,55,General,Treatment,kg,570.772
154,WST-000154,20200126,58,Plastic,Treatment,kg,277.707
155,WST-000155,20190608,20,Paper,Recycling,kg,164.701
156,WST-000156,20220720,29,Plastic,Recycling,kg,837.374
157,WST-000157,20240706,60,Chemical,Reuse,kg,533.857
158,WST-000158,20200713,55,Plastic,Reuse,kg,955.359
159,WST-000159,20210213,1,Paper,Landfill,kg,167.532
160,WST-000160,20210606,93,Chemical,Treatment,kg,659.117
161,WST-000161,20250204,18,Metal,Landfill,kg,968.864
162,WST-000162,20190214,12,General,Treatment,kg,999.319
163,WST-000163,20220125,37,Metal,Treatment,kg,958.559
164,WST-000164,20230420,49,Paper,Recycling,kg,578.015
165,WST-000165,20241207,1,General,Landfill,kg,269.234
166,WST-000166,20200327,98,Chemical,Treatment,kg,584.885
167,WST-000167,20220605,61,Metal,Reuse,kg,846.582
168,WST-000168,20210530,78,Metal,Reuse,kg,567.725
169,WST-000169,20201015,92,Plastic,Recycling,kg,983.061
170,WST-000170,20200221,54,Paper,Treatment,kg,882.602
171,WST-000171,20250601,91,Metal,Treatment,kg,842.921
172,WST-000172,20190526,54,Plastic,Recycling,kg,74.268
173,WST-000173,20250707,28,Metal,Recycling,kg,243.55
174,WST-000174,20230622,13,Metal,Landfill,kg,33.966
175,WST-000175,20230627,52,Paper,Landfill,kg,549.52
176,WST-000176,20200823,35,Metal,Treatment,kg,528.531
177,WST-000177,20230905,57,Metal,Landfill,kg,71.939
178,WST-000178,20241030,72,General,Treatment,kg,265.257
179,WST-000179,20230310,8,Paper,Recycling,kg,836.069
180,WST-000180,20250910,95,Paper,Landfill,kg,541.487
181,WST-000181,20210325,4,Chemical,Landfill,kg,811.175
182,WST-000182,20220123,82,Metal,Landfill,kg,852.877
183,WST-000183,20210109,66,Paper,Landfill,kg,464.989
184,WST-000184,20230812,13,Paper,Landfill,kg,832.503
185,WST-000185,20201124,32,Chemical,Reuse,kg,843.553
186,WST-000186,20190630,14,Chemical,Recycling,kg,663.528
187,WST-000187,20250411,5,Plastic,Recycling,kg,934.76
188,WST-000188,20200708,11,Chemical,Reuse,kg,313.749
189,WST-000189,20250123,47,General,Recycling,kg,327.217
190,WST-000190,20230712,78,Plastic,Recycling,kg,881.521
191,WST-000191,20200303,52,General,Reuse,kg,714.295
192,WST-000192,20210123,26,General,Recycling,kg,266.326
193,WST-000193,20250819,99,Paper,Reuse,kg,889.153
194,WST-000194,20210709,31,Plastic,Recycling,kg,959.555
195,WST-000195,20230808,23,Metal,Treatment,kg,443.641
196,WST-000196,20200707,61,Plastic,Reuse,kg,255.096
197,WST-000197,20230327,42,Metal,Landfill,kg,734.204
198,WST-000198,20220315,58,Chemical,Treatment,kg,266.136
199,WST-000199,20220825,81,General,Treatment,kg,393.471
200,WST-000200,20220502,1,Paper,Landfill,kg,432.412
201,WST-000201,20210515,68,Metal,Treatment,kg,615.273
202,WST-000202,20220204,49,Paper,Recycling,kg,942.937
203,WST-000203,20240812,27,Metal,Reuse,kg,908.379
204,WST-000204,20250826,16,Plastic,Reuse,kg,380.539
205,WST-000205,20190317,75,Plastic,Recycling,kg,262.726
206,WST-000206,20241017,22,General,Treatment,kg,532.745
207,WST-000207,20230315,63,Metal,Landfill,kg,434.562
208,WST-000208,20220412,74,Plastic,Treatment,kg,907.052
209,WST-000209,20240923,89,Metal,Recycling,kg,336.668
210,WST-000210,20240416,59,Metal,Reuse,kg,630.87
211,WST-000211,20210226,75,Metal,Reuse,kg,540.921
212,WST-000212,20211218,27,General,Reuse,kg,88.914
213,WST-000213,20200730,58,Paper,Treatment,kg,595.29
214,WST-000214,20230915,93,Chemical,Reuse,kg,690.185
215,WST-000215,20191204,34,General,Landfill,kg,119.921
216,WST-000216,20240129,84,Metal,Recycling,kg,466.148
217,WST-000217,20190326,47,General,Treatment,kg,573.53
218,WST-000218,20220127,14,Metal,Landfill,kg,134.036
219,WST-000219,20191222,34,Paper,Landfill,kg,663.288
220,WST-000220,20251005,98,Chemical,Recycling,kg,13.369
221,WST-000221,20190917,78,General,Reuse,kg,407.408
222,WST-000222,20190618,51,Paper,Landfill,kg,640.636
223,WST-000223,20200108,61,Metal,Landfill,kg,254.489
224,WST-000224,20210711,89,Metal,Treatment,kg,451.058
225,WST-000225,20221005,48,Paper,Recycling,kg,472.73
226,WST-000226,20230228,62,Metal,Landfill,kg,188.921
227,WST-000227,20220322,99,Metal,Recycling,kg,341.076
228,WST-000228,20190317,56,General,Recycling,kg,515.719
229,WST-000229,20240623,40,Metal,Landfill,kg,714.537
230,WST-000230,20200825,47,Chemical,Recycling,kg,599.89
231,WST-000231,20230821,32,Chemical,Recycling,kg,455.42
232,WST-000232,20250624,25,Metal,Reuse,kg,964.014
233,WST-000233,20240113,63,General,Reuse,kg,324.141
234,WST-000234,20250401,18,Plastic,Landfill,kg,65.469
235,WST-000235,20251229,88,Plastic,Reuse,kg,477.434
236,WST-000236,20200513,32,Metal,Treatment,kg,965.854
237,WST-000237,20210220,27,Chemical,Reuse,kg,700.108
238,WST-000238,20251219,82,Plastic,Treatment,kg,13.756
239,WST-000239,20250520,35,General,Recycling,kg,702.57
240,WST-000240,20220416,72,Chemical,Reuse,kg,407.76
241,WST-000241,20241123,17,Paper,Treatment,kg,835.907
242,WST-000242,20230530,11,Metal,Reuse,kg,434.81
243,WST-000243,20210307,84,Metal,Treatment,kg,681.853
244,WST-000244,20200901,33,Chemical,Recycling,kg,445.129
245,WST-000245,20200831,26,Chemical,Treatment,kg,959.631
246,WST-000246,20200320,48,Chemical,Reuse,kg,394.577
247,WST-000247,20230905,23,Paper,Recycling,kg,501.371
248,WST-000248,20250907,55,Metal,Reuse,kg,137.985
249,WST-000249,20190129,91,Chemical,Treatment,kg,588.791
250,WST-000250,20190925,18,General,Treatment,kg,765.888
251,WST-000251,20251127,66,Plastic,Treatment,kg,848.446
252,WST-000252,20190505,62,Paper,Treatment,kg,65.956
253,WST-000253,20231119,97,Plastic,Recycling,kg,26.199
254,WST-000254,20220716,93,Chemical,Treatment,kg,905.235
255,WST-000255,20190124,6,Plastic,Recycling,kg,528.749
256,WST-000256,20220101,49,Paper,Landfill,kg,593.034
257,WST-000257,20190323,51,Plastic,Recycling,kg,854.6
258,WST-000258,20220326,67,General,Landfill,kg,332.483
259,WST-000259,20220530,88,Metal,Recycling,kg,147.289
260,WST-000260,20231211,65,Chemical,Reuse,kg,28.997
261,WST-000261,20190811,18,Plastic,Treatment,kg,90.887
262,WST-000262,20190723,69,General,Recycling,kg,606.33
263,WST-000263,20240109,14,Chemical,Treatment,kg,273.885
264,WST-000264,20230619,85,Chemical,Recycling,kg,729.129
265,WST-000265,20210517,3,Paper,Recycling,kg,613.369
266,WST-000266,20200628,86,General,Recycling,kg,604.422
267,WST-000267,20250424,62,General,Treatment,kg,2.112
268,WST-000268,20210627,42,Metal,Reuse,kg,89.944
269,WST-000269,20220903,55,Chemical,Treatment,kg,810.362
270,WST-000270,20230125,81,Paper,Reuse,kg,98.42
271,WST-000271,20210704,27,Chemical,Recycling,kg,367.113
272,WST-000272,20231122,83,Paper,Landfill,kg,357.424
273,WST-000273,20221031,8,Paper,Reuse,kg,867.309
274,WST-000274,20200924,44,Paper,Recycling,kg,876.825
275,WST-000275,20251226,2,Plastic,Reuse,kg,518.561
277,WST-000277,20210626,39,General,Reuse,kg,882.828
278,WST-000278,20250918,60,Paper,Treatment,kg,992.255
279,WST-000279,20200509,7,Paper,Reuse,kg,712.973
280,WST-000280,20200521,66,Paper,Landfill,kg,526.927
281,WST-000281,20210624,51,Chemical,Landfill,kg,400.442
282,WST-000282,20210111,71,Metal,Landfill,kg,99.863
283,WST-000283,20200225,56,General,Landfill,kg,627.024
284,WST-000284,20240812,50,Paper,Reuse,kg,173.454
285,WST-000285,20240628,24,Paper,Landfill,kg,369.755
286,WST-000286,20230519,41,Metal,Reuse,kg,311.887
287,WST-000287,20250427,50,Metal,Landfill,kg,151.172
288,WST-000288,20230824,83,Chemical,Landfill,kg,837.837
289,WST-000289,20250322,79,Paper,Landfill,kg,353.094
290,WST-000290,20230304,84,General,Landfill,kg,253.337
291,WST-000291,20190906,73,General,Recycling,kg,31.854
292,WST-000292,20190202,21,General,Recycling,kg,324.359
293,WST-000293,20191108,4,Metal,Reuse,kg,964.303
294,WST-000294,20250712,4,Paper,Treatment,kg,814.689
295,WST-000295,20210330,50,Paper,Recycling,kg,324.958
296,WST-000296,20210622,65,Metal,Landfill,kg,943.425
297,WST-000297,20210106,70,Plastic,Reuse,kg,689.513
298,WST-000298,20211129,34,Chemical,Treatment,kg,323.74
299,WST-000299,20191011,89,Chemical,Treatment,kg,531.461
300,WST-000300,20210326,29,Plastic,Treatment,kg,677.841
301,WST-000301,20240729,20,Chemical,Recycling,kg,905.731
302,WST-000302,20200427,87,Paper,Reuse,kg,726.422
303,WST-000303,20190312,60,General,Recycling,kg,363.066
304,WST-000304,20210102,57,Plastic,Treatment,kg,64.143
305,WST-000305,20230804,80,Plastic,Landfill,kg,78.726
306,WST-000306,20240105,88,Paper,Treatment,kg,181.611
307,WST-000307,20201011,35,Paper,Landfill,kg,821.75
308,WST-000308,20251125,82,Paper,Landfill,kg,133.946
309,WST-000309,20201003,73,Paper,Recycling,kg,111.401
310,WST-000310,20190727,100,Plastic,Recycling,kg,460.247
311,WST-000311,20251114,10,Paper,Treatment,kg,38.014
312,WST-000312,20250521,32,Paper,Landfill,kg,209.824
313,WST-000313,20241121,69,Paper,Landfill,kg,520.861
314,WST-000314,20230926,33,Plastic,Treatment,kg,592.557
315,WST-000315,20201222,30,Chemical,Reuse,kg,61.822
316,WST-000316,20210905,92,Metal,Reuse,kg,367.367
317,WST-000317,20211209,66,Chemical,Treatment,kg,326.952
318,WST-000318,20250309,94,Metal,Treatment,kg,50.392
319,WST-000319,20200604,45,Chemical,Recycling,kg,219.242
320,WST-000320,20200624,31,Chemical,Recycling,kg,649.793
321,WST-000321,20200810,3,General,Treatment,kg,288.222
322,WST-000322,20250428,58,Chemical,Recycling,kg,344.93
323,WST-000323,20190226,38,Plastic,Reuse,kg,868.371
324,WST-000324,20210927,7,Plastic,Reuse,kg,17.227
325,WST-000325,20191005,80,Paper,Treatment,kg,841.76
326,WST-000326,20220223,2,Plastic,Reuse,kg,973.684
327,WST-000327,20210510,63,General,Treatment,kg,957.475
328,WST-000328,20250201,97,General,Treatment,kg,916.473
329,WST-000329,20220814,44,General,Treatment,kg,741.179
330,WST-000330,20210211,59,Paper,Treatment,kg,368.09
331,WST-000331,20240220,85,Chemical,Treatment,kg,301.046
332,WST-000332,20220802,75,Paper,Treatment,kg,270.081
333,WST-000333,20231106,5,General,Recycling,kg,194.048
334,WST-000334,20191124,55,Metal,Landfill,kg,422.028
335,WST-000335,20220806,67,Metal,Landfill,kg,576.079
336,WST-000336,20230819,42,Chemical,Recycling,kg,388.851
337,WST-000337,20211231,3,Plastic,Reuse,kg,425.452
338,WST-000338,20201020,6,Paper,Recycling,kg,873.178
339,WST-000339,20211105,45,Metal,Reuse,kg,598.316
340,WST-000340,20210524,63,Paper,Reuse,kg,790.248
341,WST-000341,20210211,68,Metal,Reuse,kg,541.495
342,WST-000342,20200717,67,Paper,Landfill,kg,688.443
343,WST-000343,20191101,97,Paper,Landfill,kg,387.977
344,WST-000344,20210614,69,Paper,Reuse,kg,700.113
345,WST-000345,20250420,50,Paper,Landfill,kg,713.368
346,WST-000346,20250428,50,Metal,Landfill,kg,601.037
347,WST-000347,20230221,22,Plastic,Treatment,kg,509.014
348,WST-000348,20211104,63,Plastic,Treatment,kg,243.112
349,WST-000349,20250504,10,Paper,Treatment,kg,400.137
350,WST-000350,20240407,81,Plastic,Treatment,kg,776.86
351,WST-000351,20190103,100,Plastic,Reuse,kg,198.82
352,WST-000352,20251125,88,Plastic,Recycling,kg,954.933
353,WST-000353,20200415,21,Paper,Recycling,kg,560.48
354,WST-000354,20191007,50,Metal,Landfill,kg,514.245
355,WST-000355,20240607,27,Paper,Recycling,kg,83.699
356,WST-000356,20250224,51,General,Recycling,kg,48.313
357,WST-000357,20200623,63,Chemical,Recycling,kg,280.144
358,WST-000358,20190721,94,Plastic,Reuse,kg,379.92
359,WST-000359,20210423,86,General,Landfill,kg,927.989
360,WST-000360,20240705,28,Chemical,Landfill,kg,894.387
361,WST-000361,20210802,2,Chemical,Treatment,kg,446.561
362,WST-000362,20240807,15,Chemical,Landfill,kg,589.636
363,WST-000363,20240225,78,Metal,Reuse,kg,560.783
364,WST-000364,20220729,49,General,Landfill,kg,106.423
365,WST-000365,20230208,74,Plastic,Landfill,kg,507.967
366,WST-000366,20240216,65,Chemical,Recycling,kg,711.745
367,WST-000367,20201112,5,Chemical,Treatment,kg,542.321
368,WST-000368,20230407,44,General,Recycling,kg,917.595
369,WST-000369,20200709,83,Paper,Treatment,kg,413.0
370,WST-000370,20210215,32,Metal,Recycling,kg,99.399
371,WST-000371,20231206,51,Plastic,Treatment,kg,786.455
372,WST-000372,20200920,38,Paper,Reuse,kg,486.62
373,WST-000373,20240828,39,Paper,Treatment,kg,245.063
374,WST-000374,20211101,81,Chemical,Recycling,kg,99.76
375,WST-000375,20220614,85,Paper,Recycling,kg,662.991
376,WST-000376,20190505,29,Paper,Landfill,kg,898.823
377,WST-000377,20240305,62,Chemical,Treatment,kg,999.669
378,WST-000378,20200219,42,General,Landfill,kg,191.4
379,WST-000379,20241216,48,General,Landfill,kg,740.937
380,WST-000380,20251216,43,General,Treatment,kg,324.857
381,WST-000381,20250131,100,Chemical,Treatment,kg,526.511
382,WST-000382,20191014,41,Plastic,Landfill,kg,984.84
383,WST-000383,20251110,60,General,Treatment,kg,462.451
384,WST-000384,20241002,20,Plastic,Landfill,kg,988.461
385,WST-000385,20250602,99,Metal,Recycling,kg,393.331
386,WST-000386,20210617,87,Paper,Treatment,kg,374.097
387,WST-000387,20240620,59,Chemical,Landfill,kg,123.572
388,WST-000388,20200730,7,General,Treatment,kg,692.639
389,WST-000389,20251005,96,Plastic,Recycling,kg,814.337
390,WST-000390,20190820,9,Metal,Treatment,kg,463.313
391,WST-000391,20190707,87,Plastic,Reuse,kg,60.824
392,WST-000392,20250825,32,General,Landfill,kg,775.366
393,WST-000393,20190202,15,General,Landfill,kg,734.221
394,WST-000394,20220507,75,Chemical,Recycling,kg,824.656
395,WST-000395,20190524,12,Chemical,Treatment,kg,37.679
396,WST-000396,20220803,49,Metal,Recycling,kg,38.59
397,WST-000397,20240226,29,Metal,Recycling,kg,498.672
398,WST-000398,20240125,97,Metal,Treatment,kg,327.728
400,WST-000400,20200413,1,Chemical,Reuse,kg,398.044
401,WST-000401,20210210,93,Chemical,Landfill,kg,98.815
402,WST-000402,20200323,9,General,Landfill,kg,80.388
403,WST-000403,20200303,6,Plastic,Landfill,kg,794.861
404,WST-000404,20250429,25,Chemical,Reuse,kg,920.695
405,WST-000405,20200714,65,Metal,Reuse,kg,708.044
406,WST-000406,20231225,68,Metal,Treatment,kg,996.664
407,WST-000407,20200719,76,Plastic,Treatment,kg,353.174
408,WST-000408,20200528,70,Paper,Recycling,kg,587.602
409,WST-000409,20210628,35,Plastic,Reuse,kg,433.954
410,WST-000410,20200521,8,General,Recycling,kg,519.757
411,WST-000411,20230315,66,Chemical,Landfill,kg,768.727
412,WST-000412,20220504,3,Plastic,Reuse,kg,533.14
413,WST-000413,20220208,20,Paper,Reuse,kg,722.259
414,WST-000414,20220501,93,Chemical,Recycling,kg,916.43
415,WST-000415,20211005,40,Paper,Landfill,kg,430.598
416,WST-000416,20200615,28,Plastic,Recycling,kg,936.14
417,WST-000417,20200901,67,Plastic,Landfill,kg,44.317
418,WST-000418,20230427,51,Chemical,Reuse,kg,120.263
419,WST-000419,20200626,50,Metal,Landfill,kg,34.68
420,WST-000420,20200211,45,Metal,Recycling,kg,949.494
421,WST-000421,20220913,7,Metal,Treatment,kg,610.057
422,WST-000422,20230714,60,Metal,Treatment,kg,11.157
423,WST-000423,20231125,58,Plastic,Reuse,kg,923.489
424,WST-000424,20250127,78,General,Treatment,kg,366.738
425,WST-000425,20250910,16,General,Recycling,kg,132.535
426,WST-000426,20231029,19,Chemical,Recycling,kg,272.117
427,WST-000427,20220209,33,Chemical,Treatment,kg,966.693
428,WST-000428,20210222,36,General,Recycling,kg,352.217
429,WST-000429,20250610,2,General,Recycling,kg,783.181
430,WST-000430,20211123,57,Metal,Reuse,kg,662.132
431,WST-000431,20240119,26,Paper,Landfill,kg,847.468
432,WST-000432,20191126,98,Paper,Recycling,kg,652.927
433,WST-000433,20190309,16,Paper,Recycling,kg,675.19
434,WST-000434,20190612,55,General,Treatment,kg,970.123
435,WST-000435,20190425,28,Paper,Landfill,kg,775.745
436,WST-000436,20251207,57,General,Reuse,kg,667.291
437,WST-000437,20190523,80,Paper,Recycling,kg,486.154
438,WST-000438,20221103,97,Paper,Reuse,kg,694.261
439,WST-000439,20230306,90,Metal,Reuse,kg,992.606
440,WST-000440,20230926,36,Paper,Treatment,kg,418.048
441,WST-000441,20241028,5,Metal,Treatment,kg,405.293
442,WST-000442,20230814,28,Paper,Reuse,kg,823.417
443,WST-000443,20210625,41,Plastic,Reuse,kg,134.145
444,WST-000444,20220409,71,Metal,Treatment,kg,688.812
445,WST-000445,20191204,86,Metal,Treatment,kg,709.151
446,WST-000446,20251210,70,General,Reuse,kg,708.761
447,WST-000447,20250211,98,Paper,Treatment,kg,523.355
448,WST-000448,20250812,46,Metal,Treatment,kg,298.362
449,WST-000449,20220214,71,Paper,Landfill,kg,49.345
450,WST-000450,20230129,68,General,Landfill,kg,735.32
451,WST-000451,20220618,58,General,Reuse,kg,875.551
452,WST-000452,20230703,8,Metal,Recycling,kg,932.624
453,WST-000453,20250206,19,Paper,Reuse,kg,668.843
454,WST-000454,20250325,60,Plastic,Reuse,kg,434.956
455,WST-000455,20230917,75,Plastic,Reuse,kg,67.369
456,WST-000456,20240410,68,Metal,Reuse,kg,73.406
457,WST-000457,20220611,74,Chemical,Recycling,kg,385.881
458,WST-000458,20201217,44,Paper,Landfill,kg,143.992
459,WST-000459,20220507,27,Paper,Treatment,kg,74.085
460,WST-000460,20211101,37,Plastic,Reuse,kg,123.386
461,WST-000461,20240428,87,General,Treatment,kg,818.906
462,WST-000462,20251026,51,Plastic,Reuse,kg,229.608
463,WST-000463,20230610,90,Chemical,Landfill,kg,510.001
464,WST-000464,20240227,39,Plastic,Treatment,kg,843.077
465,WST-000465,20200311,96,Metal,Recycling,kg,860.998
