maintenance_key,maintenance_id,date_key,location_key,machine_key,employee_key,maintenance_type,maintenance_hours,downtime_hours,maintenance_cost
34,MNT-000034,20241123,73,1523,3918,Corrective,3.4,12.44,2911.61
35,MNT-000035,20210107,76,1188,1188,Inspection,0.76,10.15,1807.55
36,MNT-000036,20251026,75,1117,4220,Preventive,5.02,5.49,6915.8
37,MNT-000037,20220104,93,606,3720,Corrective,5.64,12.57,4723.56
38,MNT-000038,20240613,98,1327,4371,Corrective,7.54,1.34,5859.19
39,MNT-000039,20230408,91,1538,2294,Inspection,5.36,22.59,8159.75
40,MNT-000040,20200319,34,783,3061,Preventive,2.66,23.55,3548.21
41,MNT-000041,20190722,65,480,1409,Inspection,6.17,0.6,2734.34
42,MNT-000042,20200807,100,1510,2299,Corrective,4.73,14.49,3201.32
43,MNT-000043,20220617,82,787,3672,Preventive,1.23,5.35,6015.52
44,MNT-000044,20190316,32,1888,4957,Corrective,2.43,1.22,968.74
45,MNT-000045,20251013,96,698,1236,Corrective,2.91,20.81,2018.28
46,MNT-000046,20241110,79,1146,1399,Inspection,6.0,7.83,9724.5
47,MNT-000047,20190506,52,706,4801,Corrective,1.59,7.55,3227.49
48,MNT-000048,20210221,67,1425,1694,Inspection,4.98,15.17,9362.79
49,MNT-000049,20200517,63,680,4098,Inspection,3.25,21.54,3361.86
50,MNT-000050,20241223,75,938,3784,Inspection,6.98,22.78,4746.41
51,MNT-000051,20230829,79,761,3066,Inspection,1.85,14.48,3712.29
52,MNT-000052,20220801,6,469,4664,Preventive,4.76,0.79,1056.06
53,MNT-000053,20250601,61,1813,4237,Corrective,6.91,16.82,2919.77
54,MNT-000054,20190218,28,454,842,Corrective,4.8,22.41,8354.76
55,MNT-000055,20251222,32,1765,3692,Preventive,7.59,21.17,9448.28
56,MNT-000056,20240120,2,294,2728,Preventive,4.33,2.14,7182.2
57,MNT-000057,20191125,2,1980,1425,Preventive,7.52,2.74,2685.48
58,MNT-000058,20221107,47,1910,1878,Inspection,6.61,3.35,3265.44
59,MNT-000059,20250316,19,730,2170,Preventive,4.12,22.09,2970.89
60,MNT-000060,20250118,66,1143,1585,Preventive,2.79,10.59,3322.6
61,MNT-000061,20250116,16,1097,570,Inspection,3.58,11.74,2158.18
62,MNT-000062,20230808,21,1325,4856,Corrective,7.94,9.57,2128.65
63,MNT-000063,20241109,89,859,4107,Corrective,4.47,23.26,5883.18
64,MNT-000064,20220106,36,1147,3380,Preventive,6.81,4.33,7007.93
65,MNT-000065,20201125,71,916,3740,Corrective,6.85,14.61,2730.88
66,MNT-000066,20200403,52,1331,2112,Inspection,2.67,4.51,6926.88
67,MNT-000067,20200314,25,490,3760,Preventive,3.47,22.06,4314.34
68,MNT-000068,20220519,99,337,2518,Corrective,1.89,19.03,1090.54
69,MNT-000069,20190111,72,1545,2103,Preventive,3.64,9.63,379.71
70,MNT-000070,20201029,72,386,37,Preventive,6.52,10.97,5235.27
71,MNT-000071,20220108,31,1810,2101,Inspection,4.87,13.62,7903.05
72,MNT-000072,20220111,8,1397,4132,Corrective,1.55,12.33,4595.17
73,MNT-000073,20240715,95,1872,2363,Preventive,2.29,12.94,2028.71
74,MNT-000074,20190511,86,1135,4331,Corrective,2.86,1.14,525.9
75,MNT-000075,20240403,42,944,4431,Corrective,0.56,10.84,9904.75
76,MNT-000076,20190407,30,958,2650,Corrective,5.65,5.45,9652.48
77,MNT-000077,20210623,98,705,2695,Corrective,1.26,12.53,1350.55
78,MNT-000078,20251204,55,1753,1832,Preventive,5.88,12.68,4652.84
79,MNT-000079,20200813,63,136,3906,Corrective,4.87,2.25,328.12
80,MNT-000080,20200615,31,365,3072,Preventive,4.49,0.77,1507.77
81,MNT-000081,20221017,66,1738,1688,Corrective,4.33,7.51,4389.98
82,MNT-000082,20220617,52,1471,4170,Corrective,1.12,0.87,8747.26
83,MNT-000083,20251117,7,1988,703,Preventive,6.43,14.52,5546.82
84,MNT-000084,20241222,24,1428,1980,Corrective,1.42,4.32,5646.56
85,MNT-000085,20250107,37,1225,2086,Inspection,0.69,1.48,6436.77
86,MNT-000086,20190212,14,1611,3409,Preventive,6.91,16.11,7345.53
87,MNT-000087,20250417,90,1063,3874,Corrective,5.53,8.41,8386.31
88,MNT-000088,20230325,67,1712,1373,Preventive,6.85,21.77,4289.62
89,MNT-000089,20210327,3,250,415,Corrective,4.56,2.64,3009.36
90,MNT-000090,20250715,73,965,4732,Inspection,7.53,18.85,3386.35
91,MNT-000091,20240321,45,860,3147,Inspection,4.37,5.95,2269.24
92,MNT-000092,20201104,91,1934,1949,Inspection,6.43,10.54,1769.82
93,MNT-000093,20231227,79,1068,1577,Inspection,1.76,15.16,9898.71
94,MNT-000094,20220205,36,1650,659,Inspection,4.52,12.65,6287.02
95,MNT-000095,20240528,23,733,1940,Preventive,2.15,10.84,7103.74
96,MNT-000096,20191206,79,1466,3901,Corrective,2.24,6.06,8005.74
97,MNT-000097,20251207,68,511,3664,Preventive,2.79,21.59,4387.64
98,MNT-000098,20231021,19,374,1841,Inspection,3.41,22.1,6805.72
99,MNT-000099,20220415,39,1706,2449,Corrective,6.55,16.43,8965.35
100,MNT-000100,20240525,14,135,2387,Preventive,5.12,8.47,7002.73
101,MNT-000101,20211217,72,1920,2600,Corrective,4.23,13.5,207.76
102,MNT-000102,20220226,1,686,2792,Preventive,3.27,1.71,1868.09
103,MNT-000103,20200308,73,279,2008,Corrective,1.32,1.36,4774.71
104,MNT-000104,20231113,86,68,4803,Preventive,4.14,21.34,7382.19
105,MNT-000105,20210112,74,1823,20,Inspection,6.66,11.46,1612.94
106,MNT-000106,20250915,25,1593,986,Preventive,4.93,4.93,766.63
107,MNT-000107,20190926,17,504,4212,Inspection,6.72,8.86,9932.49
108,MNT-000108,20190122,11,937,3248,Corrective,1.5,18.03,3935.92
109,MNT-000109,20230123,98,1945,2417,Preventive,7.49,5.58,1936.04
110,MNT-000110,20201028,50,914,657,Corrective,4.3,14.41,859.5
111,MNT-000111,20240715,89,1462,3173,Preventive,1.56,11.01,5062.25
112,MNT-000112,20240229,17,1567,4611,Corrective,2.92,7.55,9832.52
113,MNT-000113,20210713,54,309,3347,Corrective,2.39,13.98,4877.34
114,MNT-000114,20240517,15,1585,325,Corrective,6.5,18.4,9345.29
115,MNT-000115,20241119,81,1385,589,Preventive,5.74,16.27,7823.91
116,MNT-000116,20211211,1,284,2189,Preventive,4.19,8.87,3135.01
117,MNT-000117,20190802,13,567,3532,Preventive,2.25,1.86,5557.77
118,MNT-000118,20210516,11,928,2920,Corrective,5.23,15.95,9508.69
119,MNT-000119,20210703,7,70,3689,Preventive,7.64,19.56,4660.25
120,MNT-000120,20210709,4,1899,3923,Inspection,5.17,22.38,1644.02
121,MNT-000121,20210311,92,1634,1870,Preventive,3.46,1.41,3350.1
122,MNT-000122,20220630,63,1275,3541,Inspection,4.94,3.26,6971.22
123,MNT-000123,20241125,98,1327,4395,Corrective,3.18,1.13,2065.81
124,MNT-000124,20210905,20,1125,1168,Preventive,6.6,7.33,4537.92
125,MNT-000125,20230123,64,1090,2526,Preventive,1.99,12.31,240.69
126,MNT-000126,20201113,62,653,2013,Preventive,7.4,16.85,7283.01
127,MNT-000127,20220107,8,789,4951,Preventive,0.93,4.53,6305.51
128,MNT-000128,20190731,1,1883,1478,Corrective,3.32,15.35,8022.89
129,MNT-000129,20220420,91,1538,653,Preventive,0.85,8.83,7455.84
130,MNT-000130,20230520,88,1265,3229,Preventive,3.19,17.75,7010.41
131,MNT-000131,20211220,94,1495,1282,Corrective,7.62,2.57,2917.13
132,MNT-000132,20221231,56,308,2733,Inspection,2.0,1.1,3284.88
133,MNT-000133,20241102,11,1532,4724,Inspection,5.18,23.73,5709.28
134,MNT-000134,20220728,93,460,4492,Corrective,3.24,2.41,198.82
135,MNT-000135,20200909,54,1548,933,Inspection,6.69,16.2,8066.16
136,MNT-000136,20201214,2,1267,4413,Inspection,7.5,20.21,6209.03
137,MNT-000137,20240414,20,1850,372,Inspection,4.42,19.5,2054.92
138,MNT-000138,20210629,69,207,3844,Inspection,4.0,3.62,4848.17
139,MNT-000139,20250617,57,1177,3540,Inspection,3.05,19.36,911.52
140,MNT-000140,20190106,72,1891,2006,Inspection,1.66,14.07,9999.91
141,MNT-000141,20240128,39,1986,1173,Inspection,0.93,8.91,8724.77
142,MNT-000142,20200823,42,1358,2585,Preventive,1.04,20.68,843.27
143,MNT-000143,20190311,64,171,431,Inspection,2.32,22.32,7210.44
144,MNT-000144,20250510,60,1021,2918,Corrective,6.0,17.6,4297.84
145,MNT-000145,20190113,57,1177,3864,Corrective,3.84,17.02,4919.26
146,MNT-000146,20241108,6,1603,657,Corrective,4.87,16.5,3039.29
147,MNT-000147,20231205,20,1125,663,Preventive,1.11,4.0,1164.53
148,MNT-000148,20200914,42,1298,361,Preventive,7.05,12.51,8521.56
149,MNT-000149,20190909,53,1379,810,Corrective,3.58,20.75,6163.56
150,MNT-000150,20201203,71,487,3606,Preventive,5.82,10.02,7707.1
151,MNT-000151,20240517,65,480,3424,Corrective,1.91,21.38,2433.54
152,MNT-000152,20190323,65,1291,4409,Corrective,3.73,10.97,604.42
153,MNT-000153,20221101,26,1676,1946,Preventive,5.87,3.19,6041.64
154,MNT-000154,20230126,19,561,2348,Corrective,1.64,13.94,2646.33
155,MNT-000155,20241222,48,352,3337,Preventive,7.0,21.05,1230.2
156,MNT-000156,20190111,67,935,2040,Inspection,1.6,4.51,6595.2
157,MNT-000157,20190608,96,1242,3742,Preventive,0.52,19.34,9274.74
158,MNT-000158,20240503,27,1365,258,Preventive,0.6,5.47,218.9
159,MNT-000159,20230807,73,1523,4285,Preventive,3.09,16.93,9764.51
160,MNT-000160,20220822,98,1811,385,Preventive,3.81,9.65,9861.77
161,MNT-000161,20201225,30,1321,4304,Corrective,2.6,13.13,8950.31
162,MNT-000162,20220404,45,1457,2805,Corrective,6.52,7.99,1432.61
163,MNT-000163,20240518,24,1782,3432,Preventive,5.63,5.71,3642.84
164,MNT-000164,20190618,91,549,1396,Preventive,2.42,11.4,4747.55
165,MNT-000165,20220322,54,309,3101,Corrective,3.63,5.11,8329.62
166,MNT-000166,20251020,73,1702,4806,Preventive,6.0,2.23,7254.59
167,MNT-000167,20190912,51,986,3143,Preventive,3.52,7.11,6236.34
168,MNT-000168,20250327,13,567,2240,Preventive,4.94,8.13,2664.29
169,MNT-000169,20221224,72,1485,2449,Preventive,5.89,2.65,9709.21
170,MNT-000170,20210811,74,585,3754,Preventive,2.11,7.96,6691.75
171,MNT-000171,20241204,15,597,4789,Corrective,3.39,16.72,9098.91
172,MNT-000172,20230329,82,1282,3352,Inspection,2.93,17.1,4127.13
173,MNT-000173,20250618,69,777,4978,Inspection,6.91,1.37,4857.66
174,MNT-000174,20250630,31,131,17,Inspection,7.18,13.8,4280.9
175,MNT-000175,20200406,58,1508,2453,Corrective,6.9,13.57,1537.21
176,MNT-000176,20210525,68,340,4774,Inspection,7.32,12.71,9522.55
177,MNT-000177,20250721,35,548,1135,Inspection,3.91,10.23,4931.03
178,MNT-000178,20220927,73,1897,110,Preventive,3.93,0.97,9041.05
179,MNT-000179,20230721,91,1373,4524,Inspection,3.07,20.93,1085.68
180,MNT-000180,20190207,94,1511,4644,Preventive,4.65,11.1,2715.02
181,MNT-000181,20221213,78,282,2155,Inspection,4.32,17.98,8361.43
182,MNT-000182,20231019,69,319,3609,Inspection,3.04,14.71,6491.03
183,MNT-000183,20200322,35,683,1690,Corrective,3.74,22.26,8667.36
184,MNT-000184,20240824,7,498,4340,Corrective,2.26,8.16,4994.81
185,MNT-000185,20190228,73,577,1163,Inspection,2.13,7.43,9133.56
186,MNT-000186,20230128,11,1401,2061,Inspection,2.61,6.53,250.26
187,MNT-000187,20210418,24,854,236,Corrective,4.8,8.73,2410.69
188,MNT-000188,20190809,4,850,3925,Inspection,6.62,4.98,6647.77
189,MNT-000189,20241129,61,1017,731,Preventive,2.54,9.61,3995.51
190,MNT-000190,20221106,24,1210,3440,Corrective,6.69,10.51,6394.66
191,MNT-000191,20210803,39,990,1828,Corrective,2.87,12.25,4967.32
192,MNT-000192,20190817,52,564,501,Inspection,3.84,11.5,2892.64
193,MNT-000193,20210112,40,1576,1554,Corrective,2.77,10.67,6382.69
194,MNT-000194,20210507,4,1827,4390,Inspection,2.72,9.87,7700.64
195,MNT-000195,20200120,26,1774,3965,Corrective,7.47,3.72,7964.38
196,MNT-000196,20210716,69,1714,2611,Inspection,4.77,12.5,6345.58
197,MNT-000197,20190312,77,1499,3794,Corrective,3.33,2.08,8938.97
198,MNT-000198,20230212,47,200,455,Inspection,2.76,21.92,2789.34
199,MNT-000199,20220327,98,168,4947,Inspection,2.09,4.17,5442.46
200,MNT-000200,20210226,74,585,1082,Corrective,1.79,12.7,1972.19
201,MNT-000201,20250120,42,1214,3018,Corrective,7.56,23.88,6887.79
202,MNT-000202,20221123,65,798,2145,Preventive,5.71,17.99,5837.93
203,MNT-000203,20190425,66,1330,1920,Preventive,4.53,23.4,7149.03
204,MNT-000204,20240327,35,1537,2134,Corrective,6.42,7.29,1767.39
205,MNT-000205,20220406,18,491,3718,Corrective,6.08,13.02,3675.63
206,MNT-000206,20221209,81,1385,3850,Corrective,6.67,23.92,185.67
207,MNT-000207,20190206,74,810,1813,Inspection,6.0,22.06,6568.8
208,MNT-000208,20200601,40,819,3428,Inspection,2.1,3.41,8287.94
209,MNT-000209,20230529,86,1964,3555,Corrective,6.55,23.28,8644.62
210,MNT-000210,20220529,61,1819,3152,Inspection,1.85,18.34,3070.18
211,MNT-000211,20191101,100,1510,720,Corrective,2.65,21.7,3325.06
212,MNT-000212,20190930,39,1986,62,Preventive,7.34,17.44,2624.25
213,MNT-000213,20200831,51,1969,2370,Corrective,2.25,0.97,6152.8
214,MNT-000214,20250321,1,1189,3378,Inspection,5.33,17.64,2464.59
215,MNT-000215,20250618,17,751,4031,Corrective,1.34,23.1,7271.55
216,MNT-000216,20240124,84,1646,3430,Corrective,2.3,15.1,437.13
217,MNT-000217,20210320,89,1419,3238,Inspection,3.89,18.66,8715.37
218,MNT-000218,20240518,35,1574,4563,Inspection,4.36,11.8,6520.52
219,MNT-000219,20200515,75,1540,2687,Inspection,1.64,4.93,3674.18
220,MNT-000220,20250106,4,495,396,Preventive,5.49,20.95,7490.68
221,MNT-000221,20251023,92,538,3696,Inspection,3.64,12.73,3319.21
222,MNT-000222,20240924,26,855,3561,Corrective,6.08,6.0,4064.45
223,MNT-000223,20251031,82,614,1678,Preventive,2.57,11.22,1158.33
224,MNT-000224,20220324,10,1733,2698,Corrective,7.54,14.4,5693.69
225,MNT-000225,20220725,64,899,3444,Preventive,3.3,14.91,6547.58
226,MNT-000226,20251130,23,1216,4714,Preventive,1.64,0.81,8837.06
227,MNT-000227,20201004,54,1139,4218,Preventive,2.69,20.27,6050.44
228,MNT-000228,20240825,58,1061,580,Preventive,4.42,4.03,2038.43
229,MNT-000229,20250110,14,354,3723,Preventive,3.75,16.42,4581.25
230,MNT-000230,20251018,11,153,1158,Preventive,7.55,21.99,698.7
231,MNT-000231,20231204,84,1376,268,Preventive,6.71,18.94,7930.18
232,MNT-000232,20190128,72,747,1312,Inspection,4.45,22.2,8297.02
233,MNT-000233,20211108,52,856,3152,Corrective,6.07,10.39,8348.49
234,MNT-000234,20240922,53,1316,243,Preventive,5.11,7.33,2080.78
235,MNT-000235,20230413,52,1913,1731,Inspection,6.82,20.52,9838.99
236,MNT-000236,20240909,32,648,626,Corrective,3.67,5.47,6509.07
237,MNT-000237,20230609,76,1009,3795,Corrective,5.66,7.38,2062.21
238,MNT-000238,20230414,48,1218,4665,Preventive,1.88,4.82,1859.94
239,MNT-000239,20200608,82,147,209,Inspection,7.81,22.02,6031.47
240,MNT-000240,20210709,77,1674,1125,Preventive,6.91,15.44,9809.16
241,MNT-000241,20241206,63,485,3718,Preventive,4.06,18.27,4698.49
242,MNT-000242,20210506,81,1541,3540,Corrective,2.09,4.71,9242.65
243,MNT-000243,20250709,73,1543,1511,Preventive,1.45,16.55,1185.11
244,MNT-000244,20241223,67,1012,2850,Preventive,5.08,2.77,7723.48
245,MNT-000245,20241217,13,567,4423,Corrective,2.94,21.48,2339.84
246,MNT-000246,20240225,81,1385,4104,Corrective,3.68,11.84,7707.95
247,MNT-000247,20230113,25,1046,3937,Inspection,6.35,17.67,6072.69
248,MNT-000248,20250405,18,1261,1801,Preventive,6.36,18.51,883.34
249,MNT-000249,20250820,88,1066,465,Preventive,7.37,14.51,4929.39
250,MNT-000250,20200902,93,590,2612,Corrective,7.39,11.37,1356.29
251,MNT-000251,20250611,99,566,3524,Inspection,1.42,21.51,5629.68
252,MNT-000252,20230514,4,850,2812,Corrective,5.94,8.8,5800.52
253,MNT-000253,20200613,45,1457,52,Preventive,2.62,4.99,8400.16
254,MNT-000254,20230806,65,599,3544,Preventive,1.75,7.3,7704.29
255,MNT-000255,20230420,38,957,2384,Preventive,6.89,12.65,7122.12
256,MNT-000256,20231204,84,1646,441,Corrective,7.74,2.69,3010.55
257,MNT-000257,20210611,23,1594,4943,Preventive,1.01,21.89,7003.39
258,MNT-000258,20251118,42,1358,2311,Preventive,3.11,13.75,6135.5
259,MNT-000259,20230504,77,1086,2739,Corrective,5.27,19.79,3792.46
260,MNT-000260,20250814,56,73,2968,Preventive,3.65,13.54,1120.01
261,MNT-000261,20240909,48,1807,1159,Corrective,6.59,18.28,8142.26
262,MNT-000262,20230625,23,342,1160,Inspection,5.1,12.3,4548.32
263,MNT-000263,20220920,9,1990,4022,Inspection,3.21,4.57,5548.64
264,MNT-000264,20250120,13,812,1604,Inspection,2.18,5.4,1106.95
265,MNT-000265,20230214,72,1274,3753,Corrective,4.36,11.11,4089.2
266,MNT-000266,20220922,96,1412,808,Corrective,7.2,5.51,2173.8
267,MNT-000267,20200209,19,730,3145,Preventive,6.23,22.01,6913.53
268,MNT-000268,20200827,88,438,3175,Corrective,1.26,18.31,988.84
269,MNT-000269,20230114,4,1443,303,Corrective,4.99,13.62,8725.47
270,MNT-000270,20230620,36,1439,4300,Inspection,4.05,2.89,2598.4
271,MNT-000271,20240223,59,1923,4858,Preventive,1.36,18.29,8440.28
272,MNT-000272,20230127,14,1164,4904,Preventive,6.0,5.75,3792.13
273,MNT-000273,20210215,93,786,3042,Inspection,2.82,22.38,8815.6
274,MNT-000274,20250117,19,1758,3306,Inspection,4.04,8.16,6931.86
275,MNT-000275,20250710,78,1024,3872,Corrective,6.81,2.34,9512.77
276,MNT-000276,20210831,98,168,1338,Preventive,2.61,19.92,9663.99
277,MNT-000277,20230603,36,1547,3830,Preventive,1.93,22.12,1884.48
278,MNT-000278,20210430,14,1780,955,Preventive,5.82,16.92,9038.83
279,MNT-000279,20231125,19,1488,1247,Corrective,4.31,21.54,7995.85
280,MNT-000280,20240512,93,1955,4756,Inspection,4.58,6.3,3893.51
281,MNT-000281,20190416,43,1169,3879,Preventive,4.74,6.05,4255.32
282,MNT-000282,20231122,29,1905,4209,Corrective,3.12,23.98,4067.85
283,MNT-000283,20190516,56,326,2288,Corrective,1.94,13.93,366.41
284,MNT-000284,20210623,4,335,97,Preventive,6.74,8.47,4898.03
285,MNT-000285,20211221,71,1936,2662,Preventive,6.69,11.65,1941.49
286,MNT-000286,20231114,31,1140,2189,Corrective,5.71,6.42,4753.25
287,MNT-000287,20240416,46,1180,466,Inspection,5.93,7.34,4216.65
288,MNT-000288,20231218,23,412,2266,Corrective,3.61,3.74,8233.04
289,MNT-000289,20220624,39,1629,1864,Inspection,4.52,16.44,7998.3
290,MNT-000290,20220626,67,872,2948,Preventive,6.54,4.01,8454.4
291,MNT-000291,20230301,60,1686,4413,Inspection,7.68,17.57,4924.19
292,MNT-000292,20220608,20,1933,3791,Corrective,2.51,12.16,5059.95
293,MNT-000293,20190312,17,1473,2035,Preventive,6.61,21.58,6172.94
294,MNT-000294,20221013,7,70,2107,Preventive,7.28,10.77,2400.01
295,MNT-000295,20241014,20,160,4278,Corrective,7.42,5.62,8967.89
296,MNT-000296,20241010,8,1106,3875,Corrective,6.73,20.61,5241.36
297,MNT-000297,20191029,62,896,4384,Corrective,4.1,20.24,9210.56
298,MNT-000298,20230211,25,457,108,Preventive,4.2,13.84,7273.41
299,MNT-000299,20200905,65,741,1024,Corrective,7.34,8.07,5122.56
300,MNT-000300,20190515,99,298,674,Preventive,1.36,7.21,7285.78
301,MNT-000301,20190705,42,1839,3866,Preventive,1.43,16.5,6467.97
302,MNT-000302,20251213,42,1861,1774,Inspection,7.26,6.38,1799.13
303,MNT-000303,20200307,93,1601,3404,Inspection,5.09,2.3,9484.72
304,MNT-000304,20240316,76,1914,1845,Inspection,1.17,4.85,5542.29
305,MNT-000305,20250308,69,1896,2469,Corrective,1.91,7.14,2110.35
306,MNT-000306,20191231,35,1927,1528,Preventive,7.65,10.92,550.65
307,MNT-000307,20251214,16,663,2681,Corrective,0.88,17.67,219.38
308,MNT-000308,20200408,31,904,3586,Inspection,6.0,12.52,2566.7
309,MNT-000309,20230610,35,1246,1967,Corrective,7.88,6.16,2905.58
310,MNT-000310,20210501,43,1259,4724,Inspection,0.93,20.89,7929.75
311,MNT-000311,20200130,22,320,261,Preventive,5.44,23.55,3964.65
312,MNT-000312,20190709,60,1382,4548,Preventive,0.56,7.82,2110.83
313,MNT-000313,20230724,44,1740,249,Corrective,5.87,13.36,6566.56
314,MNT-000314,20230130,35,1574,2206,Inspection,6.37,17.19,6760.41
315,MNT-000315,20250822,29,483,4980,Inspection,4.52,8.71,3288.8
316,MNT-000316,20191222,20,1903,2650,Preventive,7.63,15.66,1438.7
317,MNT-000317,20200412,89,1974,4564,Corrective,7.84,18.27,9410.71
318,MNT-000318,20201126,41,1053,2382,Preventive,5.78,7.84,4797.48
319,MNT-000319,20220823,93,592,1762,Corrective,2.38,6.77,4957.48
320,MNT-000320,20200204,63,1560,4846,Inspection,0.97,19.61,6668.23
321,MNT-000321,20220814,75,86,4062,Inspection,4.62,14.45,4031.03
322,MNT-000322,20211031,99,338,3979,Preventive,6.56,9.71,9169.37
323,MNT-000323,20230330,77,610,3973,Preventive,4.6,13.99,6031.84
324,MNT-000324,20200316,56,1131,138,Inspection,6.93,10.32,3752.12
325,MNT-000325,20251117,71,916,109,Inspection,4.18,21.34,6054.84
326,MNT-000326,20190514,38,1199,3840,Inspection,2.39,8.08,6168.78
327,MNT-000327,20241103,22,782,1723,Inspection,2.74,0.57,1026.81
328,MNT-000328,20230110,68,394,3909,Corrective,1.46,2.21,8153.84
329,MNT-000329,20190610,6,500,245,Inspection,1.53,21.44,1619.03
330,MNT-000330,20231106,42,1358,4293,Preventive,6.61,1.84,763.99
331,MNT-000331,20190921,41,573,3861,Inspection,5.68,9.9,2538.95
332,MNT-000332,20200710,19,228,2762,Preventive,2.16,16.39,4396.37
333,MNT-000333,20250726,80,1309,21,Inspection,7.14,4.71,3153.38
334,MNT-000334,20241219,81,1498,1728,Preventive,7.12,4.62,1853.88
335,MNT-000335,20190719,79,1466,4321,Corrective,2.35,7.19,6638.39
336,MNT-000336,20230810,9,3,1303,Preventive,2.62,4.92,3608.95
337,MNT-000337,20250331,11,219,3744,Inspection,5.1,15.04,9153.2
338,MNT-000338,20210427,87,995,123,Preventive,0.84,13.14,4208.26
339,MNT-000339,20190224,69,1044,3846,Inspection,1.23,7.98,2462.43
340,MNT-000340,20201206,53,241,4227,Inspection,6.57,19.94,6434.02
341,MNT-000341,20230411,58,1080,2795,Inspection,4.25,19.31,2609.34
342,MNT-000342,20230213,80,1355,2219,Inspection,2.72,17.46,3961.03
343,MNT-000343,20230116,88,478,1746,Corrective,1.9,22.09,6891.4
344,MNT-000344,20230526,28,1446,336,Preventive,4.55,17.42,391.61
345,MNT-000345,20200822,49,571,4110,Inspection,4.83,13.54,212.55
346,MNT-000346,20241213,15,91,4214,Preventive,0.98,2.1,5385.87
347,MNT-000347,20230206,29,483,3013,Inspection,7.88,5.65,1734.55
348,MNT-000348,20190215,9,1677,3345,Inspection,7.64,1.25,213.28
349,MNT-000349,20200920,94,1511,4375,Corrective,3.0,5.61,8927.51
350,MNT-000350,20220904,95,12,1473,Preventive,2.66,13.64,8214.07
351,MNT-000351,20210410,82,960,1640,Corrective,3.62,6.74,1139.4
352,MNT-000352,20250302,52,564,1321,Preventive,4.32,8.32,2195.87
353,MNT-000353,20210116,32,673,94,Corrective,0.69,13.0,2421.41
354,MNT-000354,20240511,70,574,4483,Preventive,6.74,23.04,7807.02
355,MNT-000355,20251015,65,1983,68,Inspection,4.08,17.91,8697.17
356,MNT-000356,20250929,7,865,1532,Preventive,3.07,1.82,966.19
357,MNT-000357,20240812,9,1429,857,Corrective,3.63,14.06,4891.71
358,MNT-000358,20251012,80,1889,3950,Inspection,7.5,9.44,3019.14
359,MNT-000359,20190312,82,787,4587,Preventive,0.76,10.34,8929.76
360,MNT-000360,20210105,38,371,3087,Preventive,3.3,21.01,6267.35
361,MNT-000361,20190807,69,319,1502,Preventive,4.09,19.19,8519.23
362,MNT-000362,20200104,49,609,2851,Inspection,3.14,11.51,7076.33
