maintenance_id,date,location_id,machine_id,employee_id,maintenance_type,downtime_hours,maintenance_cost
MAINT-0000055,2023-11-27,LOC-0029,MCH-001855,EMP-000110,Preventive,12.93,298.24
MAINT-0000056,2021-09-22,LOC-0034,MCH-000714,EMP-000893,Preventive,21.98,267.44
MAINT-0000057,2025-02-11,LOC-0083,MCH-000323,EMP-004346,Corrective,14.3,217.69
MAINT-0000058,2025-04-29,LOC-0078,MCH-000677,EMP-002467,Emergency,23.3,1377.3
MAINT-0000059,2024-04-12,LOC-0052,MCH-000186,EMP-001248,Preventive,14.23,462.59
MAINT-0000060,2025-12-12,LOC-0017,MCH-001082,EMP-003864,Preventive,17.3,0.0
MAINT-0000061,2024-01-06,LOC-0024,MCH-000605,EMP-001922,Preventive,18.6,732.31
MAINT-0000062,2022-01-17,LOC-0095,MCH-000061,EMP-002089,Preventive,19.31,66.38
MAINT-0000063,2025-03-30,LOC-0042,MCH-000408,EMP-001408,Preventive,11.97,199.31
MAINT-0000064,2025-12-07,LOC-0071,MCH-000702,EMP-001012,Preventive,8.32,415.69
MAINT-0000065,2025-04-07,LOC-0046,MCH-001888,EMP-000255,Corrective,13.07,1046.1
MAINT-0000066,2025-08-22,LOC-0009,MCH-001762,EMP-001106,Preventive,22.69,324.45
MAINT-0000067,2021-12-15,LOC-0039,MCH-000453,EMP-000138,Corrective,18.98,247.28
MAINT-0000068,2025-11-25,LOC-0084,MCH-001213,EMP-001626,Corrective,2.61,224.52
MAINT-0000069,2025-07-29,LOC-0087,MCH-001376,EMP-001520,Inspection,2.54,171.75
MAINT-0000070,2025-10-01,LOC-0057,MCH-001874,EMP-002365,Corrective,8.71,423.5
MAINT-0000071,2025-10-11,LOC-0030,MCH-000595,EMP-001927,Corrective,6.95,253.04
MAINT-0000072,2022-01-24,LOC-0008,MCH-001154,EMP-003128,Inspection,1.29,604.23
MAINT-0000073,2025-09-21,LOC-0052,MCH-000793,EMP-001375,Preventive,12.18,225.88
MAINT-0000074,2025-10-04,LOC-0049,MCH-000829,EMP-004540,Preventive,19.99,470.31
MAINT-0000075,2025-03-26,LOC-0045,MCH-000751,EMP-003637,Inspection,7.46,354.25
MAINT-0000076,2025-11-24,LOC-0069,MCH-001061,EMP-004345,Preventive,23.07,558.57
MAINT-0000077,2025-06-18,LOC-0059,MCH-001540,EMP-001865,Preventive,15.57,664.62
MAINT-0000079,2025-07-24,LOC-0057,MCH-000087,EMP-004088,Preventive,18.14,346.11
MAINT-0000080,2025-04-17,LOC-0044,MCH-000779,EMP-002699,Inspection,19.83,229.49
MAINT-0000081,2025-08-22,LOC-0061,MCH-001095,EMP-004305,Inspection,16.41,306.26
MAINT-0000082,2024-08-03,LOC-0071,MCH-001285,EMP-000977,Preventive,12.38,799.57
MAINT-0000083,2025-09-22,LOC-0076,MCH-001789,EMP-002788,Preventive,12.5,98.7
MAINT-0000084,2024-08-19,LOC-0069,MCH-001291,EMP-003608,Preventive,10.64,299.06
MAINT-0000085,2021-10-25,LOC-0073,MCH-000828,EMP-002387,Inspection,14.64,184.26
MAINT-0000086,2024-06-02,LOC-0040,MCH-000088,EMP-002876,Inspection,12.06,260.93
MAINT-0000087,2021-09-10,LOC-0061,MCH-001399,EMP-003432,Corrective,12.34,410.59
MAINT-0000088,2024-08-23,LOC-0091,MCH-001946,EMP-001162,Preventive,18.59,1518.78
MAINT-0000089,2025-06-17,LOC-0100,MCH-001164,EMP-002592,Preventive,17.35,758.3
MAINT-0000090,2025-12-20,LOC-0052,MCH-000999,EMP-002895,Preventive,13.11,117.12
MAINT-0000091,2025-10-08,LOC-0064,MCH-000238,EMP-000913,Preventive,19.16,452.21
MAINT-0000092,2023-05-04,LOC-0096,MCH-000858,EMP-003988,Preventive,6.64,392.87
MAINT-0000093,2025-10-19,LOC-0045,MCH-001370,EMP-000825,Corrective,10.3,431.59
MAINT-0000094,2025-11-28,LOC-0088,MCH-001079,EMP-003053,Inspection,17.92,733.04
MAINT-0000095,2025-06-30,LOC-0097,MCH-000441,EMP-004668,Corrective,5.7,905.69
MAINT-0000096,2024-09-10,LOC-0004,MCH-000899,EMP-000111,Corrective,22.76,459.44
MAINT-0000097,2022-06-30,LOC-0044,MCH-001444,EMP-004129,Corrective,0.0,325.48
MAINT-0000098,2021-03-23,LOC-0064,MCH-000072,EMP-002206,Emergency,23.83,487.85
MAINT-0000099,2023-07-12,LOC-0080,MCH-000444,EMP-003831,Corrective,0.85,82.15
MAINT-0000101,2024-09-24,LOC-0092,MCH-000588,EMP-004643,Preventive,2.74,193.95
MAINT-0000102,2023-07-27,LOC-0031,MCH-000180,EMP-003884,Preventive,1.29,751.33
MAINT-0000103,2025-11-26,LOC-0049,MCH-000109,EMP-001509,Emergency,6.48,293.34
MAINT-0000104,2024-11-02,LOC-0010,MCH-001896,EMP-004232,Preventive,6.7,882.6
MAINT-0000105,2025-12-14,LOC-0020,MCH-000470,EMP-003944,Corrective,10.71,401.13
MAINT-0000106,2024-08-21,LOC-0056,MCH-001445,EMP-002668,Preventive,0.84,156.93
MAINT-0000107,2025-09-09,LOC-0006,MCH-001386,EMP-001729,Inspection,19.98,885.58
MAINT-0000108,2025-08-10,LOC-0020,MCH-001732,EMP-004545,Preventive,2.82,710.58
MAINT-0000109,2025-03-11,LOC-0021,MCH-001970,EMP-001320,Preventive,10.05,675.86
MAINT-0000110,2025-06-22,LOC-0078,MCH-000770,EMP-000306,Corrective,16.01,915.43
MAINT-0000111,2025-07-08,LOC-0041,MCH-001455,EMP-001229,Preventive,11.3,114.26
MAINT-0000112,2025-05-15,LOC-0077,MCH-001768,EMP-004007,Preventive,8.0,185.19
MAINT-0000113,2024-01-10,LOC-0027,MCH-000646,EMP-000407,Preventive,3.98,2263.39
MAINT-0000114,2025-06-16,LOC-0045,MCH-000676,EMP-004403,Preventive,13.17,309.95
MAINT-0000115,2025-12-09,LOC-0007,MCH-000510,EMP-003416,Preventive,16.94,401.13
MAINT-0000116,2024-05-08,LOC-0071,MCH-000956,EMP-001592,Inspection,13.51,421.7
MAINT-0000117,2025-01-26,LOC-0074,MCH-001323,EMP-001516,Preventive,20.54,1344.86
MAINT-0000118,2024-09-26,LOC-0048,MCH-001615,EMP-003813,Corrective,16.74,348.44
MAINT-0000119,2025-11-02,LOC-0064,MCH-001726,EMP-001627,Inspection,19.86,276.1
MAINT-0000120,2025-09-17,LOC-0007,MCH-000613,EMP-000573,Corrective,13.96,281.26
MAINT-0000121,2025-06-04,LOC-0004,MCH-001735,EMP-003320,Preventive,19.25,401.13
MAINT-0000122,2023-07-01,LOC-0025,MCH-000037,EMP-003743,Inspection,18.05,662.08
MAINT-0000123,2024-02-18,LOC-0048,MCH-001929,EMP-004820,Preventive,19.59,548.02
MAINT-0000124,2024-10-10,LOC-0067,MCH-000767,EMP-002690,Inspection,19.2,241.02
MAINT-0000125,2025-10-13,LOC-0041,MCH-001189,EMP-000207,Inspection,15.91,799.92
MAINT-0000126,2023-10-27,LOC-0040,MCH-001454,EMP-002459,Preventive,20.65,165.53
MAINT-0000127,2024-09-27,LOC-0030,MCH-000946,EMP-000665,Preventive,14.22,523.99
MAINT-0000128,2025-12-16,LOC-0008,MCH-001284,EMP-002218,Preventive,14.39,1405.97
MAINT-0000129,2024-10-01,LOC-0006,MCH-001235,EMP-001063,Corrective,12.06,460.65
MAINT-0000130,2023-09-19,LOC-0069,MCH-000189,EMP-004523,Preventive,1.21,335.16
MAINT-0000131,2024-11-02,LOC-0046,MCH-000413,EMP-002048,Preventive,13.64,638.46
MAINT-0000132,2025-06-29,LOC-0010,MCH-001447,EMP-001306,Corrective,16.44,218.87
MAINT-0000133,2025-09-01,LOC-0082,MCH-001327,EMP-000481,Preventive,18.47,292.36
MAINT-0000134,2025-11-26,LOC-0003,MCH-000922,EMP-002790,Corrective,23.54,937.36
MAINT-0000135,2024-07-21,LOC-0061,MCH-000330,EMP-000720,Corrective,0.0,4333.4
MAINT-0000137,2024-09-04,LOC-0045,MCH-000427,EMP-001805,Corrective,17.6,119.79
MAINT-0000138,2025-05-05,LOC-0012,MCH-001468,EMP-001555,Preventive,21.9,1429.96
MAINT-0000140,2022-02-09,LOC-0071,MCH-001945,EMP-001761,Corrective,23.73,149.87
MAINT-0000141,2023-02-25,LOC-0016,MCH-001534,EMP-003607,Inspection,6.47,93.2
MAINT-0000143,2023-12-27,LOC-0100,MCH-001424,EMP-002844,Corrective,5.45,744.89
MAINT-0000144,2024-07-13,LOC-0048,MCH-000294,EMP-002678,Corrective,16.29,356.55
MAINT-0000145,2025-11-27,LOC-0091,MCH-000293,EMP-001427,Preventive,11.5,572.23
MAINT-0000146,2025-11-05,LOC-0082,MCH-001124,EMP-001223,Inspection,17.95,1067.09
MAINT-0000147,2025-06-18,LOC-0080,MCH-000537,EMP-000405,Inspection,23.22,1026.63
MAINT-0000148,2023-06-20,LOC-0057,MCH-000824,EMP-000151,Corrective,3.96,132.79
MAINT-0000149,2022-12-27,LOC-0093,MCH-001395,EMP-000671,Preventive,12.59,544.93
MAINT-0000150,2025-12-07,LOC-0035,MCH-001636,EMP-001220,Corrective,18.15,419.91
MAINT-0000151,2021-03-10,LOC-0084,MCH-000378,EMP-000834,Inspection,12.18,434.45
MAINT-0000152,2022-10-09,LOC-0064,MCH-000241,EMP-002624,Preventive,4.26,600.45
MAINT-0000153,2025-06-04,LOC-0031,MCH-001404,EMP-002427,Preventive,14.7,529.88
MAINT-0000154,2024-12-17,LOC-0095,MCH-000973,EMP-002074,Corrective,9.45,800.94
MAINT-0000155,2023-08-13,LOC-0029,MCH-001102,EMP-004191,Inspection,12.16,211.37
MAINT-0000156,2024-07-02,LOC-0049,MCH-000950,EMP-004979,Preventive,12.37,975.76
MAINT-0000157,2024-08-23,LOC-0026,MCH-001697,EMP-000074,Inspection,4.08,560.42
MAINT-0000158,2025-10-04,LOC-0052,MCH-000186,EMP-004083,Preventive,2.08,838.18
MAINT-0000159,2025-04-25,LOC-0051,MCH-001882,EMP-002721,Preventive,13.21,732.86
MAINT-0000160,2025-12-14,LOC-0059,MCH-001764,EMP-002103,Emergency,8.24,198.66
MAINT-0000161,2024-01-16,LOC-0097,MCH-001907,EMP-004472,Inspection,4.59,981.13
MAINT-0000162,2025-08-10,LOC-0024,MCH-000983,EMP-003377,Corrective,6.45,707.12
MAINT-0000163,2024-11-15,LOC-0051,MCH-001359,EMP-001603,Corrective,21.7,177.72
MAINT-0000164,2024-12-06,LOC-0061,MCH-000753,EMP-004352,Corrective,20.93,177.18
MAINT-0000165,2023-02-21,LOC-0055,MCH-000171,EMP-003156,Preventive,22.38,302.16
MAINT-0000166,2024-06-11,LOC-0026,MCH-001667,EMP-002744,Corrective,14.81,432.84
MAINT-0000167,2025-12-23,LOC-0043,MCH-000571,EMP-003815,Preventive,15.86,335.49
MAINT-0000168,2025-09-05,LOC-0026,MCH-001522,EMP-001967,Corrective,21.53,729.36
MAINT-0000169,2024-04-05,LOC-0069,MCH-000189,EMP-003013,Inspection,5.44,399.43
MAINT-0000170,2021-07-11,LOC-0058,MCH-000254,EMP-000782,Corrective,21.05,271.22
MAINT-0000171,2025-12-18,LOC-0098,MCH-000462,EMP-002256,Inspection,15.02,168.52
MAINT-0000172,2024-06-12,LOC-0076,MCH-001048,EMP-004713,Preventive,1.76,496.09
MAINT-0000173,2023-10-26,LOC-0044,MCH-001654,EMP-000675,Preventive,17.52,818.41
MAINT-0000174,2025-12-31,LOC-0020,MCH-001021,EMP-002819,Inspection,10.82,248.76
MAINT-0000175,2023-10-19,LOC-0022,MCH-001547,EMP-002019,Emergency,19.33,409.1
MAINT-0000176,2025-08-18,LOC-0084,MCH-000731,EMP-003610,Preventive,12.14,329.63
MAINT-0000177,2025-06-16,LOC-0072,MCH-001140,EMP-003175,Preventive,21.82,680.09
MAINT-0000178,2022-10-04,LOC-0091,MCH-000564,EMP-002741,Preventive,23.21,1187.14
MAINT-0000179,2025-11-17,LOC-0001,MCH-000746,EMP-004977,Corrective,1203.0,645.03
MAINT-0000180,2025-12-12,LOC-0065,MCH-001333,EMP-000938,Preventive,10.37,46.2
MAINT-0000181,2025-02-08,LOC-0073,MCH-000515,EMP-000025,Preventive,17.48,226.98
MAINT-0000182,2025-09-02,LOC-0046,MCH-000485,EMP-001461,Preventive,12.06,338.3
MAINT-0000183,2025-08-08,LOC-0060,MCH-001638,EMP-004019,Preventive,5.9,345.95
MAINT-0000184,2025-03-18,LOC-0099,MCH-001238,EMP-000914,Corrective,14.99,312.48
MAINT-0000185,2024-03-20,LOC-0040,MCH-000012,EMP-002899,Preventive,23.53,109.13
MAINT-0000186,2025-12-31,LOC-0011,MCH-001053,EMP-001725,Corrective,7.11,39909.0
MAINT-0000188,2025-12-19,LOC-0061,MCH-001064,EMP-003599,Inspection,13.67,322.72
MAINT-0000189,2025-10-23,LOC-0082,MCH-000196,EMP-004907,Preventive,0.93,244.46
MAINT-0000190,2020-11-08,LOC-0064,MCH-000072,EMP-002677,Preventive,16.97,315.1
MAINT-0000191,2025-08-24,LOC-0092,MCH-001723,EMP-003629,Preventive,7.04,0.0
MAINT-0000192,2025-07-21,LOC-0098,MCH-000587,EMP-002811,Preventive,19.53,180.44
MAINT-0000193,2021-10-05,LOC-0074,MCH-000281,EMP-000769,Preventive,7.75,174.12
MAINT-0000194,2025-03-15,LOC-0010,MCH-001438,EMP-000669,Preventive,10.28,324.06
MAINT-0000195,2025-05-04,LOC-0051,MCH-000432,EMP-003911,Emergency,3.47,312.21
MAINT-0000196,2022-03-26,LOC-0011,MCH-001053,EMP-002406,Inspection,5.26,215.13
MAINT-0000197,2025-11-03,LOC-0024,MCH-000940,EMP-001474,Corrective,0.95,737.4
MAINT-0000198,2022-09-12,LOC-0036,MCH-001853,EMP-003581,Inspection,7.63,256.57
MAINT-0000199,2025-01-23,LOC-0059,MCH-000523,EMP-003543,Corrective,4.53,473.67
MAINT-0000200,2025-12-16,LOC-0051,MCH-000620,EMP-002607,Corrective,6.39,421.56
MAINT-0000201,2025-09-11,LOC-0013,MCH-000172,EMP-003327,Corrective,19.79,469.35
MAINT-0000202,2025-11-13,LOC-0056,MCH-001866,EMP-002941,Preventive,23.24,200.36
MAINT-0000203,2024-08-02,LOC-0068,MCH-001233,EMP-000942,Corrective,17.26,481.02
MAINT-0000204,2024-09-19,LOC-0005,MCH-001952,EMP-004672,Inspection,2.66,388.9
MAINT-0000205,2023-11-16,LOC-0093,MCH-001673,EMP-000671,Preventive,3.85,808.18
MAINT-0000206,2024-03-30,LOC-0088,MCH-000861,EMP-000523,Preventive,10.38,401.13
MAINT-0000207,2025-11-09,LOC-0028,MCH-001434,EMP-001817,Inspection,13.65,0.0
MAINT-0000208,2025-12-19,LOC-0030,MCH-000808,EMP-003176,Inspection,2.39,272.15
MAINT-0000209,2024-07-11,LOC-0082,MCH-000389,EMP-001223,Preventive,21.76,269.93
MAINT-0000210,2025-11-15,LOC-0045,MCH-000019,EMP-003927,Preventive,8.79,403.54
MAINT-0000211,2024-05-27,LOC-0075,MCH-000363,EMP-003097,Corrective,1.67,142.4
MAINT-0000212,2025-10-10,LOC-0034,MCH-001674,EMP-002829,Preventive,11.22,840.01
MAINT-0000213,2024-10-14,LOC-0047,MCH-000748,EMP-004703,Corrective,9.83,1048.66
MAINT-0000214,2024-12-01,LOC-0085,MCH-000923,EMP-001707,Emergency,5.22,259.46
MAINT-0000215,2025-07-06,LOC-0096,MCH-001316,EMP-002507,Inspection,4.04,814.43
MAINT-0000216,2024-12-07,LOC-0083,MCH-001301,EMP-001101,Corrective,8.42,400.23
MAINT-0000218,2025-10-30,LOC-0046,MCH-000244,EMP-002287,Preventive,6.4,671.16
MAINT-0000219,2025-10-15,LOC-0048,MCH-000294,EMP-002728,Preventive,11.86,586.68
MAINT-0000220,2024-04-12,LOC-0077,MCH-000424,EMP-002676,Preventive,10.07,492.98
MAINT-0000221,2025-07-19,LOC-0016,MCH-001622,EMP-000332,Preventive,11.82,85.88
MAINT-0000222,2024-09-19,LOC-0069,MCH-000308,EMP-000430,Emergency,18.03,551.74
MAINT-0000223,2025-01-25,LOC-0076,MCH-001172,EMP-003333,Preventive,21.16,134.81
MAINT-0000224,2021-01-20,LOC-0094,MCH-000724,EMP-002068,Preventive,15.09,524.88
MAINT-0000225,2024-05-16,LOC-0015,MCH-000511,EMP-004710,Preventive,18.11,503.78
MAINT-0000226,2025-05-16,LOC-0005,MCH-000236,EMP-004322,Preventive,5.19,297.84
MAINT-0000228,2023-07-22,LOC-0038,MCH-001878,EMP-002691,Preventive,7.98,316.35
MAINT-0000229,2025-10-07,LOC-0060,MCH-000739,EMP-004839,Preventive,12.08,148.8
MAINT-0000230,2023-01-20,LOC-0004,MCH-000138,EMP-000416,Inspection,22.06,1035.59
MAINT-0000231,2025-12-31,LOC-0020,MCH-001021,EMP-002125,Preventive,22.47,852.08
MAINT-0000233,2025-02-14,LOC-0096,MCH-000645,EMP-002824,Preventive,0.66,441.12
MAINT-0000234,2022-10-04,LOC-0096,MCH-000055,EMP-004437,Preventive,13.05,495.23
MAINT-0000235,2025-12-20,LOC-0035,MCH-001981,EMP-004337,Inspection,10.28,612.13
MAINT-0000236,2024-07-20,LOC-0003,MCH-001307,EMP-003836,Corrective,11.69,1342.76
MAINT-0000237,2025-05-23,LOC-0054,MCH-000765,EMP-002546,Corrective,22.64,579.29
MAINT-0000238,2023-12-25,LOC-0003,MCH-000437,EMP-002362,Inspection,23.1,489.28
MAINT-0000239,2022-10-08,LOC-0023,MCH-001860,EMP-001397,Preventive,19.36,223.55
MAINT-0000240,2024-05-22,LOC-0085,MCH-001332,EMP-003188,Preventive,1.86,530.08
MAINT-0000241,2022-03-30,LOC-0072,MCH-000642,EMP-003580,Corrective,4.49,220.2
MAINT-0000242,2024-11-17,LOC-0028,MCH-001089,EMP-001827,Corrective,1.75,1183.21
MAINT-0000243,2023-07-15,LOC-0061,MCH-001399,EMP-004485,Inspection,13.79,379.32
MAINT-0000244,2025-07-24,LOC-0080,MCH-001837,EMP-003820,Preventive,17.52,214.53
MAINT-0000245,2024-07-31,LOC-0095,MCH-000675,EMP-004373,Preventive,2.09,254.35
MAINT-0000246,2025-12-18,LOC-0028,MCH-000153,EMP-000795,Preventive,20.44,576.14
MAINT-0000247,2025-10-17,LOC-0059,MCH-001084,EMP-000691,Preventive,9.35,245.65
MAINT-0000248,2025-05-09,LOC-0070,MCH-000761,EMP-000120,Preventive,14.74,171.9
MAINT-0000249,2023-08-23,LOC-0029,MCH-001763,EMP-004815,Corrective,18.04,68.56
MAINT-0000250,2025-08-07,LOC-0020,MCH-001891,EMP-000150,Preventive,23.88,1343.38
MAINT-0000251,2025-11-02,LOC-0077,MCH-001810,EMP-001803,Preventive,9.45,145.23
MAINT-0000252,2025-10-17,LOC-0047,MCH-000748,EMP-001390,Corrective,3.42,600.86
MAINT-0000253,2025-12-14,LOC-0023,MCH-001019,EMP-003214,Preventive,8.7,990.09
MAINT-0000254,2025-12-30,LOC-0048,MCH-000882,EMP-000843,Corrective,3.63,225.85
MAINT-0000255,2024-12-15,LOC-0028,MCH-001089,EMP-002730,Corrective,20.05,508.51
MAINT-0000257,2025-04-22,LOC-0059,MCH-001665,EMP-003350,Corrective,14.48,139.1
MAINT-0000258,2025-12-24,LOC-0096,MCH-000645,EMP-002328,Preventive,19.68,960.09
MAINT-0000259,2024-12-03,LOC-0019,MCH-000725,EMP-004858,Corrective,22.6,397.59
MAINT-0000260,2025-12-31,LOC-0026,MCH-001522,EMP-002186,Inspection,0.75,1519.28
MAINT-0000261,2024-07-17,LOC-0041,MCH-000169,EMP-003083,Inspection,13.24,145.43
MAINT-0000262,2025-03-03,LOC-0028,MCH-001236,EMP-000846,Preventive,12.06,297.86
MAINT-0000264,2025-11-27,LOC-0065,MCH-001800,EMP-003951,Inspection,4.88,350.2
MAINT-0000265,2024-09-03,LOC-0013,MCH-000952,EMP-003394,Corrective,23.46,1136.41
MAINT-0000266,2025-10-27,LOC-0070,MCH-000611,EMP-000941,Preventive,15.76,925.86
MAINT-0000267,2020-01-17,LOC-0012,MCH-001804,EMP-003589,Preventive,17.78,212.06
MAINT-0000268,2024-12-28,LOC-0047,MCH-001750,EMP-000929,Corrective,15.83,1311.59
MAINT-0000269,2025-12-26,LOC-0039,MCH-001581,EMP-002659,Corrective,7.21,330.12
MAINT-0000270,2024-10-21,LOC-0086,MCH-000686,EMP-000265,Corrective,5.06,577.34
MAINT-0000271,2024-01-12,LOC-0075,MCH-000893,EMP-002891,Preventive,9.91,337.37
MAINT-0000272,2022-10-30,LOC-0051,MCH-001882,EMP-004934,Inspection,18.9,926.55
MAINT-0000273,2025-08-18,LOC-0065,MCH-001333,EMP-001864,Preventive,7.36,626.53
MAINT-0000274,2025-05-09,LOC-0037,MCH-000823,EMP-004378,Corrective,6.04,503.69
MAINT-0000275,2021-12-31,LOC-0003,MCH-000216,EMP-001747,Preventive,18.35,533.92
MAINT-0000277,2025-08-14,LOC-0015,MCH-001158,EMP-003235,Preventive,19.94,785.39
MAINT-0000278,2025-09-28,LOC-0011,MCH-000050,EMP-000460,Preventive,1.86,944.99
MAINT-0000279,2025-12-11,LOC-0004,MCH-000138,EMP-002560,Preventive,9.31,84.57
MAINT-0000280,2024-06-14,LOC-0055,MCH-000070,EMP-001631,Inspection,21.88,1226.89
MAINT-0000281,2024-07-23,LOC-0043,MCH-000660,EMP-003761,Corrective,8.66,715.13
MAINT-0000282,2025-11-26,LOC-0026,MCH-001983,EMP-004252,Preventive,16.37,169.12
MAINT-0000283,2025-06-15,LOC-0010,MCH-001438,EMP-000669,Preventive,13.17,367.33
MAINT-0000284,2025-01-07,LOC-0059,MCH-001665,EMP-001636,Inspection,4.74,688.53
MAINT-0000285,2025-12-24,LOC-0021,MCH-000550,EMP-002486,Emergency,11.39,370.17
MAINT-0000286,2022-07-21,LOC-0005,MCH-000318,EMP-004944,Inspection,19.28,307.22
MAINT-0000288,2024-01-02,LOC-0014,MCH-000558,EMP-001386,Inspection,14.96,393.21
MAINT-0000289,2024-03-18,LOC-0012,MCH-001626,EMP-001232,Preventive,4.59,153.34
MAINT-0000290,2025-06-13,LOC-0003,MCH-000141,EMP-003583,Preventive,5.48,459.52
MAINT-0000291,2025-12-26,LOC-0097,MCH-001845,EMP-004089,Corrective,18.04,1260.24
