emissions_key,emissions_id,date_key,location_key,emissions_category,co2_emissions
135,EMS-000135,20241204,36,Transportation,288.493
136,EMS-000136,20230315,90,Transportation,2786.501
137,EMS-000137,20220505,37,Transportation,3776.146
138,EMS-000138,20220717,27,Direct Emissions,440.996
139,EMS-000139,20210326,92,Transportation,3427.158
140,EMS-000140,20250923,41,Transportation,498.337
141,EMS-000141,20190107,68,Purchased Energy,1473.792
142,EMS-000142,20250328,9,Purchased Energy,2457.936
143,EMS-000143,20210927,5,Transportation,4750.961
144,EMS-000144,20200111,94,Direct Emissions,2598.786
145,EMS-000145,20201216,52,Purchased Energy,4846.089
146,EMS-000146,20251230,6,Transportation,115.685
147,EMS-000147,20200812,92,Purchased Energy,2192.581
148,EMS-000148,20190904,74,Transportation,3286.931
149,EMS-000149,20231209,32,Direct Emissions,4003.62
150,EMS-000150,20230418,55,Transportation,4358.795
151,EMS-000151,20230527,74,Transportation,388.077
152,EMS-000152,20240925,13,Direct Emissions,1553.669
153,EMS-000153,20240126,28,Purchased Energy,4336.044
154,EMS-000154,20190130,38,Direct Emissions,3157.338
155,EMS-000155,20240906,52,Direct Emissions,998.202
156,EMS-000156,20190413,35,Transportation,1650.258
157,EMS-000157,20230201,16,Purchased Energy,2062.027
158,EMS-000158,20240402,44,Transportation,4214.697
159,EMS-000159,20211002,4,Transportation,2540.318
160,EMS-000160,20251210,64,Transportation,4418.854
161,EMS-000161,20240105,81,Purchased Energy,164.646
162,EMS-000162,20190830,35,Transportation,1292.555
163,EMS-000163,20200815,30,Direct Emissions,547.692
164,EMS-000164,20240611,6,Direct Emissions,2284.585
165,EMS-000165,20250215,82,Purchased Energy,3958.002
166,EMS-000166,20190712,67,Transportation,2522.636
167,EMS-000167,20230618,7,Direct Emissions,4023.98
168,EMS-000168,20231222,19,Direct Emissions,4011.133
169,EMS-000169,20210713,80,Transportation,1742.951
170,EMS-000170,20250320,89,Transportation,3037.597
171,EMS-000171,20220728,82,Direct Emissions,1852.572
172,EMS-000172,20200313,66,Transportation,2286.18
173,EMS-000173,20240131,69,Transportation,1778.928
174,EMS-000174,20240312,98,Purchased Energy,2939.378
175,EMS-000175,20240828,90,Purchased Energy,4303.116
176,EMS-000176,20250819,23,Purchased Energy,3559.488
177,EMS-000177,20230107,10,Transportation,2421.105
178,EMS-000178,20231019,83,Direct Emissions,1268.986
179,EMS-000179,20240326,38,Purchased Energy,2340.464
180,EMS-000180,20221212,66,Purchased Energy,205.32
181,EMS-000181,20220326,74,Direct Emissions,1406.391
182,EMS-000182,20211114,81,Direct Emissions,3178.54
183,EMS-000183,20250304,93,Purchased Energy,2988.076
184,EMS-000184,20250827,30,Direct Emissions,2131.144
185,EMS-000185,20250901,92,Purchased Energy,183.294
186,EMS-000186,20250311,3,Purchased Energy,1829.077
187,EMS-000187,20220118,74,Transportation,1041.076
188,EMS-000188,20210306,44,Purchased Energy,1750.713
189,EMS-000189,20250403,24,Purchased Energy,4917.622
190,EMS-000190,20230902,94,Direct Emissions,3699.696
191,EMS-000191,20241118,81,Direct Emissions,3386.542
192,EMS-000192,20200408,71,Direct Emissions,2216.501
193,EMS-000193,20250604,15,Direct Emissions,3784.374
194,EMS-000194,20220226,68,Direct Emissions,3267.293
195,EMS-000195,20200105,91,Transportation,2579.931
196,EMS-000196,20210625,80,Direct Emissions,4775.199
197,EMS-000197,20200310,76,Purchased Energy,1858.988
198,EMS-000198,20190526,16,Direct Emissions,269.393
199,EMS-000199,20251103,17,Transportation,3076.857
200,EMS-000200,20231224,91,Direct Emissions,3301.561
201,EMS-000201,20230617,56,Direct Emissions,2931.22
202,EMS-000202,20230728,69,Direct Emissions,869.187
203,EMS-000203,20211201,7,Purchased Energy,4351.602
204,EMS-000204,20250428,48,Transportation,3794.527
205,EMS-000205,20200503,16,Purchased Energy,505.955
206,EMS-000206,20230315,81,Transportation,4014.308
207,EMS-000207,20251001,35,Direct Emissions,4324.487
208,EMS-000208,20231007,86,Transportation,4689.945
209,EMS-000209,20250629,6,Purchased Energy,673.53
210,EMS-000210,20211130,66,Purchased Energy,1484.583
211,EMS-000211,20210731,14,Direct Emissions,4639.654
212,EMS-000212,20200821,76,Purchased Energy,1830.749
213,EMS-000213,20230904,37,Purchased Energy,2985.747
214,EMS-000214,20220911,57,Transportation,1199.329
215,EMS-000215,20240926,80,Purchased Energy,3527.124
216,EMS-000216,20230521,58,Purchased Energy,4706.339
217,EMS-000217,20250703,46,Direct Emissions,4262.598
218,EMS-000218,20220220,25,Purchased Energy,4725.535
219,EMS-000219,20210908,6,Transportation,4478.464
220,EMS-000220,20220107,15,Purchased Energy,383.696
221,EMS-000221,20240505,2,Direct Emissions,983.401
222,EMS-000222,20201001,35,Purchased Energy,1333.421
223,EMS-000223,20221114,57,Transportation,3194.379
224,EMS-000224,20200218,27,Purchased Energy,660.209
225,EMS-000225,20201203,58,Direct Emissions,3576.901
226,EMS-000226,20220225,85,Direct Emissions,4541.428
227,EMS-000227,20200823,91,Transportation,1240.998
228,EMS-000228,20210410,64,Transportation,3871.175
229,EMS-000229,20190618,98,Direct Emissions,605.362
230,EMS-000230,20231005,31,Transportation,2823.634
231,EMS-000231,20231108,35,Direct Emissions,483.595
232,EMS-000232,20240830,4,Purchased Energy,1100.964
233,EMS-000233,20221009,86,Purchased Energy,4235.391
234,EMS-000234,20211117,39,Transportation,1707.11
235,EMS-000235,20190903,42,Purchased Energy,2435.712
236,EMS-000236,20200104,5,Transportation,4174.482
237,EMS-000237,20200119,45,Direct Emissions,3125.179
238,EMS-000238,20201031,41,Direct Emissions,3777.05
239,EMS-000239,20210312,47,Purchased Energy,2555.393
240,EMS-000240,20210426,7,Purchased Energy,3009.706
241,EMS-000241,20250328,47,Purchased Energy,3310.419
242,EMS-000242,20200618,29,Direct Emissions,331.242
243,EMS-000243,20200824,27,Direct Emissions,2079.968
244,EMS-000244,20191214,37,Transportation,960.737
245,EMS-000245,20190106,85,Direct Emissions,1197.813
246,EMS-000246,20190128,20,Transportation,4362.357
247,EMS-000247,20191231,92,Transportation,105.398
248,EMS-000248,20230501,83,Transportation,2929.647
249,EMS-000249,20200306,44,Direct Emissions,1914.103
250,EMS-000250,20190703,61,Transportation,3617.393
251,EMS-000251,20240816,8,Purchased Energy,211.429
252,EMS-000252,20190109,14,Purchased Energy,2667.559
253,EMS-000253,20250105,68,Direct Emissions,2590.692
254,EMS-000254,20211213,94,Transportation,1446.897
255,EMS-000255,20230312,20,Direct Emissions,2259.277
256,EMS-000256,20200818,5,Purchased Energy,1133.036
257,EMS-000257,20240120,63,Direct Emissions,3529.594
258,EMS-000258,20210106,74,Purchased Energy,171.856
259,EMS-000259,20220910,31,Direct Emissions,4068.766
260,EMS-000260,20240821,96,Purchased Energy,1833.436
261,EMS-000261,20240811,21,Purchased Energy,1692.764
262,EMS-000262,20220407,51,Transportation,562.469
263,EMS-000263,20251027,14,Transportation,3397.143
264,EMS-000264,20200701,22,Purchased Energy,4089.682
265,EMS-000265,20230921,55,Direct Emissions,4047.882
266,EMS-000266,20210713,22,Direct Emissions,3460.552
267,EMS-000267,20221006,37,Direct Emissions,3021.913
268,EMS-000268,20220305,100,Purchased Energy,1721.164
269,EMS-000269,20240803,51,Direct Emissions,3015.585
270,EMS-000270,20230922,20,Purchased Energy,504.793
271,EMS-000271,20231126,36,Purchased Energy,1248.199
272,EMS-000272,20240402,29,Transportation,4385.555
273,EMS-000273,20230117,35,Direct Emissions,2592.32
274,EMS-000274,20210731,86,Transportation,255.754
275,EMS-000275,20250803,37,Direct Emissions,3030.93
276,EMS-000276,20231018,40,Transportation,603.478
277,EMS-000277,20200314,57,Transportation,1002.92
278,EMS-000278,20231121,77,Purchased Energy,1783.427
279,EMS-000279,20240815,8,Direct Emissions,4138.612
280,EMS-000280,20190303,49,Purchased Energy,1874.556
281,EMS-000281,20200119,6,Transportation,3925.261
282,EMS-000282,20200129,39,Purchased Energy,2080.456
283,EMS-000283,20250124,92,Transportation,1413.669
284,EMS-000284,20250617,44,Purchased Energy,2692.322
285,EMS-000285,20240214,76,Transportation,3035.512
286,EMS-000286,20251129,100,Direct Emissions,3411.026
287,EMS-000287,20191201,17,Transportation,2923.822
288,EMS-000288,20200509,10,Purchased Energy,2559.747
289,EMS-000289,20220913,75,Direct Emissions,752.141
290,EMS-000290,20230116,15,Transportation,907.436
291,EMS-000291,20191011,52,Transportation,2427.417
292,EMS-000292,20240625,62,Purchased Energy,4549.382
293,EMS-000293,20230412,75,Purchased Energy,82.75
294,EMS-000294,20250520,78,Transportation,4844.498
295,EMS-000295,20250516,77,Transportation,4287.19
296,EMS-000296,20250804,1,Transportation,3522.561
297,EMS-000297,20211113,27,Direct Emissions,2394.814
298,EMS-000298,20241118,90,Transportation,3039.913
299,EMS-000299,20231201,26,Transportation,1716.261
300,EMS-000300,20231210,48,Purchased Energy,2674.897
301,EMS-000301,20190222,51,Purchased Energy,3938.292
302,EMS-000302,20190410,71,Purchased Energy,3390.308
303,EMS-000303,20201111,71,Purchased Energy,1965.58
304,EMS-000304,20241228,45,Transportation,2515.95
305,EMS-000305,20221118,93,Direct Emissions,936.627
306,EMS-000306,20230720,86,Transportation,1128.942
307,EMS-000307,20241012,68,Purchased Energy,4209.699
308,EMS-000308,20200619,89,Direct Emissions,2179.465
309,EMS-000309,20240422,44,Purchased Energy,793.266
310,EMS-000310,20230714,48,Purchased Energy,519.243
311,EMS-000311,20230506,66,Transportation,1561.723
312,EMS-000312,20190627,9,Transportation,39.195
313,EMS-000313,20240408,2,Transportation,2762.326
314,EMS-000314,20250605,17,Direct Emissions,1374.28
315,EMS-000315,20190726,5,Transportation,825.136
316,EMS-000316,20251110,51,Transportation,370.895
317,EMS-000317,20240518,16,Direct Emissions,4990.019
318,EMS-000318,20240105,69,Transportation,1993.219
319,EMS-000319,20211117,55,Direct Emissions,3433.246
320,EMS-000320,20190318,60,Direct Emissions,135.776
321,EMS-000321,20231103,80,Purchased Energy,2847.937
322,EMS-000322,20220109,52,Direct Emissions,1066.664
323,EMS-000323,20190731,83,Purchased Energy,1125.308
324,EMS-000324,20240418,62,Direct Emissions,192.178
325,EMS-000325,20231118,28,Transportation,3218.807
326,EMS-000326,20200807,46,Purchased Energy,3118.312
327,EMS-000327,20190605,10,Purchased Energy,1705.525
328,EMS-000328,20231017,24,Purchased Energy,4644.767
329,EMS-000329,20240225,80,Direct Emissions,686.292
330,EMS-000330,20191216,71,Purchased Energy,2249.485
331,EMS-000331,20241217,74,Transportation,1721.811
332,EMS-000332,20220914,93,Transportation,4813.654
333,EMS-000333,20200312,20,Transportation,1362.657
334,EMS-000334,20230716,17,Direct Emissions,4527.293
335,EMS-000335,20190421,21,Purchased Energy,1569.673
336,EMS-000336,20240514,36,Purchased Energy,1434.946
337,EMS-000337,20210406,82,Transportation,2972.85
338,EMS-000338,20231104,41,Transportation,1764.525
339,EMS-000339,20220622,88,Purchased Energy,1291.098
340,EMS-000340,20200202,99,Direct Emissions,3869.995
341,EMS-000341,20231213,50,Purchased Energy,3394.939
342,EMS-000342,20230610,40,Purchased Energy,2806.076
343,EMS-000343,20241024,7,Transportation,3005.526
344,EMS-000344,20210730,77,Purchased Energy,2521.497
345,EMS-000345,20221211,31,Direct Emissions,3721.338
346,EMS-000346,20190825,75,Transportation,3637.516
347,EMS-000347,20200308,99,Transportation,3548.429
348,EMS-000348,20230404,69,Purchased Energy,4750.041
349,EMS-000349,20191114,93,Direct Emissions,1884.549
350,EMS-000350,20190721,30,Purchased Energy,3883.759
351,EMS-000351,20200531,6,Transportation,2896.504
352,EMS-000352,20220101,17,Purchased Energy,3918.981
353,EMS-000353,20250115,1,Direct Emissions,393.862
354,EMS-000354,20220401,32,Transportation,3915.484
355,EMS-000355,20200829,40,Transportation,3273.919
356,EMS-000356,20211031,50,Direct Emissions,4018.228
357,EMS-000357,20230924,23,Transportation,2882.658
358,EMS-000358,20200214,43,Direct Emissions,3234.459
359,EMS-000359,20231213,100,Transportation,4074.088
360,EMS-000360,20200716,9,Transportation,498.966
361,EMS-000361,20200924,87,Purchased Energy,447.122
362,EMS-000362,20190916,16,Purchased Energy,4842.977
363,EMS-000363,20241225,66,Transportation,2272.983
364,EMS-000364,20220515,43,Transportation,4948.243
365,EMS-000365,20210218,44,Direct Emissions,591.818
366,EMS-000366,20230111,62,Direct Emissions,1052.17
367,EMS-000367,20200301,12,Transportation,504.666
368,EMS-000368,20200123,7,Purchased Energy,1341.381
369,EMS-000369,20221013,16,Direct Emissions,2280.716
370,EMS-000370,20220822,49,Direct Emissions,4915.982
371,EMS-000371,20250410,13,Purchased Energy,2377.186
372,EMS-000372,20200614,78,Direct Emissions,1680.435
373,EMS-000373,20210204,38,Purchased Energy,4367.768
374,EMS-000374,20190427,59,Purchased Energy,1957.628
375,EMS-000375,20200722,24,Direct Emissions,3439.45
376,EMS-000376,20200327,23,Purchased Energy,119.347
377,EMS-000377,20210312,36,Purchased Energy,2036.661
378,EMS-000378,20240420,35,Transportation,3949.994
379,EMS-000379,20191128,28,Purchased Energy,3779.401
380,EMS-000380,20220827,46,Purchased Energy,1091.377
381,EMS-000381,20190921,26,Transportation,2221.496
382,EMS-000382,20211207,10,Purchased Energy,2343.346
383,EMS-000383,20190220,43,Direct Emissions,3425.148
384,EMS-000384,20220302,98,Direct Emissions,44.417
385,EMS-000385,20200110,57,Direct Emissions,171.829
386,EMS-000386,20190615,27,Direct Emissions,4577.739
387,EMS-000387,20200821,41,Transportation,3619.84
388,EMS-000388,20230802,65,Direct Emissions,2328.325
389,EMS-000389,20250218,35,Transportation,92.966
390,EMS-000390,20220912,6,Transportation,3138.158
391,EMS-000391,20190625,66,Transportation,4826.111
392,EMS-000392,20201223,29,Purchased Energy,2558.014
393,EMS-000393,20240803,55,Transportation,3831.094
394,EMS-000394,20220426,22,Transportation,2472.727
395,EMS-000395,20250107,95,Direct Emissions,4023.689
396,EMS-000396,20200108,50,Transportation,1828.665
397,EMS-000397,20231014,13,Purchased Energy,4713.694
398,EMS-000398,20240818,83,Purchased Energy,1955.484
399,EMS-000399,20190726,50,Direct Emissions,616.876
400,EMS-000400,20190215,45,Direct Emissions,4054.261
401,EMS-000401,20230104,10,Purchased Energy,387.268
402,EMS-000402,20220403,91,Direct Emissions,1563.319
403,EMS-000403,20251212,70,Purchased Energy,2064.902
404,EMS-000404,20240507,28,Purchased Energy,271.044
405,EMS-000405,20220924,68,Purchased Energy,3508.939
406,EMS-000406,20240715,99,Direct Emissions,2122.787
407,EMS-000407,20190307,48,Direct Emissions,458.35
408,EMS-000408,20200409,22,Transportation,4928.654
409,EMS-000409,20250319,53,Purchased Energy,126.449
410,EMS-000410,20231004,97,Direct Emissions,3033.18
411,EMS-000411,20190629,98,Purchased Energy,904.75
412,EMS-000412,20200416,36,Direct Emissions,3515.091
413,EMS-000413,20220312,100,Direct Emissions,4715.832
414,EMS-000414,20220514,85,Direct Emissions,1196.985
415,EMS-000415,20220822,81,Direct Emissions,3311.563
416,EMS-000416,20241130,18,Direct Emissions,3421.826
417,EMS-000417,20230117,36,Direct Emissions,2525.331
418,EMS-000418,20210710,80,Transportation,3748.75
419,EMS-000419,20190808,69,Purchased Energy,2646.825
420,EMS-000420,20220516,60,Direct Emissions,4502.997
421,EMS-000421,20231003,6,Direct Emissions,1787.098
422,EMS-000422,20191030,28,Purchased Energy,1593.221
423,EMS-000423,20200422,53,Purchased Energy,3318.624
424,EMS-000424,20210928,64,Transportation,2605.532
425,EMS-000425,20210326,98,Purchased Energy,3202.385
426,EMS-000426,20210203,98,Purchased Energy,2557.161
427,EMS-000427,20210926,64,Purchased Energy,2859.717
428,EMS-000428,20241114,63,Direct Emissions,2278.61
429,EMS-000429,20230323,10,Purchased Energy,60.1
430,EMS-000430,20231001,10,Direct Emissions,456.965
431,EMS-000431,20230328,27,Transportation,4352.467
432,EMS-000432,20210221,78,Transportation,4968.055
433,EMS-000433,20190426,77,Transportation,2868.084
434,EMS-000434,20190506,70,Purchased Energy,3179.96
435,EMS-000435,20230421,57,Direct Emissions,2163.205
436,EMS-000436,20211231,59,Direct Emissions,288.898
437,EMS-000437,20210418,19,Purchased Energy,2128.442
438,EMS-000438,20250303,31,Direct Emissions,4864.323
439,EMS-000439,20190417,77,Transportation,434.127
440,EMS-000440,20200521,78,Direct Emissions,724.253
441,EMS-000441,20220105,96,Direct Emissions,1322.285
442,EMS-000442,20230702,83,Direct Emissions,581.454
443,EMS-000443,20240517,57,Purchased Energy,1533.921
444,EMS-000444,20250812,38,Purchased Energy,3389.723
445,EMS-000445,20220414,40,Purchased Energy,3094.666
446,EMS-000446,20230614,68,Transportation,3814.613
447,EMS-000447,20230623,61,Direct Emissions,3454.046
448,EMS-000448,20231227,62,Direct Emissions,2534.334
449,EMS-000449,20230213,6,Transportation,4720.619
450,EMS-000450,20190420,26,Purchased Energy,2062.086
451,EMS-000451,20200611,45,Direct Emissions,3189.945
452,EMS-000452,20230410,93,Direct Emissions,2500.177
453,EMS-000453,20230707,36,Transportation,1746.582
454,EMS-000454,20241110,34,Direct Emissions,1155.004
455,EMS-000455,20250907,32,Purchased Energy,1568.104
456,EMS-000456,20200608,41,Purchased Energy,2559.597
457,EMS-000457,20230407,69,Purchased Energy,39.761
458,EMS-000458,20190529,100,Transportation,3285.035
459,EMS-000459,20210405,28,Transportation,1201.092
460,EMS-000460,20251030,1,Transportation,3038.273
461,EMS-000461,20211127,23,Transportation,1283.596
462,EMS-000462,20220326,74,Transportation,3599.614
463,EMS-000463,20230528,1,Purchased Energy,2148.945
464,EMS-000464,20220608,19,Transportation,3091.428
465,EMS-000465,20221019,92,Transportation,3664.937
466,EMS-000466,20231203,46,Transportation,1983.964
467,EMS-000467,20220727,82,Purchased Energy,50.395
468,EMS-000468,20210304,31,Purchased Energy,2037.89
469,EMS-000469,20200728,56,Transportation,1922.321
470,EMS-000470,20191231,8,Transportation,2223.058
471,EMS-000471,20221114,71,Transportation,4274.905
472,EMS-000472,20200204,45,Purchased Energy,4820.43
473,EMS-000473,20221026,1,Transportation,2172.299
474,EMS-000474,20200919,46,Direct Emissions,2752.065
475,EMS-000475,20230912,92,Direct Emissions,1737.42
476,EMS-000476,20190217,50,Direct Emissions,177.965
477,EMS-000477,20251125,85,Transportation,3889.521
478,EMS-000478,20220213,17,Transportation,1648.851
479,EMS-000479,20250910,71,Purchased Energy,2122.307
480,EMS-000480,20240721,42,Direct Emissions,4951.286
481,EMS-000481,20230606,58,Direct Emissions,143.227
482,EMS-000482,20240715,13,Direct Emissions,4286.314
483,EMS-000483,20190109,89,Purchased Energy,982.55
484,EMS-000484,20241130,50,Purchased Energy,1147.386
485,EMS-000485,20220725,59,Purchased Energy,3383.045
486,EMS-000486,20210219,65,Purchased Energy,3869.717
487,EMS-000487,20230613,37,Purchased Energy,1144.171
488,EMS-000488,20190117,32,Direct Emissions,3640.91
489,EMS-000489,20251118,94,Purchased Energy,968.09
490,EMS-000490,20211209,100,Transportation,3928.642
491,EMS-000491,20190319,6,Purchased Energy,2332.534
492,EMS-000492,20250308,52,Direct Emissions,2489.217
493,EMS-000493,20251214,2,Purchased Energy,166.248
494,EMS-000494,20220111,26,Purchased Energy,1571.034
495,EMS-000495,20240418,79,Transportation,1671.66
496,EMS-000496,20240517,93,Purchased Energy,4807.827
497,EMS-000497,20230820,98,Direct Emissions,1970.518
498,EMS-000498,20231108,46,Direct Emissions,2823.022
499,EMS-000499,20191205,29,Transportation,4228.166
500,EMS-000500,20190718,22,Purchased Energy,2743.814
501,EMS-000501,20190108,53,Transportation,4921.27
502,EMS-000502,20221216,32,Purchased Energy,2194.996
503,EMS-000503,20251030,45,Purchased Energy,1783.298
504,EMS-000504,20200811,93,Direct Emissions,773.06
505,EMS-000505,20251011,94,Direct Emissions,4750.278
506,EMS-000506,20240910,62,Purchased Energy,4871.082
507,EMS-000507,20230805,2,Transportation,1871.347
508,EMS-000508,20210312,8,Purchased Energy,2389.478
509,EMS-000509,20210720,79,Transportation,1601.881
510,EMS-000510,20220420,20,Purchased Energy,625.553
511,EMS-000511,20211021,8,Direct Emissions,988.189
512,EMS-000512,20230127,10,Direct Emissions,3715.197
513,EMS-000513,20250327,71,Transportation,3125.218
514,EMS-000514,20190428,47,Transportation,515.258
515,EMS-000515,20230930,9,Direct Emissions,1359.538
516,EMS-000516,20250901,67,Direct Emissions,2033.501
517,EMS-000517,20190820,66,Direct Emissions,214.251
518,EMS-000518,20201126,96,Purchased Energy,4307.859
519,EMS-000519,20211112,21,Transportation,1206.271
